timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
88903675493,-20,-1,-1,-1,-1,-2,4,-2
88903675493,18,3,2,0,0,1,0,-2
88903684959,8,0,-1,-2,0,0,-1,2
88903684959,-24,-6,-6,-3,-2,-2,-6,-17
88903685831,1,2,6,1,-1,2,-1,5
88903685831,-5,0,-1,-2,-1,-1,-1,2
88903686559,-1,-1,-3,-2,0,-2,-3,-5
88903686559,4,-1,-3,0,0,0,1,4
88903690580,5,-2,-1,0,-1,0,-3,-2
88903690580,-6,-4,-2,-1,1,-2,-2,-5
88903697494,1,1,0,-1,-1,-3,-1,0
88903697494,-2,-6,-3,-4,-2,-1,0,1
88903708927,0,-2,-2,0,-1,-1,-5,-3
88903708927,1,1,-5,0,-2,-2,2,1
88903721072,-4,-2,-2,-3,-3,-1,-2,-2
88903721072,-5,-1,0,-2,1,-1,-2,0
88903727411,9,1,0,-1,0,0,-1,-1
88903727411,-6,-4,1,2,-1,-2,-4,-1
88903742432,-1,-1,0,-11,-2,1,0,3
88903742432,-4,-2,-1,-1,-2,-3,-2,2
88903753927,7,-5,-4,-1,-1,-2,-2,0
88903753927,-6,3,6,3,-1,-2,1,1
88903766087,-5,-3,-4,2,-3,-3,-6,-5
88903766087,8,2,2,1,1,0,0,2
88903805736,-3,-3,-3,-1,-2,-2,-2,-8
88903805736,-2,1,1,0,-2,-1,-2,-3
88903807441,24,0,-8,-3,-2,-1,0,2
88903807441,4,-1,1,-3,1,-1,-2,2
88903810450,-5,-4,-3,-2,0,-2,0,-1
88903810450,2,-2,4,0,-1,0,-2,3
88903811298,-3,-2,0,-1,-1,0,-1,0
88903811298,1,-1,-5,0,-1,-2,-2,-5
88903817329,6,1,0,-2,-2,0,3,5
88903817329,-3,-1,0,-2,-1,-1,-1,-1
88903826299,-8,-2,1,1,1,-2,-3,-4
88903826299,-2,-3,-4,-1,-2,-2,2,8
88903832332,16,5,5,3,2,1,0,3
88903832332,-4,-2,-6,-3,0,0,-2,-2
88903847322,-5,-2,-3,-4,-2,-1,-1,0
88903847322,-2,-1,3,0,-1,-1,1,-6
88903854774,-3,-1,-1,-1,-2,-2,-2,-2
88903854774,-11,-2,-3,1,-1,0,-1,-6
88903878200,9,3,2,-1,-2,-1,1,6
88903878200,6,0,-1,-1,-1,-3,-8,-2
88903878780,-6,-3,-5,-1,-1,0,-4,-3
88903878780,1,-1,1,-1,-1,-1,2,4
88903893231,-12,-2,1,1,1,-2,4,-2
88903893231,-5,1,-1,1,-1,0,-4,-7
88903893838,-4,1,-2,-3,-3,-1,1,-1
88903893838,6,1,0,0,-2,-3,-2,-4
88903915727,-4,-2,2,-1,-2,0,-2,-5
88903915727,10,1,-3,-2,0,0,0,-3
88903916342,-9,-4,1,0,2,1,-1,2
88903916342,0,-4,-3,-3,0,-1,0,-7
88903938179,29,3,-3,-1,0,-1,-1,-5
88903938179,-8,1,0,0,0,1,0,-1
88903938757,-20,-5,-4,-3,-4,-2,-4,-16
88903938757,-2,1,6,2,-1,-1,-2,3
88903953143,16,0,-8,-4,-2,0,0,4
88903953143,-5,-2,0,-2,-2,-1,4,-12
88903953797,-6,-2,-4,-2,-1,-2,-13,-8
88903953797,-2,-1,-4,0,-1,-1,1,2
88903975670,-13,-1,3,0,-1,-5,-5,-1
88903975670,-15,-3,-2,-3,-4,-3,-2,1
88903976347,8,-3,-4,-2,-2,0,10,9
88903976347,-2,0,0,-1,-2,-2,-5,-9
88903998210,-12,-4,-3,-2,-2,0,-4,5
88903998210,-8,-4,-7,-2,0,1,6,-2
88903998797,0,3,4,-1,0,0,-3,-4
88903998797,13,-3,-2,-3,-2,0,-2,5
88904013012,-10,-3,-13,-6,-1,-1,1,-5
88904013012,-4,-2,2,1,-1,-1,-3,-1
88904013986,0,0,-2,4,1,-1,-1,0
88904013986,-7,1,-1,-2,1,-1,2,0
88904035536,23,-3,-2,2,-1,-2,-5,-12
88904035536,-1,-5,-4,-4,-2,-1,-5,5
88904036370,-3,0,2,1,0,1,3,-5
88904036370,0,-1,-5,-1,-2,-3,-3,-7
88904058047,2,0,5,0,0,-1,-2,6
88904058047,-1,-1,-1,1,-1,-2,-1,-1
88904058800,-2,-1,-3,-9,-1,-1,2,1
88904058800,2,-2,-3,-1,0,-1,-2,1
88904073174,-14,-2,1,-2,-3,-1,2,1
88904073174,6,0,2,-1,-2,-1,-5,2
88904073836,-4,-1,-1,1,-2,0,-1,4
88904073836,-4,-1,-2,-1,-1,-1,1,0
88904095677,2,-1,3,0,-1,-2,-4,6
88904095677,1,-2,-2,0,-1,0,0,-2
88904096253,5,-2,-2,-1,-2,-3,-2,0
88904096253,-2,-1,0,-1,-1,0,-1,-3
88904118024,-10,0,2,1,0,-3,0,-7
88904118024,-3,1,1,-2,-2,-2,-2,1
88904118840,16,0,1,1,0,0,-1,4
88904118840,-5,0,-5,-3,-2,0,0,1
88904133009,-12,1,2,-1,-1,2,-1,-3
88904133009,2,-3,0,-1,1,-2,-1,0
88904133805,-5,-4,-5,-3,-1,-3,0,-1
88904133805,-24,-3,2,-2,-3,-1,-1,-5
88904155611,-7,-4,-2,-1,-2,-1,0,-1
88904155611,-3,-2,2,0,0,0,-1,-1
88904156477,-3,-1,-6,-2,-1,-1,-4,-3
88904156477,24,1,0,0,-1,-1,-1,0
88904178121,-43,-4,1,-1,-1,0,0,0
88904178121,0,0,1,0,0,-3,0,-3
88904178856,-4,-1,1,1,-1,-1,1,-4
88904178856,21,5,0,-1,-1,-3,-3,12
88904192915,-5,-1,0,0,2,1,-1,-6
88904192915,14,0,-2,1,1,0,-1,8
88904193691,8,1,2,1,-1,-2,-1,2
88904193691,-8,-3,-1,-2,-2,-1,-4,-6
88904215504,0,-1,-2,1,-1,-1,-1,-5
88904215504,-3,-1,-3,-3,-3,0,2,-1
88904216347,-1,-3,-2,-1,0,-2,-1,-1
88904216347,-8,-2,1,0,0,0,1,0
88904238182,14,-2,-4,-2,-2,-2,1,10
88904238182,-6,0,-4,-7,-2,-2,-9,-6
88904238856,-13,-5,-1,0,-2,-1,4,-9
88904238856,-3,-4,-6,-1,0,0,0,2
88904252387,6,0,0,1,0,0,0,-3
88904252387,-8,-1,6,1,-2,0,1,-3
88904260548,6,-1,-5,-3,-2,-2,-4,4
88904260548,-8,-2,-4,-3,-2,-2,-1,-5
88904275438,31,0,-4,-1,-2,-1,-1,4
88904275438,-6,0,0,0,0,-2,1,5
88904276316,2,4,6,0,0,-1,-3,2
88904276316,-7,-2,-2,0,-1,0,2,-1
88904298156,4,-1,-4,-3,-1,-2,-4,-6
88904298156,4,1,-2,0,-2,-2,-2,-2
88904298787,-16,-4,-2,-4,-3,-3,-3,-10
88904298787,8,1,1,1,-1,0,-2,-1
88904312439,-10,-3,0,2,-1,1,1,-5
88904312439,-1,-1,-3,-1,0,-2,-5,-7
88904320265,0,0,-2,2,-1,0,-2,0
88904320265,-12,0,11,0,-1,0,2,1
88904335725,8,3,2,0,-1,-2,-2,1
88904335725,6,-2,-12,0,-1,0,0,1
88904336396,4,-2,-3,-4,-1,-2,-3,5
88904336396,-1,1,3,1,1,1,3,-1
88904358057,-9,0,4,1,1,0,1,0
88904358057,10,0,2,1,-1,0,-2,-4
88904358849,2,0,-12,-3,-1,0,2,-3
88904358849,0,-3,0,-1,-1,-2,-3,-1
88904372549,-10,-5,-4,-4,-1,0,0,0
88904372549,0,1,0,-1,0,-3,-8,-7
88904380703,-5,1,5,2,0,2,-2,1
88904380703,16,1,-3,-5,-1,-4,-5,-1
88904403887,-6,1,-1,3,-1,1,2,0
88904403887,0,-2,0,0,-3,-1,0,1
88904404514,-5,2,6,2,-1,-2,0,-1
88904404514,16,1,-5,2,0,-1,0,2
88904418132,-2,-1,-2,-2,-2,-1,-1,-3
88904418132,-7,-3,1,-2,0,-2,0,2
88904418767,-5,-2,-2,-2,-1,-1,0,-1
88904418767,-1,0,-2,-2,-1,-2,-2,-1
88904432508,2,-3,-5,-1,-3,1,-3,0
88904432508,-4,-2,-3,-5,-1,1,1,7
88904440791,-22,-4,-2,-8,0,-2,-4,-29
88904440791,-4,0,3,0,1,0,-1,-6
88904455623,7,-1,4,2,-1,-2,-2,-1
88904455623,27,2,0,2,-1,0,0,5
88904456409,-3,-1,-7,-1,-2,-1,0,9
88904456409,-11,-4,0,-2,-2,-3,-1,-3
88904478200,-8,-1,-2,-4,-2,-3,-2,-4
88904478200,4,-3,0,-1,-3,0,1,-1
88904478767,2,-7,1,0,-1,0,-2,2
88904478767,1,2,-4,-3,-1,-1,4,3
