timestamp,x,y,z,w
88903472293,-0.259766,-0.589172,-0.17804,0.74408
88903495347,-0.262695,-0.588257,-0.181213,0.743042
88903517593,-0.265259,-0.587585,-0.184143,0.741943
88903532535,-0.266602,-0.587219,-0.185974,0.741333
88903556184,-0.266541,-0.587219,-0.186707,0.741089
88903577525,-0.26593,-0.587402,-0.187012,0.741089
88903592556,-0.265503,-0.587585,-0.187317,0.741089
88903615039,-0.265259,-0.587769,-0.187866,0.740845
88903639008,-0.265442,-0.587891,-0.18866,0.74054
88903669448,-0.266174,-0.587769,-0.18927,0.740173
88903671524,-0.266724,-0.587585,-0.189758,0.73999
88903688102,-0.267334,-0.58728,-0.189941,0.73999
88903706886,-0.267822,-0.586853,-0.190125,0.740112
88903722674,-0.268555,-0.586548,-0.190491,0.73999
88903751875,-0.26947,-0.586243,-0.190674,0.739807
88903794838,-0.269958,-0.58606,-0.190552,0.739868
88903804992,-0.27002,-0.585938,-0.190247,0.73999
88903806590,-0.269775,-0.585876,-0.190125,0.740173
88903825518,-0.269653,-0.585876,-0.190491,0.740112
88903839852,-0.270203,-0.585754,-0.19104,0.739868
88903862377,-0.270691,-0.585632,-0.191345,0.739685
88903884875,-0.270996,-0.58551,-0.191406,0.739685
88903900088,-0.27124,-0.585388,-0.191406,0.739685
88903922636,-0.271301,-0.585388,-0.191406,0.739685
88903944985,-0.271118,-0.585327,-0.19104,0.739868
88903959912,-0.271118,-0.585327,-0.19104,0.739868
88903982471,-0.271484,-0.585144,-0.191406,0.739746
88904005078,-0.272278,-0.585022,-0.191895,0.739502
88904020093,-0.272766,-0.5849,-0.192078,0.739319
88904042422,-0.272827,-0.5849,-0.192078,0.739319
88904065077,-0.272278,-0.5849,-0.191833,0.739563
88904080106,-0.271667,-0.584961,-0.191895,0.739746
88904102392,-0.271606,-0.5849,-0.192261,0.739685
88904125083,-0.271912,-0.584778,-0.192505,0.739624
88904140108,-0.272217,-0.584595,-0.192566,0.739624
88904162469,-0.272156,-0.584473,-0.192383,0.739807
88904184917,-0.271851,-0.584412,-0.192139,0.740051
88904199803,-0.271423,-0.584412,-0.191956,0.740234
88904222516,-0.270996,-0.584412,-0.192017,0.740417
88904244963,-0.270691,-0.584412,-0.192261,0.740417
88904261384,-0.270569,-0.584412,-0.192444,0.740417
88904282560,-0.270569,-0.584412,-0.192566,0.740356
88904304900,-0.270569,-0.58429,-0.192749,0.740417
88904327408,-0.270386,-0.584167,-0.192932,0.74054
88904342486,-0.270447,-0.584045,-0.193115,0.740601
88904365037,-0.270142,-0.584106,-0.192993,0.740723
88904381389,-0.269836,-0.584167,-0.193054,0.740723
88904405505,-0.269897,-0.584167,-0.193542,0.740601
88904425000,-0.270203,-0.584167,-0.194031,0.740356
88904441355,-0.270508,-0.584106,-0.194336,0.740173
88904462476,-0.270325,-0.584167,-0.194153,0.740234
88904485079,-0.269958,-0.584351,-0.193909,0.740295
88904501368,-0.269958,-0.584351,-0.193909,0.740356
88904522602,-0.270264,-0.584229,-0.194031,0.740234
88904544984,-0.270874,-0.584106,-0.194153,0.740112
88904561379,-0.271606,-0.584045,-0.194092,0.739929
88904582436,-0.272156,-0.583923,-0.193848,0.739868
88904605068,-0.272278,-0.584045,-0.193481,0.739807
88904621392,-0.272095,-0.584167,-0.193359,0.739807
88904642538,-0.27179,-0.584473,-0.193359,0.739685
88904664894,-0.271667,-0.584778,-0.193726,0.739441
88904682795,-0.271851,-0.585144,-0.194275,0.738892
88904702448,-0.272095,-0.585571,-0.194641,0.738403
88904724961,-0.271851,-0.58606,-0.19458,0.738159
88904742896,-0.270996,-0.58667,-0.194397,0.737976
88904762428,-0.270447,-0.587097,-0.194336,0.737854
88904785492,-0.270325,-0.587463,-0.194336,0.73761
88904801960,-0.270081,-0.588013,-0.193909,0.737366
88904824553,-0.269531,-0.588501,-0.193359,0.737305
88904845574,-0.268921,-0.588989,-0.193054,0.737244
88904861967,-0.268677,-0.589294,-0.192993,0.737061
88904884497,-0.268555,-0.589539,-0.193054,0.736938
88904905575,-0.26825,-0.589905,-0.192749,0.736877
88904922011,-0.267639,-0.590332,-0.192261,0.736877
88904944849,-0.266785,-0.59082,-0.191711,0.736877
88904965764,-0.266357,-0.591187,-0.191284,0.736877
88904982049,-0.26593,-0.591553,-0.191101,0.736816
88905004588,-0.265808,-0.591736,-0.191101,0.736694
88905025741,-0.265991,-0.59198,-0.190796,0.73645
