timestamp,x,y,z
89020434299,1.0625,-0.875,0.0625
89020450552,0.5,-0.5625,-0.0625
89020465536,-0.3125,-0.25,0
89020486901,1.25,-0.3125,0.125
89020510493,2.5,-0.625,0.125
89020525553,1.8125,-0.625,0.0625
89020546991,0.9375,-0.75,0.0625
89020602630,2.3125,-0.5,-0.25
89020604876,2.5,-0.25,-0.3125
89020609088,2,-0.25,-0.75
89020631449,1.625,-0.5,-0.6875
89020646241,1.8125,-0.75,-0.375
89020666936,3.125,-0.6875,-0.25
89020704136,3.125,-0.125,-0.25
89020714368,2.6875,-0.0625,-0.4375
89020728140,1.8125,-0.25,-0.75
89020750632,1.75,-0.625,-1.3125
89020764840,2.1875,-0.3125,-1.6875
89020788787,2.25,-0.0625,-2
89020809818,2.1875,0,-1.9375
89020826452,2.25,-0.375,-1.875
89020848876,2.125,-0.625,-1.6875
89020870077,1.75,-1.0625,-1.75
89020886338,0.25,-0.8125,-1.75
89020908887,0.5,-0.4375,-1.8125
89020930099,1.125,-0.4375,-1.375
89020946351,1.9375,-0.3125,-0.875
89020968804,2.8125,-0.25,-0.25
89020989940,1.5625,-0.375,-0.125
89021006383,-0.5,-0.4375,-0.9375
89021028850,0.5625,-0.625,-1.9375
89021049920,1.875,-0.875,-3.125
89021066396,0.125,-1.3125,-3.625
89021088846,-4.625,-2.3125,-3.6875
89021110049,-6.4375,-3.0625,-3.8125
89021126461,-4.6875,-3.25,-3.3125
89021154843,-2.125,-3.125,-3.5625
89021169967,-1.125,-2.5625,-3.75
89021186317,-0.0625,-2.25,-3.4375
89021208817,-0.125,-2.5625,-2.8125
89021230079,-0.6875,-2.3125,-1.9375
89021246293,-0.3125,-2.0625,-1
89021268884,1.9375,-1.5,0.125
89021289897,5.375,-1.1875,0.375
89021306410,6.9375,-0.75,0.1875
89021328920,5.8125,-0.3125,0.375
89021350108,4.5,-0.125,-0.0625
89021366531,4.125,-0.25,-0.9375
89021388910,4.8125,-0.125,-1.5625
89021410730,4.875,-0.25,-1.875
89021433844,4.1875,-0.625,-1.9375
89021448898,2.4375,-0.625,-1.8125
89021471351,2.1875,-0.6875,-2.4375
89021486405,1.5,-0.9375,-2.4375
89021508867,-0.25,-0.6875,-1.4375
89021531366,-2.75,-0.4375,-0.125
89021545581,0.875,-0.125,0.9375
89021568754,5.625,0.3125,2
89021591276,3.8125,0.9375,3.125
89021606345,-1.625,0.625,5.375
