timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89259963953,61,5,-4,1,2,0,-3,-2
89259963953,0,-3,0,0,-2,-1,-5,2
89259964705,-13,-2,1,-3,-1,2,4,-10
89259964705,4,0,-3,-1,0,-1,-1,-2
89259965506,-15,0,-1,-1,-1,-2,-5,-14
89259965506,1,-1,-2,-3,-2,2,8,-6
89259968367,-6,-3,-4,0,-1,-1,-5,7
89259968367,9,1,-4,-1,2,0,-2,-9
89259976977,-6,0,4,0,-3,0,-11,-3
89259976977,-22,-6,-4,-2,-1,10,31,30
89259984129,35,14,9,4,0,-10,-32,-9
89259984129,-29,-8,-2,-2,-3,1,20,11
89259991898,-6,-4,-1,0,-3,-8,-15,15
89259991898,-43,-3,-2,-3,-1,0,8,-10
89260005472,18,-2,-7,-2,1,2,-10,41
89260005472,-19,3,6,-2,-2,2,13,-35
89260016937,3,-2,-2,-2,0,-4,8,6
89260016937,4,3,1,1,-1,-7,-17,0
89260029047,0,-3,-2,-1,-2,6,15,-1
89260029047,18,1,-1,0,-1,-4,-10,15
89260037053,-23,-1,-4,-2,-1,2,9,-4
89260037053,34,4,2,1,1,-5,-9,-5
89260050320,2,-3,0,0,0,0,3,13
89260050320,-3,0,0,1,-1,-1,-2,-2
89260092099,9,-2,-3,-3,-1,2,1,4
89260092099,3,0,-4,-2,-1,-4,-5,-3
89260092904,-2,-1,-1,-2,-2,-2,-2,-2
89260092904,3,-4,2,2,-1,3,-18,5
89260096625,-20,0,-1,0,2,-2,14,-1
89260096625,2,9,4,-1,-1,0,9,-5
89260097414,17,0,-4,-1,-1,0,-4,1
89260097414,3,-1,-1,-1,-2,0,0,6
89260102748,-3,0,-1,0,-1,-2,-10,-6
89260102748,-9,-4,0,-1,-2,0,-3,-1
89260110957,-8,-3,-2,0,-1,-1,1,1
89260110957,-6,2,-1,-1,-2,-3,3,-3
89260117768,-2,-1,0,-1,-3,-2,0,1
89260117768,5,1,2,0,-1,0,4,4
89260133434,1,1,0,-2,-2,-2,1,-7
89260133434,-6,-4,-4,-2,-1,-2,3,-5
89260140289,13,-1,1,-1,-2,-2,-2,12
89260140289,4,-2,-2,-2,0,3,-6,19
89260164099,-4,1,-1,0,-1,-5,-2,-3
89260164099,-8,0,1,0,-1,-5,-5,-9
89260165693,2,-4,-2,-1,0,-2,-1,-5
89260165693,-16,-6,-5,-3,-1,-1,-12,-8
89260177820,-13,0,1,-1,0,1,19,1
89260177820,1,0,-3,-4,-1,0,2,-5
89260186807,2,1,12,3,-2,-1,-6,9
89260186807,-5,-6,-21,-11,-2,0,3,-4
89260201779,7,-4,5,-9,-2,-4,-11,-12
89260201779,1,-3,-5,-2,-3,-2,2,5
89260203343,-4,-2,0,-3,0,0,3,-8
89260203343,0,1,6,3,-3,0,-1,-1
89260224343,8,0,-1,3,0,1,-2,5
89260224343,-11,-2,-2,-2,-2,0,-1,-4
89260225771,12,1,-1,0,-2,-2,-7,-5
89260225771,-5,-4,0,0,-2,-2,6,3
89260238005,11,4,-5,2,1,-1,-13,-18
89260238005,-4,-2,1,-1,-1,-2,8,1
89260246881,-12,-3,-3,-1,1,2,1,1
89260246881,3,1,4,-1,0,-3,2,-10
89260261769,7,-1,0,-3,-1,-2,-2,12
89260261769,-27,-1,2,0,0,2,-2,-3
89260263240,-10,-2,-12,-4,-3,-3,-3,1
89260263240,9,-2,2,1,-2,-3,-2,-1
89260284313,-2,-2,1,1,0,1,1,-1
89260284313,15,1,-3,-3,-2,-2,-3,4
89260285779,14,1,-4,-1,1,0,-1,2
89260285779,3,-2,-2,0,0,-1,-5,-3
89260306090,-18,-5,-2,-1,-1,1,3,6
89260306090,21,1,-1,1,2,1,4,20
89260306803,-12,1,3,-3,-2,1,-8,-23
89260306803,3,-1,-7,-5,0,-1,-3,8
89260321254,-10,-7,-3,-7,-6,-3,2,0
89260321254,5,-2,-13,-15,-5,-4,-10,-4
89260321724,-10,-1,2,2,1,-4,4,-4
89260321724,34,4,6,7,1,0,-6,4
89260343473,-57,-5,2,1,-1,3,7,-6
89260343473,7,0,5,6,0,-3,-3,-3
89260344261,14,2,3,-1,-3,-1,-8,-8
89260344261,-7,-4,-11,-7,-1,-2,-4,-9
89260357861,19,-1,4,10,-1,-1,-5,1
89260357861,2,1,5,3,-1,0,2,-3
