timestamp,x,y,z
89259780350,63.4375,-27.5625,54
89259803302,68.5,-25.75,40.9375
89259819138,65.875,-22.25,34.625
89259840470,56.9375,-20.125,29.25
89259863330,46,-20.5625,24.0625
89259879164,53.3125,-21,21.375
89259900701,68.0625,-20.9375,23.5625
89259924477,85.875,-20.9375,27.875
89259954801,93.6875,-17.125,26.75
89259963131,97.4375,-3.3125,16.625
89259976105,91.8125,8.1875,4.5
89259991148,63.75,1.0625,-9.625
89260014747,3.0625,-7,-8.5625
89260036302,-37.375,-5.0625,-9.875
89260090466,-43.0625,-3.25,-8.5
89260091294,-29,-4.1875,-8.4375
89260098275,2.9375,-3.875,-11.1875
89260111812,18.5,-0.8125,-15.6875
89260134235,6.5,1.5,-19.25
89260164886,-30.375,-1.0625,-20.8125
89260186006,-56.6875,-4.4375,-20.125
89260202506,-48.5625,-3.1875,-16.375
89260225033,-27.9375,-1,-12.25
89260245957,-0.0625,0,-11.125
89260262527,6,-0.0625,-7
89260285023,-0.25,0.375,-6.125
89260290509,-7.625,1.25,-5.5
89260313058,-12.6875,1.1875,-4.875
89260335446,-12.6875,0.875,-3.5625
89260350531,2.0625,0.625,-5.5
89260372856,6.125,0.1875,-3.875
89260395330,6.8125,-0.3125,-3.6875
89260410333,0.875,-0.5625,-3.3125
89260433050,-7,-0.5625,-2.875
89260455596,-6.75,-0.5,-3.625
89260470378,-5.75,-0.25,-2.5
89260493005,-4.875,-0.1875,-1.5
89260515483,-4.4375,0.1875,-1.625
89260530581,-3.3125,0.3125,-0.875
89260552952,1.25,0.4375,-0.5625
89260575548,0.6875,0.8125,-0.1875
89260590529,-5.125,1,0.875
89260613060,-8.5,1,1.1875
89260635399,-7.625,0.9375,1.1875
89260650509,-4.25,1.125,1.4375
89260672875,-0.6875,1.625,1.6875
89260695495,-0.4375,1.3125,1.5
89260710414,-2.5625,0.8125,0.875
89260732897,-3.375,0.625,0
89260755632,-1.6875,1.0625,-0.625
89260770589,1.25,1.1875,-0.875
89260792946,1,1.1875,-1.0625
89260815603,-1.4375,0.8125,-1.3125
89260830274,-2.125,0.5,-1.4375
89260852747,-1.375,0.4375,-1.375
89260875655,-2.5625,0.3125,-1.5
89260890475,-1.5,-0.0625,-1.5625
89260912985,1.3125,0.3125,-1.375
89260935378,-0.25,0.625,-1.25
89260950317,-2.625,0.875,-0.5
89260973133,-1.625,1.0625,0.375
89260995374,-1.9375,0.8125,1.25
89261010530,-3.3125,0.1875,1.8125
89261032929,-5.0625,-0.25,2
89261055408,-4.375,-0.5625,1.5
89261073307,-3.5625,-0.5,1.0625
89261092884,-2.4375,-1.125,0.125
89261115290,4,-1.375,-0.5625
89261131737,6,-0.8125,-1
89261152795,2.4375,-1.5625,0.1875
89261175371,-0.6875,-3.5625,4.5
89261193283,0.5625,-6.375,10.5
89261212989,26.375,-8.5625,13.3125
89261235430,54.4375,-6.4375,16.3125
89261251853,59.75,-2.875,15.9375
89261272881,40.125,-3.6875,22.4375
89261295304,-33.5,-6.4375,38.8125
89261311813,-67.9375,-1.75,50.75
89261333029,-13.6875,-4.6875,86.1875
89261355548,60.9375,11.375,126.875
89261373448,97.1875,33.125,159.438
89261392935,103.625,49.6875,203.812
89261415574,132.875,63,247.188
89261433570,176.75,79.9375,267.562
89261452969,198.5,105.125,282.25
89261475546,176.312,133.188,295.875
89261493265,150,148.375,314.125
89261513105,142.375,154.125,329.188
89261535576,176.812,146.562,327.312
89261553580,192.375,146.188,302.312
89261573009,182,152,270.438
89261595319,144.375,158.562,243.938
89261613268,127.25,137.188,218.438
89261632819,97.75,108.375,184.75
89261655353,61.4375,75.75,152.188
89261673284,57.375,44.8125,117.312
89261692857,60.0625,10.0625,86.1875
89261715335,45.625,-29.4375,49.375
89261733270,3.625,-63.625,21.125
89261752787,-27,-90.3125,7.8125
89261775308,-33.3125,-113.5,-8.5
89261793292,-14.875,-134.25,-31.75
89261812827,-8.5,-146.812,-53.125
89261835321,-7.5,-149.062,-65.8125
89261853285,-11.625,-147.312,-71.875
89261872831,-24.6875,-130.688,-68.4375
89261895341,-5.125,-28.3125,-46.125
89261913198,21.4375,57.875,21.5
89261932832,-38.25,39.3125,48
89261955391,-90.375,29,11.25
89261973305,10.8125,62.75,38.3125
89261994331,100.812,82.375,57.9375
89262015272,68.8125,94.625,61.0625
89262033132,23.9375,103.938,58.8125
89262054530,15.0625,102.125,58.25
89262075576,14.9375,88.8125,52.5
89262100778,30.375,61.3125,40.1875
89262114344,34.6875,27.1875,24.5
89262135299,25.9375,-18.75,6.6875
89262153168,8,-68.8125,-21.1875
89262174302,-23.8125,-117,-56.5
89262195337,-36.625,-147.688,-76.125
89262213293,-43.3125,-151.375,-90.4375
89262234339,-55.6875,-142.75,-100.688
89262255384,-27.125,-129.5,-89.3125
89262273209,-25,-50.875,-61.4375
89262303261,64.6875,85.875,14.0625
89262315383,-44.8125,49.1875,49
89262333204,-143.562,27.625,3.75
89262356401,-43.4375,42.6875,4.4375
89262375290,96,61,26
89262393314,48.8125,59.4375,15.875
89262415939,-34.8125,53.875,-0.1875
89262435554,-60.375,51.9375,-12.5
89262452456,-63.125,49.1875,-32.3125
89262475009,-71.4375,43.0625,-60.625
89262496176,-83.5,39,-88.0625
89262512431,-92.3125,19.25,-113.938
89262534897,-117.688,-24.5625,-159.562
89262556040,-76.5625,-62.4375,-203.188
89262578567,-40.875,-86.1875,-230.812
89262602642,-37.3125,-112.125,-262.25
89262616107,-82.75,-126.562,-270
89262632453,-128.562,-124.75,-264.938
89262655172,-158.812,-132.438,-271.938
89262676104,-172.25,-128.062,-291
89262692468,-144.5,-110.625,-297
89262715007,-105.312,-90.125,-278.562
89262736159,-61.1875,-80.875,-249.25
89262752657,-65.25,-67.25,-217.625
89262774921,-98.75,-49.4375,-201.312
89262796142,-106.688,-39.375,-181.688
89262812419,-117.625,-38.9375,-161.062
89262835021,-122.938,-41.6875,-136.375
89262856262,-97.8125,-36.9375,-115.625
89262872426,-62.6875,-37.75,-87.625
89262895025,-17.375,-41.125,-61.875
89262916226,-7.0625,-43.6875,-42.0625
89262938984,-5.5,-43.0625,-28.0625
89262953068,-4.375,-42.0625,-16
89262975348,-3.4375,-40.5,-6.625
89262997786,3.9375,-39.25,-1.5
89263012813,-0.4375,-38.4375,8.375
89263035422,-8.4375,-25.0625,9.5625
89263051819,-15.125,3.3125,-8.625
89263073053,-57.8125,19.8125,-22.75
89263095335,-87.0625,8.6875,-21.875
89263111803,-49.8125,-0.125,-12.1875
89263134238,-4.6875,4.0625,-3.6875
89263155562,35,5.0625,4
89263171724,65.4375,0.4375,7.375
89263194337,67.9375,0.125,4.9375
89263215551,43.4375,0.4375,0.3125
89263231835,10.875,-1,-3.4375
89263252944,-11.6875,1,-6.4375
89263275592,-19.5,-3.5,0.8125
89263291738,-12.0625,-2,-0.625
89263314344,-14,2.125,1
89263332193,-9.625,-0.5,-0.75
89263351838,-9.5625,0.0625,-0.6875
89263374472,-3.625,-0.375,-0.625
89263389414,1.875,-0.75,0.125
89263411777,2.875,-0.6875,0.4375
89263434355,0.625,-0.1875,1.25
89263449267,-4.4375,0.25,1.25
89263471720,-5.125,0.4375,1.125
89263494218,-5.25,0,1
89263510748,-2.5,0.125,0.875
89263531813,0.125,0.5,1.25
89263554429,-1.375,0.5,1.4375
89263570768,-4.9375,1.125,1.8125
89263591800,-5.5625,1.125,1.9375
89263614312,-6.125,0.8125,2.3125
89263630702,-8.6875,0.8125,2.5625
89263651780,-5,0.5625,1.5625
89263674331,1.9375,0.6875,1.125
89263696032,7.75,0.5625,-0.25
89263710991,4.6875,0.0625,-0.1875
89263733528,-1.4375,-0.5,0.4375
89263755997,-6.625,-0.875,1
89263771055,-8,-0.5,1
89263793519,-5.375,-0.4375,0.8125
89263815996,-2.8125,-0.5,0.75
89263838453,-1.25,-0.3125,0
89263854914,-2.5625,-0.5,0.4375
89263877468,-3.3125,-0.375,1
89263898437,-2.8125,-0.25,1.625
89263914877,-2.6875,-0.4375,2.375
89263937432,-1.5625,-0.25,2.3125
89263965931,-3.9375,-0.1875,1.9375
89263974965,-6.6875,-0.0625,1.3125
89263997395,-6,0.0625,1
89264018499,-2.875,0.375,1.25
89264034942,-0.875,0.1875,1.1875
89264057461,-0.5625,0.25,1.1875
89264078448,-0.75,0.0625,1.25
89264094965,-2.9375,-0.125,1
89264117381,-2.75,0.1875,0.9375
89264138469,-3,0,0.5
89264154956,-1.5,-0.0625,0.625
89264177426,-0.6875,-0.0625,0.8125
89264199886,-0.6875,-0.0625,0.3125
89264214860,-1.25,-0.1875,0.6875
89264244851,0.125,-0.25,0.1875
89264259844,-1.1875,-0.1875,-0.5
89264275128,-1.5,0.3125,-0.3125
89264297500,-2.4375,0.125,-0.1875
89264319950,-1.8125,0.125,0.4375
89264335035,-0.6875,-0.0625,0.75
89264357447,0.0625,-0.125,0.5
89264379993,2.1875,0.125,0.25
89264394290,2.25,0.125,-0.25
89264417461,-0.4375,-0.25,-0.3125
89264440017,-1.8125,-0.25,0.4375
89264454366,-2.5,-0.5,0.3125
89264477449,0.0625,-0.375,0.9375
89264499898,2.9375,-0.125,0.6875
89264514157,1.125,-0.25,0.6875
89264545184,-1.625,-0.3125,1
89264559961,-2.875,-0.5,1.4375
89264574416,-2.6875,-0.4375,1.9375
89264597416,-0.5,-0.5,2
89264620206,0.5625,-0.5,1.75
89264634374,0.3125,-0.125,1.375
89264657590,-0.3125,-0.1875,1.375
89264680024,-0.625,-0.3125,1.625
89264701108,0.25,-0.4375,1.625
89264718023,0.4375,-0.125,2
89264739864,0.75,0.25,1.9375
89264760946,0.625,0.1875,1.875
89264777496,-0.0625,0.0625,1.9375
89264800503,-1.3125,0.125,2.25
89264821176,-1.4375,0.1875,2.1875
