timestamp,x,y,z
89288550144,0.957031,-0.176758,0.166504
89288572643,0.95166,-0.183105,0.165039
89288596495,0.957031,-0.186523,0.162109
89288611560,0.959473,-0.189941,0.167969
89288632844,0.955078,-0.193848,0.160156
89288656514,0.947754,-0.19043,0.155273
89288671534,0.94873,-0.200195,0.167969
89288692977,0.946289,-0.199707,0.164062
89288755542,0.951172,-0.203125,0.166992
89288756325,0.944824,-0.201172,0.166992
89288757217,0.937988,-0.197266,0.161133
89288769041,0.946777,-0.202148,0.162598
89288786699,0.950195,-0.208496,0.158203
89288805290,0.942383,-0.203613,0.160156
89288823354,0.937012,-0.192383,0.156738
89288857692,0.936523,-0.19873,0.153809
89288868580,0.942383,-0.203613,0.151855
89288881554,0.939453,-0.219238,0.152344
89288902641,0.948242,-0.218262,0.150879
89288925115,0.945312,-0.193359,0.151855
89288943075,0.952148,-0.169922,0.155762
89288962643,0.955566,-0.17334,0.147461
89288985156,0.939941,-0.172363,0.129883
89289003196,0.94043,-0.180176,0.133789
89289022734,0.941895,-0.197266,0.123047
89289045262,0.945801,-0.20752,0.135254
89289067914,0.94873,-0.192871,0.143066
89289082866,0.942871,-0.181152,0.152832
89289105301,0.936523,-0.162598,0.160156
89289127774,0.933105,-0.162109,0.166016
89289144087,0.93457,-0.185547,0.15625
89289165129,0.947754,-0.193848,0.14209
89289187851,0.955078,-0.200684,0.136719
89289204235,0.95459,-0.19873,0.131348
89289225180,0.95459,-0.186035,0.131348
89289243070,0.950195,-0.171387,0.132324
89289264103,0.948242,-0.157715,0.137207
89289285185,0.956055,-0.158203,0.142578
89289303185,0.95752,-0.152344,0.135254
89289324119,0.950684,-0.146484,0.141113
89289345136,0.94873,-0.156738,0.136719
89289362962,0.943848,-0.149414,0.131836
89289384013,0.939453,-0.163574,0.13623
89289405266,0.946777,-0.183594,0.143066
89289423150,0.955078,-0.194336,0.161621
89289444143,0.970215,-0.193359,0.158691
89289465372,0.972168,-0.206055,0.158203
89289483112,0.978516,-0.212891,0.154785
89289504219,0.970703,-0.211914,0.155273
89289525295,0.94043,-0.181641,0.163086
89289543172,0.925781,-0.171875,0.161133
89289565643,0.932617,-0.176758,0.15918
89289585354,0.936523,-0.167969,0.152344
89289610573,0.936035,-0.160156,0.141602
89289625763,0.928223,-0.145508,0.141113
89289645398,0.92627,-0.152832,0.138672
89289663129,0.928223,-0.165527,0.132812
89289685711,0.924316,-0.163574,0.134277
89289705418,0.953125,-0.163086,0.128906
89289723149,0.963867,-0.174316,0.143555
89289745853,0.960938,-0.183105,0.156738
89289765331,0.951172,-0.183105,0.161621
89289783284,0.940918,-0.189941,0.171875
89289805798,0.94873,-0.20459,0.178711
89289825225,0.962402,-0.208984,0.173828
89289848380,0.935547,-0.190918,0.169922
89289864774,0.94043,-0.178711,0.162598
89289887327,0.943359,-0.180176,0.14209
89289908404,0.9375,-0.179199,0.141602
89289924873,0.929688,-0.17334,0.133301
89289947304,0.944824,-0.16748,0.124023
89289968393,0.960938,-0.161621,0.123047
89289984776,0.960938,-0.13916,0.12793
89290007307,0.934082,-0.123535,0.157715
89290028332,0.914062,-0.164551,0.252441
89290044723,0.905762,-0.230957,0.305664
89290067300,0.925781,-0.260254,0.299805
89290089964,0.993164,-0.23877,0.284668
89290104210,1.00879,-0.149902,0.399902
89290127443,1.06836,-0.166016,0.562988
89290149750,1.14893,-0.265137,0.54248
89290164208,1.29736,-0.61377,0.412598
89290187272,1.38135,-0.853027,0.539551
89290209877,1.34912,-0.838379,0.484375
89290224087,1.30664,-0.933594,0.613281
89290247382,1.15332,-1.06494,0.741211
89290269975,0.868652,-1.04932,0.687012
89290284305,0.614258,-1.06055,0.662109
89290307401,0.434082,-1.10596,0.674805
89290337282,0.273926,-1.18066,0.658691
89290351059,0.173828,-1.04639,0.577637
89290367533,0.140625,-0.845703,0.511719
89290389881,0.154785,-0.781738,0.483887
89290411005,0.138672,-0.790039,0.400391
89290427318,0.00390625,-0.614258,0.397949
89290449798,-0.0449219,-0.430176,0.36084
89290470835,-0.019043,-0.331543,0.332031
89290487341,-0.0209961,-0.387695,0.327148
89290523959,-0.0751953,-0.378906,0.287109
89290530773,-0.129883,-0.224609,0.292969
89290547531,-0.177734,-0.157715,0.279297
89290577440,-0.191895,-0.171875,0.298828
89290592303,-0.209473,-0.197266,0.345703
89290607683,-0.241211,-0.19043,0.391113
89290629820,-0.299805,-0.185547,0.422363
89290651042,-0.344727,-0.178223,0.448242
89290667368,-0.30127,-0.231934,0.519043
89290689913,-0.25293,-0.227539,0.621582
89290710888,-0.193848,-0.118652,0.734375
89290727430,-0.0732422,-0.248047,0.814453
89290749961,-0.027832,-0.341797,0.954102
89290770778,0.144531,-0.470703,1.12354
89290787267,0.302246,-0.41748,1.23779
89290809817,0.581543,-0.0893555,1.25
89290830822,1.47559,-1.1582,2.05273
89290847243,-0.264648,-0.501465,1.6123
89290869821,-0.76709,-0.438477,1.55811
89290891046,0.190918,-1.09814,1.41455
89290906650,0.263672,-0.75293,1.16699
89290929862,0.015625,-0.257324,1.05518
89290950802,-0.0429688,-0.375,0.89502
