timestamp,x,y,z,w
89288550144,-0.379211,-0.524048,-0.327515,0.688721
89288572643,-0.379517,-0.523926,-0.326965,0.688904
89288596495,-0.379944,-0.523743,-0.326416,0.689026
89288611560,-0.380371,-0.523499,-0.325989,0.689209
89288632844,-0.380859,-0.523315,-0.3255,0.689331
89288656514,-0.381287,-0.523132,-0.325073,0.689392
89288671534,-0.381653,-0.52301,-0.324646,0.689514
89288692977,-0.381714,-0.52301,-0.324158,0.689758
89288755542,-0.38147,-0.523193,-0.323547,0.690002
89288756325,-0.380981,-0.523682,-0.322754,0.690308
89288757217,-0.380249,-0.524353,-0.321777,0.690674
89288769041,-0.379395,-0.525085,-0.320679,0.69104
89288786699,-0.37854,-0.526001,-0.319275,0.691467
89288805290,-0.37738,-0.527039,-0.317627,0.692078
89288823354,-0.376221,-0.528137,-0.31604,0.692627
89288857692,-0.375427,-0.529114,-0.314575,0.692932
89288868580,-0.374939,-0.53009,-0.313293,0.693054
89288881554,-0.374512,-0.530884,-0.31189,0.693298
89288902641,-0.374268,-0.531433,-0.310608,0.693604
89288925115,-0.373047,-0.532288,-0.309265,0.694214
89288943075,-0.371582,-0.533142,-0.308411,0.694702
89288962643,-0.370483,-0.533813,-0.307556,0.695129
89288985156,-0.369873,-0.534424,-0.306702,0.695374
89289003196,-0.369263,-0.535156,-0.30542,0.695679
89289022734,-0.368469,-0.536316,-0.303589,0.696045
89289045262,-0.367004,-0.537659,-0.301086,0.696838
89289067914,-0.364868,-0.539368,-0.298096,0.697998
89289082866,-0.362122,-0.541077,-0.294983,0.699341
89289105301,-0.359863,-0.542419,-0.292664,0.7005
89289127774,-0.358704,-0.54303,-0.291504,0.70105
89289144087,-0.358276,-0.543335,-0.290894,0.701294
89289165129,-0.358154,-0.543579,-0.290405,0.701355
89289187851,-0.357788,-0.544006,-0.289734,0.701538
89289204235,-0.356873,-0.544617,-0.288513,0.702026
89289225180,-0.355286,-0.545593,-0.286987,0.702698
89289243070,-0.353699,-0.546448,-0.285583,0.703369
89289264103,-0.352539,-0.54718,-0.284729,0.703796
89289285185,-0.351501,-0.547668,-0.284241,0.704102
89289303185,-0.350769,-0.548096,-0.284119,0.704163
89289324119,-0.350708,-0.548157,-0.28418,0.704163
89289345136,-0.350952,-0.548218,-0.284851,0.703674
89289362962,-0.35144,-0.548157,-0.28595,0.703064
89289384013,-0.352051,-0.547913,-0.287048,0.702515
89289405266,-0.352905,-0.547546,-0.288147,0.701904
89289423150,-0.35376,-0.546936,-0.289429,0.701416
89289444143,-0.354553,-0.546448,-0.290894,0.700806
89289465372,-0.355225,-0.546082,-0.292236,0.700195
89289483112,-0.355591,-0.545898,-0.293335,0.699646
89289504219,-0.355103,-0.546143,-0.293762,0.699585
89289525295,-0.353943,-0.546631,-0.293762,0.699768
89289543172,-0.352844,-0.547058,-0.29364,0.700012
89289565643,-0.352051,-0.547363,-0.293396,0.700317
89289585354,-0.350891,-0.547791,-0.292786,0.700806
89289610573,-0.349304,-0.548401,-0.291748,0.701538
89289625763,-0.348022,-0.54895,-0.291077,0.702026
89289645398,-0.347656,-0.549194,-0.290771,0.702148
89289663129,-0.347656,-0.549194,-0.29071,0.702148
89289685711,-0.347961,-0.549072,-0.290833,0.702087
89289705418,-0.34845,-0.548828,-0.291077,0.701904
89289723149,-0.349121,-0.548462,-0.29126,0.701782
89289745853,-0.34967,-0.548035,-0.291321,0.701782
89289765331,-0.350159,-0.547729,-0.291382,0.701782
89289783284,-0.350647,-0.547241,-0.291443,0.701904
89289805798,-0.351257,-0.546692,-0.291687,0.701965
89289825225,-0.351257,-0.54657,-0.291626,0.702026
89289848380,-0.350891,-0.546509,-0.29126,0.702393
89289864774,-0.350403,-0.546692,-0.290833,0.702698
89289887327,-0.350159,-0.546875,-0.290222,0.702942
89289908404,-0.349792,-0.547058,-0.289429,0.703308
89289924873,-0.349548,-0.547241,-0.288574,0.703613
89289947304,-0.349365,-0.547485,-0.287781,0.703857
89289968393,-0.348816,-0.547974,-0.286804,0.704163
89289984776,-0.348022,-0.548584,-0.285828,0.704468
89290007307,-0.347595,-0.548706,-0.2854,0.704712
89290028332,-0.348022,-0.547668,-0.285217,0.705444
89290044723,-0.348999,-0.545898,-0.28363,0.70697
89290067300,-0.348755,-0.545105,-0.279419,0.709351
89290089964,-0.345886,-0.545715,-0.271057,0.713501
89290104210,-0.343445,-0.543701,-0.262634,0.71936
89290127443,-0.344788,-0.538513,-0.254639,0.725464
89290149750,-0.351868,-0.531067,-0.243652,0.731323
89290164208,-0.360229,-0.521912,-0.22229,0.74054
89290187272,-0.361938,-0.508545,-0.190247,0.757751
89290209877,-0.360046,-0.490173,-0.149658,0.779541
89290224087,-0.356445,-0.46521,-0.101196,0.803894
89290247382,-0.353271,-0.433167,-0.0474243,0.82782
89290269975,-0.350586,-0.394897,0.00714111,0.849182
89290284305,-0.348572,-0.352112,0.0601807,0.866516
89290307401,-0.345703,-0.306152,0.112244,0.879883
89290337282,-0.338074,-0.258484,0.163757,0.889954
89290351059,-0.322998,-0.209961,0.212158,0.898071
89290367533,-0.303955,-0.162048,0.254028,0.903748
89290389881,-0.287964,-0.115967,0.288086,0.905884
89290411005,-0.276855,-0.0715332,0.318054,0.90387
89290427318,-0.259644,-0.0271606,0.343994,0.901917
