timestamp,roll,pitch,yaw
89373719688,-0.757723,-1.33668,-0.415691
89373734664,-0.7614,-1.33625,-0.411552
89373758515,-0.761814,-1.33639,-0.411091
89373779909,-0.7631,-1.33655,-0.411185
89373794844,-0.763939,-1.33705,-0.412401
89373818571,-0.764495,-1.33723,-0.413219
89373839874,-0.76537,-1.33806,-0.413855
89373854953,-0.763792,-1.33806,-0.415538
89373909687,-0.761032,-1.33863,-0.419045
89373911370,-0.758446,-1.33914,-0.422659
89373919255,-0.757785,-1.33897,-0.424265
89373939159,-0.757496,-1.33906,-0.425531
89373960310,-0.758241,-1.33904,-0.424801
89373985588,-0.757112,-1.33896,-0.425372
89374012207,-0.757112,-1.33896,-0.425372
89374022316,-0.758103,-1.33851,-0.424572
89374036116,-0.758103,-1.33851,-0.424572
89374057155,-0.759423,-1.33885,-0.422443
89374079733,-0.760702,-1.33941,-0.419891
89374097591,-0.760816,-1.34013,-0.418567
89374117219,-0.759858,-1.34127,-0.419335
89374139656,-0.759055,-1.34215,-0.420242
89374157573,-0.760648,-1.34268,-0.418601
89374177204,-0.76264,-1.34358,-0.416056
89374199672,-0.766024,-1.34499,-0.411898
89374217584,-0.76992,-1.34719,-0.407781
89374237198,-0.775083,-1.3499,-0.403566
89374259688,-0.780901,-1.35294,-0.400194
89374285114,-0.785993,-1.35555,-0.397542
89374297210,-0.790623,-1.35762,-0.393886
89374322562,-0.796972,-1.35886,-0.387239
89374337589,-0.803336,-1.3599,-0.379059
89374358588,-0.808169,-1.36064,-0.371229
89374379649,-0.808955,-1.36089,-0.367578
89374397620,-0.807884,-1.36025,-0.365718
89374418670,-0.807264,-1.36025,-0.365547
89374439683,-0.807854,-1.35983,-0.366076
89374457625,-0.807343,-1.35921,-0.368437
89374478607,-0.80561,-1.35852,-0.371476
89374499617,-0.804835,-1.35773,-0.37337
89374517506,-0.806543,-1.35676,-0.372299
89374538691,-0.808715,-1.3567,-0.370948
89374559642,-0.809085,-1.3566,-0.370058
89374577570,-0.809417,-1.35611,-0.368183
89374598588,-0.809296,-1.35666,-0.367134
89374619609,-0.809414,-1.35738,-0.365669
89374637559,-0.808027,-1.35843,-0.365114
89374658609,-0.806149,-1.35881,-0.363962
89374679679,-0.803452,-1.35856,-0.364857
89374697550,-0.798618,-1.35818,-0.367874
89374726220,-0.793102,-1.35687,-0.37213
89374739628,-0.790664,-1.35585,-0.375155
89374757700,-0.788009,-1.35395,-0.379927
89374778823,-0.787,-1.35193,-0.384574
89374799966,-0.790363,-1.3501,-0.386083
89374817601,-0.79597,-1.34803,-0.385607
89374840107,-0.799811,-1.34691,-0.385794
89374859904,-0.798868,-1.34594,-0.388362
89374877704,-0.796838,-1.34664,-0.392804
89374900171,-0.794681,-1.3464,-0.395802
89374919629,-0.795268,-1.34639,-0.396006
89374937637,-0.801822,-1.34517,-0.389824
89374960087,-0.810007,-1.34316,-0.38047
89374979736,-0.81714,-1.34123,-0.371734
89375002826,-0.822207,-1.33695,-0.362668
89375019355,-0.835795,-1.32993,-0.345154
89375041830,-0.864342,-1.31881,-0.315856
89375062904,-0.912396,-1.29958,-0.270696
89375079340,-0.982515,-1.26834,-0.208275
89375101856,-1.05708,-1.22442,-0.145402
89375122868,-1.11618,-1.16415,-0.0851517
