timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89429712290,-4,-3,-1,1,1,-1,-2,-3
89429712290,-10,-2,-3,-1,-1,-3,-4,-6
89429716287,13,1,2,-1,-3,1,-1,1
89429716287,-1,-3,-3,-2,-2,-2,-2,0
89429717118,1,1,-3,0,-3,-3,-2,-2
89429717118,0,-1,1,-1,-1,-1,0,-1
89429717904,-4,-1,0,-2,0,1,0,0
89429717904,-1,0,-3,0,-1,-2,-1,-3
89429723560,4,2,-3,-3,-1,-3,-1,-1
89429723560,-2,-1,1,-2,-2,1,-1,2
89429730913,-3,-2,-2,-1,0,-2,-2,-4
89429730913,2,-3,-1,-2,-2,-2,-1,8
89429744903,-4,-3,2,-3,0,-1,-2,-11
89429744903,2,-2,-2,1,-2,-1,-1,6
89429751968,-2,0,-4,2,1,-2,-4,-16
89429751968,-3,-2,0,-2,0,0,0,-3
89429763443,2,-1,1,-1,0,-1,3,3
89429763443,-7,-1,-2,-1,-1,-1,-1,-6
89429783386,0,-1,-1,-2,-2,-1,-1,3
89429783386,15,1,-1,0,-1,-1,0,6
89429784984,-13,-2,-2,-1,-1,0,-1,-4
89429784984,12,0,-3,-1,-1,-2,-3,-1
89429830302,-1,0,0,1,0,-1,-3,-4
89429830302,2,-1,-3,-1,-1,-3,-1,-4
89429830997,-5,-3,0,-1,-3,1,0,3
89429830997,5,-1,-3,-1,-1,-1,0,-1
89429831895,-6,-2,-2,-2,-1,-1,-2,-3
89429831895,-1,-2,1,-1,-1,0,-2,-1
89429834320,-8,-3,-2,1,0,-1,-1,8
89429834320,14,3,-3,0,-1,-3,1,-11
89429843280,-1,-1,2,0,-3,0,1,5
89429843280,-7,-1,2,-1,-1,1,-1,-1
89429849335,15,2,-2,-1,1,-2,-2,-3
89429849335,-10,-2,-1,-4,-1,-1,-2,0
89429864338,1,-2,1,0,-2,1,1,3
89429864338,0,-1,-4,-1,0,-2,1,5
89429871750,1,-1,-2,0,-2,-2,-2,-17
89429871750,-7,-2,2,-1,0,0,-1,2
89429880808,3,-2,-3,-2,0,-2,-1,-4
89429880808,0,0,-4,0,-3,-2,0,6
89429902230,-3,0,0,-1,-2,-1,-2,2
89429902230,-18,-6,-2,-1,-2,-1,-3,-7
89429910767,-1,1,-2,-3,-1,0,0,-3
89429910767,-1,-1,-2,-1,-1,-1,-2,-3
89429917491,-2,-1,1,-2,0,0,1,-1
89429917491,1,-1,-1,-2,-1,-2,-2,4
89429924336,-3,-1,0,-1,-2,-1,-4,-2
89429924336,-4,1,2,-1,0,-2,0,-4
89429940611,-5,-2,-2,-1,-1,0,1,1
89429940611,13,2,0,-1,-3,-2,-2,3
89429942261,1,-1,-2,-2,-1,-1,-1,8
89429942261,5,-1,-2,-1,-2,-1,-2,10
89429963152,0,0,0,0,-3,-2,-3,-6
89429963152,-6,-3,-1,-1,-1,0,-1,-6
89429964762,-3,-1,-1,-1,0,-1,-1,-2
89429964762,-2,-1,-1,-1,-1,0,-1,-5
89429977492,-3,0,-1,-1,-1,-1,-1,1
89429977492,2,-1,-2,-1,-1,-2,-1,2
89429984306,0,-1,-1,-1,-2,-2,-2,-2
89429984306,-2,-2,-2,-2,-2,0,-4,-4
89430000649,1,-3,-1,-1,-2,-2,-2,-4
89430000649,-1,-1,0,0,0,-1,-1,-2
89430002289,0,-1,-3,-2,-2,-2,1,-3
89430002289,-2,-1,-1,-2,-1,-1,0,-4
89430023174,1,1,0,-3,-1,-1,-2,1
89430023174,-1,-1,1,-1,-2,-1,-2,0
89430024765,-4,-1,-1,-1,0,0,0,-4
89430024765,0,-2,-1,-1,-1,1,1,-3
89430037726,1,0,-1,-1,-1,-2,-2,0
89430037726,-4,0,-3,-2,-2,-1,-1,0
89430044553,4,0,0,-1,-1,-1,-1,-3
89430044553,11,-1,-4,-1,-2,-1,1,18
89430060829,-22,-2,-1,-2,0,0,-4,-38
89430060829,-23,-1,1,0,0,-2,-1,-1
89430062369,30,1,1,-1,-1,0,0,5
89430062369,-1,1,0,-2,0,-2,0,3
89430083419,8,-2,-2,-1,-1,-1,-1,2
89430083419,-5,-4,-3,-1,-1,-1,0,-9
89430084814,-12,-1,-1,-1,0,-2,-4,-3
89430084814,-7,-3,-1,-1,-2,0,-2,-6
89430097427,4,-1,-3,-3,-2,-1,-1,7
89430097427,-1,0,-1,-2,-1,0,1,6
89430104499,-7,-3,-2,0,-1,-1,-1,-2
89430104499,8,0,-2,0,-1,-2,-2,-7
