timestamp,x,y,z
89429549300,1.4375,-0.6875,-0.6875
89429571998,-0.0625,-0.3125,-1
89429595648,-1.1875,-0.25,-1.1875
89429610767,-0.875,0,-0.9375
89429631972,0.75,0.0625,-1
89429655678,2.0625,0.25,-0.625
89429709924,2.1875,0.5,-0.1875
89429710581,1.0625,0.6875,0
89429711435,0.25,0.625,0.0625
89429722678,0.375,0.5625,0.375
89429737161,1.5625,0.5,0.25
89429761375,1.75,0.5,0.25
89429784238,1.6875,0.75,0.125
89429819350,1.0625,0.6875,-0.0625
89429829481,-0.25,0.5,-0.1875
89429842585,-1,0.25,-0.1875
89429856944,-0.5625,0.125,-0.25
89429879997,0.375,0.0625,-0.125
89429910000,2.5625,-0.25,0
89429918305,4,-1.25,-0.1875
89429941428,4.125,-4.875,-3.3125
89429963936,3.9375,-8.0625,-6.75
89429978273,4,-8.6875,-10
89430001411,1.3125,-8.5625,-12.3125
89430023917,-4.5625,-8.25,-13.9375
89430038412,-7.0625,-7.75,-13.625
89430061605,-1.875,-6.3125,-12
89430083973,4.6875,-5.0625,-9.4375
89430098250,7.5,-4,-5.875
89430121531,8.9375,-3.9375,-2.5
89430143974,8.9375,-3.75,0.6875
89430158348,10.375,-2.9375,2.125
89430187443,10.625,-1.875,2.875
89430203906,9.5,-0.875,2.9375
89430225171,7.4375,-0.25,2.8125
89430241511,5.0625,0.6875,2.9375
89430263984,2.75,0.875,2.375
89430285217,-1.125,0.8125,1.75
89430301458,-3.875,0.5625,0.5625
89430324021,-4.0625,0.625,-0.6875
89430344990,-3.1875,0.625,-1.25
89430361475,-3.5,1,-1.375
89430383990,-3.5,0.8125,-1.125
89430405040,-3.375,0.125,-1.1875
89430421536,-3.3125,-0.25,-1.1875
89430443992,-2.375,0.0625,-1.3125
89430465232,-1.5,0.0625,-0.9375
89430481608,-0.75,0.1875,-0.375
89430504040,-1.5,0.25,0.25
89430525243,-2.9375,0.5625,0.875
89430541518,-4.75,0.5,1.25
89430563937,-4.4375,0.1875,0.625
89430585202,-2.3125,-0.25,0.25
89430601485,-0.625,-0.3125,-0.375
89430624017,-0.5,0.0625,-0.6875
89430646525,-2.25,0.1875,-0.5625
89430660802,-3.625,0.0625,-0.1875
89430684010,-2.375,0,0.375
89430706425,-0.4375,0.1875,0.9375
89430721513,0.5625,0.375,0.625
89430744411,1.3125,0.125,-0.25
89430766407,3.1875,0,-0.625
89430780811,3.375,-0.5,-1.4375
89430810144,2.75,-1.3125,-2.8125
89430826485,2.75,-0.9375,-2.875
89430848942,3.375,-0.25,-2.5625
89430870038,4.75,0.4375,-1.125
89430886525,6.625,0.4375,0.625
89430908984,7.375,0.125,1.8125
89430930059,4.875,-0.4375,2.625
89430946462,2.25,0.125,3.125
89430969010,2,0.625,3.4375
89430990049,2.625,0.875,3.4375
89431006434,3.5,0.25,3.4375
89431029026,3.3125,-0.3125,2.8125
89431050265,3.0625,-0.5,1.875
89431066671,1.8125,-0.3125,0.3125
89431089069,0.875,-0.0625,-0.6875
89431109970,0.1875,0.5,-1.1875
89431126517,-1.9375,0.75,-0.8125
89431148987,-2.375,0.5,-0.3125
89431171536,-2.0625,0.5,0
89431186522,-0.6875,0.625,0.5625
89431209048,0.4375,0.625,0.75
89431231714,-0.125,0.6875,0.5625
89431245878,-1.75,-0.6875,0.0625
89431268994,-3.8125,-1.8125,-1.9375
89431291272,-4.9375,-1.3125,-2.6875
89431305907,-5.875,0.0625,-3.3125
89431329062,-6.0625,-0.5,-2.1875
89431351531,-3.3125,-0.875,-0.6875
89431365811,0.9375,-1.1875,-0.25
89431388931,2.1875,-0.6875,0.8125
89431411513,1.1875,-0.5,1.1875
89431426007,-0.6875,-0.75,1.75
89431449002,0.125,0.625,3
89431471498,-2.75,1.5,4.75
89431486033,-7.4375,1.625,7.25
89431508930,-14.3125,0.875,8.4375
89431531709,-19.3125,0.8125,9.3125
89431552662,-18.25,2,10.9375
89431569013,-13.5,-0.25,19.8125
89431597454,-23.125,-10.5625,36.0625
89431612675,-28.6875,-20.25,61.3125
89431629102,-15.6875,-16.5,93.0625
89431651449,-4.75,-14.6875,119.312
89431672488,32.125,-8.5,144.5
89431688982,68.125,-4,179.438
89431711398,92.75,-9.6875,216.688
89431732509,121.188,-10.3125,257.562
89431748955,127.25,-8.25,293.312
89431771426,126.25,3.1875,328.688
89431792533,113.438,16.875,362.25
89431808966,104.188,27.0625,398.562
89431831424,116,42.625,422.312
89431852415,145.125,64.8125,420.812
89431868897,180.5,96.75,403.938
89431891419,211.312,141.062,395.688
89431912499,224.375,187.062,364.062
89431928934,208.812,217.875,285.062
89431951455,178,226.875,183.062
89431972912,128.812,193.625,84.625
89431988278,76.375,143.438,13.0625
89432011523,51,93.0625,-22.0625
89432032495,64.4375,44.1875,-64.125
89432056468,87.875,-6.125,-118.562
89432071369,78.25,-68.25,-181.75
89432093905,43,-129.375,-180.375
89432108282,-3.875,-148.25,-128.875
89432131455,-6.1875,-191.625,-79.75
89432153991,22.75,-230.938,-35.9375
89432168351,46.375,-231,11.625
89432191463,9.25,-202.188,35.125
89432213934,-20.1875,-160.438,55.625
89432228281,-26.625,-126.75,106.375
89432251550,17.9375,-71.6875,154.75
89432274019,69.625,0.3125,199
89432288397,82.625,72.875,234.188
89432311531,85.4375,129.812,241.375
89432333929,101.312,171.75,219.188
89432355233,111.938,192.938,174.125
89432371470,100.5,195.938,117.438
89432394091,79.3125,192.438,60.125
89432415237,61.4375,182.438,6.8125
89432431489,55.875,158.688,-41.5625
89432454064,38.25,120.25,-88.8125
89432482720,12.8125,84,-133.438
89432491528,7.0625,50.4375,-164.312
89432514078,40.875,4.125,-181.562
89432535256,67,-58.875,-201.938
89432551456,47.9375,-130.5,-217.188
89432573943,25.0625,-157.25,-181.125
89432595239,-4.1875,-170.812,-131.25
89432611499,-3.3125,-200.938,-77.6875
89432634060,43.25,-216.688,-18.8125
89432654971,67.125,-206.25,38.125
89432671402,40.1875,-183.312,78.4375
89432693951,24.625,-145.562,103.062
89432715237,27.5625,-99.75,124.688
89432731427,41.125,-38.75,152.812
89432754019,51.125,20.6875,180.812
89432775272,57.375,78.3125,193.375
89432791531,65.5625,123.688,183.188
89432814017,67.4375,152.125,144.688
89432835100,50.1875,166.75,93.5
89432851512,35.75,175.438,47.4375
89432874137,31.75,174,3.9375
89432895261,35.75,161.5,-45.625
89432911698,38.25,137.25,-88.8125
89432933988,33.8125,101.75,-119.062
