timestamp,x,y,z
86178537180,-0.6875,0.25,0.1875
86178559611,-0.875,0.375,0.125
86178573932,-0.9375,0.375,0.25
86178597183,-0.6875,0.25,0.25
86178619627,-0.0625,0.4375,0.375
86178633960,-0.1875,0.25,0.6875
86178657057,-0.5625,0.1875,0.5
86178679819,-1.125,0.375,0.625
86178694026,-0.875,0.3125,0.5
86178717181,-1.375,0.25,0.6875
86178739626,-1.9375,0.1875,0.75
86178753937,-1.8125,0.3125,0.9375
86178777643,-0.625,0.25,0.75
86178799667,-0.4375,0.3125,0.8125
86178813965,-0.9375,0.25,1.125
86178837087,-0.75,0.25,1
86178859627,-0.6875,0.1875,1.0625
86178880644,-0.1875,0.25,0.8125
86178904627,-0.1875,0.4375,0.625
86178919666,0.6875,0.5,0.8125
86178941006,0.8125,0.3125,1
86178957219,2.0625,-0.0625,1.5
86178979802,6.625,-0.5625,1.625
86179000763,13.125,-3.0625,4.25
86179017103,17.6875,-7.4375,10.9375
86179039674,23.25,-12.0625,29.5625
86179060853,29.625,-11.9375,53.6875
86179077208,25.875,-9.3125,84.75
86179107099,8.875,-2.25,117.188
86179120972,-6.1875,9.9375,152.562
86179136589,-17.5625,13,187.5
86179159695,-10.0625,15.6875,221.75
86179180777,13.125,28.9375,260.688
86179196442,45.4375,48.9375,299.188
86179219641,57.625,68.0625,324.812
86179240940,53.1875,78.375,335.25
86179256428,54.25,87.5625,340.875
86179279727,70.3125,96.5625,350.875
86179300693,81.375,108.625,350.312
86179316605,81.125,119.938,343.75
86179339673,76.25,126.75,337.875
86179362206,68.6875,131.188,328.312
86179376490,56.6875,135.312,312.312
86179399658,37.375,131.812,294.938
86179422286,18.1875,131.438,271.625
86179443405,-4.875,127,244.562
86179459648,-37.375,115.062,213
86179482136,-55.125,101.875,178.812
86179503269,-61.4375,80.625,142.5
86179519777,-64.75,61.1875,99.9375
86179542114,-71.6875,39.5625,54.0625
86179563236,-85.625,13.1875,5.0625
86179579633,-113.688,-17.9375,-42.5
86179602140,-140.812,-42.25,-88.5625
86179623207,-135.812,-66.0625,-146.188
86179639662,-133.062,-106.312,-193.125
86179662190,-102.75,-143.125,-263.75
86179683370,-82.3125,-181.75,-337.75
86179699632,-71.0625,-237.25,-407.25
86179722166,-74.8125,-288.25,-487.938
86179743347,-86.25,-308.375,-530.625
86179759792,-12.125,-299.438,-512.625
86179782125,136.562,-256.25,-448.688
86179803251,379.625,-244.062,-277.812
86179819647,374.812,-215.188,-69.1875
86179851067,174.625,-168.062,23.25
86179863251,-57.875,-132.062,113.75
86179879695,-110.75,-105.375,143.375
86179902176,-0.0625,-87.25,161.062
86179923183,130.312,-57.5,170
86179939682,198.062,-21.25,192.562
86179962200,196,10.5625,210.5
86179983194,150.938,22.125,217.562
86179999672,119.375,17.5625,223.75
86180022187,132.125,17,222.688
86180043268,175.188,24.5,217.688
86180058993,204.812,44.3125,208.438
86180082140,205.25,66.5,198.625
86180103112,173.062,86.875,183.625
86180118968,127.125,103.625,159.688
86180142121,91.6875,115.438,132
86180163195,77.875,126.312,104.75
86180179097,77.6875,136.5,74
86180202666,77.5,143.438,35.6875
86180223394,59.9375,142.75,-7.625
86180238942,27.6875,138.312,-55.1875
86180262113,-15.875,134.25,-106
86180284764,-52.75,133.625,-162
86180298976,-76.875,147,-223.562
86180322125,-87.0625,166.062,-288.312
86180344675,-88.125,180.625,-351.25
86180359051,-84,194.125,-410
86180382104,-74.375,204.812,-460.688
86180404635,-62.75,209.125,-516.812
86180427112,-100.062,227.375,-608.75
86180442158,-102.75,206.188,-622
86180464625,-204.188,185.812,-499.875
86180485951,-193.875,115.062,-260.625
86180502171,-75.875,66.5,-184.375
86180524650,82.0625,10.1875,-78.25
86180547218,104.312,-19,21.0625
