timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117354452377,0,-1,-2,2,0,-1,-2,0
117354452377,-1,-1,-2,2,-1,-1,-1,-1
117354453237,0,-2,-2,-3,-1,-1,-2,-3
117354453237,-1,-1,-1,1,1,-2,-1,0
117354454083,-1,-1,-1,2,-1,-1,0,-2
117354454083,-3,-2,0,-2,-1,0,-1,-1
117354457455,-1,1,0,2,-1,0,-4,-2
117354457455,8,-1,-1,-3,-2,-2,-2,7
117354464029,1,-2,0,8,0,-2,0,-2
117354464029,-1,-2,-1,-1,-1,-1,-2,-3
117354472714,-4,-6,-2,-2,-1,0,2,1
117354472714,-3,0,-1,1,-1,1,1,-5
117354480541,-4,-2,-1,-4,0,0,0,-3
117354480541,-1,0,0,1,-1,-1,-4,1
117354493973,-2,-3,-2,-9,-1,0,-1,-2
117354493973,-1,0,-3,-2,-1,-1,-2,-2
117354505397,0,0,-2,-7,-2,0,-2,2
117354505397,0,-2,-2,-2,-1,-2,-1,-3
117354509059,2,0,-1,0,0,-1,-1,-1
117354509059,-3,-1,-1,-3,-1,0,0,-3
117354524152,-2,-1,0,-3,1,1,-3,-3
117354524152,-1,1,-3,-1,-2,-1,-1,-1
117354570754,-1,-1,-1,-1,-1,0,-1,0
117354570754,-1,0,-1,-1,-2,-1,0,-1
117354571527,-1,-1,0,5,0,-1,-1,0
117354571527,-2,0,-2,-19,-3,-2,-2,-4
117354572370,-1,0,-1,-1,1,-2,-1,1
117354572370,-1,-1,-2,3,-2,-2,-2,-1
117354573134,0,-1,-1,-4,0,2,1,0
117354573134,-2,-3,-2,2,-3,0,0,-2
117354585243,-1,-2,-3,-2,-3,0,-1,-2
117354585243,1,-3,-1,0,-1,-2,-1,0
117354591208,0,-1,-1,0,0,-1,0,-2
117354591208,0,-2,-1,2,0,-1,-2,0
117354600202,-2,-1,-1,-4,-2,-1,-2,-2
117354600202,-1,0,2,4,0,-1,-1,-1
117354613734,0,1,-1,-5,-1,-1,0,0
117354613734,-2,-2,-4,1,-2,-1,-1,-2
117354622735,-1,0,-1,10,5,0,0,0
117354622735,-2,-2,-4,1,-9,-1,-2,-3
117354628755,-1,-2,-2,-7,0,-1,-3,-1
117354628755,0,0,1,7,0,2,-2,0
117354643728,0,-1,-2,-18,-4,-5,-2,-4
117354643728,-3,-1,-2,0,0,-7,-4,-1
117354660211,-1,-1,-1,5,2,-1,-2,-3
117354660211,0,-1,4,30,5,1,3,0
117354661714,-1,-2,-6,-70,-8,0,-2,-1
117354661714,-2,-1,1,30,-7,-2,-2,-1
117354673725,-2,-2,-4,-49,-7,-10,-1,-3
117354673725,-2,-1,-2,33,-5,3,-4,-3
117354682901,0,0,3,22,6,1,1,1
117354682901,1,0,-1,-28,-2,5,0,1
117354688822,0,0,1,23,-3,-2,-1,0
117354688822,2,2,2,-2,15,6,1,3
117354703863,-1,-3,-5,-3,-11,-3,0,-3
117354703863,2,-1,0,9,-6,-5,-1,0
117354711389,-3,-2,-1,7,5,6,1,-2
117354711389,0,-1,-2,-20,0,-8,-3,-1
117354720256,-1,-1,1,16,1,-14,-12,-1
117354720256,-3,-3,-5,-21,-10,3,6,1
117354734036,-2,0,0,7,1,-1,4,0
117354734036,-1,0,-3,-21,2,2,-1,-1
117354742788,-1,-1,0,23,11,16,4,3
117354742788,-1,0,1,-6,4,-7,-3,-3
117354748935,-2,-3,-1,5,-5,-3,-14,-4
117354748935,-4,-4,-1,14,-6,-16,4,-2
117354763978,-4,0,1,19,-3,11,-2,-7
117354763978,3,2,-1,-25,7,-9,-3,3
117354771394,0,-2,-3,8,4,-4,-4,2
117354771394,0,0,-4,-38,-7,10,3,2
117354780312,0,1,0,15,15,-4,-7,-9
117354780312,0,-1,6,13,-25,-2,12,7
117354793983,-2,-5,-11,-9,13,7,1,-3
117354793983,-1,1,4,18,-3,-7,-7,1
117354802748,-4,-2,-5,-45,-33,-6,0,-5
117354802748,-3,-1,-3,18,10,-8,2,-1
117354808853,3,0,1,-15,-10,32,-7,1
117354808853,-8,-4,0,8,-3,-30,0,-7
117354823955,4,2,0,19,12,24,2,6
117354823955,-3,-1,-2,12,-1,-21,-9,-11
117354831275,0,-2,-1,3,2,-27,2,8
117354831275,-5,-2,-4,12,4,15,8,-3
117354840287,1,-4,-2,-18,-41,-48,15,6
117354840287,-3,-4,-4,-1,18,51,-19,-4
117354853879,-1,1,4,27,24,21,9,-3
117354853879,-1,-1,-7,-34,2,-2,-6,1
117354862849,7,0,3,5,4,-17,5,3
117354862849,-5,-2,-1,14,0,2,-11,-5
117354868744,0,6,3,11,-20,-29,-5,-2
117354868744,1,-1,-5,-83,-13,19,11,-2
