timestamp,x,y,z
117435711163,0.937988,-0.253906,0.012207
117435734880,0.947266,-0.26123,0.0078125
117435756242,0.945801,-0.259766,0.00878906
117435771186,0.941895,-0.255859,0.0175781
117435794836,0.93457,-0.250488,0.0234375
117435816300,0.936035,-0.251953,0.0249023
117435855633,0.941406,-0.256348,0.0117188
117435857683,0.941406,-0.255859,0.0195312
117435877605,0.940918,-0.253418,0.0141602
117435896652,0.938477,-0.251953,0.015625
117435915262,0.931152,-0.257324,0.0263672
117435948387,0.943359,-0.254883,0.0161133
117435952100,0.941406,-0.257812,0.0151367
117435988526,0.936035,-0.269043,0.0302734
117435998584,0.936523,-0.291992,0.0507812
117436012428,0.943848,-0.260742,0.0795898
117436033530,0.975098,-0.227051,0.101562
117436056657,1.00391,-0.254395,0.146484
117436072450,1.0459,-0.359863,0.146973
117436093496,1.03613,-0.508301,0.197266
117436116250,1.04639,-0.67334,0.195312
117436132467,1.03711,-0.766113,0.171875
117436153732,1.07471,-0.881348,0.130859
117436176197,1.05225,-1.02148,0.102051
117436192469,0.953613,-1.12744,0.0673828
117436213514,0.812012,-1.23877,0.0639648
117436244226,0.727051,-1.26465,0.0649414
117436252490,0.579102,-1.35205,0.0541992
117436273559,0.456055,-1.34619,0.0424805
117436296007,0.380859,-1.27539,0.0307617
117436312653,0.296387,-1.18506,0.00439453
117436333566,0.192871,-1.11816,0.0288086
117436357537,0.105469,-1.07031,-0.00878906
117436372493,0.0664062,-0.964844,-0.0161133
117436393616,-0.019043,-0.914551,-0.0395508
117436416106,-0.081543,-0.805176,-0.0527344
117436432503,-0.109375,-0.713867,-0.0703125
117436455097,-0.126465,-0.651367,-0.0688477
117436476016,-0.136719,-0.600098,-0.119141
117436492415,-0.140625,-0.507324,-0.173828
117436514919,-0.139648,-0.431152,-0.184082
117436536021,-0.133301,-0.446289,-0.229004
117436552460,-0.136719,-0.464844,-0.261719
117436574959,-0.158203,-0.435059,-0.274902
117436596230,-0.166992,-0.411621,-0.256836
117436612553,-0.169434,-0.402344,-0.255371
117436635003,-0.187988,-0.415039,-0.206055
117436656105,-0.222656,-0.494141,-0.140625
117436672459,-0.248047,-0.59375,-0.129883
117436694936,-0.249023,-0.675781,-0.175293
117436716042,-0.220215,-0.777832,-0.174316
117436732429,-0.240234,-0.905273,-0.145996
117436763819,-0.34082,-1.01318,-0.0776367
117436785707,-0.386719,-1.09814,0.0581055
117436799257,-0.210449,-1.31055,0.311035
117436814994,0.354004,-1.45264,-0.0356445
117436836025,0.802246,-1.21484,-0.313477
117436852450,1.06445,-1.09961,-0.275879
117436874971,1.07373,-0.837891,0.0483398
117436896264,1.1084,-0.987305,0.673828
117436912505,0.888184,-1.7373,1.17188
117436934928,0.701172,-2.17578,1.3584
117436956179,0.720703,-2.06348,1.18555
117436972679,0.75,-1.92334,0.916504
117436994939,0.634277,-1.81836,0.804688
117437016052,0.505859,-1.7041,0.651855
117437032533,0.381836,-1.47803,0.516602
117437064136,0.299805,-1.19873,0.366699
117437077536,0.29834,-1.06006,0.259277
117437092637,0.285645,-0.988281,0.150391
117437115040,0.265625,-0.799316,0.0249023
117437136252,0.236328,-0.544922,-0.0532227
117437152522,0.22168,-0.278809,-0.0722656
117437175035,0.211426,-0.0595703,0.0136719
117437196145,0.254883,0,0.0688477
117437212521,0.337402,-0.125,0.0571289
117437234939,0.408203,-0.175781,0.0209961
117437267124,0.391602,-0.137207,0.0175781
117437272510,0.349609,-0.104492,0.0239258
117437294988,0.245605,-0.118164,0.0673828
117437316023,0.130859,-0.205566,0.09375
117437340103,0.0507812,-0.323242,0.125
117437355646,-0.012207,-0.48291,0.166504
117437376724,-0.0561523,-0.664551,0.216797
117437399210,-0.0947266,-0.865723,0.253418
117437414271,-0.148926,-1.08203,0.246094
117437436774,-0.230957,-1.3457,0.182617
117437459919,-0.30957,-1.65381,-0.213379
117437474276,-0.300781,-1.57031,0.195801
117437496946,0.773438,-1.2793,0.0854492
117437512443,1.32715,-0.895508,-0.246094
117437534230,2.06152,-1.04492,-0.230957
117437558303,1.2793,-1.76514,-0.342773
117437572465,0.45459,-1.88916,-0.300293
117437594359,0.532715,-1.40869,-0.327148
117437616664,0.430176,-1.05713,-0.202637
117437633172,0.349609,-1.10107,-0.0708008
117437654432,0.408203,-1.15576,0.00634766
117437676526,0.402832,-1.14648,0.0302734
117437692447,0.381348,-1.06543,0.0566406
117437714255,0.371582,-0.959961,0.0629883
117437736691,0.399414,-0.849121,0.0473633
117437759304,0.46875,-0.743652,0.0351562
117437774134,0.52002,-0.707031,0.00634766
117437796701,0.584473,-0.723145,-0.0146484
117437812445,0.622559,-0.751465,0.0078125
117437834306,0.643066,-0.790527,0.034668
