timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83594007416,-2,1,-3,-2,-1,-3,-2,-2
83594007416,-1,-1,0,-2,-2,-2,-1,-1
83594014629,-1,-1,-1,1,-1,-1,-2,0
83594014629,-3,0,-1,0,-2,-1,-3,-3
83594016316,0,-3,-2,-1,0,-1,-2,0
83594016316,-1,-1,-3,-2,0,1,0,-1
83594037129,1,-1,-2,-2,-1,0,-2,-6
83594037129,-1,-1,0,-1,-2,-2,0,1
83594038725,-2,-1,0,-3,-1,-1,0,0
83594038725,0,-2,-1,-1,0,-3,-1,1
83594050755,-1,-4,-1,0,0,-1,-3,-1
83594050755,-2,-1,-1,-2,-1,-1,-1,-2
83594059722,1,0,-2,-3,-2,-2,-1,-3
83594059722,-1,-2,-1,-2,-1,-1,0,-1
83594074752,0,0,-1,-2,-2,-2,0,3
83594074752,-5,0,-2,-2,-1,1,-1,-4
83594076280,8,-1,-2,-2,-2,0,-1,4
83594076280,8,-1,-1,-2,-1,-1,-2,-8
83594097195,-3,1,0,-1,-1,-1,0,11
83594097195,0,-2,-1,-1,0,-2,-1,1
83594098737,1,0,0,0,-1,-1,0,-6
83594098737,-1,-3,-3,-1,0,-2,-1,6
83594119739,1,-1,0,0,-1,-1,-2,-3
83594119739,-2,-2,-2,-1,-2,0,-2,-2
83594121279,-5,-2,-1,0,-2,-2,-1,-1
83594121279,-4,-1,-2,0,-2,-1,-2,-2
83594134671,-2,-1,-1,-2,-2,-2,0,-4
83594134671,-4,-2,-3,-1,-1,0,-2,0
83594136307,-1,-2,-1,0,-1,-1,-1,-4
83594136307,7,0,-2,0,0,0,-1,-6
83594157358,-6,0,-3,-1,-2,-3,1,12
83594157358,0,-2,1,-2,0,-3,-1,-7
83594158842,6,6,0,0,2,-1,0,4
83594158842,-7,-4,-1,-1,2,-1,-1,-4
83594170980,2,-1,-1,-2,0,-1,1,-2
83594170980,3,2,-1,0,-2,-1,0,1
83594179782,-5,-1,0,0,-3,0,0,0
83594179782,-4,1,0,-1,-1,-1,-2,2
83594202169,0,-3,-1,-2,-1,-2,-1,-5
83594202169,8,0,-2,-1,-1,-1,0,1
83594203769,-8,4,0,-1,-1,0,-3,-4
83594203769,0,-1,-2,0,-1,-1,-3,0
83594217378,-1,-1,-1,-2,0,0,-2,-4
83594217378,2,4,-3,-1,0,0,-2,-2
83594218762,-6,-15,-2,-2,0,-2,0,-2
83594218762,-4,0,-1,-2,-1,-1,0,0
83594230878,-2,2,-1,-1,0,0,-1,-7
83594230878,11,-5,-2,0,1,-1,0,2
83594239831,-1,0,-1,0,-1,-1,0,4
83594239831,-4,0,-2,-1,-3,-2,-1,-1
83594254714,0,-4,-1,0,-3,-2,-1,-2
83594254714,0,-2,0,-1,0,-2,-3,-3
83594256380,-10,-2,0,-1,0,-1,0,-8
83594256380,10,1,-1,-4,-1,-2,1,9
83594277153,9,4,0,1,-1,1,0,3
83594277153,-3,-4,-2,-2,-4,0,-1,2
83594278782,-8,-2,-1,0,-1,-4,0,-4
83594278782,-6,-1,-1,2,1,5,-3,-2
83594290778,1,0,0,-2,5,-1,-3,-1
83594290778,-2,-1,-2,-8,-11,4,-1,3
83594299795,2,-2,-1,13,-3,-10,2,0
83594299795,3,0,-1,0,2,-3,0,-3
83594314657,5,4,1,0,-11,-5,-1,5
83594314657,32,3,4,8,12,3,6,2
83594316269,-42,-10,-6,-7,1,11,-2,-11
83594316269,-12,-5,-2,4,-8,-2,-3,-7
83594337217,1,4,-1,-1,1,0,1,2
83594337217,8,-1,0,27,-2,-7,-2,-1
83594338794,-30,-3,-8,-57,-7,-5,-3,-9
83594338794,13,-3,2,39,6,-6,1,2
83594350780,0,13,0,15,-12,-9,-10,-6
83594350780,-23,-9,-8,10,-7,8,2,-13
83594359809,41,16,6,31,18,5,6,21
83594359809,-14,-1,3,14,3,9,2,1
83594374021,21,2,1,25,5,-1,1,26
83594374021,66,16,2,7,2,10,6,6
83594380783,-63,-42,-10,-32,-19,-37,-14,-35
83594380783,57,4,0,-10,0,6,-4,-92
83594404643,16,-15,3,-43,10,14,12,63
83594404643,-3,-23,2,87,-2,-10,-5,36
83594406216,-49,2,0,-1,-3,-8,-12,-11
83594406216,19,0,-3,-12,6,12,18,18
83594410790,7,-14,-7,-1,8,3,-7,-48
83594410790,-51,9,-2,-98,-13,8,7,35
83594419777,49,10,1,-9,9,-1,1,-16
83594419777,-18,9,-3,-1,-14,-17,-7,24
83594433952,-17,3,-3,-10,-25,1,-3,5
83594433952,85,22,3,2,9,-6,2,64
83594440808,-90,-23,-4,31,5,-5,-4,-31
83594440808,1,5,-8,-43,-23,-4,-31,-8
83594457110,27,-3,1,45,11,-18,27,-14
83594457110,-73,-3,-1,-38,1,-1,9,-6
83594458738,25,38,0,-18,-24,17,-7,-48
83594458738,35,-19,8,12,11,-16,-9,86
83594479669,51,3,-3,-13,1,4,-13,-35
83594479669,-89,-15,-3,1,5,-13,-19,-97
83594481265,115,11,0,2,3,45,46,107
83594481265,-49,-2,-3,13,17,11,5,-74
83594494190,11,8,0,-17,-15,-27,-9,103
83594494190,32,3,4,21,18,0,2,-43
83594501091,-47,-15,-4,1,-24,-35,-18,39
83594501091,-14,3,-4,-106,-25,10,-11,-48
83594517394,-48,-14,-4,35,21,18,-5,-37
83594517394,-24,-12,-8,-51,7,31,-1,62
83594518796,51,8,4,-3,-11,-18,18,38
83594518796,-35,-6,0,60,-7,-50,4,43
83594539746,-62,6,4,-28,5,-23,-18,-37
83594539746,12,-3,2,-7,-24,-2,-29,-66
83594541320,65,3,0,28,16,5,-10,70
83594541320,-18,-43,-10,-31,7,70,31,15
83594554232,14,-7,-7,-19,-20,-27,0,-43
83594554232,1,6,3,16,5,11,34,29
83594560845,18,-8,-1,-9,-26,9,-9,-67
83594560845,-32,-6,-6,4,2,-36,-14,-63
83594577387,-25,-3,2,-2,2,3,-21,17
83594577387,17,-6,-5,5,6,-9,-9,-59
83594578786,49,3,5,26,16,28,21,31
83594578786,-3,7,0,-21,-34,-48,47,17
83594599855,3,-5,-1,12,17,26,10,-12
83594599855,-4,6,2,-14,-7,12,-58,-63
83594601357,6,8,2,-19,16,-4,-3,48
83594601357,16,8,-1,24,34,46,-17,-16
83594613335,-38,-8,-3,-8,-33,-55,41,39
83594613335,5,0,1,8,-25,-27,8,31
83594622356,-28,-12,-14,-45,-29,26,19,-58
83594622356,28,-20,0,35,24,-12,-10,26
83594637206,22,5,2,5,12,36,-9,-38
83594637206,-30,-7,-8,-46,5,-10,1,14
83594638786,-43,-12,1,91,11,-24,-31,-81
83594638786,-22,9,-6,-53,-22,27,8,16
83594659692,-16,-4,-9,-27,-16,-42,-21,-30
83594659692,71,6,-1,9,20,13,-2,24
83594661256,-66,-2,2,6,14,1,-25,-22
83594661256,13,-4,-1,-20,-2,35,22,26
83594673534,-9,-4,-4,30,-14,-2,7,-29
83594673534,-7,-19,-1,-4,-18,-38,1,-12
83594682473,10,-7,-3,-30,13,0,-2,3
83594682473,5,9,2,15,15,-6,-32,-27
83594697423,-25,-14,-1,-8,0,29,-3,-21
83594697423,37,19,0,21,4,-13,-7,-5
83594698828,-12,13,2,6,0,-4,26,25
83594698828,-1,1,3,-1,0,-23,-17,-90
83594719729,-2,21,-1,-25,-18,9,8,44
83594719729,-18,0,0,24,13,16,11,-51
83594721316,65,2,3,-15,8,-7,-7,59
83594721316,-53,8,6,-24,-21,2,1,4
83594733401,18,1,0,34,39,7,-5,2
83594733401,7,-6,-3,25,-1,-6,6,11
83594742301,25,6,-1,-18,-8,-7,-13,-41
83594742301,-45,-11,-2,16,-4,-5,6,57
83594757150,-12,12,-2,-41,-18,3,0,4
83594757150,-36,-2,3,20,8,2,-5,2
83594758826,12,-17,-12,-13,-14,-2,-1,-85
83594758826,59,9,5,49,23,-12,-5,27
83594781098,-56,12,3,1,3,11,-2,30
83594781098,8,2,3,-9,-1,1,6,8
83594782676,-2,-6,-7,-50,-21,-6,2,2
83594782676,0,-2,-6,14,-12,-4,-8,-16
83594793526,4,13,3,3,13,5,-8,-54
83594793526,42,-7,-2,18,8,0,16,111
83594802335,-33,0,-1,0,4,-1,-5,-11
83594802335,-39,-8,-2,8,-6,-6,-8,-29
83594817275,42,-40,-6,-52,-22,0,7,83
83594817275,-3,-2,-5,-56,-13,-3,-8,-45
83594818821,-36,-9,6,26,23,3,-3,-10
83594818821,37,3,-3,7,9,-3,6,37
83594839717,30,7,-3,-2,8,-5,-11,-57
83594839717,-46,-4,-1,16,1,0,3,-19
83594841304,17,5,1,8,3,1,2,26
83594841304,12,11,-3,-11,-1,-1,1,-6
83594853524,-5,-10,-2,1,-12,1,-1,-17
83594853524,-16,-8,-6,-32,-12,-2,-1,-4
83594862368,3,9,-2,3,-2,1,-6,-26
83594862368,22,6,0,7,6,-6,-5,0
83594877310,-7,-5,-4,12,14,2,4,-2
83594877310,-6,-7,-3,18,-19,-2,-3,-47
83594878768,5,12,1,-17,-19,-5,-9,21
83594878768,-16,-21,-5,-17,-5,-3,4,6
83594899839,-30,6,3,4,9,3,-5,-8
83594899839,5,5,-2,5,12,-1,8,-2
