timestamp,x,y,z
116582507108,0.924805,-0.30127,-0.00537109
116582521640,0.92334,-0.291504,-0.00244141
116582536539,0.919922,-0.288086,0
116582560215,0.925293,-0.29541,-0.00390625
116582582705,0.927246,-0.302246,-0.00585938
116582597746,0.927246,-0.29834,-0.00878906
116582619184,0.935059,-0.293945,-0.00585938
116582673652,0.92334,-0.299805,-0.00292969
116582674435,0.930664,-0.298828,0
116582675543,0.935059,-0.303223,-0.00195312
116582695328,0.931641,-0.308105,-0.00390625
116582718497,0.922852,-0.301758,-0.00537109
116582734218,0.924316,-0.302246,-0.00927734
116582754175,0.927246,-0.297363,-0.000488281
116582800220,0.923828,-0.310547,-0.0131836
116582801049,0.917969,-0.310547,-0.00537109
116582814511,0.923828,-0.304199,-0.00976562
116582837023,0.925293,-0.302246,-0.0161133
116582851320,0.92627,-0.308105,-0.00244141
116582875279,0.926758,-0.310547,-0.00537109
116582898551,0.922363,-0.31543,-0.00244141
116582921099,0.919434,-0.313965,0.00146484
116582935491,0.918457,-0.320312,-0.00146484
116582958581,0.918945,-0.319336,-0.00341797
116582981107,0.920898,-0.323242,-0.00195312
116582995397,0.919434,-0.317871,-0.00292969
116583018559,0.920898,-0.317871,0.00683594
116583041135,0.915039,-0.322754,-0.00146484
116583055439,0.916016,-0.331055,-0.00244141
116583078550,0.912598,-0.333984,-0.00244141
116583101119,0.915039,-0.338867,0.0112305
116583115479,0.931152,-0.341797,0.019043
116583138570,0.919922,-0.373047,0.0405273
116583161054,0.912109,-0.428711,0.0419922
116583182098,0.910156,-0.427734,0.0478516
116583198511,0.929199,-0.417969,0.0449219
116583221154,0.955078,-0.385742,0.0390625
116583242181,0.980957,-0.380859,0.0151367
116583258555,0.977539,-0.488281,-0.0400391
116583281060,0.95752,-0.584473,-0.0717773
116583302104,0.927246,-0.700195,-0.108887
116583318593,0.898926,-0.731445,-0.122559
116583341147,0.876465,-0.771484,-0.157715
116583362297,0.835449,-0.854004,-0.21875
116583378680,0.791016,-0.979492,-0.253906
116583401061,0.624023,-1.04688,-0.218262
116583422303,0.5625,-1.05518,-0.251953
116583437852,0.501953,-1.08398,-0.203613
116583461047,0.421875,-1.09668,-0.174805
116583481828,0.312012,-1.08496,-0.171875
116583497876,0.168945,-1.05518,-0.193359
116583521046,0.0327148,-1.06641,-0.1875
116583542105,-0.0703125,-1.08838,-0.180176
116583557851,-0.100098,-1.08008,-0.155273
116583580971,-0.16748,-0.990234,-0.164062
116583602095,-0.210449,-0.88916,-0.147461
116583617859,-0.137207,-0.840332,-0.158203
116583641094,-0.162109,-0.84082,-0.121582
116583662076,-0.194336,-0.86377,-0.135742
116583677867,-0.203613,-0.786133,-0.0908203
116583701068,-0.167969,-0.73584,-0.0644531
116583723762,-0.132324,-0.731445,-0.0356445
116583744804,-0.189453,-0.748535,-0.0146484
116583768514,-0.23291,-0.75,0.0195312
116583783655,-0.292969,-0.783203,0.0571289
116583806247,-0.330566,-0.808594,0.0717773
116583827280,-0.333008,-0.746582,0.114258
116583843577,-0.216309,-0.624023,0.34082
116583866169,0.135742,-0.924805,0.376465
116583887260,-0.336426,-1.20801,0.21582
116583903551,-0.651855,-0.868652,0.166016
116583926195,-0.456543,-0.871582,0.20752
116583947237,-0.450684,-1.01709,0.256836
116583962939,-0.51123,-0.864258,0.236328
116583986161,-0.489746,-0.892578,0.195312
116584007196,-0.493164,-0.894043,0.208984
116584023546,-0.512695,-0.854492,0.222168
116584046102,-0.493164,-0.868164,0.203125
116584067115,-0.489258,-0.854004,0.188965
116584083620,-0.462891,-0.841797,0.179688
116584106144,-0.464355,-0.842285,0.194336
116584127261,-0.450195,-0.841309,0.192383
116584143752,-0.443848,-0.851562,0.189941
116584165998,-0.438477,-0.862793,0.182129
116584188616,-0.408691,-0.86084,0.175293
116584202893,-0.351074,-0.850586,0.143555
116584226055,-0.291992,-0.811523,0.140137
116584248654,-0.220703,-0.801758,0.12207
116584262946,-0.184082,-0.827148,0.101074
116584286155,-0.185059,-0.863281,0.0771484
116584308529,-0.185059,-0.854004,0.0512695
116584329820,-0.188477,-0.858398,0.00732422
116584346123,-0.17627,-0.854004,-0.043457
116584368462,-0.16748,-0.860352,-0.0883789
116584389547,-0.194336,-0.876465,-0.129395
116584406114,-0.212891,-0.955078,-0.162598
116584428560,-0.200684,-0.995117,-0.187012
116584449622,-0.189941,-0.980469,-0.196289
116584466070,-0.168457,-1.00879,-0.200684
116584488731,-0.194336,-1.01758,-0.211914
116584509540,-0.161621,-1.04248,-0.182617
116584525997,-0.0537109,-1.07373,-0.172363
116584548681,-0.0136719,-1.08105,-0.144043
116584577121,-0.000488281,-1.06152,-0.110352
116584586061,0.0366211,-1.06055,-0.145508
116584608476,0.132324,-0.990234,-0.0825195
116584629649,0.318359,-1.04932,-0.118164
116584646069,0.374023,-1.08545,-0.10791
116584668580,0.393066,-1.06885,-0.133789
116584689517,0.404785,-0.915527,-0.0981445
116584705979,0.494629,-0.81543,-0.111328
116584728548,0.637207,-0.814453,-0.105957
116584749856,0.779297,-0.787109,-0.0859375
116584766045,0.894531,-0.797852,-0.0913086
116584788742,0.933594,-0.712891,-0.0708008
116584809597,0.967773,-0.592773,-0.0517578
