timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
116665204506,-3,-17,-6,-26,-7,-1,-2,-2
116665204506,0,-1,-1,-4,0,0,0,-1
116665206650,-3,0,-1,-2,-1,-2,-1,-3
116665206650,-6,-4,-1,8,2,-1,-1,-1
116665207448,14,12,5,23,2,1,0,0
116665207448,0,0,2,3,-1,0,-1,0
116665208710,-2,-5,-4,-6,-4,-1,-1,-1
116665208710,0,2,0,-3,1,-1,0,-1
116665217407,-5,0,-4,-9,-1,-1,-1,-1
116665217407,-1,-1,0,-4,-2,-2,-1,-1
116665224468,-18,4,0,0,-2,-1,0,-1
116665224468,-2,0,1,-1,-1,-1,-2,1
116665232459,-3,-1,-1,-8,0,-1,-1,-2
116665232459,5,0,0,5,1,0,0,0
116665247962,2,-2,0,-3,-2,0,1,-1
116665247962,0,-2,-4,-5,-1,-1,1,-1
116665261382,-8,-15,-1,-12,-1,-2,-1,-2
116665261382,-5,-1,-8,12,1,-1,-4,-3
116665270008,3,1,-2,9,0,-3,-3,-1
116665270008,-3,-7,-2,-6,-3,0,-2,-2
116665277807,3,4,2,-2,-1,0,0,1
116665277807,-14,-6,-3,-11,-4,-1,-3,-4
116665292720,4,-4,0,-7,3,1,-1,1
116665292720,-3,2,-2,6,-7,-3,-2,-1
116665294395,-4,3,1,16,2,0,-2,-2
116665294395,8,-7,-5,-5,-1,-1,-1,-2
116665339601,-2,11,-1,3,0,-1,0,-2
116665339601,0,-9,1,18,3,-1,-2,0
116665340383,0,-1,-2,-8,-5,-2,0,-2
116665340383,-1,-1,-2,4,-1,-1,-2,-2
116665341196,-1,1,-1,-13,-1,0,-1,-2
116665341196,-2,0,-1,-13,-4,-1,0,-1
116665344325,-1,-1,1,3,0,-2,-2,-1
116665344325,0,1,4,0,1,0,-1,0
116665351105,0,-6,-1,7,1,-2,-2,-1
116665351105,-1,0,-2,-3,-4,-1,-3,0
116665358568,1,10,-1,-21,-5,-1,-1,1
116665358568,0,-1,0,5,1,0,2,0
116665367570,-2,-4,-2,-11,1,0,0,-1
116665367570,-1,2,-1,5,1,-2,-1,0
116665381092,-14,-5,-4,9,2,-2,-4,-3
116665381092,-3,-15,-9,-21,-5,-1,-1,1
116665390159,-2,-2,-2,3,-2,-3,0,-2
116665390159,3,1,0,-6,-2,1,0,-2
116665412446,-2,-9,-2,-5,-3,-2,-1,-1
116665412446,11,-2,-1,8,0,-1,0,0
116665414060,3,-2,-3,-29,-4,-2,-1,1
116665414060,-3,-1,1,-5,-1,0,1,-1
116665426763,1,2,1,10,1,0,-3,0
116665426763,-1,-1,-2,4,-2,-1,-1,-3
116665433791,0,2,1,3,-1,-1,-3,-1
116665433791,1,4,2,-8,-1,-2,-2,-1
116665450185,4,-2,-3,9,0,0,1,-1
116665450185,-2,1,0,-17,-4,-2,-1,-2
116665451655,-3,-5,0,10,2,1,-1,-1
116665451655,-5,-2,-2,-13,-3,-2,-2,-1
116665472689,0,-3,3,4,0,-1,0,-1
