timestamp,x,y,z
82452923503,-0.4375,-0.25,-0.1875
82452938496,0,-0.375,-0.125
82452962379,0.4375,-0.25,-0.125
82452977313,0.125,-0.1875,-0.125
82452998739,-0.375,-0.375,-0.25
82453022377,-0.5625,-0.5,-0.125
82453037366,-0.125,-0.5,-0.25
82453059925,0.625,-0.5,-0.125
82453112809,0.75,-0.3125,-0.3125
82453121356,0.375,-0.4375,-0.1875
82453122155,-0.0625,-0.5,-0.0625
82453134339,-0.0625,-0.5625,-0.125
82453150401,0.6875,-0.5625,-0.375
82453173868,1.8125,-0.4375,-0.25
82453193706,1.3125,-0.5,-0.1875
82453240488,0.1875,-0.5,-0.3125
82453241315,0.3125,-0.375,-0.5625
82453254147,0.8125,-0.375,-0.3125
82453269913,1.3125,-0.5625,-0.0625
82453291039,1.75,-0.625,-0.1875
82453315782,1.6875,-0.5625,-0.1875
82453338215,1.6875,-0.5,0
82453360738,1.3125,-0.5,0.1875
82453375054,1.0625,-0.5625,0.25
82453404419,2,-0.375,0.125
82453420658,2.25,-0.3125,0.1875
82453435020,1.75,-0.5,0.1875
82453458251,1.5,-2.1875,0.3125
82453480722,0,-4.0625,0.875
82453494981,4.4375,-3,1.5
82453518224,10.1875,-1.625,0.3125
82453540740,9.9375,0.875,0.6875
82453555064,4.625,1.625,5
82453578194,0.4375,-0.625,14.6875
82453600685,1.3125,-1.125,22.8125
82453621860,1.625,-3.5625,32.25
82453638227,4.6875,-6.1875,40.6875
82453660643,6.875,-8.0625,48.3125
82453681918,8.3125,-11.875,56.8125
82453698196,7,-17.3125,69.125
82453720694,9.3125,-24.5625,82.9375
82453741841,15.375,-32,93.0625
82453758127,20.25,-38.8125,104.688
82453780666,20.875,-46.0625,117
82453801687,19.1875,-53.1875,130.25
82453818227,16.625,-59.9375,143.5
82453840740,19.625,-67.0625,155.688
82453861876,29,-75.0625,168.25
82453878137,38,-81.5,181.375
82453900762,47.4375,-87.25,190.5
82453921837,49.9375,-94.125,202.188
82453937528,50.375,-101.812,212.938
82453960778,48.625,-108.188,221.75
82453981736,51.75,-114.75,227.5
82453997486,57.5625,-124.875,233.125
82454020634,52.375,-133.562,235.188
82454041749,44.375,-141.375,238.688
82454057494,40.5,-149.062,240.312
82454080605,38.0625,-158.312,240.125
82454101659,39.5625,-165,233.875
82454117438,35.9375,-170.625,224.875
82454140683,30.1875,-176,210.125
82454163203,17.3125,-178.875,192
82454177597,8.6875,-179.312,166.375
82454200704,-3.6875,-177.625,141.062
82454223230,-14.5625,-174.375,119.312
82454245700,-29.1875,-169.562,93.8125
82454274484,-39.75,-161.375,69.5
82454283297,-52.5,-150,50.5625
82454305744,-55.8125,-139.438,36.6875
82454326873,-52.8125,-126.562,21.0625
82454343219,-59,-118.5,7.3125
82454365697,-14.5625,-45.75,-0.375
82454386877,-41.25,54.625,6.25
82454393624,41.5625,59.0625,-12.4375
82454410212,45.6875,-16.875,-12.1875
82454431247,-32.25,-36.125,-4.6875
82454453874,-21.9375,-8.5625,-5
82454470096,37.625,8.875,-7.3125
