timestamp,x,y,z
84140319052,0.375,0,0.1875
84140335519,0.1875,0.125,-0.125
84140358020,0,0,0.1875
84140373078,-0.25,-0.0625,0.5
84140395466,0,-0.125,0.6875
84140418042,0.0625,-0.125,0.4375
84140432368,0.25,0.25,-0.1875
84140455515,0.3125,0.3125,-0.375
84140478040,0.875,0.25,-0.5625
84140492365,1.625,0.0625,-0.25
84140515531,1.6875,0.0625,0.125
84140538030,0.75,0.1875,0.25
84140552402,0.125,0.375,0.25
84140575553,0.375,0.3125,0.3125
84140597986,0.9375,0.25,0.25
84140612308,1.25,0.125,0.3125
84140635479,1,0.25,0.3125
84140658028,1.125,0.375,0.25
84140672366,1.3125,0.3125,0.3125
84140695581,0.8125,-0.4375,0.875
84140718047,0.3125,-1.1875,1.625
84140732400,-0.375,-2.4375,2.875
84140755533,0.375,-4,5
84140778023,4.75,-6.1875,11.0625
84140799087,9.625,-8.625,18.1875
84140815540,12,-11.6875,30.5625
84140844033,5.75,-16.0625,48.75
84140859062,-4.9375,-24.875,68.9375
84140875523,1.6875,-33.375,85.9375
84140898109,16,-41,103.25
84140918997,11.25,-49.125,128.062
84140935552,16.875,-56.3125,152.312
84140958100,29.6875,-64.0625,171.812
84140979156,36.25,-69.375,189.062
84140994909,40.625,-71.3125,204.5
84141018102,43.375,-74.875,221.625
84141040573,40.125,-85.0625,239.312
84141054908,47.9375,-90.75,250.375
84141078084,55.4375,-90.5625,261.75
84141099058,55,-87.9375,266.438
84141114946,40.6875,-90.375,269.125
84141138096,35.4375,-93,264.812
84141159073,35.3125,-91.1875,252.062
84141174863,37.75,-88.25,234.562
84141198037,38.6875,-84.8125,212.188
84141220620,32.5,-81.6875,186.25
84141235412,21.0625,-79.6875,155.875
84141258036,14.4375,-75.25,125.375
84141280495,12.9375,-67.8125,91.375
84141294889,4.5625,-60.1875,58.125
84141318078,-7.5625,-51.4375,24.1875
84141340534,-10.375,-40.9375,-10.875
84141361868,-14,-29.5625,-43
84141378188,-15.1875,-23.0625,-66.5
84141400601,-14.125,-19.625,-93.8125
84141421655,-12.4375,-12.8125,-121.188
84141438111,-12.4375,-7.1875,-139.938
84141461960,-17.75,-5.125,-146.688
84141481780,-25.375,-0.8125,-138.25
84141498079,-21.8125,2.0625,-110.625
84141520523,-55.875,-10.1875,-44.3125
84141541676,41.375,18.625,63.0625
84141558137,8.1875,4.125,69.25
84141580580,-16.25,-6.5,65.375
84141601645,40.375,2.3125,116.875
84141618176,15.4375,-3.8125,117.875
84141640474,23.9375,-5,123.438
84141661692,34.125,-2.9375,121.438
84141678132,25.75,-4.5,110.562
84141708023,20.5,-4.75,93.1875
84141721834,15.6875,-6.5625,71.3125
84141738045,10.6875,-7.4375,42
84141760565,9.25,-6,13.6875
84141781711,9.4375,-3,-19.625
84141798129,-6.125,-1.375,-64.4375
84141820579,-23.9375,-2.125,-95.75
84141841531,-24.75,1.25,-116.125
84141858133,-15.4375,9.5,-140.562
84141880496,-16.9375,15.4375,-159.688
84141901650,-32,17.6875,-158.938
84141918071,-45.8125,24,-130.375
84141940577,-114.312,1.1875,-51.0625
84141961515,17.9375,23.9375,64.875
84141984302,44.4375,14.25,50.0625
84142000632,-22.5,1.9375,-8.625
84142021559,38.0625,7.6875,26.8125
84142037417,27.4375,5.125,21.875
84142068124,-2.1875,4.625,-5.375
84142081703,26.125,17.5625,-19.3125
84142097388,35.3125,24.375,-34.1875
84142120538,16.3125,27.875,-61.875
84142142786,5.0625,34.5,-94.125
84142157351,-5.8125,43.3125,-125.812
84142180481,-13.5,55.3125,-146.75
84142203083,-9.0625,65.875,-165.125
84142217365,-3.3125,67.5,-185.25
84142240571,-13.375,64.8125,-204.5
84142263050,-35.5,71.125,-217.812
84142284059,-41.8125,80.75,-220.5
84142300512,-42.3125,84.6875,-228.062
84142322994,-48.625,87.125,-240.125
84142344080,-60.875,93.75,-252.125
84142360535,-76.5625,100.75,-247.375
84142383027,-84.6875,101.75,-228
84142404044,-115.375,94.6875,-209.188
84142420487,-127.312,89,-192.75
84142443038,-104.438,83.875,-173.938
84142464057,-43.875,81.3125,-158.812
84142480495,9.375,67.3125,-143.75
84142503042,14.9375,49,-126.562
84142524055,-5.875,35.6875,-104.625
84142540503,-19.5,25.75,-82.5625
84142563065,-23.25,14.5,-60.375
84142584089,-21,1,-42.25
84142600564,-4.25,-7.375,-27.25
84142622958,10.9375,-12.25,-15.6875
84142644120,13.8125,-12.1875,-9.125
84142660526,8.9375,-11.25,-2.6875
84142683024,-5.375,-12.1875,5.5
84142704091,-14.125,-14.8125,12.375
84142720490,-17.1875,-16.0625,17.6875
84142743026,-19.0625,-15.875,18.875
84142764062,-15.9375,-15.8125,18.6875
84142780542,-12.4375,-13,14.6875
84142803034,-8.1875,-10.3125,11.4375
84142824139,-9.3125,-9.9375,9.1875
84142846582,-4.9375,-13.5,5.25
84142864422,10.25,-16.0625,0.75
84142884021,27.375,-13.5625,-3.75
84142899834,37.3125,-6.6875,-7.4375
84142923014,27.25,1.8125,-8.8125
84142944082,4.6875,6.4375,-8.6875
84142959857,-11.1875,5.5,-6.6875
84142983020,-12.5625,3.6875,-3.25
84143004004,-3.5625,2.6875,0
84143020517,1.75,0.3125,3.25
84143042952,6.8125,-2,5.0625
84143064093,11.75,-3.75,5.3125
84143080510,12.6875,-3.3125,4
84143102973,10.5625,-0.875,2.875
84143133019,2.4375,-1.625,3.6875
84143140524,-1.8125,-3.5,3.5625
84143162961,-1.875,-3.875,3.8125
84143185563,-1.75,-3.625,3.0625
84143200513,0.5,-3.0625,2.25
84143223055,0.4375,-2.5,1.1875
84143245482,0.3125,-2.25,0.25
84143259799,0.4375,-3.625,-0.3125
84143290520,4.1875,-3.9375,-0.9375
84143305510,6.375,-3.125,-1.875
84143319811,6.875,-2.125,-1.5
84143342982,5.9375,-1.3125,-1.875
84143373789,4.3125,-0.6875,-1
84143375378,5.625,-0.625,0.0625
84143387381,6.8125,-1.4375,1
84143408403,8.375,-2.75,1.875
84143430872,12,-3.8125,1.5
84143453419,20.5,-5.1875,-0.1875
84143468445,31.375,-4.125,-1.8125
84143490900,31.1875,-2.8125,-1.75
84143513373,18,-3.3125,-1.25
84143528363,5.125,-3.4375,-0.3125
84143550880,1.25,-3.1875,-0.25
84143573483,4.5,-2.4375,-0.5
84143588405,8.0625,-1.6875,-0.8125
84143610952,7.25,-1.125,-0.875
84143627382,3.6875,-0.6875,-0.8125
84143648408,1.375,-0.1875,-0.75
84143670886,0.625,0.1875,-0.3125
84143687370,-0.4375,0.0625,0.1875
84143708379,-0.1875,0.5625,0.25
84143730885,-0.625,1.0625,0.3125
84143747376,-1.5625,1.25,0.4375
84143768364,-3.1875,1.0625,0.9375
84143790890,-4.25,0.6875,0.875
84143807338,-2.9375,0.125,0.25
84143835916,-0.25,0.0625,-0.625
84143850900,1.625,0.4375,-1.4375
84143868346,1.125,0.625,-2.0625
84143888370,-0.0625,0.8125,-1.9375
84143910904,2.125,0.375,-1.1875
84143927262,3.75,-0.1875,-0.3125
84143948388,3.75,-0.1875,0.125
84143970918,1.25,-0.1875,0.6875
84143987348,-2.375,-0.1875,0.3125
84144008465,-4.5625,0.0625,0.375
84144030943,-6.1875,0.3125,1.0625
84144048836,-8.1875,-0.125,1.5625
84144068425,-7.875,-0.0625,2.3125
84144090880,-8.5,-0.125,3.1875
84144108806,-11.5625,-0.8125,3.9375
84144128357,-16.125,-1.0625,3.9375
84144150914,-19,0.3125,3.4375
84144168779,-21.25,0.1875,2.4375
84144188384,-15.875,-0.375,0.0625
84144210864,-5.4375,0.3125,-2.75
