timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82589974457,-2,-2,-1,0,0,0,-1,-1
82589974457,8,1,-1,-1,-3,0,-1,0
82589980007,-4,23,1,0,-1,-1,0,0
82589980007,0,-4,0,1,0,-2,-1,-1
82589986553,-1,-7,-2,-1,-1,-1,-2,-1
82589986553,-6,-4,-1,0,0,-1,0,-2
82589987350,5,-1,-2,-1,1,0,1,-4
82589987350,-1,2,-3,-3,-1,-1,-1,8
82589993719,0,0,-2,-2,-4,0,0,-3
82589993719,-6,-7,-2,-1,0,-1,-2,-4
82590001687,-1,-9,0,0,-1,-2,-2,-1
82590001687,-5,-2,-1,4,-1,-1,-1,-4
82590008036,1,-2,0,-1,-1,0,-1,-2
82590008036,-8,-7,-2,-4,-3,-1,-1,0
82590023023,-3,-5,-3,-2,0,-1,0,-2
82590023023,2,-2,-1,0,2,0,0,-2
82590031903,-3,11,1,0,0,-1,-1,0
82590031903,1,-1,-1,-1,-6,-3,-2,-2
82590046723,-4,-8,-2,-4,-3,-2,-3,-1
82590046723,2,1,-1,0,-3,0,0,-2
82590053805,2,-4,-2,1,3,0,-2,0
82590053805,-12,0,0,-7,3,1,1,1
82590067819,-7,17,-6,-1,-5,-3,-2,-1
82590067819,-2,0,2,-1,-1,-1,1,-1
82590109621,1,0,5,0,-2,-12,-4,-2
82590109621,0,-1,0,-1,1,-3,-1,-1
82590110419,2,0,-1,1,1,6,-3,-1
82590110419,-1,-1,-4,-1,1,-2,-3,-1
82590114117,1,0,-2,2,-1,3,2,-2
82590114117,1,0,-4,-3,-1,0,-2,-2
82590114943,7,2,-5,-2,-2,-1,1,3
82590114943,1,-1,3,-2,-1,-2,-1,-4
82590120328,5,2,3,9,1,3,1,1
82590120328,18,-5,-6,-13,-7,-8,-2,4
82590127843,30,4,-3,1,5,1,-2,4
82590127843,-41,-1,-2,2,-2,3,1,-10
82590136803,39,-2,-2,-6,-1,-7,0,7
82590136803,-100,-13,-6,-9,-3,6,-5,-27
82590150390,21,1,-13,-14,-8,-4,2,10
82590150390,23,-5,-4,9,0,-7,-2,-2
82590166838,28,7,1,27,11,6,-1,17
82590166838,25,7,3,3,-3,0,1,14
82590181786,-5,-5,3,-4,-3,-3,-1,-8
82590181786,-13,3,-2,-3,-1,2,1,-5
82590183463,-84,-21,-9,-17,-10,-2,-8,-29
82590183463,21,2,4,11,3,12,2,-2
82590195452,-16,-4,4,5,9,-25,-1,2
82590195452,19,2,2,-9,-11,4,0,8
82590204378,19,3,-2,-11,3,3,-3,3
82590204378,9,1,-2,10,3,-11,-1,1
82590219326,-13,-1,1,-6,-10,5,-2,-4
82590219326,13,-5,-2,-1,3,1,1,4
82590220849,-3,18,-3,-1,-1,4,-4,-6
82590220849,-10,-5,0,-16,-7,-10,4,0
82590241929,20,9,5,18,13,9,-5,2
82590241929,-20,-4,-3,-2,-2,-2,1,-6
82590243437,17,7,2,7,-1,14,3,25
82590243437,56,0,0,-7,-7,-16,1,2
82590255531,-15,-9,-3,20,6,9,-4,-13
82590255531,-8,2,1,-21,-17,-17,-8,2
82590264366,6,-2,3,5,-1,-13,2,2
82590264366,-22,-4,-1,3,6,10,0,-3
82590279363,10,-3,-2,-5,-1,-6,-4,5
82590279363,-6,2,1,3,4,17,11,-1
82590280885,15,-4,-6,-13,3,13,1,-16
82590280885,6,12,0,-9,-15,-15,-4,-8
82590301841,11,4,2,-9,-16,-7,-8,4
82590301841,-77,-11,-4,10,3,-8,-2,-30
82590303403,-23,-12,-4,-9,1,-1,-1,-2
82590303403,26,6,-3,-3,7,2,-8,-10
82590315470,-23,1,2,10,5,14,14,16
82590315470,57,6,-1,-14,-4,-13,3,22
82590324420,-2,-2,3,50,18,-3,-2,-12
