timestamp,x,y,z
117205042023,0.941406,-0.225098,-0.0112305
117205065704,0.946777,-0.230957,-0.0268555
117205087014,0.954102,-0.223633,-0.0317383
117205102008,0.947754,-0.225586,-0.027832
117205125701,0.94043,-0.231934,-0.0151367
117205147015,0.942871,-0.228516,-0.0205078
117205194714,0.941895,-0.225586,-0.0219727
117205195472,0.942871,-0.224121,-0.0209961
117205207446,0.943848,-0.223633,-0.019043
117205227398,0.943359,-0.224121,-0.0200195
117205245213,0.942871,-0.223145,-0.0136719
117205269090,0.947754,-0.222168,-0.0229492
117205312505,0.947266,-0.223633,-0.0263672
117205313299,0.945801,-0.233398,-0.0200195
117205326819,0.946777,-0.229004,-0.0219727
117205343267,0.952637,-0.232422,-0.0307617
117205365736,0.94873,-0.240723,-0.0205078
117205386807,0.949219,-0.233887,-0.0117188
117205403290,0.940918,-0.226562,-0.0078125
117205425787,0.95166,-0.228027,0.0107422
117205447089,0.960938,-0.240234,0.00732422
117205463341,0.958984,-0.254883,0.000488281
117205485852,0.950684,-0.265625,-0.00146484
117205507076,0.959961,-0.239258,-0.00146484
117205523271,0.958496,-0.21582,-0.00927734
117205545796,0.958008,-0.213867,-0.0102539
117205566794,0.969727,-0.247559,-0.00585938
117205583244,0.98291,-0.28125,0.00390625
117205605765,0.992188,-0.29834,0.0102539
117205626834,1.00195,-0.367188,-0.0385742
117205643310,1.0127,-0.436523,-0.0722656
117205665763,0.995117,-0.578125,-0.117676
117205687036,0.947266,-0.697266,-0.15918
117205703341,0.88623,-0.760254,-0.207031
117205725840,0.815918,-0.820801,-0.244141
117205747102,0.746094,-0.865234,-0.277832
117205763402,0.683105,-0.880859,-0.281738
117205785882,0.61084,-0.895996,-0.276367
117205806820,0.54541,-0.911133,-0.312012
117205823308,0.459961,-0.991699,-0.305176
117205845823,0.382324,-1.02051,-0.331055
117205866877,0.27832,-1.0293,-0.324707
117205883258,0.15918,-1.02246,-0.297852
117205906002,0.0180664,-0.991211,-0.275879
117205950802,-0.0839844,-0.955566,-0.276367
117205957668,-0.11377,-0.988281,-0.28125
117205973804,-0.146973,-0.950684,-0.272949
117205988358,-0.172363,-0.916016,-0.265625
117206010105,-0.146484,-0.843262,-0.282227
117206025823,-0.160645,-0.809082,-0.248047
117206048345,-0.160156,-0.748047,-0.251953
117206070089,-0.137207,-0.770508,-0.21875
117206085891,-0.133301,-0.740723,-0.216309
117206108267,-0.110352,-0.739258,-0.20166
117206129334,-0.119141,-0.679199,-0.209473
117206145760,-0.125,-0.685059,-0.21875
117206168300,-0.065918,-0.67627,-0.179688
117206189717,-0.050293,-0.598145,-0.180664
117206205796,-0.0913086,-0.660156,-0.186035
117206228298,0.122559,-0.833496,-0.243652
117206241853,0.0478516,-1.08887,-0.223633
117206265008,-0.081543,-0.938477,-0.265137
117206287507,-0.0756836,-0.886719,-0.250977
117206301858,-0.0981445,-0.937012,-0.273438
117206324326,-0.123047,-0.942383,-0.310059
117206347504,-0.0981445,-1.00684,-0.31543
117206361867,-0.0922852,-1.03809,-0.380371
117206384315,0.0371094,-1.14648,-0.32666
117206407472,-0.00488281,-1.04785,-0.265625
117206421831,-0.0742188,-0.837402,-0.254883
117206444319,0.0351562,-0.849121,-0.364258
117206467476,0.435059,-1.14258,-0.288086
117206481811,0.500977,-1.51172,-0.273438
117206504350,0.295898,-1.25342,-0.243652
117206527517,0.269043,-1.146,-0.326172
117206549956,0.407227,-1.06592,-0.246582
117206564376,0.468262,-1.37158,-0.330078
117206587489,0.379883,-1.34326,-0.320312
117206601813,0.205078,-1.23242,-0.248535
117206624349,0.157227,-1.05811,-0.231445
117206647470,0.258301,-1.04443,-0.257812
117206661821,0.182129,-1.11963,-0.276367
117206684292,0.0913086,-1.25586,-0.332031
117206707509,0.0112305,-1.32324,-0.405762
117206721804,-0.0800781,-1.375,-0.468262
117206744311,-0.12207,-1.41699,-0.541504
117206767468,-0.0966797,-1.37646,-0.600586
117206781795,0.0273438,-1.37793,-0.618164
117206804324,0.126953,-1.3208,-0.594727
117206827489,0.197266,-1.2124,-0.579102
117206841815,0.298828,-1.12939,-0.579102
117206864373,0.396973,-1.02832,-0.524902
117206887485,0.487305,-0.931641,-0.463379
117206901821,0.555664,-0.825684,-0.384766
117206924335,0.591797,-0.77002,-0.242676
117206947515,0.577148,-0.757812,-0.109863
117206961828,0.57959,-0.758789,-0.0107422
117206984312,0.562012,-0.75,0.0297852
117207007510,0.514648,-0.73584,0.0625
117207021761,0.474121,-0.765625,0.074707
117207044345,0.395996,-0.828125,0.0415039
117207067422,0.241699,-0.924805,0.0107422
117207081817,0.132324,-0.981445,-0.0180664
117207104343,0.129883,-0.993164,-0.0693359
117207127516,0.16748,-1.04883,-0.115234
117207141823,0.0117188,-1.07812,-0.224121
117207164311,0.104004,-1.13428,-0.225586
117207187477,-0.00927734,-1.20312,-0.344238
117207201823,-0.163086,-1.37158,-0.383789
117207232482,-0.241699,-1.35254,-0.526855
117207247494,-0.304688,-1.33252,-0.483398
117207261853,-0.370117,-1.26416,-0.456543
117207284301,-0.64209,-1.20996,-0.599121
117207306753,-0.493652,-1.15576,-0.511719
117207321828,-0.508789,-0.997559,-0.443848
117207344324,-0.649414,-0.936035,-0.474609
117207366843,-0.681641,-0.793457,-0.48877
117207381754,-0.757812,-0.702637,-0.461914
117207404351,-0.906738,-0.538086,-0.401367
117207426814,-0.993652,-0.486328,-0.341309
117207441836,-1.0083,-0.481445,-0.277344
117207464332,-0.989258,-0.502441,-0.206543
117207486810,-0.89209,-0.521484,-0.173828
117207501792,-0.780273,-0.585449,-0.151367
117207524304,-0.705078,-0.586426,-0.150391
117207546790,-0.561523,-0.708984,-0.14209
117207561815,-0.445312,-0.775879,-0.140625
117207585724,-0.310547,-0.790527,-0.120117
117207606796,-0.178711,-0.836426,-0.0834961
117207629955,-0.0610352,-0.897949,-0.078125
117207644328,-0.0327148,-0.932129,-0.101562
117207666831,0.0288086,-0.922363,-0.0976562
117207681825,0.0839844,-0.907715,-0.0883789
117207704313,0.13916,-0.922852,-0.104004
117207726857,0.140625,-0.949219,-0.097168
117207741842,0.111328,-0.880859,-0.106445
117207765751,0.179688,-0.867188,-0.126953
117207786791,0.352051,-0.908203,-0.0991211
117207801792,0.432129,-0.927246,-0.0483398
117207824331,0.411133,-0.891602,-0.0546875
