timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117234526439,15,19,2,1,-1,-2,0,-3
117234526439,-13,-3,0,0,0,0,-2,9
117234527393,8,-6,-2,-2,-3,-1,-2,3
117234527393,1,-2,-3,-1,0,1,-1,-7
117234527916,-5,-5,-3,-2,0,-1,-2,-5
117234527916,-10,3,-1,-1,-1,1,-2,-6
117234528769,-1,1,1,-1,-2,-3,0,-14
117234528769,-2,-1,-2,-3,-3,-1,2,30
117234540823,2,1,-1,1,-2,0,1,-2
117234540823,19,-2,-2,-2,-2,-1,0,0
117234548070,-13,-2,2,-1,0,0,-1,-4
117234548070,-4,21,0,-1,-2,-2,-3,-11
117234555889,-6,-5,-4,-3,-1,0,-3,6
117234555889,11,6,-1,-2,-1,-2,-2,-2
117234569488,-2,3,-3,-1,-2,-2,1,0
117234569488,-3,0,-1,1,-1,-3,0,-3
117234580894,-1,-5,-2,-2,0,0,-1,-2
117234580894,-12,-2,-2,-1,0,-1,0,-4
117234584454,1,3,-1,-2,-1,0,-2,-2
117234584454,-2,-6,-1,-1,0,-3,-2,-13
117234600930,4,-5,-2,-1,-1,-1,1,13
117234600930,2,-2,1,-2,-1,0,-1,-2
117234615444,-3,-3,-1,-3,0,1,-1,-1
117234615444,-1,-7,-1,-1,-2,-1,-1,0
117234647638,-1,-1,-1,0,-1,-2,-1,-1
117234647638,-4,-4,-1,-2,-1,-1,-2,-7
117234648431,9,2,-1,-1,-2,-1,1,12
117234648431,-1,0,-1,-2,-2,0,-1,1
117234649257,-1,-2,1,-1,-1,-1,-2,0
117234649257,0,0,1,-1,-2,0,-2,0
117234651806,-4,-1,-1,-1,0,-4,-2,-6
117234651806,-2,-1,0,0,0,-1,-1,-2
117234667288,0,-1,-2,0,0,-2,-1,0
117234667288,-2,-2,-3,-4,-1,-1,-1,0
117234668178,-2,0,-4,0,-2,-1,0,-1
117234668178,0,-3,0,-1,0,-2,-1,-2
117234675709,-2,-1,-6,-5,-1,-1,0,-3
117234675709,1,0,2,3,-3,-1,-4,-1
117234689175,-2,-8,-3,-5,0,0,-1,-1
117234689175,-2,-1,-3,8,0,-4,-4,-2
117234706357,-2,0,-2,-6,-5,1,1,2
117234706357,-3,0,1,-5,1,-2,1,-4
117234707171,-1,0,6,1,2,3,2,-3
117234707171,-1,0,2,-9,-9,-9,-3,-3
117234719272,-1,-3,2,5,4,-4,-4,-4
117234719272,-1,-1,-7,-26,-8,3,-4,1
117234726669,-1,0,-2,-16,1,-5,-3,-3
117234726669,2,0,2,18,-1,8,6,0
117234735694,-3,-1,0,-11,-5,1,0,3
117234735694,0,-3,-5,18,6,-4,0,1
117234749394,-5,-3,-8,-7,-4,2,-2,-3
117234749394,1,0,-2,-40,-3,-6,-2,3
117234758208,-2,-3,-6,5,-1,-2,0,1
117234758208,0,-2,2,23,6,1,1,-1
117234764265,-2,-11,-4,-4,-9,-7,1,-2
117234764265,-6,-3,-6,13,0,3,-4,-8
117234780769,4,1,5,6,-3,-8,-7,-2
117234780769,6,1,-1,2,7,8,4,4
117234786709,-1,7,1,-6,-1,-3,4,-2
117234786709,8,22,-3,-7,-5,3,5,3
117234795710,-3,-9,1,3,0,3,1,-6
117234795710,-1,1,1,2,-5,-14,-7,7
117234809323,-2,-3,-1,6,-2,-3,-5,-2
117234809323,-6,-2,0,-2,1,1,-2,-6
117234818247,6,6,-2,-9,3,5,2,6
117234818247,-13,-1,-1,-4,-6,5,0,-5
117234824316,-12,5,0,2,-2,-13,-20,-14
117234824316,2,-5,-1,5,5,-2,4,13
117234840740,3,2,-3,4,-3,15,14,-1
117234840740,3,2,0,-7,0,-1,-6,-63
117234846840,28,6,4,8,2,-2,10,43
117234846840,-15,23,1,2,-1,-7,-7,-31
117234855729,-7,-8,0,-3,-2,-9,-7,14
117234855729,-2,0,-5,-9,-12,-15,0,-7
117234869251,-10,-4,0,2,3,16,8,20
117234869251,-9,-1,-2,-3,-1,-16,-9,-26
117234878193,11,0,1,-1,5,1,13,15
117234878193,-7,-1,-1,-6,-7,12,-9,10
117234884405,1,-2,0,9,-3,4,16,-8
117234884405,1,-11,1,3,0,-3,-11,9
117234908890,-14,3,-5,-5,-7,-3,-15,-22
117234908890,0,-6,-5,-4,-10,4,3,-28
117234909708,0,3,1,5,-13,-32,9,11
117234909708,17,-2,6,2,33,53,20,-1
117234915753,9,1,5,6,17,-4,-1,14
117234915753,-2,1,-2,-2,6,11,2,4
117234929452,7,-3,-3,-4,-4,-4,-7,-5
117234929452,-8,-9,-6,-5,-13,-8,-3,-33
117234938197,6,9,0,-2,9,4,-4,41
117234938197,0,-12,-2,-6,-17,-23,-7,-80
117234944404,-5,-4,-1,-1,-1,-36,-11,68
117234944404,-6,-18,-2,2,-13,-15,3,0
117234960712,6,5,-4,0,-3,14,9,36
117234960712,0,5,4,4,7,14,22,15
117234966768,5,0,-1,-1,2,19,-7,-47
117234966768,-6,-3,-2,0,-1,14,-2,-15
117234975740,1,-3,0,-8,-2,-32,-3,13
117234975740,1,0,-2,15,5,12,-2,34
117234989369,-11,-2,-1,-22,-3,2,1,-23
117234989369,-3,-2,-2,-4,-14,-16,-25,22
117234998173,-17,-6,-4,4,-1,-24,-12,-72
117234998173,0,3,0,-7,12,20,-13,5
117235011920,-4,-1,-2,6,-7,-20,21,33
117235011920,6,3,4,5,-7,-18,2,1
117235020752,-14,1,-3,-4,1,53,27,1
117235020752,10,2,6,18,10,-18,-4,2
117235026869,-1,2,4,-15,2,30,1,-21
117235026869,-12,-10,-8,8,2,-20,-5,1
117235035704,-10,-3,0,-2,-25,-33,-35,-25
117235035704,-11,6,-3,-16,5,9,-16,18
117235049411,5,-17,1,11,-7,5,4,-34
117235049411,7,-5,-10,-7,15,-1,12,19
117235058222,-20,-4,2,6,-4,10,-11,-32
117235058222,-11,-5,-7,-11,-19,-38,-11,3
117235071665,-4,0,-7,-1,-5,-20,-28,0
117235071665,5,11,2,5,16,41,34,44
117235080724,18,-11,-3,-2,11,21,23,-15
117235080724,6,-5,5,-2,-20,-19,-7,71
117235086701,-3,4,-2,0,3,-19,-27,-16
117235086701,10,1,5,1,-11,-20,0,48
117235095821,-1,3,-5,1,1,13,23,34
117235095821,10,-2,-3,-11,1,2,3,-18
117235109256,-4,3,3,15,10,-3,-20,-5
117235109256,-7,-1,-2,7,-7,-8,-13,-26
117235125696,-3,3,4,-1,-12,-8,-6,-34
117235125696,-2,9,3,11,12,-2,20,14
117235131761,-3,-23,-15,-15,7,48,0,-37
117235131761,2,-7,-4,-33,-11,-24,-23,-20
117235140691,-1,-1,0,29,10,24,1,12
117235140691,-4,19,14,19,8,-8,-4,5
117235178134,13,2,-4,1,-5,21,21,30
117235178134,-34,-6,0,14,-10,-23,-15,-26
117235179748,9,0,5,-18,-14,-29,-1,-1
117235179748,0,-5,1,-17,9,19,7,16
117235184247,8,8,8,1,-6,-13,-16,-22
117235184247,4,-3,4,23,14,11,9,-7
117235193186,-5,-4,-9,-23,-2,10,-3,-10
117235193186,0,-8,-5,-7,-7,-14,3,-16
117235206830,9,5,2,3,9,16,7,25
