timestamp,x,y,z
117295236510,-1.5,-0.1875,0.8125
117295259188,-1.1875,-0.25,0.5
117295275347,-1,0,0.25
117295296707,-1,0.125,0.5
117295320382,-1.1875,0.125,0.4375
117295335385,-1.3125,0.0625,0.3125
117295356665,-0.8125,0.125,0.1875
117295380385,-0.25,0.1875,0.375
117295410957,-0.125,0.3125,0.375
117295420298,-0.125,0.3125,0.3125
117295440962,-0.1875,0,0.6875
117295456612,-0.3125,-0.0625,0.6875
117295477318,-0.0625,0.0625,0.6875
117295500896,0.3125,0.3125,0.6875
117295528979,0.5,0.25,0.75
117295541503,0.875,0.125,0.9375
117295559629,1.875,0,1
117295574037,3.5625,-0.3125,1.0625
117295597197,4.3125,-1.3125,1.0625
117295619683,5.625,-3.1875,2.8125
117295634006,8.125,-4.75,6.0625
117295657191,7.5625,-6.75,14.1875
117295679665,2.6875,-10.0625,24.5625
117295693985,-5.5625,-15.6875,43.3125
117295717204,-10.9375,-24.625,61.9375
117295739724,-18.375,-35.8125,86.4375
117295755574,-23.875,-47.625,110.875
117295776599,-16.9375,-58,135.25
117295799997,-7.125,-66.5,160.125
117295814213,12.0625,-73,178.938
117295836481,21.75,-80.125,202.875
117295859880,26.75,-90.5625,221.562
117295874096,32.4375,-101.438,239.812
117295896842,31.0625,-105.5,252.5
117295919710,29,-105.938,263.25
117295934308,17.1875,-112.875,272.812
117295957942,7.3125,-124.875,279
117295979657,2.125,-140.188,284
117295994063,6.625,-150.375,283.875
117296016675,14.3125,-155.5,273.375
117296039882,19.5,-159.688,256.125
117296055432,27.4375,-164.312,241.188
117296076729,30.625,-170.375,229.562
117296099695,30.9375,-171.812,207.688
117296115522,22.0625,-168.688,186.5
117296136536,16.0625,-161.438,158.375
117296159951,10.875,-147.062,120.688
117296175505,4.875,-126.812,86.1875
117296196526,-2.6875,-107.625,51.5
117296219723,-2.4375,-81.9375,22.3125
117296235927,-11,-54.6875,-6.5625
117296256577,-26.3125,-29.125,-30.875
117296279857,-37.125,-6.4375,-50.9375
117296295485,-44.625,14.25,-66.625
117296316700,-51.0625,32.375,-75.125
117296339858,-55.125,60.125,-79
117296363778,-55,93.375,-85.0625
117296384833,-49.4375,126.938,-101.938
117296399933,-50.875,151.5,-130.25
117296415482,-47.5,160.312,-145.125
117296436538,-36.4375,164,-150
117296461166,-25.25,168,-168.875
117296483566,-24.375,168.5,-198.125
117296496466,-12.375,166.5,-219.562
117296518986,33,160.625,-214.688
117296535435,73.9375,151.438,-219.812
117296572961,81.5,139.125,-249.812
117296581170,54,120.875,-270.562
117296595557,31.6875,97.1875,-248.375
117296616614,31.25,85.5625,-220.312
117296639101,21.4375,75.8125,-189.375
117296661723,-11.1875,66.125,-149.062
117296676712,-4.3125,57.8125,-88.0625
117296699282,14.5625,38.6875,-43.5625
117296715478,29.125,16.25,-15.4375
117296736546,29.6875,-4.9375,8.625
117296759250,17.4375,-32.125,36.6875
117296775641,14.25,-52.9375,63.875
117296796745,29.5,-71.9375,89.25
117296819093,40.5625,-92.1875,113
117296835509,49.3125,-112.312,140.375
117296864924,57,-135.188,157.438
117296879068,58.125,-161,173.312
117296895584,56.75,-185.938,185.75
117296916777,64.5625,-208.438,191.438
117296940544,63,-234.062,204.688
117296955566,78.375,-248.5,218.5
117296976566,108.188,-239.125,210.75
117296999321,128.5,-224.125,195.688
117297015479,130.5,-204,177.375
117297037944,115.312,-168.5,160.875
117297059207,89,-139.812,143.938
117297075457,66.5,-115.688,119
117297097985,50,-91,96.0625
117297119049,41.8125,-72.5625,78
117297135590,28.625,-45.125,69
