timestamp,x,y,z
83230942133,0.954102,-0.221191,-0.012207
83230956637,0.950684,-0.225586,-0.0131836
83230979553,0.95459,-0.220215,-0.00195312
83231002073,0.959473,-0.217285,0.00439453
83231016404,0.959473,-0.213867,-0.00146484
83231039587,0.953613,-0.205566,0.012207
83231062071,0.959961,-0.225098,0.00146484
83231083118,0.959961,-0.25293,-0.00292969
83231099549,0.947754,-0.301758,-0.00292969
83231122074,0.9375,-0.388672,-0.0126953
83231143130,0.934082,-0.435547,-0.0244141
83231159639,0.9375,-0.432617,-0.0283203
83231182095,0.917969,-0.458008,-0.0341797
83231203135,0.909668,-0.494629,-0.0605469
83231219593,0.909668,-0.538574,-0.0981445
83231242123,0.905273,-0.609863,-0.123535
83231263174,0.875977,-0.654785,-0.136719
83231279593,0.838867,-0.701172,-0.155273
83231302088,0.817383,-0.748535,-0.187988
83231323159,0.793457,-0.827637,-0.216309
83231338912,0.734863,-0.907715,-0.240723
83231362163,0.674316,-0.964844,-0.25293
83231383138,0.597656,-1.00635,-0.257812
83231398916,0.532227,-1.03955,-0.254395
83231422069,0.45752,-1.0874,-0.254395
83231443132,0.375488,-1.1333,-0.272461
83231458907,0.200195,-1.21436,-0.275391
83231482100,-0.125488,-1.19385,-0.410645
83231510634,-0.236328,-1.30811,0.0356445
83231518928,-0.390137,-1.30664,-0.0810547
83231542135,-0.84082,-1.19141,-0.636719
83231564527,0.317383,-0.96875,-0.257812
83231578963,-0.338867,-1.11377,0.111328
83231602097,-0.746094,-0.892578,-0.65332
83231624584,0.437012,-0.805176,0.0776367
83231638907,-0.848145,-0.938477,-0.10791
83231662070,-0.246094,-0.601074,-0.503906
83231684578,0.193359,-0.710449,0.28125
83231705623,-0.967773,-0.666992,-0.327148
83231722066,-0.17041,-0.360352,-0.452637
83231744607,0.307129,-0.486816,0.312012
83231765709,-0.175293,-0.541504,0.19043
83231782064,-0.234863,-0.469727,-0.101074
83231804529,-0.259277,-0.51123,-0.0478516
83231825657,-0.213379,-0.503418,-0.0307617
83231842088,-0.272949,-0.51709,0.0517578
83231864576,-0.175781,-0.742676,0.0117188
83231885661,-0.241211,-1.06836,0.00976562
83231902119,-0.369629,-0.84082,-0.0644531
83231924601,-0.317383,-0.837891,-0.10498
83231945731,-0.335449,-0.911133,-0.0541992
83231962108,-0.401367,-1.0708,-0.0947266
83231984634,-0.34375,-1.16455,-0.0854492
83232005620,-0.444824,-1.08545,-0.158691
83232022080,-0.312012,-1.00439,-0.197266
83232044558,-0.356934,-1.04443,-0.248047
83232065609,-0.396484,-1.04443,-0.298828
83232082113,-0.274902,-1.10059,-0.320801
83232104578,-0.218262,-1.16357,-0.300781
83232125611,-0.203613,-1.12744,-0.268555
83232142068,-0.164062,-1.0459,-0.282715
83232164616,-0.0600586,-1.01367,-0.260742
83232185676,0.0546875,-1.10596,-0.33252
83232201398,0.0712891,-1.07129,-0.35498
83232224561,0.12793,-0.979492,-0.341309
83232245615,0.165527,-0.990723,-0.404297
83232261397,0.222168,-1.13428,-0.379883
83232284607,0.262695,-1.21387,-0.352539
83232305668,0.266113,-1.24658,-0.312988
83232321414,0.27832,-1.15137,-0.286621
83232344571,0.261719,-1.05225,-0.258301
83232365584,0.163574,-1.13623,-0.26709
83232381384,0.0595703,-1.30322,-0.333496
83232404648,-0.0488281,-1.36523,-0.297363
83232427061,-0.152832,-1.34814,-0.251953
83232441433,-0.26709,-1.25293,-0.286133
83232464606,-0.291992,-1.18262,-0.341309
83232487089,-0.338867,-1.2417,-0.370605
83232508100,-0.35498,-1.2749,-0.410156
83232524574,-0.365723,-1.27783,-0.450684
83232547118,-0.311035,-1.26123,-0.495117
83232568132,-0.248047,-1.25146,-0.524414
83232584588,-0.15332,-1.24756,-0.602539
83232607037,-0.0791016,-1.18164,-0.597656
83232628128,-0.10791,-1.14746,-0.577148
83232644580,-0.186523,-1.18799,-0.570312
83232667068,-0.122559,-1.2417,-0.520996
83232688106,-0.0458984,-1.23389,-0.467773
83232704609,0.0444336,-1.10986,-0.388672
83232727128,0.142578,-1.00146,-0.306152
83232748108,0.244629,-0.937012,-0.265137
83232764556,0.347168,-0.824219,-0.186523
83232787091,0.472656,-0.701172,-0.141113
83232808132,0.578125,-0.652832,-0.0839844
83232824589,0.601562,-0.702637,0.00488281
83232847087,0.58252,-0.741699,0.050293
83232868092,0.592285,-0.804199,0.0986328
83232884590,0.538574,-0.882812,0.0751953
83232907018,0.22998,-0.960938,0.140625
83232928148,0.320312,-0.98291,0.24707
83232944613,0.353027,-1.16162,0.186523
83232967068,0.0644531,-1.15039,-0.050293
83232988147,-0.116211,-1.06836,-0.183105
83233004559,-0.148926,-1.13232,-0.148438
83233027137,-0.113281,-1.22607,-0.20752
83233048145,-0.190918,-1.15771,-0.215332
83233064607,-0.111816,-1.16064,-0.251465
83233087064,-0.210449,-1.35107,-0.369629
83233108148,-0.295898,-1.43652,-0.391113
83233124595,-0.317383,-1.35986,-0.342773
83233147065,-0.339355,-1.38477,-0.416992
83233168113,-0.404297,-1.44189,-0.457031
83233184607,-0.418457,-1.39111,-0.382812
83233207067,-0.299805,-1.28174,-0.371094
83233228138,-0.331055,-1.16943,-0.349121
83233243974,-0.320312,-1.07715,-0.405762
83233267030,-0.237305,-1.02734,-0.379883
83233288122,-0.27002,-0.937988,-0.39209
83233303904,-0.248535,-0.945801,-0.350586
83233327092,-0.340332,-0.942871,-0.240723
83233348169,-0.533203,-0.869629,-0.193359
83233363927,-0.762695,-0.646973,-0.165527
83233387112,-0.898926,-0.53418,-0.154785
83233408109,-0.984863,-0.381348,-0.124512
83233423884,-0.990723,-0.376953,-0.00585938
83233446879,-0.882812,-0.522949,0.111328
83233469585,-0.746094,-0.711426,0.143066
83233490616,-0.542969,-0.933105,0.170898
83233507066,-0.425293,-0.978027,0.135742
83233529587,-0.36377,-0.916016,0.136719
83233550630,-0.222656,-0.862793,0.142578
83233567105,-0.0683594,-0.884277,0.135742
83233589549,0.0126953,-0.970703,0.10498
83233610607,0.122559,-1.02002,0.059082
83233627109,0.20166,-1.02734,0.0537109
83233649582,0.186523,-0.976562,0.0332031
83233670591,0.0966797,-0.896484,-0.00488281
83233687044,0.097168,-0.868652,-0.0786133
83233709607,0.239746,-0.878418,-0.109863
83233730640,0.333496,-0.948242,-0.124023
83233747066,0.279297,-0.956055,-0.167969
83233769601,0.214844,-0.939941,-0.153809
83233798124,0.317383,-0.931641,-0.206543
83233806843,0.491699,-0.825195,-0.187988
83233829569,0.656738,-0.750977,-0.0810547
83233852088,0.723145,-0.671875,-0.0283203
83233867101,0.845703,-0.580078,0.0273438
83233889515,1.12646,-0.552246,0.0512695
83233910599,1.20801,-0.646973,0.00244141
83233927088,1.13232,-0.625977,-0.0576172
83233949565,1.14893,-0.567871,0.0249023
83233970582,1.31201,-0.507324,0.0883789
83233987870,1.29541,-0.363281,0.162598
83234009530,1.12842,-0.242676,0.189941
83234030594,1.0415,-0.224609,0.181641
83234047047,1.00195,-0.214844,0.178223
83234069599,1.00293,-0.193359,0.137695
83234090603,1.0127,-0.206543,0.110352
83234106367,0.983398,-0.211914,0.0625
83234129594,0.960938,-0.210449,0.0224609
83234150670,0.935547,-0.197754,-0.00585938
83234174566,0.92041,-0.192871,-0.0126953
83234189561,0.932129,-0.232422,-0.00488281
83234210568,0.949219,-0.34082,-0.0253906
83234226439,0.967773,-0.34082,-0.0219727
83234249604,0.988281,-0.254395,0.0214844
83234270641,0.980957,-0.199219,0.0483398
83234286421,0.971191,-0.160156,0.0708008
83234309563,0.954102,-0.157227,0.0488281
83234330609,0.950195,-0.178223,0.0439453
83234347092,0.97168,-0.203125,0.0219727
83234369550,0.96875,-0.192871,-0.00341797
83234392052,0.946289,-0.166016,-0.043457
83234406469,0.956543,-0.146973,-0.0424805
83234413864,0.965332,-0.148438,-0.0336914
83234434960,0.956055,-0.170898,-0.0327148
83234457474,0.949219,-0.172363,-0.0229492
