timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
116909967329,0,-1,-1,-1,1,-1,-1,-1
116909967329,-2,-1,-1,-2,0,0,2,-1
116909968456,-2,-2,0,-2,0,0,-1,-2
116909968456,-1,-2,-1,0,-2,-1,1,-2
116909972474,-2,0,-1,0,-2,-1,-1,-1
116909972474,-1,-1,0,-1,0,-2,-1,0
116909973170,-1,1,-3,-1,-1,-2,-2,0
116909973170,-1,1,0,-1,-1,0,-1,0
116909978177,-1,-2,0,-1,-2,-1,-1,-2
116909978177,-1,-2,-3,0,-1,-1,-2,-2
116909986681,1,-1,-2,1,-2,-1,-1,1
116909986681,-1,-2,-4,-1,-1,-3,-2,-1
116909994495,-2,-4,-1,0,-1,0,-1,-2
116909994495,-1,-1,0,0,-2,-1,-1,-1
116910008663,-1,-1,1,0,1,-2,-1,-1
116910008663,-1,1,1,-2,-2,0,0,1
116910016671,0,1,0,-3,-2,-2,0,0
116910016671,0,0,-2,-2,-1,1,-1,-2
116910039454,0,-2,-1,-1,-3,-1,0,-1
116910039454,-2,-3,0,0,0,-2,-1,-1
116910041117,-1,-2,-2,-3,1,-2,-2,-2
116910041117,-2,0,0,-1,-1,-1,-2,0
116910086250,0,-2,1,-1,-1,-1,-2,1
116910086250,-1,-2,-2,-1,-1,-3,-1,-2
116910087149,-2,-1,-1,-3,-2,-1,-1,-2
116910087149,-1,0,-1,0,-1,-1,-1,-1
116910087851,1,1,0,1,1,1,1,1
116910087851,0,-1,-1,1,0,-1,1,0
116910090954,1,-1,-2,-2,-1,-3,0,0
116910090954,-1,-1,-1,-1,-1,-2,-3,-3
116910097753,-2,0,-3,-1,-2,0,0,0
116910097753,-3,0,0,-4,0,-1,-1,-1
116910105356,-2,-2,0,2,-1,-1,0,0
116910105356,-3,0,-2,0,0,0,-1,-2
116910114324,-1,-3,-1,-1,-2,-1,-4,-1
116910114324,-1,-2,1,0,-2,-1,-2,0
116910128526,-1,-1,-2,-3,1,0,0,-1
116910128526,-2,-2,0,2,-1,0,-1,-1
116910135252,-3,0,-2,-3,-2,-2,0,-5
116910135252,0,0,-2,0,-1,0,-1,0
116910159204,0,0,-2,-5,-2,-1,-2,-2
116910159204,-3,-2,-4,-5,-5,-7,-1,0
116910160747,-1,0,-1,2,3,3,-1,-2
116910160747,0,-1,-1,4,4,5,1,3
116910172789,3,3,4,5,1,12,2,2
116910172789,0,10,3,-6,-1,-12,-1,0
116910181802,-1,-4,0,7,-5,-5,-2,-2
116910181802,-5,-2,-2,-1,-7,-4,-2,-5
116910196720,-2,-3,-3,-2,4,1,-1,-3
116910196720,0,1,-2,-1,-5,-5,-4,0
116910198301,-1,0,0,0,2,1,-3,0
116910198301,-2,0,-1,-4,3,3,2,-7
116910226829,-4,2,2,6,-1,-5,-6,-34
116910226829,3,-7,-2,-9,7,9,5,82
116910228324,1,-1,-5,-9,-6,-10,-8,-5
116910228324,0,-2,0,2,1,0,3,3
116910233078,0,-2,-3,-9,0,13,4,11
116910233078,-3,3,-1,-1,-7,-18,-2,-30
116910241770,-3,-4,1,4,-6,0,-4,-5
116910241770,0,3,4,4,-3,2,-6,4
116910256763,-8,-3,5,6,4,-6,3,19
116910256763,-1,-7,-12,-20,0,11,-1,-13
116910258308,1,1,-2,-6,0,-3,2,6
116910258308,-3,-2,-6,-5,-7,2,-6,-11
116910279285,-8,0,1,7,-4,-7,-14,-34
116910279285,10,-8,3,4,0,-12,4,-6
116910280861,2,5,1,-3,5,5,-7,-6
116910280861,6,-2,3,3,2,-1,12,29
116910292906,0,-4,-2,-5,-5,-3,4,6
116910292906,-1,12,-1,2,0,6,-3,-4
116910301849,2,-5,-6,-4,-7,-5,-5,-9
116910301849,-1,0,2,2,2,-17,-5,-20
116910316861,-10,-9,-7,-1,1,-1,-8,5
116910316861,7,1,2,5,-3,8,0,-13
116910318365,-10,-3,-2,0,-8,-7,-9,-32
116910318365,-5,-1,-4,-9,10,20,16,12
116910339376,10,2,-2,-1,-7,-7,-1,-3
116910339376,-7,-10,-1,5,4,7,-6,18
116910340866,-30,-2,-5,-6,0,-5,-2,-76
116910340866,11,-13,1,-1,-15,-22,3,33
116910352950,-3,-4,-7,-3,7,11,-2,14
116910352950,14,1,3,14,1,35,4,-14
116910361838,1,-3,-5,-15,-2,-44,3,34
116910361838,21,9,1,-1,2,6,-8,8
116910384284,-32,-14,1,1,2,9,15,-27
116910384284,-25,-8,-3,-2,4,1,-9,-21
116910385779,5,3,3,4,-1,19,5,25
116910385779,-18,-4,-1,0,-1,-14,-12,7
116910399338,51,10,-6,-10,-9,9,4,39
116910399338,-27,-4,1,-1,-5,-11,-1,-7
116910400824,24,-4,-6,0,0,16,12,36
116910400824,-12,1,0,-6,-4,-30,-19,-52
116910413079,-46,6,4,7,9,11,-18,-57
116910413079,-17,10,-2,-8,-14,-23,2,57
116910421790,21,0,2,7,10,10,18,19
116910421790,-3,-3,-11,-6,-1,60,9,-1
116910436992,-14,-10,-12,-14,-22,-80,-9,19
116910436992,37,8,9,9,2,17,8,-24
116910438392,-3,3,5,0,0,31,-8,48
116910438392,-16,-1,0,2,8,-34,2,-9
116910459424,10,7,17,4,2,10,-30,-10
116910459424,12,1,-7,2,-4,-7,17,9
116910460815,2,-3,3,-3,1,7,15,-2
116910460815,-3,-7,-9,-5,-2,-14,-26,-63
116910473082,28,17,4,9,7,1,21,49
116910473082,-3,8,6,5,-1,-1,-13,-35
116910481832,-76,-28,-15,-5,-6,1,-22,-52
116910481832,3,-5,-1,5,-5,7,4,-3
116910496884,27,9,1,5,5,13,8,-1
116910496884,28,-5,-7,-7,4,-24,9,43
