timestamp,roll,pitch,yaw
116919285356,-1.65491,-1.29929,-2.24051
116919322992,-1.6523,-1.29867,-2.24267
116919331715,-1.65173,-1.29861,-2.24431
116919346693,-1.6491,-1.29812,-2.2468
116919367996,-1.64673,-1.29738,-2.24896
116919391686,-1.64409,-1.2967,-2.25181
116919406719,-1.6412,-1.29578,-2.25481
116919458782,-1.63892,-1.29469,-2.25796
116919459547,-1.63513,-1.29282,-2.2616
116919474376,-1.62947,-1.29018,-2.26567
116919489456,-1.62297,-1.28707,-2.27005
116919514429,-1.61379,-1.28336,-2.27643
116919545162,-1.60487,-1.27866,-2.28383
116919585310,-1.59591,-1.2716,-2.29313
116919595470,-1.58865,-1.26146,-2.30283
116919596294,-1.58152,-1.24914,-2.31258
116919617442,-1.57318,-1.23476,-2.32166
116919630307,-1.56486,-1.21626,-2.33001
116919652926,-1.56144,-1.19309,-2.33646
116919670859,-1.56525,-1.16406,-2.33779
116919690432,-1.57833,-1.12827,-2.33287
116919713097,-1.59271,-1.08271,-2.32704
116919730920,-1.60404,-1.02702,-2.32123
116919750378,-1.6122,-0.960896,-2.31416
116919773068,-1.62029,-0.885007,-2.30485
116919790764,-1.62615,-0.799854,-2.29483
116919810514,-1.62811,-0.706455,-2.28547
116919832866,-1.62413,-0.607139,-2.27523
116919850803,-1.61832,-0.504017,-2.2637
116919870311,-1.60949,-0.399356,-2.2531
116919892806,-1.60194,-0.292792,-2.24243
116919910990,-1.59704,-0.187354,-2.23098
116919930398,-1.59206,-0.0822098,-2.21775
116919953053,-1.58521,0.022124,-2.20306
116919970857,-1.57858,0.123959,-2.18614
116919991859,-1.56963,0.223234,-2.16719
116920012814,-1.55682,0.318839,-2.14602
116920030742,-1.54498,0.40856,-2.122
116920051747,-1.53171,0.489859,-2.0955
116920072821,-1.51541,0.562505,-2.06686
116920090693,-1.49651,0.624367,-2.03782
116920111817,-1.47678,0.675282,-2.00943
116920132907,-1.45874,0.71633,-1.98362
116920150751,-1.44587,0.746257,-1.9627
116920171754,-1.4386,0.765764,-1.95118
116920192839,-1.43292,0.775838,-1.94661
116920210858,-1.4265,0.778035,-1.95098
116920231079,-1.42004,0.769885,-1.968
116920253817,-1.41376,0.751894,-1.99703
116920269924,-1.41811,0.713415,-2.03656
116920292430,-1.42895,0.654731,-2.07988
116920313697,-1.44956,0.567176,-2.12491
