timestamp,x,y,z
116959860168,0.75,0,0.0625
116959883996,0,0,0.1875
116959899036,0.4375,0.0625,0.0625
116959920331,0.1875,0.0625,0.375
116959944050,-0.125,0.0625,0.5625
116959959037,-0.6875,0,0.4375
116959981549,-0.625,0.1875,0.375
116960035648,0.1875,0.25,0.0625
116960036439,0.25,-0.125,0.25
116960043755,0.6875,-1.25,0.625
116960057538,2.1875,-2.6875,1.625
116960078540,2.25,-3.875,3.25
116960101544,5.875,-3.25,5.6875
116960145154,9.6875,-0.8125,11.8125
116960155267,-1.625,0.6875,26.3125
116960161558,-16.5,1.125,45.3125
116960184801,-23.75,-3.25,66.3125
116960199131,-22.125,-5.875,84.3125
116960228326,-18.9375,-4.5,106.625
116960244462,-11.9375,-4.5625,135.688
116960267421,-11,-4.0625,163.562
116960289807,-22,-7.3125,196.5
116960304171,-18.1875,-9.9375,222.562
116960334746,-11,-14.5625,250.812
116960349774,-8.375,-19.75,278.062
116960364141,9.5,-22.375,300.875
116960387265,17.875,-21.375,319.25
116960409848,21.375,-22.0625,325.562
116960430927,13.4375,-25.125,330.938
116960447477,12.25,-29.875,330.438
116960469813,-1.5,-31.875,323.625
116960490838,-1.5625,-42.625,317.062
116960497713,9,-50.8125,309.688
116960520208,21.4375,-53.3125,293.688
116960535375,18.0625,-53.375,279.75
116960557760,6.8125,-55.6875,254.625
116960580468,-0.1875,-60,229.062
116960598256,-5.4375,-61.375,203.812
116960617838,-3.4375,-57.0625,173.125
116960640264,-3.375,-52.6875,142.25
116960655357,-8.125,-45.8125,115.875
116960677695,-16.8125,-33.8125,82.75
116960700330,-21.875,-21.4375,49.4375
116960715307,-12.9375,-1.9375,18.1875
116960737763,0.625,25.6875,-20.5625
116960760269,26.3125,61.0625,-63.6875
116960775295,52.1875,84.75,-104.625
116960799234,39.875,92.25,-152.188
116960820451,7,95.4375,-233.375
116960835386,-64.5,69,-264.938
116960857840,-105.188,36.625,-210.188
116960889276,-55.9375,-7.75,-68.25
116960895329,-2.3125,-21.5,77.3125
116960917819,44.625,-20.4375,141.25
116960940428,26.5,-54.625,152.938
116960955330,-15.625,-87.875,147.875
116960977952,-22.625,-83.375,150.25
116961000456,-3.1875,-74.5625,137.5
116961015300,4.625,-67.375,116.562
116961037941,4.375,-59.5,95.1875
116961060498,-16.3125,-48.875,65.9375
116961075380,-26.5,-37.8125,29.375
116961097783,-14,-14.5,-11
116961120224,10.5625,16.3125,-46.5
116961135230,23.875,47.125,-85.6875
116961157882,32.4375,73.625,-122
116961180325,28.25,91.9375,-159.75
116961196660,10.75,102.438,-216.125
116961217827,-12.75,102.938,-272.562
116961240154,-22.875,90.5625,-238.625
116961255135,-32.625,55.4375,-168.125
116961277658,-24.8125,9.9375,-25.875
116961300206,2.375,7.375,36.625
116961315234,15.75,0.9375,79.4375
116961337695,11.625,-17.8125,70.1875
116961368321,8.8125,-27.625,49.9375
116961376630,14.6875,-25.5,32.4375
116961397718,22,-21.5,1
116961420187,21.25,-20.375,-33.75
116961445726,11.5,-23.875,-72.375
116961457676,-9.5,-28.8125,-110
116961480207,-24.0625,-26.625,-131.25
116961496628,-17.1875,-16.625,-137.25
116961517697,-2.3125,-6.625,-147.5
116961540201,12.5,-1.5625,-154.938
116961556653,30.375,-2.1875,-167.438
116961577714,45.5,-5,-178.75
116961600192,61.75,-7.5,-191.938
116961616687,55.25,-14.125,-207.062
116961637658,28.1875,-11.6875,-216
116961660170,9.75,-6.4375,-227.312
116961676615,-3.625,-2.25,-236.125
116961697673,-5.125,-3.625,-236.062
116961723192,14.6875,-1.3125,-232.812
116961738174,24.375,1.6875,-233.938
116961757743,6,0.1875,-235.125
116961780179,-18.1875,-2.9375,-227.562
116961798092,-24.5,-5.8125,-214.188
116961817692,-7.9375,-4.4375,-199.375
116961847693,18.8125,-2.375,-185.875
116961858405,27.125,-0.0625,-170.438
116961877676,4.125,0.4375,-152.25
116961900176,-28.6875,1.9375,-134.562
116961925621,-48.1875,5,-116.812
116961937717,-55.375,9.9375,-100.25
116961960193,-55.5,13,-85.3125
116961978171,-53.875,11.875,-71.5
116961997633,-53.5,8.5625,-57.75
116962020418,-53.625,4.9375,-43.125
116962038113,-44.4375,1.875,-29.75
116962057882,-27.75,-1.3125,-17.8125
