timestamp,x,y,z
116988983967,0.938965,-0.220703,0.0131836
116988998924,0.946289,-0.222168,0.012207
116989020223,0.94873,-0.225586,0.0136719
116989043921,0.95459,-0.229004,0.00878906
116989058925,0.945312,-0.222168,0.0170898
116989065303,0.945312,-0.222656,0.0200195
116989119639,0.948242,-0.224609,0.00585938
116989121761,0.950684,-0.224121,0.0131836
116989133178,0.95459,-0.224609,0.0136719
116989151674,0.946289,-0.221191,0.0180664
116989182309,0.943359,-0.223145,0.0141602
116989200912,0.945312,-0.225586,0.0131836
116989217521,0.945312,-0.222656,0.0112305
116989252531,0.952637,-0.224609,0.0146484
116989262640,0.950684,-0.222656,0.0102539
116989269037,0.947754,-0.22168,0.00732422
116989290772,0.946777,-0.217285,0.0141602
116989306549,0.945801,-0.21875,0.0131836
116989337119,0.944336,-0.221191,0.0180664
116989351501,0.945801,-0.223633,0.00927734
116989374669,0.949707,-0.21875,0.0141602
116989397160,0.948242,-0.226074,0.0146484
116989411541,0.944336,-0.231934,0.0166016
116989434630,0.941406,-0.228516,0.0185547
116989457427,0.946777,-0.240234,0.0175781
116989472026,0.945801,-0.240234,0.0258789
116989494683,0.933105,-0.256348,0.0424805
116989517257,0.930664,-0.274414,0.0424805
116989531643,0.949707,-0.276367,0.0405273
116989554674,0.953125,-0.291992,0.065918
116989577272,0.950195,-0.365723,0.0576172
116989598502,0.947266,-0.438477,0.0693359
116989614802,0.990234,-0.46875,0.0786133
116989637281,0.967773,-0.427734,0.0947266
116989658309,0.975098,-0.464355,0.0913086
116989674658,0.964844,-0.532227,0.0512695
116989697151,0.941406,-0.616699,0.034668
116989718230,0.962402,-0.652832,0.00732422
116989734670,0.927734,-0.75,-0.0371094
116989757191,0.868164,-0.864746,-0.0712891
116989778246,0.849121,-0.963379,-0.117676
116989794759,0.798828,-1.00928,-0.137695
116989817195,0.726562,-1.02832,-0.135742
116989838484,0.616699,-1.05176,-0.13916
116989854154,0.53418,-0.996582,-0.0986328
116989877162,0.446289,-1.01318,-0.0854492
116989898460,0.328613,-1.01562,-0.097168
116989914084,0.29248,-1.03467,-0.100586
116989937296,0.211914,-1.04004,-0.108887
116989958337,0.131836,-1.01367,-0.102051
116989974133,0.0776367,-0.967773,-0.0761719
116989997186,0.0341797,-0.888672,-0.0576172
116990018355,-0.0795898,-0.79541,-0.0678711
116990034109,-0.163086,-0.816406,-0.0820312
116990057288,-0.182617,-0.789551,-0.0532227
116990085791,-0.229004,-0.716797,-0.0620117
116990094197,-0.266602,-0.620117,-0.0283203
116990118723,-0.310059,-0.539062,0.012207
116990139739,-0.369629,-0.536621,0.0366211
116990154139,-0.422363,-0.552734,0.0644531
116990177207,-0.446777,-0.571289,0.125977
116990199730,-0.544922,-0.555176,0.182129
116990220978,-0.712891,-0.552246,0.205078
116990243243,-0.790039,-0.572754,0.246094
116990259787,-0.836914,-0.665527,0.248535
116990289761,-0.892578,-0.722656,0.176758
116990303432,-0.654297,-0.857422,0.225098
116990319673,0.0268555,-1.125,-0.0454102
116990342247,0.428711,-1.65039,-0.300293
116990363240,0.600098,-1.74951,-0.280762
116990379074,0.0712891,-1.41162,-0.313477
116990402420,-0.642578,-0.969238,-0.28125
116990423256,-0.866211,-0.909668,-0.128906
116990439164,-0.54541,-0.976562,-0.0200195
116990462186,-0.590332,-0.910156,0.0629883
116990490950,-0.730957,-0.79541,0.0776367
116990499068,-0.728027,-0.598633,0.0751953
116990522202,-0.6875,-0.514648,0.0776367
116990543247,-0.750488,-0.489258,0.09375
116990559066,-0.669434,-0.444824,0.139648
116990582699,-0.626953,-0.433105,0.20166
116990604623,-0.616211,-0.448242,0.246582
116990619092,-0.680664,-0.447754,0.239746
116990642293,-0.730957,-0.463379,0.225586
116990664749,-0.822266,-0.530273,0.23877
116990679134,-0.910156,-0.678223,0.205078
116990702260,-0.901855,-0.708008,0.103027
116990724672,-0.356934,-0.987305,0.0844727
116990745694,0.509766,-1.27588,-0.259766
116990762257,0.871094,-1.58057,-0.331543
116990784882,0.643066,-1.604,-0.381836
116990806006,-0.126465,-1.15576,-0.29834
116990822152,-0.617676,-0.830566,-0.173828
116990844743,-0.58252,-0.763184,0.00292969
116990865786,-0.391113,-0.800781,0.09375
116990872555,-0.400879,-0.805664,0.100098
116990887724,-0.465332,-0.798828,0.0742188
116990910069,-0.460938,-0.761719,0.0458984
116990932633,-0.411133,-0.763184,0.0507812
116990947820,-0.31543,-0.821289,0.0366211
116990970378,-0.228516,-0.861816,0.0161133
116990992826,-0.143555,-0.881836,0.00439453
116991007742,-0.0927734,-0.900391,-0.0371094
116991030262,-0.0913086,-0.886719,-0.0537109
116991052553,-0.0913086,-0.921387,-0.0654297
116991067630,-0.0375977,-0.968262,-0.0683594
116991090123,0.0258789,-1.00537,-0.0668945
116991112716,0.0727539,-1,-0.0537109
116991127686,0.106934,-1.0127,-0.0273438
116991150252,0.162598,-1.01074,-0.043457
116991172732,0.257812,-0.989258,-0.0224609
116991190659,0.329102,-0.953125,-0.0195312
116991210322,0.396484,-0.907715,-0.00195312
116991232553,0.477539,-0.901855,-0.0166016
116991247606,0.57373,-0.89209,0
116991270328,0.686523,-0.911621,0.00195312
116991292832,0.71582,-0.890625,0.00146484
116991307779,0.745605,-0.777344,0.0205078
116991330124,0.807129,-0.71875,0.0258789
116991352866,0.866211,-0.665039,0.00878906
116991367680,0.91748,-0.628418,0.00732422
116991390314,0.944336,-0.615723,-0.0102539
116991415430,0.937988,-0.59375,-0.0078125
116991427633,0.930664,-0.556641,0.00390625
116991450150,0.938965,-0.507324,0.0166016
116991472513,0.942383,-0.441895,0.0415039
116991487820,0.946777,-0.390137,0.0498047
116991510128,0.966309,-0.355957,0.0546875
116991532678,0.98291,-0.342773,0.0512695
116991547547,0.959473,-0.333984,0.0600586
116991570173,0.954102,-0.324707,0.0644531
116991592562,0.95166,-0.306641,0.0644531
116991615242,0.95166,-0.293945,0.0581055
116991630115,0.947754,-0.273926,0.0273438
116991652567,0.9375,-0.276855,-0.00488281
116991667548,0.958496,-0.250977,0.0297852
116991692981,0.945312,-0.209961,0.0380859
116991712653,0.944824,-0.252441,0.0405273
116991727683,0.949707,-0.327148,0.0766602
116991750145,0.946777,-0.293945,0.065918
116991767983,0.936035,-0.208496,0.046875
116991787585,0.956055,-0.180664,0.00927734
116991810205,0.960449,-0.191406,-0.0126953
116991828531,0.966797,-0.197266,-0.0112305
116991847670,0.957031,-0.190918,-0.0234375
116991870067,0.956055,-0.171387,-0.0161133
116991888291,0.953125,-0.162598,-0.0117188
116991907584,0.94873,-0.165527,0.00439453
116991930109,0.946777,-0.169434,0.00927734
116991947994,0.947266,-0.174316,0.00830078
116991967534,0.95459,-0.186523,0.0229492
116991990269,0.958984,-0.20752,0.00732422
116992008032,0.952637,-0.222168,0.0107422
116992030660,0.949707,-0.236816,0.0166016
116992050145,0.953125,-0.23291,0.012207
116992068080,0.954102,-0.229004,0.00927734
116992087628,0.948242,-0.230469,0.0102539
116992110069,0.945801,-0.237305,0.0117188
116992127947,0.944336,-0.232422,0.0209961
116992149045,0.940918,-0.239746,0.0175781
116992170069,0.949219,-0.231445,0.0126953
116992187964,0.950684,-0.217285,0.00878906
116992209057,0.954102,-0.209473,0.0175781
116992233008,0.953125,-0.205078,0.0131836
116992247998,0.953125,-0.208008,0.0131836
116992270476,0.955078,-0.213379,0.0102539
116992290069,0.944336,-0.212891,0.015625
116992307940,0.945801,-0.213379,0.0146484
116992329028,0.952148,-0.211426,0.0166016
