timestamp,x,y,z,w
88853306561,-0.211487,-0.608154,-0.13916,0.75238
88853321553,-0.211487,-0.608154,-0.13916,0.75238
88853342818,-0.211487,-0.608154,-0.13916,0.75238
88853366489,-0.21167,-0.608093,-0.139404,0.752319
88853381449,-0.211975,-0.608032,-0.139648,0.752258
88853402902,-0.212219,-0.608032,-0.139832,0.752197
88853458481,-0.212219,-0.608032,-0.139771,0.752136
88853460568,-0.212219,-0.608032,-0.139771,0.752197
88853464801,-0.212463,-0.607849,-0.140015,0.752197
88853478409,-0.212769,-0.607727,-0.140381,0.752136
88853502163,-0.213257,-0.607605,-0.140625,0.752014
88853516483,-0.21344,-0.607605,-0.140808,0.752014
88853560079,-0.21344,-0.607605,-0.140808,0.751953
88853570320,-0.21344,-0.607605,-0.140808,0.752014
88853576549,-0.213745,-0.607483,-0.141052,0.751892
88853605856,-0.213989,-0.607422,-0.141174,0.751892
88853620840,-0.21405,-0.607361,-0.141174,0.751892
88853644729,-0.21405,-0.607361,-0.141174,0.751892
88853660183,-0.213989,-0.607361,-0.141174,0.751953
88853682268,-0.214172,-0.607422,-0.141296,0.751831
88853704704,-0.214233,-0.607422,-0.141296,0.751831
88853719760,-0.213684,-0.607544,-0.140869,0.751892
88853742310,-0.213013,-0.607788,-0.140381,0.752014
88853764738,-0.212524,-0.608337,-0.140259,0.751709
88853778970,-0.212097,-0.608948,-0.140503,0.751343
88853802290,-0.211914,-0.609497,-0.141235,0.750793
88853824723,-0.212036,-0.610046,-0.142273,0.750122
88853838972,-0.212402,-0.610474,-0.143066,0.749512
88853862214,-0.212158,-0.611023,-0.14325,0.749084
88853884710,-0.211487,-0.611633,-0.143005,0.74884
88853899057,-0.210999,-0.612061,-0.142883,0.748657
88853922286,-0.210815,-0.612305,-0.1427,0.748535
88853944731,-0.210754,-0.612366,-0.14209,0.748596
88853959077,-0.210449,-0.612305,-0.140808,0.748962
88853982288,-0.209656,-0.612549,-0.139343,0.749268
88854004693,-0.208679,-0.612854,-0.138184,0.749512
88854019076,-0.20813,-0.613037,-0.137634,0.749634
88854042290,-0.208069,-0.613098,-0.137695,0.749573
88854064700,-0.208069,-0.613403,-0.138123,0.749268
88854078959,-0.207886,-0.61377,-0.138733,0.74884
88854102647,-0.208008,-0.614136,-0.139648,0.748352
88854124739,-0.208496,-0.614319,-0.140564,0.747925
88854145769,-0.208923,-0.614441,-0.14093,0.74762
88854162199,-0.208618,-0.614746,-0.140564,0.747498
