timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89020605525,12,-1,1,0,-3,0,1,7
89020605525,0,0,2,-1,0,-1,1,-5
89020606466,1,-2,-4,1,-1,-3,0,-4
89020606466,-4,-1,0,-1,-1,0,4,0
89020608246,-10,-3,1,-2,0,1,-1,-2
89020608246,8,2,-3,0,-1,-1,-7,6
89020609794,-7,-3,-3,-4,-2,-3,2,-10
89020609794,3,1,3,-1,-2,-4,-1,2
89020615544,7,0,-1,2,2,-2,-4,-3
89020615544,-7,-2,-4,-2,-3,-2,0,-5
89020633391,-2,2,2,0,0,0,-3,-1
89020633391,0,-1,-1,-1,-1,1,0,-1
89020637027,3,0,-3,0,-1,-1,0,-4
89020637027,1,-1,-1,0,-3,0,-1,-1
89020648298,1,-1,2,0,0,1,-3,4
89020648298,-8,-1,-2,-1,-2,-4,-2,-12
89020651869,4,-3,0,-1,-2,0,-1,2
89020651869,0,-1,1,-3,2,0,2,8
89020675440,-19,-1,-4,-1,-1,0,-4,-28
89020675440,2,0,-2,0,-1,-2,-4,0
89020715116,24,0,-4,0,2,-2,-3,-3
89020715116,-6,1,1,-1,1,-1,3,4
89020715917,-1,-1,2,-1,-1,1,0,1
89020715917,-3,-1,0,1,1,-3,3,-1
89020716719,3,1,-4,-2,-2,-3,-6,-3
89020716719,-1,-2,0,-3,-2,-1,3,3
89020719104,-3,-1,-2,-1,-1,1,1,-3
89020719104,4,-2,-5,-2,-2,-4,-4,0
89020727365,-7,0,3,3,-2,0,-1,-2
89020727365,-3,0,2,0,-2,0,4,-5
89020734155,-15,-1,-3,-1,-1,-2,-2,-6
89020734155,12,-1,-2,-4,-4,1,-1,5
89020749856,-9,-4,2,0,0,0,-2,1
89020749856,-2,-2,-4,-1,-1,-1,-1,-2
89020756613,0,-1,0,-2,-1,-2,0,-3
89020756613,4,-2,0,-2,-2,0,1,-1
89020765591,-5,-1,-1,-3,-3,0,-5,-5
89020765591,-13,-2,-1,0,0,-3,-4,-3
89020787987,4,0,-2,-1,-2,-3,-5,-6
89020787987,-7,-3,-3,0,-2,0,-2,-2
89020789605,-3,0,-2,-3,-2,-4,4,1
