timestamp,x,y,z,w
89237647927,-0.385742,-0.517212,-0.314514,0.696289
89237662950,-0.387756,-0.515259,-0.31604,0.695923
89237685647,-0.390259,-0.513062,-0.3172,0.695618
89237700619,-0.392273,-0.511169,-0.317444,0.69574
89237724353,-0.393066,-0.51001,-0.316711,0.696472
89237745617,-0.392578,-0.509583,-0.315674,0.697571
89237760577,-0.391602,-0.509644,-0.314575,0.698547
89237814558,-0.390625,-0.51001,-0.31366,0.699219
89237823340,-0.389526,-0.51062,-0.312805,0.699829
89237824978,-0.388672,-0.51123,-0.311951,0.700195
89237837166,-0.387817,-0.511902,-0.310852,0.700684
89237859509,-0.386536,-0.512756,-0.309692,0.701294
89237884801,-0.385132,-0.513733,-0.308594,0.701782
89237901072,-0.384094,-0.514648,-0.308044,0.701965
89237950568,-0.383484,-0.515137,-0.307861,0.701965
89237951326,-0.383423,-0.515442,-0.307983,0.701782
89237958357,-0.383484,-0.515686,-0.308044,0.701538
89237978584,-0.383118,-0.516113,-0.307861,0.701477
89238001066,-0.382446,-0.516724,-0.307617,0.701538
89238024981,-0.381897,-0.517334,-0.307251,0.701538
89238046062,-0.381042,-0.518127,-0.306763,0.701599
89238062695,-0.380188,-0.518982,-0.306152,0.701782
89238085136,-0.37915,-0.519714,-0.305542,0.702026
89238106325,-0.378174,-0.520447,-0.305115,0.702148
89238122567,-0.377258,-0.521301,-0.304871,0.702087
89238145057,-0.376465,-0.522217,-0.304749,0.701965
89238166096,-0.37561,-0.522949,-0.304688,0.701843
89238182625,-0.375183,-0.523376,-0.305054,0.70166
89238205177,-0.375427,-0.523376,-0.305786,0.701172
89238226362,-0.376099,-0.523132,-0.306458,0.700684
89238242630,-0.376953,-0.52301,-0.306824,0.700195
89238265073,-0.377258,-0.523071,-0.306824,0.699951
89238286313,-0.377441,-0.523254,-0.306946,0.699707
89238302649,-0.377747,-0.523376,-0.307251,0.69928
89238325012,-0.378113,-0.523376,-0.307861,0.698853
89238346052,-0.378601,-0.523254,-0.308411,0.698425
89238362482,-0.379333,-0.523193,-0.308899,0.697815
89238385182,-0.380615,-0.523376,-0.309448,0.696716
89238407626,-0.382568,-0.523376,-0.310974,0.695007
89238421971,-0.385132,-0.522705,-0.313171,0.693115
89238445102,-0.386841,-0.521912,-0.315857,0.691528
89238467712,-0.387512,-0.521057,-0.318481,0.690613
89238481929,-0.386963,-0.520569,-0.320679,0.690308
89238505228,-0.385742,-0.520447,-0.321899,0.690491
89238527769,-0.38446,-0.520691,-0.322083,0.690857
89238550129,-0.383362,-0.521362,-0.321411,0.691284
89238565049,-0.382629,-0.522034,-0.320496,0.69165
89238587557,-0.382568,-0.5224,-0.319824,0.691711
89238601883,-0.383301,-0.5224,-0.31958,0.691406
89238624974,-0.384216,-0.522034,-0.319702,0.691162
89238647740,-0.385071,-0.521423,-0.31958,0.691162
89238661912,-0.385376,-0.520813,-0.318726,0.691895
89238685073,-0.384644,-0.520874,-0.316162,0.693359
89238707655,-0.382629,-0.521912,-0.312195,0.695557
89238728755,-0.378967,-0.522827,-0.307617,0.698853
89238745218,-0.377075,-0.521973,-0.302002,0.702942
89238767707,-0.382019,-0.520569,-0.295105,0.704285
89238788813,-0.385254,-0.518982,-0.281006,0.709412
89238805112,-0.384705,-0.513977,-0.261414,0.720764
89238827582,-0.386169,-0.503784,-0.239502,0.73468
89238848660,-0.393066,-0.489319,-0.213013,0.748779
89238865151,-0.398926,-0.469727,-0.176086,0.767578
89238887657,-0.397644,-0.44519,-0.128906,0.79187
89238908859,-0.392395,-0.414062,-0.0764771,0.817749
89238931070,-0.387939,-0.37677,-0.0228882,0.840881
89238946869,-0.385315,-0.334412,0.0307617,0.859497
89238970129,-0.384094,-0.288818,0.0825806,0.873047
89238992649,-0.379944,-0.240845,0.132568,0.883179
89239006948,-0.370667,-0.192322,0.180481,0.890503
89239030162,-0.35968,-0.145691,0.223083,0.894226
89239052562,-0.349792,-0.102112,0.259155,0.894409
89239067016,-0.344055,-0.0615234,0.289795,0.89093
89239090116,-0.336365,-0.0224609,0.316467,0.886658
89239112719,-0.327576,0.0131226,0.338928,0.881836
89239126965,-0.322266,0.0405884,0.357849,0.875427
89239150087,-0.320984,0.0576782,0.374573,0.86792
89239172612,-0.321045,0.0665283,0.388245,0.861267
89239186962,-0.32019,0.065918,0.399048,0.856628
89239210094,-0.316162,0.0559692,0.407227,0.85498
89239232611,-0.308472,0.0383911,0.413635,0.855713
89239253855,-0.299805,0.0106201,0.417664,0.857605
89239270028,-0.293396,-0.0288696,0.416748,0.859863
89239292536,-0.28772,-0.0772705,0.412842,0.860657
89239313825,-0.285217,-0.12439,0.403015,0.860657
89239330287,-0.286194,-0.159607,0.389343,0.860779
89239352654,-0.28241,-0.18219,0.376282,0.863403
89239373717,-0.288879,-0.16626,0.375183,0.864929
89239390074,-0.297119,-0.139282,0.384521,0.862793
89239412620,-0.312866,-0.128967,0.386902,0.857727
89239433889,-0.330994,-0.122742,0.388733,0.851013
89239457580,-0.3302,-0.0983276,0.394531,0.851807
89239472551,-0.326477,-0.0709229,0.40155,0.852722
89239493599,-0.327698,-0.046936,0.408264,0.850708
89239510040,-0.331848,-0.0284424,0.414246,0.846985
89239532548,-0.334229,-0.0130005,0.419189,0.843994
89239553608,-0.333374,0.000244141,0.422302,0.842896
89239570009,-0.33136,0.00994873,0.424377,0.84259
89239592544,-0.329041,0.0148315,0.426025,0.84259
89239613613,-0.326721,0.0131226,0.427185,0.842957
89239630045,-0.323669,0.00585938,0.427124,0.844238
89239652516,-0.318054,-0.00646973,0.425354,0.847229
89239673618,-0.310547,-0.0293579,0.420776,0.851807
89239690037,-0.303894,-0.0639648,0.411133,0.857056
89239712508,-0.30072,-0.100525,0.399353,0.860229
89239733534,-0.296936,-0.133057,0.387817,0.862366
89239749330,-0.292175,-0.161377,0.377747,0.863647
89239772606,-0.303284,-0.16449,0.371338,0.862
89239793670,-0.307434,-0.147461,0.372559,0.863098
89239809377,-0.327881,-0.141235,0.372559,0.856567
89239832596,-0.35553,-0.143066,0.364685,0.848572
89239855050,-0.365967,-0.134155,0.357727,0.848572
89239869446,-0.374146,-0.122314,0.350952,0.849609
89239892627,-0.393799,-0.118286,0.339233,0.846069
89239915137,-0.418396,-0.119995,0.323364,0.84021
89239929603,-0.438904,-0.124146,0.30426,0.836243
89239952734,-0.453796,-0.129822,0.281189,0.83551
89239974983,-0.46637,-0.138916,0.252869,0.836182
89239989322,-0.479675,-0.153076,0.218933,0.835754
89240012538,-0.495544,-0.172791,0.177734,0.832458
89240035001,-0.509216,-0.197388,0.133423,0.826965
89240049395,-0.521423,-0.225891,0.0882568,0.818115
89240072778,-0.528442,-0.255188,0.0410767,0.808655
89240102505,-0.527832,-0.28241,-0.00494385,0.801025
89240109455,-0.521912,-0.309387,-0.0494385,0.793396
89240132594,-0.513672,-0.338074,-0.0881348,0.78363
89240155029,-0.504822,-0.367432,-0.125183,0.770996
89240160452,-0.489868,-0.39679,-0.161499,0.759277
89240178301,-0.468933,-0.42334,-0.188354,0.751953
89240198208,-0.449097,-0.44458,-0.20636,0.74707
89240220574,-0.437195,-0.461182,-0.223328,0.739136
89240237010,-0.43103,-0.473938,-0.240112,0.72937
89240258199,-0.424072,-0.484436,-0.252014,0.722473
89240280651,-0.414673,-0.494141,-0.256897,0.719666
89240298586,-0.407654,-0.50238,-0.261047,0.716492
89240318076,-0.403015,-0.509216,-0.264954,0.71283
89240340507,-0.40033,-0.514587,-0.269714,0.708679
89240358599,-0.399475,-0.518372,-0.276245,0.703857
89240378171,-0.400391,-0.52124,-0.28418,0.698059
89240400670,-0.401855,-0.524231,-0.292236,0.691589
89240418492,-0.4021,-0.525818,-0.300598,0.686646
89240438182,-0.400513,-0.523804,-0.309875,0.684998
89240460475,-0.401794,-0.518372,-0.320374,0.683594
89240476932,-0.40741,-0.511108,-0.32959,0.681335
89240497968,-0.413269,-0.505737,-0.335083,0.679138
89240520469,-0.414856,-0.503906,-0.334473,0.67981
89240538590,-0.410828,-0.505371,-0.328674,0.68396
89240558256,-0.404175,-0.508362,-0.322266,0.688721
89240583416,-0.398438,-0.511108,-0.317688,0.6922
89240598410,-0.394775,-0.513733,-0.315796,0.693237
89240617921,-0.392761,-0.515747,-0.316345,0.692627
89240640446,-0.391785,-0.516663,-0.317566,0.691956
89240658504,-0.390747,-0.517334,-0.317871,0.691895
89240678005,-0.389099,-0.518555,-0.317261,0.6922
89240700679,-0.387024,-0.52002,-0.316406,0.692627
89240716921,-0.384583,-0.521545,-0.315674,0.693176
89240737963,-0.382385,-0.522522,-0.314941,0.69397
89240760462,-0.380493,-0.523376,-0.314514,0.694519
89240776886,-0.379578,-0.524109,-0.314697,0.694458
89240797964,-0.380432,-0.524048,-0.315735,0.693542
89240820448,-0.38147,-0.523743,-0.316406,0.692871
89240838377,-0.382507,-0.523376,-0.316833,0.692383
89240857963,-0.383057,-0.523254,-0.317078,0.692078
89240880430,-0.383911,-0.522644,-0.317566,0.691833
89240898372,-0.385132,-0.52179,-0.318298,0.691467
89240918041,-0.386536,-0.520752,-0.319153,0.69104
89240940653,-0.388611,-0.51947,-0.32019,0.69043
89240958319,-0.39032,-0.518555,-0.320801,0.689819
89240977920,-0.391174,-0.518005,-0.321228,0.689575
89241000462,-0.391113,-0.517822,-0.32135,0.689636
89241018375,-0.391235,-0.517517,-0.322021,0.689514
89241038193,-0.391846,-0.517273,-0.322632,0.689087
89241060569,-0.392273,-0.517029,-0.322937,0.688904
89241078271,-0.392212,-0.517029,-0.322937,0.688904
89241097961,-0.391724,-0.517212,-0.322998,0.688965
89241120459,-0.391602,-0.517334,-0.323608,0.688721
89241138330,-0.392151,-0.51709,-0.324524,0.68811
89241157927,-0.39325,-0.516602,-0.3255,0.687439
89241180397,-0.394226,-0.516052,-0.326233,0.686951
89241198309,-0.39447,-0.515808,-0.32666,0.686768
89241218284,-0.394653,-0.515564,-0.327332,0.686584
89241240542,-0.395386,-0.514954,-0.328186,0.686157
89241258617,-0.396118,-0.514282,-0.328979,0.685852
89241278049,-0.396912,-0.513916,-0.329468,0.685486
89241300385,-0.397278,-0.513611,-0.329712,0.685364
89241318328,-0.397461,-0.513428,-0.330017,0.685242
89241338161,-0.397705,-0.513184,-0.3302,0.68512
89241360684,-0.397888,-0.512756,-0.330627,0.685181
89241378620,-0.397949,-0.512451,-0.330994,0.685181
89241399464,-0.398376,-0.512024,-0.33136,0.685059
89241420462,-0.398682,-0.511841,-0.331726,0.684875
89241438442,-0.398865,-0.511719,-0.331909,0.684753
89241459396,-0.398804,-0.511719,-0.331909,0.684814
89241480584,-0.398804,-0.511719,-0.331909,0.684753
89241498586,-0.398804,-0.511536,-0.332153,0.684814
89241519481,-0.399109,-0.511353,-0.332336,0.684692
89241540721,-0.399048,-0.511536,-0.332153,0.684692
89241558600,-0.398438,-0.511902,-0.331787,0.684937
89241579397,-0.397827,-0.512268,-0.331787,0.685059
89241600412,-0.397766,-0.51239,-0.332031,0.684875
89241618332,-0.398071,-0.512451,-0.332397,0.684448
89241639397,-0.398376,-0.512512,-0.332581,0.684143
89241660438,-0.398193,-0.512634,-0.332397,0.684265
89241678316,-0.397644,-0.512817,-0.332214,0.684509
89241700827,-0.397339,-0.513062,-0.332275,0.684448
89241720460,-0.3974,-0.513184,-0.33252,0.684265
89241738347,-0.397705,-0.513123,-0.332703,0.684021
89241759333,-0.397705,-0.513062,-0.332703,0.684021
89241780410,-0.397461,-0.513245,-0.33252,0.684143
89241798323,-0.397095,-0.51355,-0.332397,0.684265
89241820843,-0.39679,-0.513794,-0.332458,0.684204
89241840373,-0.396667,-0.513916,-0.332336,0.684204
89241858305,-0.39624,-0.514099,-0.332275,0.684326
89241880796,-0.395874,-0.514221,-0.332153,0.684509
89241900439,-0.395874,-0.514221,-0.332153,0.684509
89241918350,-0.395874,-0.514282,-0.332153,0.684509
89241940833,-0.395874,-0.514404,-0.331909,0.684509
89241960536,-0.395447,-0.514648,-0.331604,0.684753
89241978474,-0.394897,-0.514771,-0.331421,0.684998
89242000847,-0.394592,-0.514893,-0.331421,0.68512
89242020625,-0.394775,-0.514832,-0.331726,0.684937
89242043135,-0.395081,-0.514709,-0.331787,0.684753
89242060891,-0.394958,-0.514648,-0.331543,0.684998
89242080401,-0.394592,-0.514709,-0.331299,0.685303
89242098398,-0.394348,-0.514709,-0.331299,0.685425
89242121300,-0.394348,-0.514771,-0.331299,0.685425
89242140520,-0.394592,-0.514587,-0.331421,0.685364
89242158487,-0.394775,-0.514343,-0.331482,0.685364
89242181070,-0.394775,-0.514343,-0.331482,0.685364
89242200367,-0.394592,-0.514404,-0.331421,0.685486
89242218433,-0.394531,-0.514404,-0.331421,0.685486
89242240968,-0.394531,-0.514404,-0.331421,0.685486
89242260481,-0.394714,-0.514282,-0.331604,0.685364
89242278516,-0.394958,-0.514221,-0.331787,0.685242
89242300883,-0.395203,-0.51416,-0.33197,0.685059
89242321920,-0.395386,-0.514038,-0.332092,0.684998
89242344418,-0.395569,-0.513794,-0.332275,0.684998
89242360865,-0.395874,-0.513489,-0.332336,0.684998
89242381108,-0.396118,-0.513306,-0.332336,0.684998
89242397567,-0.396118,-0.513306,-0.332336,0.684998
89242420025,-0.395996,-0.513306,-0.332092,0.685181
89242441060,-0.395752,-0.513428,-0.33197,0.685242
89242457650,-0.395752,-0.513428,-0.332031,0.685242
89242480105,-0.395935,-0.513367,-0.332214,0.68512
89242501177,-0.395935,-0.513306,-0.332214,0.68512
89242517606,-0.39563,-0.513428,-0.332092,0.685303
89242539980,-0.395386,-0.51355,-0.332153,0.685303
89242561128,-0.395386,-0.513611,-0.332153,0.685303
89242577623,-0.395569,-0.51355,-0.33252,0.684998
89242600098,-0.395752,-0.513428,-0.332642,0.684998
89242621127,-0.395752,-0.513367,-0.332642,0.684998
