timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89288757977,-1,-1,2,1,-1,1,0,1
89288757977,-3,-2,0,-1,0,2,1,1
89288763331,-1,0,-4,-1,-1,-3,-3,-9
89288763331,7,-3,-2,-3,-1,-3,-4,8
89288764099,5,-1,-2,0,0,2,1,4
89288764099,-1,-1,-3,0,-1,-2,-2,-4
89288764917,0,-2,-1,-1,-2,-1,-1,0
89288764917,-10,-2,1,0,-1,1,2,3
89288766538,-1,-2,-2,-3,-1,-3,-1,-11
89288766538,5,-1,-3,-2,1,-2,-2,6
89288769937,-2,-3,1,-2,-1,0,1,1
89288769937,-1,0,0,-2,0,-1,0,-3
89288784612,0,2,-2,0,-2,-2,0,1
89288784612,-17,-1,0,1,-1,1,-5,-6
89288790269,11,-1,1,-1,0,1,-1,3
89288790269,-1,-1,-2,0,0,0,1,-2
89288798889,-4,-4,-1,-1,-3,-4,1,-1
89288798889,0,0,-1,0,-2,0,-2,-5
89288821759,-9,0,-3,-1,0,-1,-5,-7
89288821759,15,1,-1,-1,-2,-1,1,0
89288822547,-14,-2,-1,-1,-2,-1,-1,-2
89288822547,-1,-5,2,-1,-1,0,3,0
89288867712,-1,-1,6,0,1,2,-1,3
89288867712,2,-1,-4,0,0,-2,-4,-3
89288869341,7,1,-3,-1,0,-4,2,6
89288869341,-16,-4,-1,-2,-3,-3,-1,-23
89288870130,1,1,1,0,0,3,3,11
89288870130,1,-1,-3,-1,-2,-3,-2,-8
89288872578,4,2,2,2,0,-1,-6,0
89288872578,14,-3,-3,-4,-3,-2,-5,8
89288880807,-8,-5,-5,-2,-2,-1,1,-8
89288880807,-11,0,2,2,1,-1,0,9
89288887536,-1,-1,0,-4,-2,1,-1,-1
89288887536,7,5,4,2,1,-1,6,5
89288895120,0,-1,-5,-2,-1,-3,-2,-8
89288895120,3,-3,-2,-2,-2,1,-14,4
89288910073,-6,-1,-2,-1,-3,0,20,-2
89288910073,-24,-1,1,3,1,-2,-6,-2
89288917549,10,2,1,0,0,0,1,1
89288917549,0,-1,1,-1,0,-1,1,6
89288941410,15,4,-1,1,1,1,-7,6
89288941410,0,-2,-4,-2,-1,0,-2,7
89288942249,-18,-2,2,-2,-3,-4,0,-20
89288942249,6,-3,-1,0,-1,0,-3,-2
89288955791,8,-1,-2,-1,-3,-3,-4,0
89288955791,3,-3,-2,-1,0,-1,5,6
89288956569,1,-2,-1,0,1,-1,-4,3
89288956569,0,5,4,-3,0,-2,2,-5
89288978488,-7,-4,-7,-2,-1,-1,-1,-8
89288978488,-5,-4,-8,-4,-3,-2,-4,-4
89288979191,22,0,-4,-3,-3,-2,-1,3
89288979191,-2,-1,0,-2,-2,-2,0,-5
89289001566,-10,-2,3,4,0,-3,-11,6
89289001566,4,1,-6,-4,0,1,4,-3
89289002297,-16,-2,0,-1,-1,-1,6,3
89289002297,20,2,-1,1,-3,0,5,5
89289015839,0,-4,-1,-3,-1,0,-3,7
89289015839,-5,0,0,1,0,1,-1,-8
89289016778,8,0,-6,-3,-2,0,-6,7
89289016778,-2,-3,0,0,0,1,0,6
89289038510,-11,1,1,-2,-1,-1,0,-15
89289038510,4,-1,0,0,-1,-1,-7,2
89289039065,-5,-5,-6,0,-2,-3,-1,-8
89289039065,-1,-1,0,-1,-1,-2,2,7
89289060942,1,-3,-1,0,0,-1,-1,-2
89289060942,1,-2,0,-1,0,1,-3,-3
89289061588,-20,2,1,0,1,0,-3,2
89289061588,-12,-4,-1,0,-2,0,0,-8
89289075837,0,0,-1,-2,-1,-1,-1,-3
89289075837,18,2,0,-2,0,-2,1,1
89289076616,-16,-4,1,0,0,-1,-3,-10
89289076616,-5,0,-3,-2,-1,0,-1,-6
89289098503,-10,-2,-1,-2,-2,0,4,-7
89289098503,4,-1,2,-1,-1,-2,-7,5
89289099036,18,1,1,0,-2,-1,-1,5
89289099036,-12,-4,-4,-3,-2,-2,-2,-6
89289121011,3,-2,-2,-2,-3,0,-1,-5
89289121011,-6,0,-1,0,-1,-2,0,-2
89289121604,1,-2,-4,0,-3,-3,1,-3
89289121604,-1,-1,0,1,0,-1,1,8
89289135194,-6,-1,0,0,-1,-2,-5,-16
89289135194,7,-1,-1,-1,-2,-1,-1,2
89289143302,-1,-2,-1,-1,-1,-2,-1,5
89289143302,1,-4,-1,-2,-1,-3,1,-1
89289158656,-1,0,0,-2,-1,-3,-1,2
89289158656,-2,-2,2,-1,-1,-3,2,2
89289159455,-8,2,1,1,0,-1,-3,-13
89289159455,13,1,-2,-3,-1,1,0,-6
89289180905,-40,-3,-2,-2,0,1,-3,3
89289180905,-1,-1,-3,0,-1,-2,1,-6
89289181718,5,0,0,0,1,-1,0,5
89289181718,-6,-2,-2,0,-2,-2,0,-5
89289195115,9,-1,-2,-2,0,-1,-2,6
89289195115,16,2,2,0,-1,3,3,-5
89289203536,-12,2,0,0,-2,-3,-5,-8
89289203536,-3,-3,0,-3,-2,-1,-2,1
89289218385,9,1,-1,0,0,-1,-1,3
89289218385,-30,-10,-5,-2,-1,1,-1,-8
89289219198,42,5,1,-1,-2,-2,-4,13
89289219198,-6,0,-2,-2,-2,-1,0,-2
89289241702,1,-3,-1,-1,-2,0,0,-8
89289241702,-7,1,-2,-1,0,-1,-3,4
89289242308,-9,-4,0,-2,0,-1,1,-3
89289242308,-10,1,-2,-2,-1,-2,-4,-7
89289255113,3,0,2,-1,0,-1,3,9
89289255113,2,0,1,1,-1,0,-11,-13
89289263287,-15,-3,-6,-5,0,-2,4,-14
89289263287,23,3,1,3,1,-1,-2,-4
89289278305,-18,0,2,0,-3,-1,-1,5
89289278305,0,0,1,-2,-2,0,0,11
89289278985,12,-1,-2,0,-1,1,-1,5
89289278985,-15,-1,-2,-1,0,1,1,-6
89289301573,10,0,4,-1,0,-3,-5,1
89289301573,-3,0,-3,-2,-2,-3,6,0
89289302434,-2,-3,-2,0,-3,0,-1,2
89289302434,-10,-3,-4,-1,-2,-2,0,-1
89289315013,8,0,-2,-1,0,-4,0,-2
89289315013,2,1,10,2,0,0,0,-2
89289323292,-4,-7,-13,-5,-1,-1,0,6
89289323292,-9,-2,0,-2,-1,-2,-3,-4
89289338317,17,1,-2,-1,-2,0,1,1
89289338317,3,-2,-2,0,-2,-1,-3,0
89289339067,-6,1,6,4,0,0,0,-2
89289339067,2,-3,-2,-2,0,0,-6,4
89289361398,-14,-5,-3,-1,-2,1,7,-3
89289361398,7,3,-1,0,-1,-1,-2,-1
89289362258,-3,-1,2,0,0,-1,-1,4
89289362258,-4,-2,-5,-1,-2,-2,1,-1
89289375065,1,-1,0,-1,0,0,-5,-5
89289375065,13,1,-5,-2,-1,0,1,2
89289383284,-33,-1,1,-2,0,-1,-4,-4
89289383284,13,0,-1,-2,0,-2,0,10
89289398563,3,-3,-5,-2,-2,-3,-5,-5
89289398563,-4,0,-1,-1,-1,-1,0,4
89289399016,10,2,-1,-1,-1,2,0,1
89289399016,-17,-2,0,-2,-2,1,1,-11
89289421587,14,1,1,-2,-1,-2,-1,4
89289421587,-13,-5,-4,-2,0,-2,-2,-1
89289422503,4,1,2,-3,-1,0,1,-5
89289422503,5,0,-2,0,-2,-2,1,5
89289435373,0,-3,-5,-3,-1,-1,-1,-2
89289435373,-12,-2,0,-1,-1,0,-2,-10
89289443374,1,-1,0,1,-1,-1,-1,2
89289443374,13,1,-1,0,0,-1,0,-3
89289458377,-45,-5,-3,-2,-2,-1,-3,-5
89289458377,0,0,0,-3,-2,-1,3,-1
89289459115,4,0,-1,-3,0,-5,-6,-4
89289459115,-1,-2,-1,-1,-3,-1,-1,1
89289481604,-3,-3,-5,0,-2,0,2,5
89289481604,22,2,-2,-1,-1,-1,-1,11
89289482383,-5,-2,-1,-1,-2,-2,-2,-2
89289482383,-4,-2,0,0,0,-1,-2,-5
89289495214,5,3,2,1,1,-1,-1,3
89289495214,-2,-2,-3,-2,-2,0,0,3
89289503431,5,-2,2,-1,1,0,-2,-2
89289503431,1,0,-1,-2,-1,1,1,1
89289518471,13,-2,-3,0,-3,-1,2,12
