timestamp,x,y,z
89288550144,1.875,-1.125,3.0625
89288572643,0.5625,-1.125,3.4375
89288596495,-0.0625,-0.875,3.5625
89288611560,-0.25,-0.75,3.25
89288632844,-0.625,-0.875,3.0625
89288656514,-0.6875,-0.75,2.9375
89288671534,-0.0625,-1.0625,2.125
89288692977,1.875,-1.1875,1.4375
89288755542,3.6875,-1.6875,0.5625
89288756325,6,-2.3125,-0.0625
89288757217,7.875,-2.6875,-0.3125
89288769041,9,-3.125,-0.1875
89288786699,10.1875,-3.875,-0.0625
89288805290,13,-4,0.375
89288823354,12.8125,-4.3125,0.6875
89288857692,10.3125,-4.75,0.6875
89288868580,7.75,-5.3125,0.1875
89288881554,8.3125,-5.0625,0.4375
89288902641,6.875,-3.5,1.625
89288925115,11.875,-2.25,0.1875
89288943075,10.6875,-1.5,-1.0625
89288962643,9,-0.5,0
89288985156,6.8125,-1.3125,1.375
89289003196,8.4375,-2.625,2.3125
89289022734,12.125,-4.125,1.875
89289045262,17.9375,-4.9375,2.3125
89289067914,23.25,-5.4375,3.25
89289082866,26.125,-4.875,2.8125
89289105301,20.375,-3.75,2.625
89289127774,10.25,-2.5625,1.6875
89289144087,4.375,-1.5625,0.625
89289165129,2.8125,-1.1875,0.3125
89289187851,4.875,-1,0
89289204235,10,-0.8125,0.25
89289225180,14.3125,-0.9375,0.375
89289243070,13.75,-0.5,0.5625
89289264103,9.0625,-0.5625,0.5
89289285185,6.9375,0,-0.125
89289303185,4.125,0.625,-0.75
89289324119,0.6875,0.5,-0.875
89289345136,-4,0.0625,-1.5
89289362962,-6.75,0.75,-1.875
89289384013,-7.6875,1.0625,-2.125
89289405266,-8.5,0.875,-2.625
89289423150,-9.3125,1.0625,-3.1875
89289444143,-9.9375,1,-4.5
89289465372,-8.4375,0.8125,-5.5
89289483112,-6.125,0.4375,-6.1875
89289504219,1,0.0625,-6.1875
89289525295,5.9375,-0.5,-5.1875
89289543172,5.8125,-0.4375,-4
89289565643,5,-0.4375,-2.5
89289585354,8.375,0.25,-1.4375
89289610573,12.0625,0.875,-0.8125
89289625763,8.875,0.6875,-0.25
89289645398,3.375,-0.0625,0.3125
89289663129,0,0.375,0.5
89289685711,-1.625,1.0625,0.625
89289705418,-3.4375,1.4375,0.9375
89289723149,-3.875,1.125,1.4375
89289745853,-2.9375,0.5625,1.3125
89289765331,-2.8125,-0.25,1.25
89289783284,-2.75,0.125,0.75
89289805798,-4.0625,-0.0625,-0.25
89289825225,-0.6875,0.3125,-0.125
89289848380,3.375,0.0625,-0.4375
89289864774,4.125,-0.375,-0.1875
89289887327,3.8125,-0.3125,0.75
89289908404,5.4375,-0.0625,1.6875
89289924873,4.75,0.0625,2.5625
89289947304,4.375,0.375,2.5
89289968393,6.9375,0,2.875
89289984776,7.5625,-0.25,3.3125
89290007307,3.125,-0.375,3.625
89290028332,-2.75,-1.6875,5.5625
89290044723,-0.0625,-3.75,11.25
89290067300,16.6875,-7.125,16.5625
89290089964,45.6875,-9.4375,27.9375
89290104210,40.875,-1.5,44.375
89290127443,16.9375,-1.5625,62.4375
89290149750,-0.8125,-4.375,93.5625
89290164208,35.75,9.5,143.062
89290187272,107.125,36.875,186.062
89290209877,152.25,59.875,229.75
89290224087,181.062,81.5,276.5
89290247382,188.688,101.5,316.25
89290269975,182.125,124.062,333.062
89290284305,168.812,140.312,336.062
89290307401,165.375,149.75,336.562
89290337282,184.812,150.938,331.062
89290351059,216.375,151.625,309.312
89290367533,223.062,154.062,274.188
89290389881,191.5,160.25,240.062
89290411005,155.562,164.438,226.75
89290427318,183.625,158,202.75
89290449798,169.062,143,171.625
89290470835,114.812,130.812,142.688
89290487341,74.25,122.188,124.75
89290523959,59.25,105.438,115.125
89290530773,75.375,79.5625,95.5625
89290547531,54.9375,54.5,74.5
89290577440,22,30.0625,51.8125
89290592303,9.375,7.4375,31.5
89290607683,6.1875,-17.875,18.75
89290629820,-4.25,-52.125,1
89290651042,-30.5,-89,-18.9375
89290667368,-44.5,-120.062,-44.4375
89290689913,-49.1875,-144.625,-72.8125
89290710888,-61.375,-160.562,-90.9375
89290727430,-83.6875,-165.5,-90.5
89290749961,-81.5625,-163.625,-103.312
89290770778,-62.125,-152,-117
89290787267,-42.6875,-135.25,-107.938
89290809817,-28,-119.312,-83.625
89290830822,-18.9375,51.5625,4.625
89290847243,-48.1875,25.75,57.375
89290869821,-77.5625,10.4375,34.125
89290891046,-34.5,20.4375,4.375
89290906650,125.875,55.3125,58.125
89290929862,90.8125,72.75,72.4375
89290950802,28,86.625,71.9375
89290966683,29.9375,104.562,72.75
89290997350,44.1875,113.375,69.3125
89291012340,41.9375,116.25,67.4375
89291026574,35.625,113,61.75
89291049792,37.375,96.25,54.75
89291072299,42.875,72.9375,45.4375
89291086539,40.6875,46.125,29.4375
89291109737,27.6875,19.8125,11.6875
89291132333,15,-11.1875,-0.9375
89291160900,2.8125,-55.1875,-21.125
89291169743,-20.1875,-105.125,-43.625
89291192247,-39.1875,-145.625,-60.3125
89291206667,-49,-173.438,-77
89291229870,-52,-176.438,-96.5625
89291252286,-53.5,-171.438,-100.688
89291273555,-31.75,-159.125,-94.75
89291289745,-8.8125,-131.938,-85.4375
89291312280,-5.0625,-128.562,-62
89291333369,54.9375,101.188,3.5625
89291349946,-39.3125,96.6875,57
89291372298,-117.5,54.1875,47.25
89291393545,-152.5,39.9375,25.875
89291409705,-30,56.0625,40
89291432360,60.125,76.6875,37.8125
89291453319,44.75,72.5,25.3125
89291469803,-21,69,17.9375
89291492296,-71.9375,64.25,1
89291514862,-91.75,58.1875,-20.3125
89291529713,-89.25,53.1875,-45
89291552305,-77,40.125,-70.5
89291573543,-71.0625,12.8125,-99.9375
89291589981,-79.375,-23.5625,-135.312
89291612304,-105.938,-61.625,-170.438
89291633317,-141.312,-93.5,-193.75
89291649782,-162.562,-107.438,-206.125
89291672347,-151,-113.812,-224.625
89291693330,-123.062,-119.625,-249.812
89291709767,-107.375,-121.562,-265.875
89291732330,-104.688,-113.375,-273.625
89291753332,-86.9375,-98.375,-273.25
89291769717,-56.75,-95.125,-275.688
89291792305,-70.5625,-105.375,-273.812
89291813404,-115.438,-96.625,-269
89291829062,-145.188,-70.375,-248.812
89291852199,-148.438,-54.75,-217.875
89291874856,-140,-52.25,-187.688
89291889093,-124.5,-49.5625,-164
89291912319,-88.75,-40.375,-145.438
89291933296,-62.8125,-32.75,-117.062
89291949045,-67.8125,-33.125,-96.25
89291972368,-81.8125,-31.375,-81
89291995211,-103,-25.875,-72.4375
89292009052,-114.75,-14.3125,-67.875
89292032400,-104.062,-1.5625,-55.9375
89292054884,-104.812,0.4375,-46.375
89292069177,-92.0625,-1.1875,-34.1875
89292092320,-55.625,-0.9375,-25.25
89292114815,-17.5625,-1.875,-13.0625
89292129088,9.5625,-1.25,-0.25
89292152529,22.5,0.1875,8.4375
89292174907,32.125,0.6875,11.25
89292195975,34.5,1,10
89292212530,28.25,-0.25,6.75
89292234833,17.875,-1.0625,2.1875
89292255952,14.0625,0,-0.6875
89292272291,18.75,0.4375,-2.3125
89292294832,19.375,0.0625,-2.0625
89292309202,10,-1.375,-2.4375
89292332235,-0.0625,-2.875,-2.1875
89292354787,-0.3125,-1.125,-2.1875
89292369148,2.6875,0.5,-2.375
89292392423,3.1875,1.25,-1.875
89292414834,-1.375,0.8125,0.5
89292436024,1.0625,0,1.875
89292452330,4.875,-0.25,2.625
89292474970,4.6875,-0.5625,2.3125
89292496088,3.6875,-0.625,2.125
89292512405,4.6875,-0.125,1.75
89292534721,3.0625,-0.25,1.9375
89292556013,0.4375,-0.5625,3.25
89292572391,2,0.0625,4
89292594850,1.4375,0.125,4.5
89292615983,1.625,0.4375,4.375
89292632445,4.125,0.875,3.6875
89292654590,3.625,0.75,3.5
89292675787,1.375,0.75,3.8125
89292692288,-2.0625,1.125,4.5
89292714687,-2,1.3125,4.4375
89292735835,3.4375,1.6875,4.375
89292752408,3.1875,1.9375,4.6875
89292774790,-0.8125,2.125,4.625
89292796001,-5.5625,1.875,4.5625
89292812346,-7.75,1.8125,4.75
89292834749,-8.6875,1.8125,4.75
89292855870,-4.5,2.1875,3.25
89292872281,-3.75,2.4375,3.8125
89292894806,-5.5,2.4375,3.75
89292917369,-4.875,2.75,4.1875
89292932378,-5.3125,2.4375,4.1875
89292954839,-5.0625,1.9375,4.25
89292977321,-3.375,2.0625,4.25
89292992243,-2.3125,1.75,3.375
89293014892,-1.125,1.625,2.5625
89293037247,-1.375,1.25,3
89293052393,-1.125,0.9375,2.875
89293074995,-0.0625,0.875,2.6875
89293103557,1.9375,0.5,2.125
89293111775,2.6875,0.1875,1.4375
89293134775,1.5,-0.3125,1.25
89293157325,-0.5,0,1.3125
89293171592,-1.1875,0.0625,1.5625
89293194708,1,-0.3125,2.0625
89293217303,3.5,-0.3125,2.0625
89293231593,2,-0.375,1.8125
89293254823,-0.25,-0.5,1.4375
89293277514,-0.9375,-0.75,1.3125
89293291686,0.3125,-1.0625,1.125
89293314729,2.6875,-0.75,1
89293337323,3.4375,-0.875,1.0625
89293351639,2.5,-1.25,0.625
89293382355,1.625,-1.25,0.125
89293397299,0.4375,-1.25,0.25
89293418575,1,-1.3125,0.1875
89293434817,3.25,-1.1875,0.5625
89293457381,4.6875,-1,0.4375
89293478378,4.0625,-1.0625,0.4375
89293494700,2.6875,-1.0625,0.25
89293517548,1.6875,-1.25,0.125
89293538570,1.875,-0.9375,0.125
89293554729,1.5,-0.625,0.3125
89293577252,0.3125,-0.625,1
89293598398,-1.4375,-0.75,2.125
89293614833,-3.75,-0.5625,2.75
89293637211,-7.125,-0.1875,3.25
89293658370,-9.3125,0.0625,4.1875
89293674845,-7.3125,0,5.125
89293697515,-5.75,-0.3125,6.5625
89293702608,-7.8125,-0.75,8.875
89293725343,-5.875,-2.75,10.6875
89293740145,-4.0625,-3.875,10.9375
89293762610,-4.125,-5.8125,10.3125
89293785136,-2.1875,-6.6875,8.9375
89293800312,-0.6875,-6.9375,8.875
89293822633,3,-7.4375,9.375
89293845099,6.875,-8.0625,9.25
89293860136,8.75,-9.1875,10.25
89293882729,9.8125,-9.75,9.8125
89293905136,9.3125,-10.1875,7.5625
89293920156,10.75,-9.5,5.875
89293942748,12.4375,-7.875,3.4375
89293965164,13.8125,-6.625,1.4375
89293980326,9.375,-6.875,-0.25
89294002679,-0.25,-7.6875,-2.875
89294025188,-6.4375,-7.75,-4.4375
89294040196,-7.625,-7.3125,-6.1875
89294062727,-4.4375,-6.9375,-7.5625
89294085137,-1.3125,-6.6875,-8.4375
89294100165,-1.75,-6.25,-9.5625
89294122623,-4.125,-4.6875,-11.625
89294145160,-7.125,-3.0625,-14.375
89294160176,-8.3125,-1.1875,-16.4375
89294182692,-10.8125,0.25,-18
89294214161,-16.125,1.125,-19.125
89294220361,-22,1.125,-19.375
89294242573,-25.4375,0.0625,-18.9375
89294265383,-24.875,-1.1875,-18.5625
89294280197,-22.4375,-1.5625,-17.8125
89294302894,-19.3125,-1.25,-17.1875
89294325466,-17.4375,-1.125,-16.6875
89294340205,-17.125,-1.375,-16.1875
89294362664,-18,-0.8125,-16.5625
89294385181,-19.0625,1.625,-16.3125
89294400176,-21.9375,5.375,-15.9375
89294422597,-24.5,8.125,-16.0625
89294445170,-26.1875,9,-14.75
89294461583,-22.4375,9.0625,-13.375
