timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89373913398,-2,-1,2,1,0,-2,3,9
89373913398,4,1,-2,-1,1,1,0,-10
89373916794,-11,-1,0,-1,0,0,2,0
89373916794,0,1,-8,-1,-1,-1,-8,2
89373917572,-5,0,1,-6,-1,0,-1,1
89373917572,8,-3,-5,-2,-2,-1,-2,0
89373918366,-32,-2,1,0,0,-1,-1,-3
89373918366,1,-3,1,-1,-1,-1,1,0
89373924734,4,0,-2,0,-2,1,0,-4
89373924734,-3,0,-2,5,-2,-2,-2,-3
89373929776,7,0,-1,-2,-1,0,-2,-1
89373929776,-3,-2,1,-1,0,-2,1,-1
89373941258,-6,-3,-3,-3,0,-2,-5,-6
89373941258,-7,-1,2,-3,-1,-3,6,-1
89373953462,6,1,0,1,1,1,2,4
89373953462,0,-1,-2,-2,-1,0,-1,-3
89373967708,3,-2,0,1,-1,-1,-3,-3
89373967708,-4,-3,0,-1,-1,1,-2,3
89373984763,12,0,-2,-1,-1,-2,-3,-3
89373984763,-1,1,1,0,-1,-2,-2,-3
89373986420,-4,-4,-3,-3,-2,0,5,0
89373986420,1,-1,0,-1,-1,0,-7,-2
89374023081,-4,0,-1,2,0,-1,9,-5
89374023081,7,-1,2,0,-2,-2,-5,5
89374023878,-4,-2,-1,-1,-2,-1,1,-2
89374023878,-1,1,0,0,1,-3,-11,-6
89374024696,-3,-1,-1,-1,-1,0,1,-5
89374024696,-9,-1,-3,-2,-1,0,5,1
89374027171,22,3,-2,-2,-2,-1,-4,2
89374027171,-8,-2,-1,-2,-3,1,1,-7
89374035312,-8,-4,0,-1,-1,0,-3,4
89374035312,17,1,0,1,-1,-1,-3,0
89374042116,-9,-1,-2,-1,0,0,0,-2
89374042116,-4,-2,-2,-1,-2,-1,2,2
89374049603,1,1,1,-1,0,-1,-4,3
89374049603,-8,-4,-4,0,-1,-2,-7,-5
89374064609,-3,-1,-2,-2,1,-2,-3,-1
89374064609,6,-1,-2,-3,-1,0,2,4
89374072105,-1,0,-1,0,-2,-1,-6,-3
89374072105,-4,-3,-6,-4,-3,-2,1,-2
89374095965,-1,-2,1,-2,-3,-2,4,0
89374095965,-2,-3,-1,0,-1,-2,-3,-2
89374096748,-3,0,-3,-3,-3,-2,-4,-5
89374096748,5,0,2,-2,0,0,-2,0
89374110308,6,-2,-1,-1,-1,-2,-1,6
89374110308,-4,-1,-2,-1,0,0,6,3
89374110956,-5,-3,-2,-2,-1,-3,-11,0
89374110956,6,4,3,0,0,-1,10,-2
89374132798,-5,-1,0,0,-1,0,-1,-6
89374132798,-4,-3,-1,-1,0,-1,0,-1
89374133588,-4,0,-2,0,-2,1,-1,-3
89374133588,8,1,-1,-2,-3,-3,-1,1
89374155944,-10,-2,0,0,-1,0,-6,-3
89374155944,-3,0,0,-1,-2,0,6,-4
89374156711,-3,-2,0,0,0,0,3,0
89374156711,-3,-1,-1,0,-1,-3,-2,-2
89374170360,2,-1,0,-1,0,0,0,0
89374170360,1,-2,-2,0,-1,-1,-3,-2
89374171097,7,-1,0,-1,0,0,1,0
89374171097,-7,-3,-1,-1,-1,-2,0,-1
89374192801,3,1,1,0,-1,-1,2,1
89374192801,2,0,-1,-2,-2,-2,-4,-2
89374193555,5,-2,-1,-1,-3,-2,3,2
89374193555,-7,-2,-2,-1,0,-2,-6,-5
89374215935,-6,-1,0,1,-2,0,0,-3
89374215935,3,1,0,-1,-2,-2,-4,-1
89374216744,2,-1,-2,-2,-3,-1,0,0
89374216744,-6,-2,-1,0,-2,-1,-6,-5
89374230321,0,-1,-2,-1,-1,-2,-1,2
89374230321,-2,-2,-2,-1,-1,-2,-4,-3
89374230975,14,0,1,-1,-1,3,9,11
89374230975,-10,-2,0,-1,-2,-1,-4,-3
89374252830,-1,0,-3,0,0,-2,-2,-5
89374252830,-3,3,1,0,0,-1,-1,-1
89374253567,-5,-1,-1,0,0,-2,-1,-6
89374253567,1,-1,-1,-1,-1,1,1,0
89374283479,-4,-2,0,-1,-2,0,-1,-2
89374283479,1,0,-2,-2,-2,-3,-3,3
89374284292,-2,-3,-2,-2,0,-2,-2,-2
89374284292,1,1,-1,-3,0,0,-2,-2
89374290339,-4,-2,-1,-2,0,-1,-1,-1
89374290339,0,-2,0,3,-1,0,1,-2
89374291065,1,2,-4,-3,-1,-2,-4,-2
89374291065,-6,-5,4,0,-1,-2,0,-2
89374320946,4,2,-9,4,3,1,-1,2
89374320946,1,-2,15,21,-1,-1,-1,2
89374321756,-7,-6,-14,-35,-4,-4,1,-1
89374321756,-1,0,-3,-7,-3,0,-1,-1
89374335988,0,0,6,18,0,-1,3,2
89374335988,3,4,17,20,4,0,-2,0
89374336756,1,0,1,24,2,2,-12,-3
89374336756,-10,-1,-5,3,-4,-1,15,-1
89374349607,10,-3,-6,-11,-3,-3,-5,-2
89374349607,-4,-2,-14,-38,-6,-2,-6,-4
89374357768,-2,-1,7,12,0,-2,0,7
89374357768,4,1,-3,-4,0,1,-6,0
89374372778,-9,-2,1,2,-1,0,4,-3
89374372778,-3,-3,-6,1,-2,-2,2,-1
89374373567,2,-1,0,0,-1,-1,-3,-6
89374373567,-2,0,-1,3,1,0,-4,0
89374396006,-3,0,1,-8,-2,-2,-1,1
89374396006,1,-2,-6,-3,0,0,-5,1
89374396791,-2,-2,-2,-9,-1,0,1,-2
89374396791,4,-1,2,1,-2,0,1,3
89374410068,-4,0,0,-1,-2,0,0,-4
89374410068,1,-2,-7,-9,-1,-2,-2,-1
89374417801,-3,-2,0,3,-2,0,2,-1
89374417801,-2,0,-1,1,-1,-5,-9,-5
89374432751,1,-5,-1,-5,-3,1,-3,4
89374432751,12,2,-3,-2,-1,-1,1,0
89374433543,-5,-1,-1,-2,-1,-4,2,-1
89374433543,3,-2,0,0,-1,2,-12,-2
89374455948,-24,-3,-3,-6,1,-1,15,-3
89374455948,15,3,-1,0,-1,-1,7,18
89374456787,5,1,1,1,0,0,-6,-4
89374456787,0,-2,-1,-4,1,0,-1,5
89374469642,1,0,0,-1,-2,-2,-11,-10
89374469642,-12,-3,-3,-1,-1,-1,3,-2
89374477810,-2,-1,-1,-2,-1,-1,2,-3
89374477810,-2,-1,-1,0,-2,-1,0,-1
89374492767,6,1,5,3,0,-1,-5,-1
89374492767,-15,-4,-7,-6,-2,-2,5,-5
89374493536,15,2,-2,-4,-3,-2,-5,-2
89374493536,-3,1,-2,0,0,-4,-3,-3
89374515946,1,-2,-5,-1,-1,0,0,-1
89374515946,-1,1,3,1,0,0,-2,-6
89374516720,-13,-2,-1,2,1,1,1,-6
89374516720,-3,-2,-1,-2,-1,0,3,-2
89374529567,16,1,-1,-2,-1,-2,-2,4
89374529567,-12,-3,-3,0,1,-1,-4,-10
89374537821,-5,-1,0,-4,-1,-2,0,0
89374537821,0,1,-1,1,-1,-2,3,0
89374552743,-7,-2,-1,-3,-1,0,-2,-2
89374552743,4,2,-1,0,-1,0,-4,-5
89374553523,-3,-1,-1,1,-1,-1,-4,1
89374553523,7,0,-1,-1,-1,0,5,1
89374575966,-20,-3,-1,0,-2,-3,-2,-2
89374575966,17,0,-2,-2,-1,0,-5,1
