timestamp,x,y,z,w
89373719688,-0.402771,-0.503418,-0.374634,0.666382
89373734664,-0.403015,-0.503418,-0.374207,0.666443
89373758515,-0.403015,-0.503479,-0.374146,0.666443
89373779909,-0.403503,-0.503296,-0.374573,0.666016
89373794844,-0.403992,-0.503052,-0.375122,0.665649
89373818571,-0.404419,-0.502869,-0.37561,0.665222
89373839874,-0.404785,-0.502869,-0.376038,0.664795
89373854953,-0.404785,-0.502869,-0.376343,0.664551
89373909687,-0.404663,-0.502869,-0.37677,0.664429
89373911370,-0.404663,-0.502808,-0.377319,0.664185
89373919255,-0.404907,-0.502563,-0.377747,0.66394
89373939159,-0.40509,-0.50238,-0.378052,0.663818
89373960310,-0.405151,-0.50238,-0.377991,0.663818
89373985588,-0.404907,-0.502441,-0.377869,0.664001
89374012207,-0.404907,-0.502441,-0.377869,0.664001
89374022316,-0.40509,-0.502258,-0.377869,0.664001
89374036116,-0.40509,-0.502258,-0.377869,0.664001
89374057155,-0.404968,-0.502563,-0.377502,0.664062
89374079733,-0.404724,-0.503052,-0.377014,0.664124
89374097591,-0.40448,-0.503601,-0.37677,0.66394
89374117219,-0.404236,-0.504028,-0.37677,0.663818
89374139656,-0.404175,-0.504333,-0.376953,0.663513
89374157573,-0.404297,-0.504578,-0.376892,0.663269
89374177204,-0.404297,-0.505066,-0.376648,0.663025
89374199672,-0.404297,-0.505798,-0.376221,0.66272
89374217584,-0.404419,-0.506714,-0.375977,0.662109
89374237198,-0.404968,-0.507629,-0.37616,0.66095
89374259688,-0.405884,-0.508362,-0.37677,0.659485
89374285114,-0.406738,-0.508911,-0.37738,0.658203
89374297210,-0.407288,-0.509583,-0.377625,0.657166
89374322562,-0.407593,-0.510193,-0.377136,0.656799
89374337589,-0.407532,-0.511047,-0.37616,0.656738
89374358588,-0.407104,-0.512024,-0.374939,0.656921
89374379649,-0.406372,-0.512695,-0.373901,0.657471
89374397620,-0.40564,-0.513062,-0.373047,0.658081
89374418670,-0.405334,-0.513184,-0.372742,0.658386
89374439683,-0.405701,-0.512817,-0.373047,0.658264
89374457625,-0.406189,-0.512207,-0.373657,0.658081
89374478607,-0.406433,-0.511658,-0.374146,0.658081
89374499617,-0.406677,-0.511108,-0.374451,0.658203
89374517506,-0.407104,-0.510681,-0.374573,0.658142
89374538691,-0.40741,-0.510498,-0.374573,0.658142
89374559642,-0.407288,-0.510559,-0.374329,0.658325
89374577570,-0.407043,-0.510742,-0.373901,0.658508
89374598588,-0.406677,-0.511169,-0.373535,0.65863
89374619609,-0.406311,-0.511719,-0.373169,0.65863
89374637559,-0.405579,-0.512451,-0.37262,0.658875
89374658609,-0.404663,-0.513184,-0.371826,0.659302
89374679679,-0.404053,-0.513428,-0.37146,0.659668
89374697550,-0.403198,-0.51355,-0.371094,0.660339
89374726220,-0.402588,-0.513245,-0.371033,0.66095
89374739628,-0.402588,-0.512695,-0.371277,0.661255
89374757700,-0.403076,-0.511536,-0.37207,0.661377
89374778823,-0.403992,-0.51001,-0.373108,0.661438
89374799966,-0.405518,-0.508362,-0.374207,0.661194
89374817601,-0.40741,-0.506653,-0.375366,0.660645
89374840107,-0.408691,-0.505432,-0.37616,0.6604
89374859904,-0.40918,-0.504761,-0.376831,0.660156
89374877704,-0.409485,-0.504456,-0.377686,0.65979
89374900171,-0.409668,-0.504211,-0.378296,0.659424
89374919629,-0.409851,-0.504028,-0.378418,0.659424
89374937637,-0.410522,-0.503601,-0.37793,0.659607
89374960087,-0.411011,-0.503235,-0.37677,0.660217
89374979736,-0.411194,-0.50293,-0.375366,0.661194
89375002826,-0.410889,-0.502258,-0.373291,0.663025
89375019355,-0.411377,-0.500671,-0.370056,0.665771
89375041830,-0.414368,-0.497314,-0.366211,0.668518
89375062904,-0.420837,-0.490845,-0.360535,0.672302
89375079340,-0.432251,-0.480103,-0.351807,0.677429
89375101856,-0.447632,-0.464966,-0.340332,0.683838
89375122868,-0.461792,-0.447083,-0.320984,0.695618
89375139352,-0.470703,-0.427612,-0.289185,0.715515
89375161707,-0.473816,-0.407471,-0.245544,0.741089
89375182891,-0.474121,-0.383179,-0.193542,0.768738
89375199333,-0.475952,-0.353638,-0.136108,0.79364
89375221845,-0.481934,-0.319397,-0.0742798,0.812561
89375242874,-0.487122,-0.281006,-0.00817871,0.826843
89375265356,-0.486023,-0.237976,0.0568237,0.838989
89375282025,-0.477234,-0.18988,0.116394,0.850037
89375304428,-0.460205,-0.136169,0.170898,0.860474
89375318668,-0.436218,-0.0780029,0.21759,0.869629
89375341708,-0.410706,-0.0180664,0.253296,0.875671
89375364390,-0.388977,0.0407715,0.277649,0.877441
89375378673,-0.373657,0.0958252,0.2901,0.875732
89375401854,-0.367798,0.143372,0.292114,0.871094
89375424421,-0.36554,0.180786,0.285706,0.867188
89375438761,-0.361206,0.209045,0.272705,0.866821
89375461843,-0.353088,0.229126,0.2547,0.870605
89375484283,-0.343567,0.240662,0.233643,0.877136
89375498624,-0.337463,0.240845,0.212524,0.884827
89375521851,-0.338074,0.228638,0.191711,0.892517
89375544527,-0.342163,0.206177,0.173706,0.900085
89375558642,-0.350586,0.174622,0.160339,0.906006
89375581845,-0.360596,0.141541,0.153442,0.909058
89375604528,-0.357544,0.107056,0.150879,0.915344
89375618654,-0.338379,0.0744019,0.15564,0.925049
89375641817,-0.311768,0.0488281,0.169739,0.933594
89375664356,-0.290283,0.0291138,0.188416,0.937744
89375678824,-0.283813,0.0123291,0.211182,0.935242
89375701804,-0.283997,0.00115967,0.237549,0.928894
89375724424,-0.277466,0.00128174,0.265625,0.923279
89375745592,-0.264771,0.0131226,0.295349,0.917847
89375761877,-0.25177,0.0357056,0.32489,0.910889
89375784420,-0.241028,0.0673828,0.35022,0.902588
89375805568,-0.235596,0.102661,0.367859,0.893616
89375821846,-0.236938,0.136597,0.377441,0.884705
89375844442,-0.242249,0.168701,0.380188,0.876465
89375865391,-0.248657,0.200134,0.376221,0.869751
89375881816,-0.255554,0.230591,0.36499,0.86499
89375904469,-0.265686,0.257446,0.347961,0.861389
89375925581,-0.278076,0.278748,0.328064,0.858643
89375942002,-0.293579,0.289734,0.308533,0.857056
89375964394,-0.309875,0.290894,0.288757,0.857849
89375985551,-0.323914,0.282043,0.266418,0.862854
89376001866,-0.337036,0.262085,0.24585,0.870178
89376024383,-0.346863,0.235779,0.231018,0.877869
