timestamp,roll,pitch,yaw
89404507018,-0.883662,-1.25779,-0.447249
89404529467,-0.883662,-1.25779,-0.447249
89404544685,-0.884655,-1.25811,-0.446858
89404569618,-0.88521,-1.25809,-0.446326
89404589653,-0.884332,-1.25777,-0.446103
89404604675,-0.88385,-1.25842,-0.446221
89404628544,-0.88385,-1.25842,-0.446221
89404649944,-0.88385,-1.25842,-0.446221
89404705368,-0.88385,-1.25842,-0.446221
89404707514,-0.883253,-1.25818,-0.445613
89404711779,-0.883867,-1.25861,-0.445443
89404732776,-0.883978,-1.25843,-0.445069
89404747810,-0.884254,-1.25833,-0.444922
89404770831,-0.884254,-1.25833,-0.444922
89404814467,-0.884365,-1.25815,-0.444547
89404824650,-0.884365,-1.25815,-0.444547
89404830953,-0.88481,-1.25831,-0.444389
89404845942,-0.88509,-1.25839,-0.444003
89404868452,-0.884988,-1.25857,-0.443376
89404897663,-0.885158,-1.25883,-0.443364
89404914115,-0.886653,-1.25904,-0.442131
89404937105,-0.888271,-1.25925,-0.440744
89404959133,-0.889625,-1.25973,-0.43926
89404974155,-0.889625,-1.25973,-0.43926
89404996687,-0.890339,-1.25961,-0.438729
89405019153,-0.892121,-1.26007,-0.437863
89405034159,-0.892679,-1.26005,-0.437329
89405056647,-0.892679,-1.26005,-0.437329
89405079185,-0.892679,-1.26005,-0.437329
89405093665,-0.893831,-1.25991,-0.436882
89405116663,-0.895143,-1.25967,-0.436439
89405139055,-0.898024,-1.25973,-0.434997
89405153454,-0.900071,-1.25956,-0.433714
89405176829,-0.90174,-1.25984,-0.433239
89405199146,-0.903768,-1.2595,-0.432747
89405213447,-0.906968,-1.25938,-0.4318
89405236807,-0.91024,-1.25935,-0.43015
89405259284,-0.911588,-1.2593,-0.428921
89405273552,-0.912604,-1.25962,-0.428518
89405296589,-0.914714,-1.26016,-0.427309
89405319212,-0.917535,-1.26121,-0.42574
89405333549,-0.919452,-1.26238,-0.423881
89405356689,-0.918472,-1.26384,-0.423981
89405379071,-0.918576,-1.26535,-0.42292
89405393510,-0.919568,-1.2671,-0.4212
89405416663,-0.919893,-1.26869,-0.419863
89405439171,-0.920842,-1.27,-0.417765
89405461754,-0.921305,-1.27115,-0.416335
89405476689,-0.922584,-1.27228,-0.414118
89405499139,-0.923443,-1.27297,-0.411859
89405520366,-0.92386,-1.27406,-0.410591
89405536682,-0.923744,-1.27387,-0.410436
89405559188,-0.92442,-1.27411,-0.409984
89405580145,-0.92442,-1.27411,-0.409984
89405604082,-0.926062,-1.27469,-0.408635
89405619206,-0.925654,-1.27471,-0.407988
89405640368,-0.924618,-1.27485,-0.407815
89405656662,-0.923592,-1.27509,-0.408534
89405679294,-0.924232,-1.27479,-0.407224
89405700348,-0.92517,-1.2744,-0.405221
89405707167,-0.92549,-1.27422,-0.403088
89405738540,-0.926411,-1.27457,-0.40122
89405744681,-0.927192,-1.27473,-0.399745
89405766999,-0.926569,-1.27514,-0.399867
89405789490,-0.925161,-1.2753,-0.400576
89405806028,-0.923012,-1.27539,-0.401606
89405827007,-0.921833,-1.27555,-0.40209
89405849465,-0.921248,-1.27558,-0.402648
89405865911,-0.921717,-1.27517,-0.403171
89405887015,-0.924692,-1.27436,-0.402689
89405909597,-0.924615,-1.27409,-0.404111
89405925961,-0.924509,-1.27371,-0.405193
89405947005,-0.923573,-1.27336,-0.407606
89405969571,-0.924862,-1.27283,-0.408536
89405986031,-0.926636,-1.27276,-0.408398
89406007070,-0.926892,-1.27248,-0.407971
89406029698,-0.926139,-1.27161,-0.407236
89406045978,-0.931388,-1.26961,-0.399848
89406066980,-0.939308,-1.26801,-0.385753
89406089539,-0.941011,-1.26474,-0.372755
89406107467,-0.937841,-1.25999,-0.362236
89406127221,-0.936208,-1.25385,-0.352022
89406149746,-0.941147,-1.24598,-0.338608
89406167656,-0.959469,-1.23347,-0.312453
89406187242,-0.996808,-1.2132,-0.263553
89406209505,-1.03722,-1.18485,-0.196824
89406227669,-1.06282,-1.14688,-0.13524
89406247075,-1.08002,-1.0957,-0.0826338
89406271057,-1.09556,-1.02998,-0.0322714
89406286146,-1.09872,-0.944997,0.0263224
89406307031,-1.09075,-0.843028,0.0950776
89406329722,-1.07427,-0.728402,0.164843
89406347465,-1.05523,-0.597756,0.231545
89406367238,-1.0254,-0.451777,0.290243
89406389609,-0.981491,-0.302526,0.337049
89406408892,-0.926668,-0.157062,0.377181
89406427216,-0.857459,-0.0146254,0.412935
89406449464,-0.774898,0.124031,0.439372
89406467599,-0.696738,0.257155,0.453848
89406488420,-0.633157,0.384434,0.450854
89406509460,-0.594459,0.501225,0.432541
89406527605,-0.581271,0.593823,0.40299
89406547125,-0.583011,0.655053,0.363673
89406569721,-0.585934,0.688695,0.320065
89406587606,-0.587102,0.693854,0.272706
89406607196,-0.592883,0.678837,0.223985
89406629575,-0.600598,0.639523,0.179746
89406648802,-0.609904,0.575535,0.143494
89406666997,-0.622019,0.490389,0.121548
89406689468,-0.640323,0.40076,0.116505
89406714876,-0.65903,0.313106,0.12547
89406726993,-0.640253,0.227265,0.152511
89406749496,-0.584973,0.150952,0.199065
89406767424,-0.528113,0.089048,0.254999
89406786984,-0.493066,0.0402254,0.310272
89406809448,-0.493305,0.00955013,0.372906
89406827355,-0.506423,-0.000114053,0.438667
89406846917,-0.505084,0.012313,0.503855
89406869488,-0.486512,0.0483708,0.565239
89406887405,-0.456606,0.109724,0.620942
89406914461,-0.421312,0.19042,0.671685
89406929484,-0.382995,0.280638,0.713239
89406947429,-0.346614,0.373452,0.740182
89406968391,-0.31964,0.462085,0.749443
89406990925,-0.304063,0.545531,0.740806
89407007439,-0.298887,0.621339,0.71236
89407028422,-0.308674,0.681545,0.661291
89407049465,-0.337671,0.719959,0.589739
89407067431,-0.381147,0.732757,0.508524
89407088427,-0.419595,0.7165,0.430847
89407109487,-0.44998,0.668505,0.356698
89407127419,-0.476153,0.589709,0.297457
89407156012,-0.50044,0.50433,0.264029
89407169469,-0.504855,0.415792,0.24993
89407191992,-0.491165,0.329396,0.252104
89407214522,-0.464094,0.251179,0.268472
89407229434,-0.441827,0.186714,0.297509
89407247530,-0.431465,0.138397,0.333216
89407270192,-0.434606,0.10356,0.372202
89407290996,-0.440848,0.0835,0.412032
89407307483,-0.436756,0.0893084,0.448267
89407329856,-0.428766,0.11226,0.482272
89407349721,-0.422088,0.154083,0.513265
89407367579,-0.415541,0.208096,0.540607
89407397435,-0.406305,0.271534,0.560141
89407409681,-0.398627,0.339176,0.567988
89407427533,-0.399876,0.405897,0.563882
89407449941,-0.407748,0.470454,0.54902
89407469422,-0.425582,0.529705,0.519856
89407491994,-0.454952,0.578917,0.473273
89407510361,-0.496483,0.613509,0.411748
89407529596,-0.538772,0.629326,0.344913
89407547500,-0.575108,0.622826,0.281498
89407570126,-0.60771,0.590872,0.221783
89407589753,-0.634528,0.532437,0.17416
89407607437,-0.6583,0.461536,0.143721
89407629866,-0.670371,0.386079,0.126136
89407649455,-0.673754,0.306107,0.120837
89407667490,-0.671067,0.228463,0.127258
89407689942,-0.669192,0.160154,0.145427
89407712657,-0.675923,0.100482,0.169931
89407733366,-0.691894,0.0490177,0.199765
89407749816,-0.721327,0.0115487,0.2326
89407769525,-0.749795,-0.00923989,0.263848
89407787413,-0.775185,-0.00965258,0.285974
89407809906,-0.802683,0.0045111,0.295283
89407829701,-0.843105,0.025411,0.291589
89407847449,-0.896225,0.0496787,0.274581
89407869922,-0.9543,0.0724257,0.247686
89407889528,-1.00771,0.091868,0.216551
89407906758,-1.05608,0.102741,0.18164
89407929141,-1.0968,0.104339,0.140152
89407950314,-1.13433,0.0944055,0.0913288
89407966667,-1.17144,0.0700903,0.0380702
89407989205,-1.20712,0.0316798,-0.0162064
89408010399,-1.23941,-0.0191021,-0.069022
89408032877,-1.26718,-0.0822438,-0.119518
89408049124,-1.28595,-0.156363,-0.168565
89408070077,-1.29346,-0.241179,-0.214455
89408086521,-1.29522,-0.331061,-0.255587
89408109140,-1.28436,-0.427797,-0.295717
89408130386,-1.2747,-0.529276,-0.332173
89408146589,-1.26198,-0.628987,-0.3644
89408169296,-1.24788,-0.723092,-0.390106
89408190191,-1.23509,-0.812906,-0.415539
89408206030,-1.20585,-0.899671,-0.445693
89408229143,-1.14444,-0.980982,-0.485515
89408250328,-1.06632,-1.05211,-0.526756
89408265979,-0.998486,-1.1138,-0.56063
89408289128,-0.944583,-1.16269,-0.586187
89408311620,-0.893366,-1.2005,-0.605401
89408326045,-0.860837,-1.22932,-0.605732
89408349078,-0.846509,-1.25493,-0.588565
89408371590,-0.847962,-1.27683,-0.561225
89408386126,-0.85302,-1.29515,-0.535096
89408409128,-0.85186,-1.31201,-0.517253
89408431621,-0.846838,-1.32866,-0.50988
89408446158,-0.852222,-1.34383,-0.50579
89408469140,-0.85647,-1.35475,-0.508129
89408491802,-0.858757,-1.36097,-0.519588
89408505955,-0.852198,-1.36078,-0.54301
89408528809,-0.835709,-1.35657,-0.578195
89408551529,-0.826991,-1.35116,-0.606459
89408572651,-0.821334,-1.34622,-0.620314
89408589019,-0.808745,-1.34394,-0.628586
89408611659,-0.79655,-1.34365,-0.630538
89408632712,-0.781007,-1.34324,-0.630512
89408649097,-0.767726,-1.34326,-0.626236
89408671583,-0.761619,-1.34446,-0.618837
89408694095,-0.762937,-1.34483,-0.608822
89408709104,-0.7705,-1.34598,-0.598772
89408731600,-0.777592,-1.3469,-0.591277
89408752702,-0.779046,-1.34774,-0.589453
89408769110,-0.775278,-1.34946,-0.593798
89408791591,-0.771287,-1.35078,-0.600662
89408812701,-0.772162,-1.35084,-0.605338
89408829099,-0.780464,-1.34982,-0.603381
89408851583,-0.792253,-1.3477,-0.597502
89408872659,-0.805802,-1.34502,-0.587988
89408889067,-0.817278,-1.34171,-0.578713
89408911576,-0.829449,-1.33982,-0.569742
89408932653,-0.83669,-1.33856,-0.564198
89408949528,-0.841359,-1.33744,-0.561089
89408971614,-0.848078,-1.33667,-0.557644
89408992584,-0.856925,-1.33505,-0.552674
89409009156,-0.866347,-1.33345,-0.547181
89409031550,-0.875322,-1.33147,-0.542026
89409052630,-0.88412,-1.3291,-0.536929
89409069066,-0.891546,-1.32629,-0.532468
89409099121,-0.898391,-1.32365,-0.527535
89409112682,-0.906093,-1.32203,-0.520857
89409129244,-0.909419,-1.32001,-0.516142
89409151328,-0.912454,-1.31923,-0.512568
89409172774,-0.918052,-1.31805,-0.506559
89409189036,-0.92636,-1.31729,-0.498716
89409211759,-0.935733,-1.31665,-0.489616
89409234089,-0.943781,-1.31624,-0.481326
89409249030,-0.948604,-1.31553,-0.475315
89409271665,-0.953097,-1.31452,-0.470183
89409293993,-0.960786,-1.31414,-0.463841
89409308379,-0.968898,-1.31355,-0.456858
89409331529,-0.978661,-1.31254,-0.447997
89409353994,-0.991233,-1.31097,-0.435811
89409376517,-1.00345,-1.30921,-0.422437
89409391638,-1.01269,-1.30638,-0.409913
89409414819,-1.02075,-1.30354,-0.398709
89409428400,-1.02864,-1.30173,-0.388255
89409451738,-1.03757,-1.29978,-0.377262
89409474116,-1.04628,-1.29869,-0.366517
89409488408,-1.05402,-1.29846,-0.356675
89409511660,-1.06094,-1.29812,-0.346717
89409534130,-1.06967,-1.29914,-0.336179
89409548415,-1.08073,-1.29976,-0.323386
89409571657,-1.0919,-1.30023,-0.310056
89409594015,-1.10323,-1.30081,-0.296282
89409608376,-1.11247,-1.30154,-0.283043
