timestamp,x,y,z
86160207261,-0.1875,-0.0625,0.25
86160229718,-0.3125,-0.125,0.3125
86160250727,-0.25,-0.0625,0.3125
86160274706,0.125,-0.125,0.625
86160289706,0.0625,-0.125,0.5625
86160310708,-0.1875,-0.125,0.375
86160327164,-0.4375,-0.1875,0.1875
86160349701,-0.6875,-0.0625,0.1875
86160372253,0.0625,-0.0625,0.5
86160387244,0.5625,0.0625,0.4375
86160409709,-0.0625,-0.125,0.375
86160432244,-0.4375,0.1875,0.3125
86160447183,-0.75,0.0625,0.375
86160477160,-0.5625,0.125,0.375
86160492220,-0.375,0.3125,0.875
86160507207,-2,0.5625,0.625
86160529703,-3.625,0.6875,0.625
86160552219,-2.375,0.375,1.25
86160566565,-1,0.375,1.125
86160589708,-1.875,0.375,1.5625
86160612306,-2,0.125,1.8125
86160626534,-1.5625,0.125,2.1875
86160649787,-0.4375,-0.25,2.625
86160672223,-0.25,-1.3125,5.9375
86160686487,-7.0625,-1.3125,11.9375
86160709739,-21,-2.0625,21.375
86160732180,-36.625,-0.4375,34.75
86160753240,-49.75,-1.125,52.8125
86160769735,-50.4375,-1.4375,73.6875
86160792248,-35.6875,2.0625,98.25
86160813260,-17.3125,3,132.688
86160829764,-15.25,6.4375,168.625
86160852294,-13.875,10.125,203.75
86160873465,-8.625,15,237.938
86160889792,11.3125,24.6875,272.625
86160912309,27.0625,34.25,297.312
86160933319,28,41.6875,312.188
86160949692,30.625,48.75,327.75
86160972250,37.25,51.75,340.438
86160993257,42.125,52.75,347.938
86161009780,53.8125,53.625,344.5
86161032160,57.9375,54.6875,337.125
86161053342,53.0625,55,325.875
86161069745,41.125,58.6875,310.25
86161092261,35.8125,58.0625,286.875
86161113345,30.4375,53.4375,261.562
86161128988,21.4375,48.9375,228.438
86161152229,12.75,39.75,196.938
86161173260,-10.8125,27.6875,167.562
86161189074,-38.0625,12.875,132.188
86161212225,-58.6875,0.0625,94.4375
86161233211,-71.625,-14.0625,51.9375
86161249002,-85.875,-32.25,10.3125
86161272160,-102.688,-53.25,-36.3125
86161296162,-129.062,-84.875,-93.25
86161309040,-139.375,-121.5,-163.625
86161332184,-103.188,-169.125,-240.375
86161354729,-59.5625,-236.375,-319.938
86161369040,-68.6875,-284.375,-411.812
86161392225,-120.375,-305.875,-473.875
86161414729,-108.812,-294.812,-468.312
86161435772,-37.9375,-262.125,-441.312
86161452217,107.688,-248.562,-393.75
86161474721,231.5,-230.875,-234.875
86161503907,219.375,-183.062,-40.25
86161505564,53.25,-140.188,59.4375
86161520526,-60.25,-111.312,140
86161540105,9.75,-87.625,185.875
86161562571,118.625,-65,210.25
86161577577,183.062,-33.0625,230.375
86161600223,187.375,-6.5625,252.188
86161622562,168.5,2.5625,261.75
86161637578,155.312,1.875,265.312
86161660084,176.938,0.9375,261
86161682527,218.188,6.5,254.125
86161697633,236.938,15.375,244.625
86161720113,224.812,31.0625,228.938
86161738040,191.625,42.5625,209.625
86161757570,155.875,54.8125,190.688
86161780112,132.062,66.875,167.062
86161798011,104.938,80.625,132.75
86161817602,90.8125,94.0625,92.75
86161840084,81.75,101.562,51.0625
86161857981,59.6875,102.625,6
86161877562,20.3125,99.25,-36.3125
86161901587,-15.375,97.5625,-76
86161918061,-40.375,99.625,-116.312
86161937594,-59.875,102.125,-162.688
86161960098,-73.625,108.375,-213.562
86161977988,-82,119.75,-266.562
86161997563,-83.3125,141.75,-323.062
86162021562,-84.875,160.312,-378.125
86162038014,-90.3125,172.125,-443.75
86162057595,-113.125,187.375,-508.312
86162080121,-137.75,211.75,-557.75
86162097988,-173.625,248.812,-610.25
86162117613,-186.375,250.688,-580.562
86162140124,-233.062,236.062,-477.188
86162158018,-165.5,145.938,-341
86162177577,-36.6875,90.9375,-171.375
86162200143,116.062,17.0625,-132.688
86162217964,92.6875,-16.3125,4.4375
86162237563,34.75,-31.5625,46.5625
86162260140,-1.0625,-35.0625,74.4375
86162278010,11.4375,-36.6875,71.625
86162297581,31.5625,-32.5625,66.6875
86162320098,37.375,-32.6875,60.625
86162337986,27.6875,-36.875,47.625
86162357596,16.1875,-40.125,27.5
86162380110,11.1875,-36.5,7.0625
86162397956,14.1875,-27.3125,-10.125
86162420495,14.8125,-16.875,-23.625
86162440065,9.625,-10.4375,-36.125
86162457978,3.375,-9.5,-46.8125
86162477600,-2.6875,-11.4375,-54.6875
86162507583,-6.1875,-13.25,-61.875
86162518018,-5.375,-12.3125,-71.8125
86162537575,-5.375,-11.75,-79.5
86162560068,-3.5625,-10.875,-83.1875
86162577986,6,-9.0625,-84.8125
86162597597,18.9375,-10,-87.375
86162620103,27.875,-12.3125,-89.5625
86162638020,32.1875,-13.4375,-92.0625
86162657570,32.9375,-14.0625,-94.3125
86162680003,31.375,-13.9375,-93.25
86162697978,30.6875,-12.0625,-93.875
86162717580,22.9375,-10.0625,-95.625
86162740108,16.5625,-6.875,-96.8125
86162757959,16.1875,-3,-97.25
86162777583,16.4375,0.375,-95.9375
86162800126,14.3125,3.5,-92.75
86162825537,6.6875,5.4375,-89.25
86162837604,-5.0625,6.875,-85.75
86162860149,-17.25,10.9375,-79.6875
86162878009,-23.875,14.6875,-73.125
86162899031,-34,16.625,-63.25
86162927524,-44.6875,15.3125,-53.5625
86162937963,-52.3125,12.5625,-43.125
86162958998,-50.6875,10.75,-32.375
86162980082,-46.9375,10.6875,-20
86162998483,-47.0625,10.1875,-6.5
86163019038,-46.875,4.9375,5.125
86163040034,-32.4375,-2.5,13.8125
86163057996,-3.1875,-2.6875,15.6875
86163079076,18.1875,-2.25,11.3125
86163100069,17.75,-2.875,8.5625
86163117995,16.25,-1.125,5.9375
86163139037,13.0625,-0.25,4.5
86163160058,12.3125,0.625,2.375
86163177959,7.6875,0.5,0.6875
86163199064,4.625,0.875,-0.3125
86163223011,0,1.6875,0
86163237992,-3.75,1.9375,0.375
86163260551,-6.75,1.375,0.5
86163280084,-6.6875,1.5,0.875
86163298006,-4.1875,1.625,1.25
86163325055,-2.5,1.0625,1.0625
86163340061,-0.6875,0.3125,1.3125
86163358034,0.875,0.0625,1.0625
86163380506,1.8125,-0.3125,0.9375
86163400042,3.1875,-0.75,0.8125
86163417995,4.6875,-0.625,0.5625
86163448010,6.5625,-0.8125,0.0625
86163460055,6.875,-0.625,-0.375
86163478028,5.5,-0.3125,0.125
86163500501,2.4375,-0.375,0.8125
86163520119,0.75,-0.75,0.75
86163538015,1,-0.875,0.5625
86163560473,-0.125,-0.75,0.1875
86163580098,-1.4375,-0.8125,0.6875
86163597953,-1.375,-0.5,1.125
86163620525,-0.6875,-0.5,1.3125
86163640008,0.375,-0.3125,1.25
86163657935,1.5,-0.125,0.8125
86163680484,1.1875,-0.0625,0.375
86163700071,2.375,-0.25,0.3125
86163717927,2.375,-0.25,0.625
86163740525,1.625,-0.25,0.5
86163760758,1.25,-0.3125,0.4375
86163777211,0.5625,-0.4375,0.75
86163799716,0.875,-0.1875,0.9375
86163820714,0.3125,-0.125,1.4375
86163837207,0,-0.3125,1.25
86163859701,0.5625,-0.375,1.125
86163882231,1.1875,-0.375,0.875
86163897211,1.125,-0.5,0.375
86163919690,1.375,-0.3125,0.125
86163940764,1.9375,-0.3125,-0.0625
86163964686,2.6875,-0.375,0.25
86163979707,2.5625,-0.375,0.25
86164000722,1.4375,-0.4375,0.25
86164017201,0.125,-0.5,0.125
86164042436,0.0625,-0.4375,0.375
86164060711,1.3125,-0.375,0.3125
86164078379,1.4375,-0.3125,0.4375
86164099680,0.6875,-0.25,0.1875
86164120731,-0.25,-0.1875,-0.1875
86164136514,0.5625,-0.125,-0.0625
86164159733,1.875,-0.125,-0.0625
86164182199,1.75,-0.1875,0
86164197183,0.5625,-0.0625,-0.5625
86164227206,0.3125,0,-0.25
86164242251,0.75,-0.1875,-0.25
86164257244,0.8125,0,0.1875
86164279717,0.25,0,0.375
86164302188,-0.6875,-0.125,0.1875
86164316479,-1.125,-0.25,0.375
86164339750,-0.375,0.0625,0.625
86164362189,0.1875,0.0625,0.6875
86164376533,-0.6875,-0.0625,0.6875
