timestamp,x,y,z
86178537180,0.923828,-0.293457,0.0336914
86178559611,0.925781,-0.291016,0.0395508
86178573932,0.927734,-0.293457,0.0400391
86178597183,0.932617,-0.299805,0.0351562
86178619627,0.933105,-0.294434,0.0336914
86178633960,0.925781,-0.294922,0.0302734
86178657057,0.926758,-0.285645,0.0356445
86178679819,0.925781,-0.300293,0.0415039
86178694026,0.927246,-0.293457,0.034668
86178717181,0.92627,-0.291504,0.0366211
86178739626,0.925781,-0.297363,0.0380859
86178753937,0.930176,-0.300781,0.034668
86178777643,0.932617,-0.30127,0.0361328
86178799667,0.932617,-0.297363,0.0410156
86178813965,0.929688,-0.299805,0.034668
86178837087,0.927734,-0.302246,0.0395508
86178859627,0.924316,-0.300781,0.0322266
86178880644,0.925293,-0.302246,0.0302734
86178904627,0.934082,-0.306641,0.0400391
86178919666,0.931641,-0.305664,0.0380859
86178941006,0.929688,-0.301758,0.0449219
86178957219,0.937988,-0.313477,0.0688477
86178979802,0.959961,-0.335938,0.0849609
86179000763,0.953613,-0.3125,0.118652
86179017103,0.983398,-0.300781,0.143066
86179039674,1.08301,-0.298828,0.236816
86179060853,1.09277,-0.314453,0.280762
86179077208,1.13184,-0.368652,0.327637
86179107099,1.18945,-0.472656,0.328613
86179120972,1.19824,-0.599609,0.32373
86179136589,1.14746,-0.76416,0.246094
86179159695,1.06055,-1.01465,0.214355
86179180777,0.944824,-1.21973,0.219727
86179196442,0.772461,-1.2832,0.212402
86179219641,0.59375,-1.20703,0.212402
86179240940,0.398926,-1.23242,0.189453
86179256428,0.299805,-1.2417,0.182617
86179279727,0.235352,-1.21094,0.134766
86179300693,0.112793,-1.11035,0.0927734
86179316605,0.0600586,-1.03027,0.078125
86179339673,-0.0146484,-0.963379,0.0371094
86179362206,-0.0532227,-0.832031,-0.0180664
86179376490,-0.131348,-0.740234,-0.0629883
86179399658,-0.188477,-0.65332,-0.115723
86179422286,-0.241699,-0.561523,-0.148926
86179443405,-0.276855,-0.482422,-0.20459
86179459648,-0.259277,-0.477539,-0.230469
86179482136,-0.250488,-0.45166,-0.23291
86179503269,-0.23584,-0.467285,-0.239258
86179519777,-0.216797,-0.434082,-0.234375
86179542114,-0.228516,-0.410645,-0.248047
86179563236,-0.242188,-0.364746,-0.269531
86179579633,-0.223145,-0.388184,-0.25
86179602140,-0.0996094,-0.551758,-0.0947266
86179623207,-0.547852,-0.606445,-0.371094
86179639662,0.0131836,-0.746582,0.304688
86179662190,-0.219238,-0.786133,-0.186523
86179683370,-1.04248,-0.972168,0.364258
86179699632,-0.718262,-1.02197,0.422363
86179722166,-0.798828,-1.09961,0.421875
86179743347,-0.475098,-1.12402,0.432617
86179759792,0.330078,-1.49658,-0.078125
86179782125,0.678711,-1,-0.984863
86179803251,1.66553,-1.11475,-0.620117
86179819647,1.44824,-0.556152,0.133301
86179851067,1.01514,-0.620117,0.977539
86179863251,0.671387,-1.40967,1.30908
86179879695,0.537598,-2.00391,1.25684
86179902176,0.545898,-2.07812,1.10889
