timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83669314306,-5,-4,-2,-2,-1,-2,1,11
83669314306,2,2,1,-1,-1,0,-1,1
83669315916,4,3,0,-1,-2,-1,0,-7
83669315916,2,8,-3,0,-2,0,-3,2
83669336858,-6,-4,-1,-2,-1,-1,-2,-9
83669336858,-2,-3,-1,-1,-1,-2,-1,0
83669338572,-1,-5,0,0,-1,1,0,5
83669338572,-2,3,-1,-2,-2,0,0,1
83669350845,-1,-4,-2,1,-1,0,0,-3
83669350845,-22,0,-4,-1,-1,-2,-4,-7
83669359467,-4,-6,-1,-1,-2,-1,0,-6
83669359467,-2,1,-1,-1,-2,-1,-1,-3
83669374335,-2,5,0,-1,-2,-1,-1,-4
83669374335,7,-4,-2,-1,0,-1,-1,5
83669375896,-1,-4,-2,0,-2,-1,-1,3
83669375896,-3,0,-2,0,-2,-2,-2,-3
83669396611,-1,0,-2,-2,-3,-2,-2,-4
83669396611,-7,-2,-2,-2,-3,-2,0,4
83669402991,-2,-1,0,-1,-1,-1,0,2
83669402991,0,2,-1,-1,-2,1,-1,5
83669411775,-4,-2,-3,-1,-2,-1,-3,-10
83669411775,9,-1,-2,-1,2,-2,-1,-2
83669413396,14,24,0,0,-1,-1,0,6
83669413396,1,-11,2,0,0,-1,1,2
83669434350,-9,-3,-1,-1,-1,-2,-1,-22
83669434350,2,-2,-1,0,-1,-2,0,0
83669435975,-4,-2,-2,-1,0,-2,-2,-1
83669435975,2,7,0,-1,0,0,-1,5
83669456817,2,-3,-1,-2,-2,-1,-3,6
83669456817,3,-1,-1,-2,-3,0,0,-1
83669458397,-4,-10,-2,-2,-1,0,-2,-7
83669458397,-4,0,-3,1,-1,-1,-1,-2
83669471145,11,-3,0,-2,1,0,-1,-6
83669471145,-7,1,-1,-1,-1,1,-1,0
83669485465,1,-8,-2,-2,-2,-3,-2,9
83669485465,0,-1,-2,-2,-2,-1,-2,-6
83669494293,-3,3,-2,-1,-1,-2,0,5
83669494293,3,-1,0,-1,0,-1,-1,-1
83669495914,-5,-5,-1,-2,-1,-1,-1,-3
83669495914,8,1,-2,-3,-2,-2,-2,-1
83669516795,-6,2,-2,-1,-3,-1,-1,-3
83669516795,-2,-2,-2,-1,-1,-3,-4,-19
83669518448,-6,-7,-2,0,0,-1,-1,-2
83669518448,-5,1,-2,-2,0,-1,0,0
83669531105,0,-4,-1,-1,-1,-3,-3,-2
83669531105,4,-4,-1,-2,-1,-1,0,8
83669537918,3,10,0,-1,-2,-1,-2,-3
83669537918,-17,-38,-3,-1,-1,-2,-3,-11
83669554306,0,-4,-2,-3,-1,-2,0,3
83669554306,-1,0,1,0,-2,0,-1,5
