timestamp,x,y,z
83594006502,-2.25,-2.875,5.4375
83594015564,-0.4375,-4.25,7.25
83594037901,4.3125,-5.4375,7.625
83594058936,11.1875,-6,6.5625
83594075486,16.5625,-5.625,5.1875
83594097964,18,-5,4
83594120481,15.75,-4.25,4.6875
83594135535,12.5625,-4.625,5
83594158009,11.6875,-5.5625,6.375
83594178973,15.125,-6,6.4375
83594202980,17.625,-6,7.0625
83594218012,16.125,-5.875,8.125
83594239245,12.5625,-6,8.3125
83594255487,8.9375,-5.5,7.5
83594277961,8.25,-4.4375,5.8125
83594299069,6.625,-3.6875,3.6875
83594315463,7,-6.25,4
83594337992,6.375,-9.75,11.4375
83594359033,7.125,-14.25,20
83594374813,25.0625,-18.125,29.25
83594405535,45.6875,-26.5,46.25
83594419029,62.6875,-34.1875,63.375
83594434816,83.4375,-45.25,86.625
83594457939,85.875,-49.25,108.5
83594480496,79.375,-53.4375,134.375
83594494819,79.1875,-64.4375,169.5
83594517980,88.1875,-75.1875,200.312
83594540542,124.562,-88.3125,227.875
83594554899,148.875,-100.625,253.938
83594578066,171.375,-109.5,284.375
83594600588,178.5,-120.625,310.938
83594621777,180.438,-129.875,334.5
83594638070,184.188,-134.062,353.875
83594660517,184.375,-132.688,365.438
83594681778,187.375,-130.25,370.625
83594698070,189.5,-120.875,367.312
83594720503,190.25,-108.125,357.5
83594741515,186.188,-94.1875,337.938
83594757989,176.125,-77.8125,312.938
83594781941,159.5,-64,283.875
83594801553,138.938,-51.4375,246.5
83594818001,120,-31.625,212.188
83594840530,103.062,-5.625,180.938
83594861735,93.3125,19.6875,148.688
83594877980,85.125,46.75,116.875
83594900544,65.5,68.125,83.75
83594923085,31.125,87.0625,49.3125
83594938056,1.625,102.312,14.375
83594960622,-9.5625,117.312,-20.8125
83594981611,-16.8125,132.062,-61
83594998035,-16.5,147.438,-103.438
83595020472,-12.0625,163.188,-151.188
83595041731,-17.5,175.812,-203.562
83595057980,-31.375,188.688,-264.875
83595080491,-37.0625,199.75,-328.688
83595101532,-35.4375,212.188,-396.625
83595118082,-42.625,213.312,-460.438
83595140591,-67.125,211.75,-515.562
83595161770,-107.938,206.812,-579.188
83595177360,-180.625,215.625,-585
83595200526,-117.312,208.125,-457.75
83595221525,-50.75,109.375,-289.625
83595237359,36.875,17.4375,-164.25
83595260499,102.438,-66.1875,-18.1875
83595281769,127.812,-133.125,118.75
83595297374,140.25,-158.438,186.625
83595320588,144.875,-152,251.125
83595341645,132.5,-121.312,305.812
83595348476,111.188,-76.0625,344.5
83595364844,99.8125,-24.625,368.125
83595386087,88.5625,22.1875,368.188
83595408451,83.1875,63.375,358.062
83595424794,87.875,94.5,335.062
