timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82152522107,-4,-8,-2,-1,-1,-1,-3,1
82152522107,-10,-5,-1,-1,-2,0,-2,-3
82152523732,-9,3,-1,-3,-1,-3,-1,5
82152523732,-3,-2,0,-1,1,-2,-1,-6
82152537150,-5,13,0,0,1,0,-1,1
82152537150,1,-8,-2,1,-1,-1,-3,-3
82152538731,-4,1,-1,-2,-1,-1,-1,1
82152538731,0,-1,-1,-2,-2,1,-1,-6
82152559636,5,-5,-1,-1,-2,0,2,7
82152559636,8,-2,-1,0,0,0,-1,4
82152561254,5,-1,-2,1,-1,0,-1,-3
82152561254,-5,-1,-3,1,1,0,-1,-2
82152574017,-12,-18,-2,0,-2,0,0,-7
82152574017,10,-4,0,-1,-2,-1,-1,6
82152580735,0,7,3,-2,-2,-1,0,2
82152580735,-3,-4,0,0,-2,-1,-1,-5
82152597100,-2,2,-2,-2,-3,-1,-2,-2
82152597100,9,-5,-2,-3,-2,-1,-2,-6
82152598712,3,1,-1,0,0,-2,-2,3
82152598712,-2,2,-1,-2,0,-1,-2,-2
82152619743,7,20,0,-2,-2,0,-2,9
82152619743,3,-10,0,-1,0,-1,3,-6
82152621304,4,4,-1,-2,0,-2,-2,-3
82152621304,-10,1,1,0,1,0,1,2
82152633287,3,6,0,1,0,-1,-2,2
82152633287,-2,-3,-4,-3,-1,-1,-1,-1
82152642276,-3,-6,-3,-1,-1,0,0,-1
82152642276,3,6,-2,0,0,-1,-1,2
82152657417,-6,-23,-2,-2,-2,-3,-5,-7
82152657417,-2,4,-1,0,-1,-1,1,6
82152658876,-9,-5,-3,-2,-3,-2,-2,-10
82152658876,4,0,-3,-1,-2,-1,-1,2
82152679815,-1,4,0,-2,-1,0,-2,-5
82152679815,-6,-3,0,1,0,-1,-1,1
82152681267,1,5,-1,-4,-2,-2,0,-5
82152681267,-8,-6,-3,-1,-2,-1,-1,-5
82152694154,11,25,1,-1,-1,0,0,-3
82152694154,2,-9,0,-1,0,0,-1,4
82152700859,-3,1,0,-1,-1,1,1,-2
82152700859,0,-4,-1,-2,-1,0,-1,0
82152717300,-3,-1,-2,-1,-1,-1,0,-1
82152717300,-4,6,-1,-2,-1,-1,-3,-3
82152718791,-11,-9,-2,-1,0,0,-1,3
82152718791,4,-4,0,0,-1,-1,-1,0
82152739713,-4,-12,-3,-1,-2,-1,-1,2
82152739713,-4,-1,0,0,0,-2,-1,-4
