timestamp,x,y,z
115755338455,-0.5625,0.0625,-0.1875
115755362242,-1.1875,0.125,-0.25
115755377315,-2.4375,-0.5,-0.1875
115755398628,-1.625,-0.625,-0.1875
115755422252,0.0625,-0.3125,-0.4375
115755437329,0.8125,-0.125,-0.4375
115755458733,0.375,-0.375,-0.375
115755498264,-0.6875,-0.8125,0.125
115755500330,-0.9375,-0.75,-0.3125
115755520072,-0.25,-0.375,-0.5625
115755542289,0.9375,0.125,-0.6875
115755560181,1.5,-0.3125,-0.375
115755580289,0.6875,-0.625,-0.5625
115755615919,0.8125,-0.6875,-1.0625
115755633577,1.875,-0.1875,-1
115755641377,2.25,-0.5625,-1
115755660972,1.75,-1.0625,-0.625
115755677418,1,-1.4375,-0.4375
115755699916,0.1875,-1.375,-0.5
115755720975,0.5625,-1,-1.1875
115755745816,2.0625,-0.375,-1.5625
115755760058,2.6875,-0.1875,-1.1875
115755781138,1.4375,-0.75,-0.875
115755797442,1.1875,-1.0625,-1
115755819934,2.875,-1,-1.5625
115755841194,6.8125,-0.5,-2.625
115755856774,10.3125,0.25,-3.9375
115755879334,11.875,2.875,-4.9375
115755901687,10.8125,4.125,-5.125
115755916874,11.3125,6,-3.5
115755939287,10.5,9.75,1.4375
115755961856,4.5625,13.4375,7.75
115755976841,-5.1875,15.5,16.9375
115755999466,-8.8125,15.1875,28.5
115756021711,-2.8125,15,44.75
115756036699,4.625,16.25,64.375
115756059419,3.8125,13.9375,85.875
115756081832,-2.4375,9.6875,107.188
115756096862,-4.9375,4.5,132.562
115756119253,-5.0625,0.5,159.438
115756141793,-1.625,-4.3125,182.75
115756156675,2.8125,-7.875,204.812
115756179432,4.125,-12.8125,228.438
115756201807,8.625,-20.6875,249.75
115756216864,24.6875,-22.625,267.125
115756239302,43.875,-22.9375,280.375
115756261853,58.4375,-22.5,292.25
115756276735,59.6875,-22.625,305
115756299276,60.8125,-23,308.5
115756321802,66.875,-24.8125,308.312
115756336734,71.75,-24.25,308.688
115756359344,75.25,-26.5,307.5
115756381889,81.6875,-28.25,305.25
115756411827,81.5625,-25.1875,306.625
115756428114,77,-25.625,304.062
115756450622,73.5625,-30.3125,302
115756458170,73.375,-32.625,297.5
115756480587,72.8125,-33.4375,292.625
115756501615,71.375,-32.3125,286.188
115756516604,70.375,-31.625,277.375
115756539146,62.625,-35.9375,267.188
115756561858,60.375,-36.25,258.5
115756576568,61.3125,-34.0625,243
115756599419,56.5,-34.6875,233
115756621771,48.5,-32.625,213.625
115756638119,46.5625,-31.8125,194.562
115756659219,35.4375,-41.6875,173
115756681880,15.0625,-48.0625,151.188
115756698138,7.75,-48.875,130.438
115756719251,3.9375,-46.5,107.062
115756741837,-6.1875,-43.625,84.625
115756758335,-11.25,-40.4375,62.5
115756779280,-17.1875,-33.125,46.6875
115756801845,-16.5,-19,27.9375
115756818198,-7.6875,-1.3125,9.25
115756839375,-3.8125,9.4375,-10.875
115756861902,-2.0625,22.25,-30.25
115756878228,7.3125,41.375,-50.375
115756899413,23.25,59.3125,-69.6875
115756921870,39.9375,72.6875,-97.0625
115756938106,49,76.0625,-134.875
115756959344,32.4375,75.375,-179.812
115756981846,-0.3125,74.5,-226.062
115757006511,-20.375,74.9375,-261.438
115757019148,-28.8125,70,-290.562
115757041895,-42.5625,64.4375,-296.188
115757065639,-55.4375,46.25,-288.188
115757079359,-72,48.5625,-223.375
115757101735,-14.125,43.375,-172.688
115757118198,36.125,9.75,-101.688
115757139381,84.3125,4.9375,-19.875
115757161774,66.5,-0.125,40.5625
115757178384,14,-10.125,93.625
115757199414,-14.625,-24.25,125.375
115757221900,-17,-37.4375,135.75
115757237482,-8.25,-41.8125,141.125
115757259295,-4.125,-40.875,147
115757283522,1.6875,-39.875,155.75
115757305670,1.75,-44.0625,165.562
115757319298,-8.5,-49.8125,165.25
115757341791,-9.25,-52.25,160.938
115757357459,5.125,-50.9375,162.188
115757386628,26.9375,-45.1875,159.188
115757401687,30.125,-41.3125,145.875
115757417436,7.625,-44.25,121.688
115757440670,-15.0625,-49.875,98.5625
115757461709,-25.875,-49.375,75.625
115757477448,-33.75,-41.5,52.6875
115757500595,-42.5625,-30.5,29.3125
115757521639,-50.3125,-19.8125,5.5
115757537387,-55.125,-9.25,-16.6875
115757560573,-63.125,1.375,-41.4375
115757581702,-68.5,14,-64.625
115757597479,-70.6875,25.8125,-88.375
115757620560,-65.5625,38.0625,-109.438
115757641861,-63.6875,42.0625,-127.812
115757657402,-68.875,40.75,-148.625
115757680640,-73.75,42.0625,-163.188
115757709171,-78.25,46.875,-178.938
115757717454,-85.375,47.8125,-193.188
115757740640,-79.6875,46.0625,-201.75
115757761639,-87.625,40.5,-213.25
115757777416,-100.75,43.4375,-230.312
115757800609,-108.188,49,-242.312
115757821580,-104.188,55.5,-251.875
115757837487,-95.875,62.375,-265.625
115757860590,-90.5,69.375,-282.938
115757881609,-91,74.25,-298.5
115757897469,-91.0625,76.3125,-306.688
115757920570,-85.6875,77.4375,-315.812
115757941600,-76.25,80.125,-325.438
115757957326,-73.4375,80.5625,-332.5
115757980587,-84.6875,78.9375,-334.375
115758001591,-85.5,81.875,-333.312
115758017468,-85.3125,88.9375,-325.25
115758040568,-79.1875,93.4375,-316.125
115758061578,-86.25,91.375,-297.875
115758077437,-105.312,89.9375,-279.25
115758100535,-110.812,92.5,-259.812
115758121656,-108.062,95.4375,-240.562
115758137422,-84.25,98.5,-222.25
115758159888,-27.375,96.75,-211.625
115758181631,7.9375,87.625,-200
115758197415,1.75,75.875,-175.5
115758219866,-29.375,63.5,-142.688
115758243107,-47.25,47.5,-112.688
115758257360,-39.9375,29.5625,-86.625
115758279978,-15.625,13,-60.1875
115758301588,7.875,-1.3125,-38.5
115758317514,28.75,-14,-20.1875
115758339886,35.875,-22.75,-4.875
115758363089,24.8125,-27,1.6875
115758384123,14.1875,-22.1875,0.625
115758399886,11.3125,-12.8125,-3.6875
115758423076,11.6875,-3.375,-5.6875
115758444139,3,-1.125,-8.5625
115758459932,-10.9375,-1.625,-5.8125
115758483071,-27.0625,-6,-3.3125
115758504122,-22.5,-7.8125,0.6875
115758519895,-0.75,-2.5625,1.3125
115758543080,13.875,6.75,-3.8125
115758564172,18.3125,12.5,-6.625
115758579921,9.1875,6.5,-3.625
115758603198,8.1875,-1.5625,2.8125
115758624394,17.5625,-3.4375,5
115758639975,26.8125,-3.1875,4.0625
115758663155,26.75,-3.0625,1.8125
115758684279,20.9375,-1.3125,-1.25
115758700029,13.125,0.25,-1.5
115758723421,9.1875,-0.1875,-2.0625
115758744330,7.9375,-1.875,-0.5
115758760106,10.0625,-3.1875,-0.6875
115758783104,13.125,-1.9375,-1
115758797445,13.3125,0,-1.5625
115758819980,9.4375,-0.0625,-1.125
115758843082,4.75,-1.9375,-0.375
115758864425,3.8125,-2.5625,-0.3125
115758880163,5.3125,-1.8125,-0.3125
115758903134,6.5625,-1.75,0.5
115758924146,6.1875,-2.375,1.4375
115758940143,5,-3.375,1.75
115758963182,3.125,-3,2.4375
115758984246,2.4375,-1.875,1.6875
115759006710,4.5,-2,0.8125
115759023052,8.4375,-1.6875,0.375
115759044127,8.1875,-1.25,0.375
115759059892,6.25,-1.6875,0.5
115759089106,4.5,-1.875,0.375
115759104072,4.125,-1.3125,-0.625
115759119898,5.6875,-0.75,-1.25
115759142349,5.3125,-0.6875,-1.0625
115759164168,5.625,-1.125,-0.625
115759179891,4.625,-1.125,-0.25
115759202441,3.0625,-0.875,-0.25
115759226189,2.125,-0.6875,0.3125
115759239164,1.125,-0.9375,0.625
115759254871,0.625,-2.0625,2.0625
115759275948,1.4375,-1.875,2.875
115759298841,0.3125,-1.8125,2.9375
115759313481,-0.25,-1.3125,2.125
115759335927,0.0625,-0.5625,2.0625
115759358856,1.1875,-0.6875,1.75
115759373462,1.9375,-0.9375,1.6875
115759395963,2.5625,-1.125,1.6875
115759419190,2.1875,-0.8125,1.8125
115759433485,0.3125,-0.25,0.8125
115759455938,-0.5,-0.3125,-0.3125
115759479190,-1.4375,-0.1875,-0.4375
115759493472,-1.0625,-0.625,-0.0625
115759515931,-0.3125,-0.8125,0.375
115759539253,-0.4375,-1.1875,0.75
115759553454,-1.75,-1.3125,0.6875
115759575912,-1.4375,-1.0625,0.0625
115759599113,1.1875,-1,-0.5
115759613483,3.3125,-1.125,-0.25
115759635911,2.875,-1.375,-0.0625
115759659183,2.125,-1.5,-0.4375
115759673402,3.75,-1.5,-0.625
115759695922,7.5,-1.875,-0.3125
115759719138,9.75,-2.5625,0.3125
115759733408,10.5,-1.875,0.3125
115759756047,9.125,-0.875,-0.375
115759787300,8.5,-0.625,-1
115759793393,7.1875,-0.625,-0.875
115759816049,7.1875,-0.9375,-0.875
115759847372,7.6875,-1.5,-0.625
115759853549,6.4375,-1.25,-0.125
115759884786,5.3125,-0.8125,-0.1875
115759907297,5,-0.25,-0.5
115759913487,3.8125,-0.1875,-0.3125
115759935976,2.25,-0.4375,0.6875
115759959236,1.3125,-0.875,1.125
115759973415,1.875,-1.0625,1.5625
115759995973,2.5,-0.25,1
115760019194,1.9375,-0.0625,0.6875
115760033611,1.25,-0.0625,0.4375
115760056011,1.25,0.25,0.1875
115760079214,1.9375,0.6875,-0.375
115760093495,1.6875,1.125,-1.375
115760116191,2.0625,1.3125,-2.375
115760140535,3.3125,1.1875,-2.625
115760153438,4.125,0.9375,-2.5625
115760176182,5.375,0.9375,-2.25
115760199193,5.6875,1.9375,-2.1875
115760213550,5.875,2.1875,-2.0625
115760235953,7.6875,2.0625,-1.875
115760258500,10,2.1875,-1.75
115760273482,10.9375,1.9375,-1.625
115760296220,9.6875,1.6875,-1.875
115760318481,8.25,1.8125,-2.25
115760333550,7,1.8125,-2.5625
