timestamp,x,y,z
115774314052,0.960449,-0.0698242,-0.0449219
115774328625,0.966309,-0.0639648,-0.0415039
115774352281,0.96875,-0.0761719,-0.0375977
115774373603,0.963867,-0.0825195,-0.0400391
115774388529,0.966309,-0.0791016,-0.0385742
115774411086,0.965332,-0.0893555,-0.0380859
115774434751,0.967285,-0.0922852,-0.0336914
115774473197,0.960938,-0.090332,-0.0322266
115774473917,0.959961,-0.0874023,-0.0341797
115774494478,0.962402,-0.0791016,-0.0390625
115774510017,0.965332,-0.0732422,-0.0395508
115774532258,0.975098,-0.0581055,-0.043457
115774553615,0.980957,-0.0541992,-0.0454102
115774590877,0.978516,-0.0473633,-0.0395508
115774600987,0.963379,-0.0429688,-0.0375977
115774614042,0.97168,-0.0415039,-0.027832
115774629059,0.974609,-0.0332031,-0.0258789
115774651594,0.963379,-0.0375977,-0.0356445
115774674017,0.968262,-0.0527344,-0.0292969
115774689069,0.962891,-0.0683594,-0.0385742
115774711517,0.958008,-0.0800781,-0.0356445
115774734135,0.960938,-0.0893555,-0.0361328
115774749026,0.960449,-0.097168,-0.03125
115774771522,0.961914,-0.0878906,-0.0361328
115774794117,0.961914,-0.0742188,-0.0395508
115774809035,0.971191,-0.0673828,-0.0351562
115774831672,0.979004,-0.0610352,-0.0390625
115774854077,0.974609,-0.0527344,-0.0351562
115774869134,0.976562,-0.0449219,-0.0415039
115774891707,0.975586,-0.0263672,-0.0478516
115774914298,0.975586,-0.0244141,-0.0488281
115774929365,0.972656,-0.027832,-0.0439453
115774951634,0.962891,-0.0415039,-0.0444336
115774974389,0.958984,-0.0488281,-0.0415039
115774989127,0.959473,-0.0595703,-0.0341797
115775011722,0.963379,-0.0786133,-0.03125
115775034335,0.973145,-0.103516,-0.0336914
115775049293,0.976562,-0.139648,-0.0244141
115775071650,0.972656,-0.158691,-0.00732422
115775094159,0.980469,-0.175781,-0.0117188
115775109138,0.991699,-0.174805,0.0214844
115775131700,0.959961,-0.251465,0.0166016
115775154112,0.933105,-0.300781,0.0395508
115775176754,0.940918,-0.379395,0.0415039
115775191684,0.939453,-0.444336,0.0571289
115775214301,0.962402,-0.468262,0.0649414
115775236620,1.00195,-0.459961,0.0556641
115775251627,1.00342,-0.498535,0.0371094
115775274138,1.02588,-0.54541,0.0405273
115775288573,1.0625,-0.581055,0.0185547
115775311848,1.09814,-0.657715,0.00683594
115775334241,1.10254,-0.692383,-0.00146484
115775348608,1.12256,-0.722656,-0.000488281
115775371737,1.125,-0.799316,-0.0146484
115775402214,1.11084,-0.865723,-0.0454102
115775408620,1.08301,-0.974609,-0.0854492
115775431853,1.06787,-1.10107,-0.126953
115775454083,1.02002,-1.15967,-0.14502
115775468486,0.92041,-1.17529,-0.161133
115775491837,0.824707,-1.19141,-0.144043
115775514324,0.719238,-1.17969,-0.123047
115775528650,0.588379,-1.18945,-0.109863
115775551658,0.5,-1.13623,-0.059082
115775574281,0.408691,-1.10547,-0.0327148
115775589952,0.265137,-1.05566,-0.0341797
115775613130,0.159668,-0.944336,-0.00732422
115775634276,0.0820312,-0.874512,0.0209961
115775649925,-0.0292969,-0.861328,0.0258789
115775673089,-0.0737305,-0.782227,0.0541992
115775694324,-0.17627,-0.695312,0.0791016
115775709943,-0.255859,-0.615723,0.0947266
115775740503,-0.300293,-0.571289,0.141113
115775754052,-0.348145,-0.51709,0.163086
115775769853,-0.42041,-0.4375,0.176758
115775793089,-0.470703,-0.368652,0.210449
115775814120,-0.506836,-0.333984,0.230469
115775829924,-0.591797,-0.270996,0.25293
115775853034,-0.657715,-0.221191,0.287109
115775874120,-0.70166,-0.174805,0.3125
115775889887,-0.721191,-0.136719,0.350098
115775920560,-0.773926,-0.0795898,0.358398
115775933830,-0.809082,-0.015625,0.373047
115775949883,-0.79834,0.0249023,0.399414
115775973081,-0.845215,0.0668945,0.428223
115775994112,-0.893555,0.140625,0.455566
115776009901,-0.9375,0.208496,0.489746
115776033050,-0.963379,0.234863,0.539062
115776054115,-1.04443,0.265625,0.580078
115776069854,-1.05811,0.214355,0.64502
115776093215,-1.13965,0.180176,0.673828
115776114220,-1.2251,0.10498,0.720703
115776129848,-1.33789,0.0405273,0.73584
115776153092,-1.34473,-0.128418,0.70166
115776174336,-1.25098,-0.389648,0.491699
115776190114,-1.16748,-0.740723,0.328125
115776212407,-0.696777,-0.64209,0.522461
115776235507,0.00439453,-0.683594,0.109863
115776250058,0.437012,-0.245605,0.0712891
115776272515,0.498047,-0.158203,-0.0380859
115776294163,0.252441,-0.290527,-0.015625
115776310016,-0.351562,-0.413086,-0.0249023
115776332534,-0.700195,-0.594238,0.122559
115776355576,-0.843262,-0.788086,0.291992
115776369941,-0.748047,-0.754883,0.340332
115776392422,-0.678223,-0.571777,0.352539
115776415624,-0.783691,-0.47168,0.356445
115776429870,-0.865234,-0.438477,0.334473
115776452372,-0.867676,-0.432617,0.345703
115776475655,-0.842773,-0.437988,0.387207
115776489884,-0.816406,-0.448242,0.430176
115776512572,-0.82373,-0.433105,0.423828
115776535557,-0.847656,-0.356934,0.384277
115776556660,-0.931152,-0.290527,0.39209
115776572467,-0.922852,-0.310547,0.388672
115776603001,-0.860352,-0.303711,0.361328
115776616687,-0.80957,-0.24707,0.396973
115776632378,-0.915527,-0.200684,0.419922
115776655746,-0.942383,-0.196777,0.410156
115776676751,-0.870605,-0.213867,0.413086
115776692529,-0.817383,-0.18457,0.43457
115776723097,-0.800293,-0.153809,0.40918
115776736650,-0.754395,-0.166016,0.381348
115776752385,-0.749512,-0.182129,0.380859
115776775510,-0.716309,-0.231445,0.377441
115776796639,-0.693848,-0.259277,0.344727
115776812893,-0.664551,-0.304199,0.305664
115776835946,-0.702637,-0.335449,0.312988
115776856803,-0.732422,-0.396973,0.296875
115776872450,-0.73291,-0.467773,0.266113
115776895560,-0.68457,-0.555176,0.191406
115776916625,-0.622559,-0.612793,0.168457
115776932362,-0.657715,-0.658691,0.156738
115776955624,-0.660645,-0.738281,0.142578
115776976762,-0.623535,-0.791016,0.140137
115776992393,-0.5,-0.871094,0.0751953
115777015594,-0.429688,-0.958008,0.0170898
115777044366,-0.42334,-1.0752,-0.0141602
115777052326,-0.409668,-1.0835,0.00488281
115777075579,-0.276855,-1.11475,-0.0234375
115777096851,-0.166504,-1.15137,-0.0791016
115777112363,-0.0473633,-1.2168,-0.0791016
115777134906,0.0224609,-1.24658,-0.0854492
115777156844,0.0927734,-1.15186,-0.0742188
115777172439,0.271973,-1.07666,-0.132812
115777194854,0.47168,-1.05225,-0.151367
115777216774,0.611816,-1.08691,-0.195312
115777232444,0.661621,-1.05078,-0.187988
115777254959,0.734375,-0.92334,-0.155762
115777276705,0.822754,-0.824219,-0.141602
115777292504,0.940918,-0.697754,-0.120117
115777314834,0.984375,-0.705566,-0.12207
115777337917,0.998047,-0.669922,-0.10791
115777352448,1.01221,-0.590332,-0.107422
115777374897,1.03809,-0.46582,-0.0834961
115777398097,1.04785,-0.367188,-0.0566406
115777412465,1.03076,-0.301758,-0.0200195
115777434929,1.02881,-0.271484,0.0170898
115777458142,1.01318,-0.259766,0.0366211
115777472543,1.01367,-0.228516,0.0390625
115777494882,1.00537,-0.230469,0.0332031
115777518036,1,-0.241211,0.00390625
115777539038,1.01172,-0.264648,-0.0263672
115777554803,0.987793,-0.266602,-0.0341797
115777577974,0.952148,-0.268066,-0.0454102
115777599004,0.930176,-0.243652,-0.0454102
115777614731,0.914062,-0.225586,-0.0410156
115777637767,0.915527,-0.238281,-0.0546875
115777658969,0.950684,-0.21582,-0.0292969
115777674924,0.989746,-0.153809,0.012207
115777698053,1.0166,-0.185059,0.0512695
115777719023,1.00928,-0.23877,0.0874023
115777734877,0.987305,-0.210449,0.0766602
115777758006,0.979004,-0.151855,0.0673828
115777770864,0.998047,-0.104004,0.0439453
