timestamp,x,y,z
82492463295,-4.9375,2.0625,2.9375
82492478340,-4.3125,1.75,3.0625
82492500968,-2.5625,1.8125,2.3125
82492525882,-0.375,2.0625,1.3125
82492539666,0.5,1.875,0.4375
82492560986,0.9375,1.75,-0.125
82492584717,1.875,1.5625,-0.6875
82492599748,3,1.4375,-0.8125
82492644930,4.3125,1.25,-0.8125
82492652871,5.3125,0.9375,-0.3125
82492662677,4.75,0.5,0
82492685623,3.6875,0,0.6875
82492704502,2.8125,-0.25,0.6875
82492730732,2.375,-0.6875,0.4375
82492781032,2.8125,-0.875,0.125
82492781799,4.25,-0.9375,0.125
82492783440,5,-1.125,-0.0625
82492801523,4.8125,-1.5625,0.1875
82492823971,4.625,-1.9375,-0.5
82492838335,7.875,-2.375,-1.4375
82492861051,11.1875,-2.1875,-0.9375
82492892214,15.625,-2.5625,0.5
82492898336,16.625,-2.875,2.625
82492920877,13.9375,-4.1875,7.1875
82492943528,6.0625,-7.25,18.0625
82492958400,8.75,-10.375,31.3125
82492981080,12.625,-16.6875,48.5625
82493004847,17.25,-25.0625,65.1875
82493018511,20.5625,-34.625,83.375
82493041081,23,-42.1875,101.062
82493063638,24.5625,-48.375,118.062
82493078570,26.5625,-55.0625,135.062
82493100876,28.1875,-61.1875,150.938
82493123450,30.9375,-65.375,163.938
82493138572,35.5625,-68.6875,175.75
82493160904,35.875,-73.5,184.688
82493183577,39.25,-78.1875,195.688
82493198382,39.5,-81.6875,203.625
82493221123,41.375,-87.5,212.5
82493243532,40.875,-93.375,219.375
82493258565,41.5625,-101.125,223.125
82493280929,43.4375,-107.625,223.312
82493303379,45.8125,-114.75,224.25
82493318399,46.6875,-121.125,223.938
82493340845,44.375,-125.875,223.062
82493363485,47.8125,-131.438,221.812
82493378361,48.3125,-132.312,215
82493401004,42.75,-129.562,207.875
82493423621,31.25,-134.375,198.062
82493438576,25.8125,-140.375,186.062
82493461094,18.3125,-144.688,169.875
82493483399,5.375,-145.562,154.938
82493498618,2.9375,-143.875,133.75
82493521119,-1.625,-140.125,109.938
82493543560,-9.8125,-138.5,97.0625
82493558542,-14.625,-133.125,82.3125
82493581148,-22.1875,-129.062,66.8125
82493612316,-32.6875,-124.25,51.375
82493618406,-36.8125,-117,39.5
82493641044,-40.5625,-112,28.375
82493663520,-47.125,-107.625,18.125
82493680045,-47.75,-107.125,10.9375
82493700888,-51.75,-109.312,3.25
82493726499,-17.6875,-51.875,0.875
82493747358,-43.6875,42.25,11.125
82493763969,29.875,48.5,-11.9375
82493783521,42,-6,-1.4375
82493806641,-24.6875,-24.875,-3
82493823870,-22.3125,-4,-2.8125
82493843526,28.8125,12.9375,-10
82493861355,16,6.125,-9.875
82493883855,-3.75,-0.5625,-0.5625
82493904249,2.1875,3.6875,2.3125
82493920545,8.6875,9.4375,1.25
82493943017,6.3125,12.75,0.1875
82493964107,1.75,14.375,-0.6875
82493980442,4.0625,15.75,-0.25
82494003149,7.125,18.6875,-4.875
82494024114,8.1875,22.8125,-12.75
82494040470,7.9375,29,-24.1875
82494063063,5.625,40.375,-37.8125
82494084237,0.0625,54.5625,-51.75
82494100482,-2.0625,72,-66.1875
82494123080,1.4375,88.4375,-79.3125
82494144136,5.5,101.625,-94.8125
82494160548,0.1875,111.375,-107.625
82494182904,-4.375,120.875,-119.25
82494203968,-9.25,126.938,-134.438
82494220459,-17.625,132.125,-146.375
82494242953,-21.4375,136.5,-157.812
82494263993,-22.5625,137.875,-172.125
