timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
84004877116,5,4,-2,-3,-1,0,2,-2
84004877116,-6,-8,-2,-3,-3,-3,-2,-41
84004877903,-2,21,2,2,1,0,0,20
84004877903,8,-5,1,0,0,-1,-1,6
84004899651,-13,28,-1,-1,-1,-2,0,-2
84004899651,2,-6,-2,-2,0,0,-1,5
84004900415,-1,-7,2,-2,2,1,-1,-1
84004900415,-17,2,-4,-4,-3,-1,-3,-11
84004914608,-2,-2,-1,-2,0,-1,1,0
84004914608,1,-56,-5,-3,-1,1,1,13
84004915420,0,-5,1,-1,-1,-2,-2,-2
84004915420,27,4,0,5,-1,-1,-1,2
84004937125,-4,7,0,-1,-1,-1,-1,5
84004937125,-18,6,-2,-3,0,-3,-2,-1
84004937903,-3,-10,-3,1,-1,0,-2,-13
84004937903,-2,-7,0,-6,-4,-3,-2,-9
84004959615,-6,5,-1,-5,-1,-1,-4,-17
84004959615,3,11,-1,2,-1,0,2,42
84004960428,-16,-14,-3,-5,-5,-2,0,-2
84004960428,-4,9,-1,1,0,0,0,-1
84004974635,11,-9,0,2,-3,-2,-3,-2
84004974635,-12,2,-3,-4,-1,-1,-2,-1
84004975420,32,-3,-2,-1,-1,-1,1,-5
84004975420,1,15,3,3,3,2,2,10
84004997138,-8,9,-1,-2,-2,-1,-1,-2
84004997138,12,1,-3,2,-1,-2,-2,-4
84004997915,-33,12,-1,0,-3,-2,-5,-28
84004997915,15,4,-1,-6,1,-2,-2,-8
84005019638,-3,8,-3,1,-1,-2,-1,30
84005019638,7,34,5,-1,0,0,-3,7
84005020410,0,-9,-4,-4,-2,-1,4,-5
84005020410,1,28,2,-1,-3,-3,1,-2
84005034632,-14,-25,-1,3,1,-1,-1,0
84005034632,5,4,-3,2,-2,-2,-4,6
84005035428,-11,-10,-4,-6,-2,-1,-3,8
84005035428,-37,-14,-6,-5,-2,-2,-2,-5
84005057111,15,2,4,1,1,1,3,3
84005057111,-1,-5,-3,2,-1,1,-1,-9
84005057981,2,-1,0,3,-1,-1,-2,-20
84005057981,18,6,-2,-1,-2,1,5,69
84005079717,5,-19,-4,-1,-1,0,-2,-11
84005079717,-5,-8,1,-2,-1,-1,-1,-7
84005080343,-19,2,0,0,-4,-2,-5,-13
84005080343,0,-19,0,10,2,1,3,-10
84005094592,-4,-1,1,-6,-3,-1,0,-6
84005094592,-3,5,-2,-3,0,1,2,3
84005095394,2,1,-3,2,-1,-2,-2,22
84005095394,2,-9,1,-2,-1,0,-1,-8
84005117083,-7,1,1,5,0,0,-1,-3
84005117083,7,2,1,2,1,-1,0,-19
84005117931,8,0,0,-3,0,-2,-2,3
84005117931,1,-11,-1,1,-1,-3,-3,-7
84005147805,-1,14,-3,-5,-2,-2,0,6
84005147805,3,-1,-2,-2,-1,1,-1,-18
84005148603,-4,33,5,5,2,-1,0,-24
84005148603,1,-7,-4,-13,-3,-1,-1,-5
84005154587,21,-1,4,3,3,1,6,49
84005154587,-11,11,2,1,0,-2,-2,-10
84005155397,16,0,-4,-9,-4,-2,2,22
84005155397,2,-2,5,5,1,0,-1,-18
84005177072,-1,3,-3,-3,-1,-2,-8,-22
84005177072,8,-11,-3,0,-1,-2,4,9
84005177896,-3,-23,0,1,1,1,-1,3
84005177896,-7,1,-3,-2,-1,-2,-3,6
84005199661,-8,-18,-5,0,-1,0,1,-4
84005199661,8,7,3,-1,-4,-2,-2,6
84005200402,-2,5,3,-2,-2,-2,-8,-17
84005200402,-20,5,-2,-2,-1,0,9,16
84005214602,-3,24,1,-2,0,0,-6,-16
84005214602,-13,-9,-4,-3,-3,-4,-5,-6
84005215351,7,-4,1,4,2,1,4,16
84005215351,3,1,-2,4,-1,-2,-4,-9
84005237121,-9,-4,-2,-2,-3,-1,1,-9
