timestamp,x,y,z
82412341221,0.946289,-0.239258,-0.0283203
82412363917,0.949707,-0.23584,-0.0263672
82412378903,0.94043,-0.226562,-0.0180664
82412402546,0.94043,-0.229492,-0.0180664
82412425026,0.940918,-0.230469,-0.0166016
82412440050,0.940918,-0.236816,-0.0185547
82412461354,0.945801,-0.242676,-0.0170898
82412485287,0.949219,-0.23877,-0.0200195
82412515283,0.941406,-0.22998,-0.0185547
82412526373,0.952148,-0.233887,-0.00830078
82412545713,0.94873,-0.237305,-0.00976562
82412559992,0.948242,-0.243164,-0.00732422
82412581595,0.953613,-0.233887,-0.012207
82412605011,0.948242,-0.229004,-0.0126953
82412651353,0.944824,-0.23291,-0.00244141
82412652153,0.946777,-0.251465,0.0102539
82412664344,0.946777,-0.261719,0.0234375
82412679343,0.952637,-0.251953,0.0273438
82412701866,0.962891,-0.269531,0.0283203
82412725992,0.963867,-0.309082,0.0332031
82412747026,0.953125,-0.375,0.0522461
82412763419,0.947754,-0.44043,0.0532227
82412785912,0.946289,-0.459473,0.0307617
82412807059,0.927246,-0.526855,-0.0322266
82412823453,0.905762,-0.57373,-0.0864258
82412845923,0.894531,-0.630859,-0.135742
82412867088,0.861328,-0.681641,-0.189941
82412883369,0.836914,-0.753418,-0.218262
82412906046,0.812012,-0.818848,-0.249512
82412927089,0.785645,-0.85791,-0.289551
82412943435,0.751953,-0.883789,-0.30957
82412965959,0.706543,-0.933594,-0.310547
82412987074,0.624512,-0.995117,-0.299805
82413011008,0.564453,-1.02295,-0.304199
82413025881,0.560547,-0.989258,-0.324707
82413047015,0.561035,-0.977051,-0.327637
82413062812,0.449707,-1.01416,-0.350098
82413085873,0.359375,-1.02051,-0.328125
82413106873,0.335449,-1.00977,-0.316406
82413122626,0.256348,-0.994141,-0.308105
82413145786,0.172363,-0.973145,-0.295898
82413166880,0.0961914,-0.961426,-0.28125
82413182729,0.0361328,-0.976562,-0.263184
82413205890,-0.0302734,-0.934082,-0.256836
82413227028,-0.065918,-0.900879,-0.216309
82413242874,-0.0942383,-0.807617,-0.177734
82413265945,-0.154297,-0.789062,-0.14209
82413288432,-0.192871,-0.78125,-0.10498
82413302971,-0.183105,-0.805176,-0.0498047
82413333273,-0.200195,-0.804688,0.0175781
82413348428,-0.194824,-0.801758,0.0249023
82413362932,-0.333496,-0.771484,0.0341797
82413385868,-0.399414,-0.728516,0.0419922
82413408374,0.398438,-0.776367,0.65918
82413429602,0.385742,-1.00049,0.320312
82413445902,-0.855957,-1.21143,0.182129
82413468368,-0.649414,-0.806152,-0.0512695
82413489592,-0.421875,-0.785645,0.0859375
82413505906,-0.467285,-1.07812,0.134766
82413528386,-0.507324,-0.913086,0.154297
82413549606,-0.593262,-0.778809,0.129395
82413565865,-0.532715,-0.827148,0.130371
82413588389,-0.517578,-0.848633,0.123047
82413609594,-0.473145,-0.865234,0.137207
82413639449,-0.455566,-0.87207,0.152832
82413648378,-0.48584,-0.876465,0.126465
82413671004,-0.481445,-0.899414,0.131348
82413692116,-0.486816,-0.89502,0.130371
82413708403,-0.459473,-0.858887,0.12793
82413730860,-0.432129,-0.851074,0.130371
82413751889,-0.402832,-0.845703,0.111328
82413767988,-0.365234,-0.83252,0.110352
82413791105,-0.352051,-0.834473,0.0957031
82413813372,-0.393555,-0.825195,0.0825195
82413827783,-0.388672,-0.810547,0.0693359
82413850859,-0.391602,-0.821777,0.0751953
82413873335,-0.375,-0.850586,0.0683594
82413888180,-0.324707,-0.866699,0.0693359
82413910886,-0.261719,-0.838867,0.0527344
82413933357,-0.228027,-0.836914,0.0366211
82413954475,-0.205566,-0.884766,-0.000976562
82413970864,-0.194824,-0.888184,-0.00488281
82413993449,-0.128906,-0.915527,-0.0117188
82414014561,-0.0678711,-0.931641,-0.0419922
82414030821,-0.0253906,-0.916504,-0.0537109
82414053536,-0.00244141,-0.975098,-0.0839844
82414074439,0.0405273,-1,-0.104004
82414090957,0.0908203,-1.01611,-0.0966797
82414113287,0.142578,-1.03711,-0.101562
82414134512,0.190918,-1.02637,-0.0883789
