timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
84107484256,-4,-3,-3,5,1,2,0,-1
84107484256,1,4,0,2,-1,0,0,4
84107491003,-3,-5,-3,-16,-6,0,-2,-10
84107491003,1,-19,-5,-3,-2,-2,-1,7
84107507340,0,3,3,5,1,-1,0,-4
84107507340,-3,2,1,6,1,-1,0,-1
84107508947,-4,-6,-5,-5,-1,-1,-1,-7
84107508947,-3,6,2,4,-1,-1,-1,-1
84107529835,0,-3,-4,-5,0,-2,-1,-6
84107529835,-4,-1,2,1,-2,0,-2,1
84107531493,-1,19,1,-1,-3,-3,-1,-3
84107531493,5,-17,-1,0,2,-1,-1,2
84107544221,-7,-2,-3,2,-2,-2,-2,1
84107544221,-3,1,1,0,0,0,0,-6
84107551013,-2,0,-3,2,0,-1,-2,-6
84107551013,-4,8,3,-2,0,-2,0,14
84107567109,6,1,-6,-3,-4,0,3,-4
84107567109,-5,-4,0,-11,-3,-1,-2,8
84107573464,-6,-9,0,6,-2,1,1,1
84107573464,1,3,2,5,-1,-2,-3,-9
84107589869,-1,1,6,5,4,-1,-1,-6
84107589869,0,21,-2,-7,-5,-2,-2,-1
84107591479,1,-6,-4,-3,-2,-1,-3,-8
84107591479,1,3,-1,-1,-1,0,2,3
84107603530,-1,1,0,-4,-2,-1,-2,-2
84107603530,-4,-4,-2,3,0,0,-1,0
84107612460,14,-11,0,3,1,-2,-1,-10
84107612460,2,10,1,-4,-1,-1,-1,8
84107627317,1,6,2,-1,1,-1,-3,6
84107627317,0,-6,-7,-6,-2,-1,3,2
84107628934,-4,-3,-1,2,-1,-2,-3,-9
84107628934,-3,-4,-4,-1,0,-3,1,3
84107657316,2,19,-2,0,-4,-2,-4,-3
84107657316,4,-8,0,6,0,2,0,9
84107658924,4,4,-2,-5,-2,-1,0,-13
84107658924,1,25,0,-1,2,0,-4,-3
84107663483,-1,-10,-4,-2,-5,0,0,3
84107663483,-6,-5,-2,-2,2,-1,-5,-6
84107672479,-7,-2,-1,2,-1,-1,1,1
84107672479,0,0,-1,-4,-3,0,-1,-6
84107687335,-11,-8,-3,-4,-1,-2,-2,-12
84107687335,2,-1,-1,2,-1,0,-4,-19
84107688960,-7,-6,-3,-1,0,0,3,16
84107688960,-1,-7,-1,-5,0,1,1,-6
84107709893,-2,-1,-1,4,-2,0,-1,3
84107709893,-17,-33,-6,3,-3,-5,-2,0
84107711498,-4,4,-1,-7,-1,-1,-2,1
84107711498,-4,-5,-3,-1,-4,-2,-2,3
84107723506,-4,-4,-2,7,1,3,2,-9
84107723506,2,11,2,1,-2,-1,0,2
84107732500,2,0,0,0,0,1,-1,5
84107732500,-4,-11,-3,-3,-8,-2,0,-7
84107747330,7,-2,1,-3,0,-2,-2,0
84107747330,2,4,0,-3,-1,0,-4,-5
84107748945,-6,-3,-2,-1,1,-1,-1,7
84107748945,0,0,0,1,-1,1,-4,-8
84107769802,0,1,-2,-3,0,-2,2,5
84107769802,-2,1,-2,8,2,-2,-2,-1
84107771457,0,3,-2,-11,-5,-1,-2,-2
84107771457,-2,-1,-2,2,2,0,-2,-4
84107783492,1,-3,0,-4,-2,-1,-2,-4
84107783492,1,21,0,-1,0,-1,2,7
84107792494,-1,-2,0,5,1,-1,-1,-3
84107792494,1,18,-1,-7,-8,-3,-2,-2
84107807393,0,-10,1,-1,-1,-1,-1,-4
84107807393,2,2,-5,-11,-1,-1,1,2
84107808990,-3,-1,2,7,-3,-2,-3,-4
84107808990,0,-1,-10,1,1,-2,-1,1
84107829837,-2,4,-2,-5,-1,-2,-1,-1
84107829837,0,-3,-3,2,-2,-2,1,-8
84107831394,0,-1,-2,-6,-3,0,-1,2
