timestamp,x,y,z
82541070798,0.6875,-0.375,-0.25
82541094426,0.25,-0.1875,-0.125
82541115818,-0.25,-0.1875,0
82541130787,-0.25,-0.1875,-0.0625
82541154413,0.125,0.0625,-0.125
82541175897,0.125,-0.125,0.0625
82541230982,0.0625,-0.0625,0
82541231792,-0.125,0,-0.0625
82541232625,-0.0625,0.125,-0.0625
82541252576,0,0.0625,-0.125
82541269697,0,0,0.1875
82541288265,0.0625,0.0625,0.3125
82541311908,0,0.125,0.375
82541340655,0.125,0.1875,0.5
82541352315,-0.5,0.1875,0.625
82541371264,-0.9375,0.125,0.875
82541385640,-0.75,0.0625,0.75
82541408102,-0.1875,-0.0625,0.625
82541430611,-0.25,0,0.1875
82541445636,-0.1875,0.1875,-0.125
82541468166,-0.0625,0.375,0
82541490609,-0.0625,0.25,0.125
82541505593,0.0625,0.0625,0.4375
82541535638,0.3125,-0.0625,0.375
82541550583,0.125,0.125,0.0625
82541567062,0,0.375,-0.125
82541588127,-0.375,0.3125,0.375
82541610571,-0.6875,-0.25,0.6875
82541625661,-0.625,-0.4375,0.5625
82541648077,0.75,-0.75,0.375
82541670638,2,-1.125,1
82541685610,3.9375,-1.875,2.25
82541708126,6.0625,-2.6875,4.375
82541732069,10.5625,-4.3125,7.625
82541745657,12.8125,-5.375,15.9375
82541768132,12.125,-9.875,31.3125
82541790644,13.8125,-17.8125,49.875
82541813123,16.625,-28,67.9375
82541828083,23.1875,-32.8125,83.125
82541850629,26.25,-34.5625,96.5
82541867033,13.1875,-37.875,119.75
82541888096,6.3125,-42.25,140.688
82541910638,3.25,-49,162.25
82541936003,9.5,-55.375,181.5
82541948094,15.3125,-61.125,199.562
82541970607,14.125,-67.5,221.375
82541987072,15.4375,-74.25,241.438
82542008102,27.75,-79.5,256.812
82542030604,39.125,-78.4375,270.625
82542047038,52.4375,-76.5,280.062
82542068074,49,-76.4375,288
82542090584,43.25,-79.5,292.5
82542107037,35.5,-80,295.125
82542128089,32.0625,-80,289.562
82542150642,28.125,-83.125,277.438
82542167040,34.125,-81.4375,256.312
82542188102,35,-78.5625,234.688
82542210627,31.9375,-76.125,207.5
82542228617,24.375,-75,175.625
82542248106,16.0625,-74.5,145.062
82542270598,10,-70.4375,106.188
82542288509,6.375,-61.3125,74.5625
82542308135,-3.6875,-52.125,42.6875
82542331291,-14.375,-42.9375,6.0625
82542347782,-22.375,-28.9375,-27.375
82542370232,-17.9375,-13.875,-48.5625
82542391221,-13.75,1,-80.3125
82542407696,-15.125,15,-113.812
82542430217,-18.125,25.4375,-151
82542452700,-34.8125,30.625,-191.375
82542467716,-55,31.0625,-216.938
82542490207,-59.625,21,-217.75
82542511261,-56,21.0625,-194
82542527041,-103.375,-21.8125,2.5
82542551708,98.9375,11.5,152.688
82542578788,-12.9375,-19.25,51.3125
82542587037,-8,-44.9375,76.5
82542610224,70.0625,-30.875,130.125
82542631284,21.375,-41.3125,118.062
82542647087,36.75,-38.5625,124.375
82542670202,49.375,-29.8125,123.938
82542691263,30.875,-26.8125,121.625
82542706987,28.5625,-21.5,107.5
82542730183,30.625,-18.375,90.9375
82542758751,24,-14.5,63.4375
82542767057,12.5,-8.9375,36.1875
82542790236,5.9375,-0.9375,12.6875
82542812708,5.9375,7,-14.8125
82542833796,-4.75,14.5,-58
82542850233,-22,18.5625,-98.125
82542872703,-28.625,27.875,-134.438
82542893714,-15.25,34.1875,-174.25
82542910182,-12.875,38.875,-226.125
82542932726,-45.5,36.75,-272.062
82542953763,-122.188,23.125,-247.062
82542970179,-208.188,8.9375,-22.1875
82542992733,66.5625,30.4375,122.562
82543013776,18.5,0.3125,31.375
82543036262,-16.3125,-22,-12.4375
82543052708,58.625,-11.4375,44.75
82543073754,12.5,-30.25,43.8125
82543090217,-20.4375,-31.25,28.5625
82543112666,16.375,-17.4375,23.1875
82543133771,39.75,-11.25,20.9375
82543150219,22,-4.625,9.4375
82543172715,8.625,4.5,-5.125
82543193761,7.5,13.625,-21.25
82543210190,2.125,23.375,-40.75
82543232700,-6.125,33.875,-60.8125
82543253780,-10.3125,41.5625,-75.75
82543270253,-12.25,48.9375,-91.625
82543292707,-16.1875,59.0625,-110.438
82543313794,-20.375,69.3125,-123.812
82543330266,-6.4375,68.5,-135.375
82543352685,3.9375,64,-148.062
82543373708,0.625,66.875,-160.375
82543390188,-18.9375,73.3125,-168.875
82543412689,-28.3125,74.6875,-176.688
82543435179,-31.0625,69.1875,-179.75
82543449519,-31.125,65,-183.688
82543472735,-43.1875,63.6875,-186.625
82543493790,-49.5,64.75,-184.688
82543509548,-47,63.75,-176.062
82543532688,-40.875,61.375,-168.438
82543553797,-37.125,56.3125,-165
82543569514,-37.5,52.75,-161.375
82543592733,-31.6875,53.375,-154.812
82543613752,-26.9375,55.75,-147.375
82543629567,-21.9375,56.6875,-143
82543652754,-28.75,52.375,-138.5
82543675247,-35.4375,51.1875,-132.438
82543689579,-40.75,52.9375,-125.75
82543712707,-43.8125,52.8125,-117.75
82543735188,-46.1875,51.25,-110.5
82543749513,-50.375,48.5625,-101.562
82543772736,-51.875,46.1875,-91.5625
82543795222,-49.5625,40.5625,-79.9375
82543816375,-40.625,32.625,-66.25
82543832701,-31.5625,23.8125,-53.3125
82543855196,-22.3125,14.8125,-39.125
82543877702,-15.1875,6.5625,-26.125
82543892777,-13,-0.5625,-14.6875
82543915286,-7.8125,-6,-5.6875
82543936260,-2,-11.25,1.6875
82543952710,4.25,-15.8125,7.75
82543975211,7.9375,-18.125,11.625
82543996240,9.5625,-19.9375,14.625
82544012711,8.5625,-21.6875,17.625
82544035228,9,-23.9375,20.3125
82544056282,11.9375,-25.875,22.8125
82544072698,16.6875,-27.3125,23.625
82544095179,28.6875,-23.6875,19.3125
82544116274,35.5625,-10.375,11.0625
82544132746,24.375,4.1875,1.6875
82544155190,-8.8125,7.5625,-1.3125
82544183791,-22.625,4.0625,0.9375
82544192706,-10.5,0.4375,4.125
82544215203,4.75,-2.5625,5.3125
82544236237,21.1875,-4.8125,5.375
82544252753,34.1875,-5.875,5
82544275236,30.3125,-5.6875,3.3125
82544296219,19,-4.625,3.5
82544312707,6.375,-2.1875,1.8125
82544334990,-6.6875,0.375,1.4375
82544356188,-15.9375,2.5,1.3125
82544372712,-17.625,3.0625,1.8125
82544395211,-15.6875,2.5,2.1875
82544416241,-11,1.4375,2.875
82544432712,-5.875,0.375,2.3125
82544455216,-2.6875,0,1.75
82544476218,-1.5,0.3125,1.4375
82544492705,-3.0625,0.875,1.125
82544515232,-4.3125,1.4375,1.3125
82544536291,-4.1875,2,1.25
82544552741,-4.0625,2.125,1
82544575187,-3.25,1.9375,0.875
82544597682,-0.3125,1.6875,0.4375
82544612813,-0.0625,1.125,0.1875
82544635224,-0.875,0.625,0.1875
82544657951,-0.4375,0.8125,-0.3125
82544672694,0.4375,0.75,-0.6875
82544702717,-0.5625,0.75,-0.8125
82544717734,-1.75,0.75,-0.4375
82544732137,-1.75,0.5625,-0.625
82544755258,-0.5625,0.8125,-1.125
82544777721,2.3125,1.25,-1.8125
82544792003,3.75,1.25,-1.625
82544822705,2.4375,0.8125,-1.375
82544837935,-0.875,0.0625,-0.5
82544852151,-0.8125,-0.375,0.3125
82544875303,1.75,-0.4375,0.25
82544905395,2.8125,-0.125,-0.1875
82544912152,2.5625,0.3125,-0.4375
82544935493,1.25,0.5,-0.625
82544957722,-0.25,0.3125,-0.3125
82544972114,-0.4375,0.0625,0.125
82544995437,-0.1875,-0.25,0.5625
82545017768,0.25,-0.0625,0.625
82545032097,-0.3125,0.0625,0.5
82545055190,-0.9375,0.25,0.75
82545077728,-1.75,0.4375,0.9375
82545101037,-1.6875,0.3125,0.75
82545115228,-0.6875,0.3125,0.75
82545137761,-0.5625,0.3125,0.5625
82545158948,-1.5,0.5,0.75
82545175292,-2,0.6875,0.75
82545197791,-1.75,0.75,0.5
82545226336,-0.5,1,0
82545235253,-0.4375,0.9375,-0.125
82545257944,-0.6875,0.9375,-0.125
82545279016,-1.625,0.625,0.125
82545295288,-2.4375,0.625,-0.25
