timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
82530083746,1,-1,0,4,1,-1,-3,-2
82530083746,-12,-2,0,0,1,4,-1,-4
82530093231,-1,0,-3,-2,-2,-18,-4,-2
82530093231,-2,-2,-2,-2,-4,5,-2,-2
82530093996,2,0,0,-1,0,-2,-2,0
82530093996,3,-1,-1,0,-2,1,-1,-1
82530094809,0,-1,-1,-1,5,4,-1,2
82530094809,0,1,-1,8,-4,-11,0,1
82530098988,-3,-2,-2,-4,-2,8,5,-3
82530098988,2,-1,-1,-2,-4,1,0,1
82530099830,-2,-2,-2,-3,-1,-2,-2,-3
82530099830,0,-1,0,-1,-4,-6,-2,-1
82530117226,-3,-2,0,-4,1,2,-1,-2
82530117226,10,1,-1,7,4,-3,-1,2
82530120763,9,0,-1,-1,0,-7,2,1
82530120763,6,2,-1,-8,3,3,0,7
82530137526,29,1,0,4,-15,-14,-2,8
82530137526,-98,-12,-5,-3,5,15,2,-21
82530152026,6,1,-2,-4,-5,-4,-1,7
82530152026,4,-1,2,12,2,-7,0,-5
82530158728,10,2,-4,-6,5,10,0,1
82530158728,61,5,0,2,-5,-12,-2,14
82530199931,32,-5,-3,4,0,-8,-5,-2
82530199931,-79,-11,-3,0,0,2,-7,-34
82530200766,-6,-9,-8,-17,-1,10,2,-4
82530200766,-18,-3,-4,-20,-8,-1,-2,-68
82530203805,56,10,6,26,9,-7,2,74
82530203805,11,-4,-3,-4,-12,-14,-8,-22
82530204579,27,8,3,13,8,-6,1,-3
82530204579,-50,-25,-4,7,7,17,11,-17
82530211274,-39,5,5,-5,-9,0,-2,19
82530211274,20,4,1,-10,14,22,5,22
82530218119,-9,-7,-7,-25,-41,-29,-9,13
82530218119,36,7,0,3,0,-3,0,17
82530225612,-19,-5,-3,-3,5,11,5,-24
82530225612,6,1,1,11,-3,-7,-9,-8
82530240577,2,5,5,8,20,25,9,6
82530240577,10,1,-2,-15,-11,-14,-8,11
82530248801,10,-3,-6,9,-8,-23,-7,-16
82530248801,-7,0,-4,-23,-7,-7,-5,-8
82530271939,28,-3,-1,-5,2,3,9,7
82530271939,-12,1,1,24,11,17,7,-5
82530272733,-9,-2,-1,4,3,-8,-1,0
82530272733,-25,-12,-5,2,-2,-11,-15,-55
82530286430,3,17,0,7,2,-3,-13,-26
82530286430,16,-8,-1,-8,-17,3,-1,65
82530287120,12,4,2,-11,3,-6,9,-23
82530287120,34,7,6,19,6,11,19,62
82530309499,-17,-2,0,19,0,-9,-6,-5
82530309499,7,6,-1,-24,-11,6,-8,-13
82530310274,-25,-6,-5,-11,-2,-9,-16,-11
82530310274,20,1,1,-15,-12,13,6,27
82530331964,-7,-3,0,17,8,11,12,-6
82530331964,-5,-3,-5,-6,4,-32,-3,4
82530332742,-11,-1,3,22,17,20,-4,3
