timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
86059443620,10,2,0,0,0,0,-2,-8
86059443620,-11,1,0,-3,0,-2,0,0
86059444384,5,0,0,0,-1,-1,-1,-1
86059444384,-13,-1,-2,-1,-2,-2,-1,-8
86059458621,6,-7,-2,-2,-3,-1,-1,0
86059458621,13,-2,-3,-1,-1,-1,0,2
86059459335,-8,-2,-1,-1,0,0,-2,-9
86059459335,-2,-5,-1,0,1,-1,-1,23
86059481096,1,-2,-3,0,-1,-1,2,-8
86059481096,5,1,1,-3,0,-1,1,1
86059481894,1,-2,-1,-2,-1,-2,-2,0
86059481894,24,14,-1,-1,-2,-1,-1,2
86059503631,-22,-15,-1,1,-1,0,-4,-10
86059503631,-4,-1,0,0,-3,0,2,2
86059504390,2,-2,-1,-2,-1,0,0,0
86059504390,-5,-2,0,0,-2,-1,-1,-10
86059518554,-14,-2,-3,-3,-1,-2,-2,2
86059518554,5,4,0,-2,-1,-1,-1,-7
86059519334,-1,-6,-2,0,-2,-2,0,-2
86059519334,10,0,0,-2,0,0,1,-4
86059541102,-17,1,0,-3,-1,-1,-2,-3
86059541102,-10,-4,-2,-2,-1,-1,-2,1
86059541929,2,-1,-1,-1,-2,1,-2,1
86059541929,0,-3,-2,0,-1,-1,-1,-7
86059563600,2,0,-1,0,-2,-1,0,0
86059563600,5,2,-1,-2,-2,0,-4,0
86059564416,-2,0,0,-2,-2,0,-2,-1
86059564416,-13,-6,-1,-2,0,-2,1,-15
86059578168,-7,-2,-2,-1,0,0,-3,0
86059578168,1,0,0,0,-2,-1,0,0
86059586139,2,-2,-3,0,-1,-1,2,1
86059586139,-13,-22,-3,-3,-1,-2,-5,5
86059601333,11,4,0,0,2,-1,1,1
86059601333,0,0,-1,0,1,-1,-2,-7
86059601954,-5,-3,1,0,0,0,-2,-1
86059601954,-1,7,-1,-1,-2,-3,-1,-4
86059623572,19,1,-1,0,-1,-1,-1,5
86059623572,-12,-4,-2,1,-1,-2,-3,-1
86059624419,2,2,1,-2,0,0,-1,-3
86059624419,-7,2,0,1,-2,-1,-2,-3
86059637937,-13,-5,-2,-3,-3,-2,-1,-3
86059637937,7,3,1,0,-1,-1,-1,0
86059646080,-4,-5,-5,-2,-2,-2,-2,-3
86059646080,2,1,2,0,-1,0,-1,0
86059661160,-1,-1,-1,-2,1,0,-1,-4
86059661160,-9,-5,-1,2,1,0,1,0
86059662031,-1,-2,-3,0,-1,0,0,-2
86059662031,-3,-3,-2,-3,0,-1,0,0
86059683585,0,2,0,-2,-1,1,0,0
86059683585,1,0,1,-2,-3,-10,-3,-1
86059684371,1,-1,-2,0,-1,-8,-2,0
86059684371,-2,1,-2,2,4,6,-1,3
86059698183,1,1,11,1,5,3,0,1
86059698183,2,-6,-2,27,2,5,0,0
86059706119,-4,-3,-3,-21,-7,-3,-1,-2
86059706119,0,-3,2,-11,-3,-5,0,-3
86059721113,-3,0,-12,9,-7,-7,-1,5
86059721113,1,2,9,26,11,3,4,-18
86059721884,0,2,6,-7,7,11,1,-1
86059721884,-3,-2,17,0,-3,0,-4,-1
86059743540,-2,-4,7,-24,-7,-13,-5,-3
86059743540,-1,0,-3,-8,-7,0,-4,6
86059744432,-1,0,1,40,5,0,4,0
86059744432,2,3,-5,21,13,10,4,-6
86059757954,-2,-3,-5,-59,-18,-10,-2,3
86059757954,-4,-3,-10,1,-4,-2,-7,-3
86059766144,4,0,4,3,-5,-22,-4,8
86059766144,-7,-3,-7,4,5,21,-2,-10
86059781089,-5,-2,-12,-35,-2,-17,-8,-2
86059781089,9,-3,-5,-12,-7,6,8,2
86059781849,-7,-2,-6,-18,1,27,0,7
86059781849,17,14,2,24,-5,-29,7,17
86059803583,-2,-3,1,27,6,19,-9,-3
86059803583,-37,-5,-5,-30,-8,-22,4,-36
86059804407,5,-9,-2,16,3,6,-2,-18
86059804407,-9,-6,-7,-23,-6,-21,-9,13
86059819431,26,2,0,11,6,17,11,-5
86059819431,-5,8,3,3,7,19,-8,21
86059826136,-4,1,-1,-4,-4,-14,-4,-35
86059826136,-14,-11,-8,-7,-8,10,-3,-22
86059841341,7,2,-2,4,-1,-23,5,49
86059841341,11,2,2,7,-3,0,-4,-15
86059841942,-16,-2,-3,-7,3,35,-7,15
86059841942,11,-2,-2,-9,1,-67,3,21
86059863823,-8,3,0,23,5,26,-5,-40
86059863823,17,-1,2,-4,-4,-5,-7,-3
86059864471,20,10,4,-3,15,36,32,83
86059864471,-5,3,-2,0,-3,-16,-16,-26
86059887006,-2,-2,-1,9,-7,8,-21,-6
86059887006,-6,-8,-9,-10,-9,-50,21,-97
86059887582,4,3,-3,-3,-3,43,6,8
86059887582,-9,-3,0,1,12,-5,2,-3
86059901188,-14,-13,-6,3,-13,-8,-18,-16
86059901188,7,9,-2,-10,-3,21,-6,-2
86059901934,-10,-9,-6,-1,-19,-52,-13,-30
86059901934,-7,0,3,-2,22,48,5,-6
86059923790,-3,-2,-3,4,8,-9,11,16
86059923790,6,-1,11,1,-1,22,-9,9
86059924459,-6,-3,-19,-12,-27,-55,-12,-16
86059924459,4,-1,1,2,0,13,6,-7
86059947067,2,4,0,2,5,24,-6,50
86059947067,1,3,-1,-1,-5,-20,24,61
86059947624,4,-20,7,2,-1,2,-2,-9
86059947624,-5,-8,-24,-17,-23,-29,-20,8
86059961229,-3,-2,0,14,19,36,6,-3
86059961229,-3,1,2,-8,-12,-19,-20,-24
86059961932,20,9,-5,-3,13,5,37,44
86059961932,-2,-4,12,5,-3,50,1,33
86059983839,-5,-5,2,3,13,-40,-14,-31
86059983839,-9,-2,-9,-14,3,-9,-20,-13
86059984472,-1,-3,-1,-9,-26,-39,-15,-21
86059984472,28,8,8,6,-2,10,-12,-5
86060006731,6,-4,0,5,8,5,38,10
86060006731,2,-3,-1,4,6,22,-12,-23
86060007548,-25,2,-1,-6,1,8,-22,-31
86060007548,-5,4,-1,4,4,3,38,14
86060021119,3,-5,2,0,-23,-6,-8,39
86060021119,-3,-6,-13,-5,3,-47,5,27
86060021921,-1,-5,-4,1,5,-21,-14,8
86060021921,-33,-10,-3,-5,-15,22,10,-22
86060043663,6,8,7,10,20,16,0,30
86060043663,-1,-3,1,-2,-4,0,-9,1
86060044420,-1,9,2,10,15,-10,20,3
86060044420,16,0,0,-10,-1,-9,-6,-9
86060067019,-3,4,1,-12,-13,-11,-3,-28
86060067019,-11,-2,-3,-6,-18,29,-2,-9
86060067665,-2,-1,4,2,11,7,5,-14
86060067665,-5,-2,0,-4,-7,-21,-35,-7
86060081341,-12,-8,-12,-8,-4,5,28,-8
86060081341,1,4,7,26,25,-15,0,13
86060081954,-3,-2,0,-23,-25,-5,-36,-3
86060081954,-4,-3,-2,-2,8,-3,21,20
86060103623,-8,0,-3,3,-1,3,-16,-19
86060103623,-5,-2,-2,-1,4,30,9,15
86060104458,-5,-3,-9,-45,7,0,-13,-15
86060104458,-15,-3,-8,19,-22,-40,-9,0
86060126789,4,-2,5,5,2,-13,13,-15
86060126789,10,-3,-4,9,2,-2,-7,-12
86060127591,10,-4,-23,-2,9,33,23,-4
86060127591,12,0,3,31,0,-15,-19,-17
86060141096,-5,2,-4,-84,-30,-26,-17,-34
86060141096,5,1,1,9,27,37,15,37
86060141860,-6,0,13,12,-5,-20,1,-18
86060141860,-4,-1,-6,-4,3,15,4,-21
86060163586,-7,-1,-4,-36,-6,-1,-2,-12
86060163586,3,3,10,-44,3,11,-1,10
86060164356,-4,-3,3,43,-14,-10,-9,-5
86060164356,-8,-1,10,-12,2,33,1,-43
86060186788,-2,2,2,-5,-22,-42,-15,-9
86060186788,1,-5,-5,-6,17,37,14,8
86060187604,-2,1,4,8,4,-22,9,-4
86060187604,2,-1,15,9,-12,-20,-24,-8
86060201119,-3,-5,8,2,6,60,25,-11
86060201119,-1,1,22,8,-24,-50,-6,-9
86060201912,2,0,19,24,12,-1,-6,0
86060201912,4,-2,-19,-32,23,31,25,17
86060223558,0,-1,6,7,3,19,31,1
86060223558,-2,-4,-8,-17,-21,-26,-18,5
86060224417,2,2,7,9,6,-1,3,13
86060224417,-1,-2,3,-3,-7,-2,3,-1
86060246758,14,-3,3,16,10,-6,-6,24
86060246758,-6,-1,-4,15,-11,17,-1,-4
86060247542,-1,-2,-17,-1,-4,-19,-7,-7
86060247542,-7,-7,-20,-32,-12,-15,-14,-44
86060261113,-4,3,-15,16,-1,-23,2,-3
86060261113,-14,-1,-24,17,4,-3,-15,-34
86060261877,-11,-6,-15,-16,-3,19,-12,-33
86060261877,3,12,14,-1,-10,9,20,28
86060283624,4,6,-7,29,5,-38,-5,6
86060283624,-18,-6,-14,-2,10,20,18,-23
86060284376,33,-3,2,-18,4,4,-10,41
86060284376,4,-3,-30,1,2,6,5,2
86060306827,18,5,-6,2,-5,3,0,66
86060306827,0,0,20,2,5,-5,-9,23
86060307555,0,6,14,-6,-1,17,25,-19
86060307555,5,-3,15,4,5,5,-19,-19
86060321104,2,-6,6,6,-9,-16,-25,-86
86060321104,27,4,-9,-3,-5,8,37,18
86060321906,-16,3,-25,-5,-20,1,1,1
86060321906,3,0,2,4,22,7,5,-3
86060343595,-7,-9,-6,6,16,14,-10,-47
86060343595,-43,-11,-17,-3,-2,-28,-12,-71
86060344454,-7,4,-4,2,5,3,7,59
86060344454,29,-19,-2,-2,-16,-10,16,32
86060366770,-47,17,7,-2,-2,9,-10,36
86060366770,59,5,-25,5,10,0,18,22
86060367552,36,-9,23,-1,2,3,-24,-26
86060367552,5,9,24,-3,1,15,79,70
86060381100,-37,1,-23,10,5,-8,-58,-87
86060381100,2,-9,-2,-2,-4,-13,15,11
86060381885,-109,-5,-9,-4,-6,8,-37,-107
86060381885,18,12,-21,6,24,26,21,7
86060403587,-18,-16,-66,-4,-2,-10,3,10
86060403587,-16,12,57,-6,-12,-4,-12,55
86060404376,1,-12,-18,-8,-15,-34,4,-13
86060404376,-99,-12,-23,9,11,-15,-39,-128
86060426787,57,5,43,6,9,62,77,127
86060426787,27,14,-17,-2,-5,-58,-19,-98
86060427581,-51,5,-35,5,9,7,-36,30
86060427581,28,9,33,-13,-18,3,-31,26
86060441140,31,11,24,11,4,-15,-12,46
86060441140,-5,-30,-11,-6,-2,19,13,-6
86060441903,-26,-26,50,-11,-6,-6,-14,44
86060441903,4,8,-28,-1,-3,-6,18,-61
86060463599,16,-2,35,-3,1,-5,12,9
86060463599,-12,11,15,-1,-13,5,-5,-12
86060464431,-15,-5,-30,-2,10,-5,-26,-49
86060464431,50,-5,2,2,-1,-9,10,49
86060486781,-11,-11,2,-4,-8,-2,-1,-73
86060486781,-47,-20,4,-6,-3,22,38,85
86060487582,79,17,20,3,-20,-24,12,46
86060487582,-9,13,11,6,8,-27,9,-95
86060500416,51,16,61,7,3,0,43,53
86060500416,62,-7,7,-2,20,16,-14,90
86060508573,-6,15,59,2,1,19,0,-84
86060508573,15,-20,27,-8,-12,8,48,-49
86060523567,38,-13,10,-4,-11,-29,-23,-39
86060523567,-111,-10,17,7,1,8,-14,-128
86060524383,-2,-1,-38,-3,3,29,127,16
