timestamp,x,y,z
86079340479,0.1875,-0.4375,-0.375
86079362945,0.375,-0.3125,-0.25
86079380754,0.3125,-0.125,-0.3125
86079400423,0.3125,-0.1875,-0.125
86079422918,0.0625,-0.1875,0
86079439379,0.25,-0.125,-0.0625
86079460494,0.625,-0.1875,0
86079483004,0.5625,-0.125,-0.1875
86079499400,0.4375,-0.125,0
86079520429,0.375,0,0.0625
86079543133,0.125,0,0.1875
86079559409,-0.3125,0.125,0.1875
86079580613,-1,0,0.3125
86079602954,-1.8125,0.0625,0.3125
86079619356,-1.375,0.0625,0.1875
86079640380,-0.75,0.125,0.125
86079662873,-0.75,0.125,0.0625
86079679359,-0.75,-0.125,0.5
86079700352,-1.25,-1.5,1.5625
86079722943,-1.8125,-3.875,3.875
86079739339,-2.5625,-6.625,9.5625
86079760427,-7.25,-9.5,17.25
86079782903,-3.125,-15.25,30.8125
86079805388,-3.75,-22.625,50.125
86079820422,-4.5,-29.8125,72.375
86079842927,-4.375,-34.875,101.062
86079865440,8.75,-38.5,126.75
86079880457,23.625,-42.75,157.312
86079902938,19.8125,-49.3125,185.875
86079925389,16.1875,-61.25,215
86079940429,23.3125,-75.5,249.188
86079970382,37.625,-87.625,272.938
86079985407,59.5,-93.75,295.188
86080000422,63.0625,-96.1875,310.062
86080022889,45.5,-97.25,323.062
86080045444,33.375,-106.375,329.5
86080060423,25.4375,-116.625,329.875
86080082906,19.3125,-121.5,323.25
86080105429,26.5,-127,307.438
86080120358,31.875,-129.688,290.938
86080142883,25.8125,-133.688,276.875
86080165634,18.875,-135.875,259.312
86080180507,19.625,-131.938,228.875
86080203172,21.25,-127,200.562
86080225650,14.9375,-120.312,165.688
86080242018,6.375,-110.875,124.5
86080262931,-5.9375,-98.3125,79.625
86080285639,-16.9375,-81.6875,38.6875
86080300689,-19.3125,-59.5,-0.25
86080322876,-26.0625,-38.5,-35.9375
86080345667,-37.375,-17,-70.0625
86080360517,-43.1875,-4.5,-95.8125
86080382925,-95.125,17.375,-103.688
86080405428,-64,69.125,-110
86080421905,-30.75,103.312,-120.188
86080442902,-36.125,128.188,-149.438
86080465361,-47.6875,123.188,-175.938
86080489343,-43.125,130.375,-204.188
86080502841,-41.625,128.312,-219.062
86080525688,-8.5625,139.75,-245.812
86080541898,9.5,129.312,-272.5
86080563012,43.3125,105.188,-278.562
86080585662,36.625,92.125,-280
86080601915,-2.4375,105.812,-284.5
