timestamp,roll,pitch,yaw
117295236510,-1.63672,-1.33797,-2.97001
117295259188,-1.63682,-1.33782,-2.97025
117295275347,-1.63683,-1.3381,-2.97055
117295296707,-1.63629,-1.33789,-2.9707
117295320382,-1.63586,-1.33757,-2.97168
117295335385,-1.63599,-1.33734,-2.97205
117295356665,-1.63599,-1.33734,-2.97205
117295380385,-1.63599,-1.33734,-2.97205
117295410957,-1.63599,-1.33734,-2.97205
117295420298,-1.63548,-1.33704,-2.97232
117295440962,-1.63547,-1.33728,-2.97264
117295456612,-1.63547,-1.33728,-2.97264
117295477318,-1.63547,-1.33728,-2.97264
117295500896,-1.63492,-1.33695,-2.97293
117295528979,-1.63492,-1.33695,-2.97293
117295541503,-1.6344,-1.33689,-2.97352
117295559629,-1.63214,-1.3361,-2.97518
117295574037,-1.62971,-1.33523,-2.97619
117295597197,-1.62875,-1.33443,-2.97547
117295619683,-1.62718,-1.33293,-2.97478
117295634006,-1.6259,-1.33073,-2.973
117295657191,-1.62675,-1.32652,-2.96914
117295679665,-1.63355,-1.31878,-2.96096
117295693985,-1.64918,-1.30401,-2.94659
117295717204,-1.67298,-1.28227,-2.92532
117295739724,-1.70635,-1.25066,-2.8969
117295755574,-1.74412,-1.20964,-2.86568
117295776599,-1.77717,-1.15894,-2.83655
117295799997,-1.80187,-1.09827,-2.81178
117295814213,-1.81614,-1.03037,-2.79073
117295836481,-1.82369,-0.953826,-2.77282
117295859880,-1.82926,-0.869874,-2.75446
117295874096,-1.83195,-0.778628,-2.7355
117295896842,-1.83303,-0.68298,-2.71797
117295919710,-1.83182,-0.583776,-2.70299
117295934308,-1.83398,-0.480769,-2.68747
117295957942,-1.83921,-0.37471,-2.66926
117295979657,-1.84562,-0.265401,-2.6475
117295994063,-1.84832,-0.155289,-2.6236
117296016675,-1.84622,-0.0484342,-2.59727
117296039882,-1.83944,0.0525856,-2.56767
117296055432,-1.82667,0.148515,-2.53402
117296076729,-1.80855,0.239789,-2.4953
117296099695,-1.78585,0.322825,-2.45156
117296115522,-1.7617,0.396967,-2.40413
117296136536,-1.73574,0.459855,-2.35411
117296159951,-1.7095,0.507701,-2.30444
117296175505,-1.68557,0.541433,-2.25872
117296196526,-1.6658,0.561661,-2.21765
117296219723,-1.65348,0.565316,-2.1871
117296235927,-1.64966,0.559192,-2.16675
117296256577,-1.6567,0.544076,-2.15626
117296279857,-1.67219,0.520908,-2.15424
