timestamp,x,y,z
83317589202,0.922852,-0.29834,-0.0625
83317610270,0.918945,-0.292969,-0.0634766
83317626721,0.932617,-0.302734,-0.0668945
83317649213,0.930176,-0.313965,-0.0644531
83317670248,0.920898,-0.308105,-0.0634766
83317686698,0.917969,-0.306641,-0.0615234
83317709236,0.920898,-0.298828,-0.0629883
83317714620,0.926758,-0.300293,-0.0625
83317737101,0.930176,-0.303223,-0.0668945
83317752106,0.928711,-0.304199,-0.0600586
83317774612,0.928223,-0.307129,-0.0708008
83317797075,0.919922,-0.301758,-0.0644531
83317812116,0.92334,-0.305176,-0.0649414
83317834587,0.928711,-0.315918,-0.0634766
83317857098,0.927246,-0.313965,-0.0649414
83317872032,0.922852,-0.311035,-0.0581055
83317894570,0.920898,-0.306152,-0.059082
83317917080,0.929199,-0.299316,-0.0551758
83317932024,0.926758,-0.310059,-0.0629883
83317954559,0.919922,-0.305176,-0.0488281
83317977302,0.930664,-0.314453,-0.0517578
83317992278,0.932129,-0.291504,-0.034668
83318014579,0.962891,-0.28125,-0.03125
83318037218,0.984375,-0.271973,-0.0654297
83318053623,0.991211,-0.320312,-0.0771484
83318074695,0.96582,-0.36377,-0.0380859
83318097125,0.923828,-0.467773,-0.0473633
83318113602,0.925293,-0.51709,-0.0805664
83318134628,0.92334,-0.634277,-0.106445
83318157298,0.895508,-0.695801,-0.153809
83318173622,0.883301,-0.725098,-0.208008
83318194802,0.839844,-0.794922,-0.268555
83318217353,0.743164,-0.876953,-0.314453
83318233523,0.66748,-0.945801,-0.342285
83318254666,0.594727,-1.01953,-0.360352
83318277321,0.54541,-0.979492,-0.38916
83318293585,0.506836,-0.958496,-0.363281
83318314857,0.444336,-0.984863,-0.314453
83318340123,0.352539,-0.999023,-0.30127
83318353531,0.275879,-0.987305,-0.282227
83318374658,0.169922,-1.04688,-0.275391
83318397322,0.101074,-1.10303,-0.257812
83318415108,-0.00390625,-1.15088,-0.256348
83318434820,-0.177246,-1.11182,-0.210938
83318457190,-0.27002,-1.02148,-0.215332
83318473626,-0.322754,-0.991699,-0.20752
83318494821,-0.356934,-0.954102,-0.208984
