timestamp,x,y,z
85945826571,0.75,0.0625,0.25
85945850461,-0.8125,0.0625,0.6875
85945865568,-0.8125,0,1.0625
85945886554,0.1875,-0.125,1.75
85945903018,-0.1875,-0.5,2.4375
85945925509,0.75,-0.5625,2.625
85945946592,1.375,-1.0625,3.875
85945963038,-2.6875,-1.75,7.1875
85945993090,-14.875,-1.375,15.3125
85946006566,-32.625,-0.75,27.1875
85946022971,-33.5,-2.5,38.3125
85946045537,-28.875,-0.8125,58.3125
85946066574,-37.6875,-3.25,82.5
85946082385,-52,-4.625,110.062
85946105584,-57.4375,-4.0625,145.562
85946126577,-50.125,-5.5,181.75
85946142399,-28.375,-7.875,218.125
85946165503,-3.125,-11.5,255.875
85946187979,9.3125,-10.625,289.25
85946202396,31.3125,-4.9375,315.375
85946225534,23.625,-7.4375,331.812
85946248040,16.875,-14.4375,341.438
85946262335,25.375,-12.25,351.062
85946285575,29.9375,-14.1875,346.625
85946308077,25.125,-16,340.375
85946336612,11.9375,-18.1875,333.375
85946345522,2.625,-26.625,319.75
85946368063,-3.8125,-38.125,301.25
85946389086,-0.4375,-41.625,277.625
85946405492,-0.4375,-42.5,252.812
85946428031,-5.5625,-46.9375,225.312
85946449085,-5,-51,203.25
85946479096,-4.875,-49.25,174.562
85946488027,-8.75,-45.6875,140.562
85946509085,-10.1875,-39.5,115.312
85946525538,-9.625,-24.9375,88.1875
85946548030,-5.5625,-12.9375,57.3125
85946569069,5.125,5.875,27.375
85946585534,20,31.875,-12.0625
85946608032,36.4375,61.5625,-62.875
85946629072,63.75,72.875,-123.5
85946645525,81.375,75.625,-187.125
85946667976,72.8125,87.25,-276.312
85946689103,14.875,67.0625,-353.312
85946705542,-46.8125,6.4375,-240.375
85946728033,-13.4375,-12.5625,-2.5625
85946749068,-6.6875,-36,143.375
85946765491,7.3125,-39.4375,200.188
85946788019,-3.25,-53.625,206
85946809059,12.375,-50.375,187.312
85946825463,28.875,-37.25,172.562
85946848038,12.625,-35.875,158.562
85946869119,-21.25,-41.5,132.75
85946884909,-39.0625,-45.1875,109.188
85946908037,-24.5,-35.5625,93.625
85946929040,-9.1875,-24.75,70.3125
85946944897,-7.8125,-18.4375,45.75
85946968035,-11.875,-10.9375,23.625
85946989101,-14,2.3125,-2.625
85947004851,-8.6875,24.4375,-32.3125
85947028011,5.25,51.25,-74.0625
85947049001,26.375,75.5625,-129.5
85947064962,28.9375,95.375,-174.875
85947088046,41.4375,112.688,-259.75
85947110470,23.6875,136.562,-342.75
85947124790,8.375,118.875,-383.5
85947147994,-47.25,71.4375,-337
85947170475,-15,34.75,-107.375
85947191557,-24.75,-2.625,0.9375
85947207985,-14.9375,-21.875,75.8125
85947230578,-4.375,-35.75,99.6875
85947251593,12.5,-44.875,66.625
85947268464,42.5625,-36.5,24.375
85947290501,65.125,-29.5,-12
85947311513,54.5625,-35.5,-52
85947328036,33,-43.375,-90.3125
85947350497,14.4375,-49.5625,-128.5
85947371559,10.25,-48.625,-167.438
85947387938,11.5625,-42.9375,-200.75
85947410551,21.0625,-34,-222.188
85947431566,41.125,-30.125,-238.438
85947448010,52.1875,-33.25,-253.688
85947470493,49.5,-40.4375,-269.625
85947491585,39.1875,-44.9375,-280.25
85947508001,41.8125,-44.625,-288.312
85947530480,42,-41.3125,-294.188
85947551543,39.125,-36.875,-298.75
85947568028,40.125,-32.125,-300.375
85947590533,48.125,-29.9375,-300.438
85947611554,56.5625,-27.375,-294.375
85947628039,68.8125,-23.4375,-281.125
85947650507,82.1875,-21.6875,-259.25
85947671549,85.25,-27,-228.188
85947695545,65.9375,-42.25,-193.25
85947710541,34.9375,-60.0625,-158.688
85947731560,25.5,-73.125,-121.188
85947748043,22.875,-75.8125,-88.625
85947770508,0.1875,-68.6875,-62.8125
85947791588,-28.875,-56.625,-45.9375
85947807364,-61,-40.9375,-34.75
85947830494,-92.3125,-28.125,-27.0625
85947851588,-114.25,-19.1875,-21.9375
85947867350,-123.438,-11.75,-13.9375
85947890628,-115.688,-5,-4.875
