timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
116997319470,-1,0,0,1,0,-2,-1,-4
116997319470,-1,-6,-2,-3,-2,-3,-2,0
116997320293,-20,-3,0,1,-1,-5,-2,4
116997320293,-1,-1,-1,-6,-2,-2,1,-8
116997324426,0,-1,1,-1,1,1,0,0
116997324426,0,0,0,-1,-1,-3,-1,-4
116997325986,2,-17,-5,0,-1,-4,0,2
116997325986,15,9,-1,2,0,0,0,0
116997330170,9,3,1,-1,-1,-1,0,3
116997330170,-10,0,0,-1,0,1,2,11
116997338810,11,25,0,-3,-2,-1,-1,-4
116997338810,-6,0,-1,1,0,-1,-1,-4
116997354186,1,5,0,1,-3,-1,2,-3
116997354186,14,7,1,0,-1,0,3,-1
116997361327,-1,7,3,2,1,0,1,0
116997361327,-9,-7,-1,1,0,-2,-3,0
116997369185,-5,-4,-3,-4,-2,0,-5,0
116997369185,0,-2,-6,-4,-2,-1,-5,-5
116997392730,4,-7,-3,-3,-2,0,-2,-3
116997392730,-1,4,1,4,-3,0,-2,1
116997395733,-14,-7,-4,2,0,0,-2,-17
116997395733,12,26,0,-1,-2,0,0,-5
116997412457,4,-11,-1,2,-1,-1,1,-4
116997412457,-4,-5,-3,-3,0,-4,0,-3
116997446682,3,24,6,3,0,1,1,3
116997446682,1,2,1,0,-1,-1,0,-1
116997451322,-8,-7,-3,-4,-2,-1,-3,-2
116997451322,3,-1,2,-1,0,1,-1,-2
116997452156,-3,-6,-4,-2,0,-3,0,-2
116997452156,-2,1,3,1,1,-1,0,-2
116997452910,1,3,0,1,0,-1,1,-2
116997452910,-4,2,-5,-6,-1,-1,-2,0
116997457502,-1,-6,-1,1,-1,-2,-4,-5
116997457502,-2,-5,-1,-2,-2,0,-2,-5
116997480649,4,16,1,0,0,-2,-2,-2
116997480649,1,-3,1,2,0,-2,-1,1
116997481443,4,2,2,0,-1,2,1,3
116997481443,0,3,-2,0,-1,0,0,2
116997489004,0,-5,-3,0,-2,0,-2,2
