timestamp,x,y,z
83406306347,-0.75,-0.1875,0.75
83406328829,0.5,-0.125,0.5625
83406343784,0.5625,-0.0625,0.6875
83406364830,-0.5,-0.0625,0.375
83406381261,-1.3125,-0.0625,-0.0625
83406403759,-1,-0.125,-0.4375
83406424853,-0.0625,0,-0.8125
83406441258,0,0.25,-1
83406463875,0,0.25,-0.875
83406484866,0,0,-0.5625
83406501284,-0.0625,-0.0625,-0.125
83406523861,-0.8125,-0.375,0.375
83406544876,-1,-0.375,0.1875
83406561401,0.5,0,-0.375
83406583806,1.0625,0.1875,-0.1875
83406604850,0.125,-0.0625,-0.25
83406621333,-0.9375,-0.1875,0.0625
83406643730,-1.1875,-0.0625,0.5
83406664780,-1.4375,0.0625,0.75
83406681259,-1.75,0.0625,0.875
83406703852,-1.8125,0.3125,0.875
83406725068,-2.0625,0.3125,1.0625
83406741328,-2.5,0.4375,1.0625
83406763936,-2.1875,0.625,1.1875
83406784856,-0.8125,0.8125,1.125
83406801416,0.4375,0.8125,1.3125
83406823792,0.125,0.875,1.4375
83406846322,0.4375,0.8125,2
83406861354,-0.5625,0.125,2.5625
83406883893,-2.8125,0.25,4.375
83406906312,-10.75,0.375,8.8125
83406920686,-27.125,0.5625,17.5
83406943837,-33.625,-1.75,27.6875
83406966318,-39.875,-1.875,43.375
83406987560,-48,-4,65.5625
83407011336,-56.3125,-6.9375,87.25
83407026304,-64.4375,-7.3125,111.375
83407047400,-64.5625,-12.375,138.75
83407063823,-57.3125,-19.6875,166.562
83407086266,-38.5,-20.5625,197.188
83407107312,-4.0625,-20.875,223.438
83407123802,16.75,-23.3125,252
83407146295,4.9375,-29.9375,276.312
83407167616,-1.25,-35.75,293.75
83407183860,-3.125,-43.5,303.062
83407206340,3.25,-55.6875,305.625
83407227455,20.375,-63.75,315.438
83407243887,29.5625,-71.0625,320.188
83407266309,31.75,-76.875,321.625
83407287441,22.3125,-88.5625,317.062
83407305243,10.0625,-98.625,312.312
83407333839,5.25,-108,301.875
83407347652,10.1875,-108.188,286.062
83407363887,17,-101.75,265.188
83407386329,6.5625,-93.6875,232.875
83407407484,-4.625,-86.625,201.25
83407423867,-3.1875,-81.3125,164.875
83407446355,-8.5,-66.8125,133.438
83407467380,-11,-47.3125,93.0625
83407483812,-7.5625,-23.3125,48.75
83407506308,8.5,9.375,8.625
83407527598,21.3125,52.9375,-28.875
83407543903,42.6875,98.4375,-85.5
83407566318,67.5,136.562,-152.125
83407587606,71.5625,147,-231.125
83407603226,62.375,158.562,-305.812
83407626398,87.9375,161.188,-413.438
83407647415,-30.9375,57.6875,-373.875
83407663180,10.3125,-48.0625,-45.125
83407686304,13.25,-21.0625,40.0625
83407707466,40.6875,-51.5625,166.125
83407723254,-0.5625,-82.4375,233.438
83407746483,-27.5625,-85.9375,206.375
83407767541,-13.5625,-77.875,205
83407783220,-2.625,-64.6875,195.25
83407806338,-6.625,-58.6875,171
83407828796,-10,-55.125,152.875
83407843238,7.125,-50,135.75
83407866376,10.8125,-46.125,109.5
83407888829,-4.5625,-40.125,75.4375
83407909980,-16.125,-30.3125,36.3125
83407926394,-12.625,-13.375,0.4375
83407931908,16.875,22.375,-28.6875
83407954162,50.125,62.0625,-68.125
83407972203,70.0625,85.875,-112.188
83407991831,87.375,108.25,-171.5
83408014179,89.6875,117.625,-244.688
83408039661,67.875,133.562,-335.25
83408051754,10.25,152,-405.25
83408074230,-48.5,124.75,-429.312
83408092201,-135.125,57.3125,-265.188
83408111770,-52.4375,46.25,20.375
83408134166,25.9375,48.875,1.75
83408152106,26.8125,16.125,144.5
83408171734,-11.6875,-0.1875,136.25
83408194149,-38.75,-14.125,130.188
83408212102,-13.5625,-23.3125,105.312
83408231737,46.375,-21.3125,61.5625
83408254265,74.375,-20.0625,27.625
83408272139,65.625,-24,-11.375
83408291735,40.6875,-30.75,-48.625
83408314168,18.0625,-37.5,-86.0625
83408333545,0.9375,-35.8125,-113.875
83408359196,3.8125,-36.25,-135.312
83408374212,20.875,-34.125,-159.812
83408392118,34.5,-31.9375,-179.75
83408411762,41.625,-28.875,-189.5
83408434180,42.9375,-22.4375,-196.188
83408452058,29.75,-18.875,-205.125
83408471661,9.3125,-20.75,-211.375
83408494218,-6.375,-20.25,-214.812
83408512116,-7.625,-13.875,-213.812
83408531716,9.9375,-7.375,-215.812
83408557108,29.375,-3.5,-213.312
83408572072,29.5,-1.125,-208.312
83408591738,16.9375,-3.125,-201.375
83408614186,2.25,-6,-198.438
83408632108,-18.0625,-2.0625,-193.938
83408651739,-44.75,11.8125,-188.438
83408674151,-69.4375,30.0625,-182.125
83408692083,-91.3125,44,-174.625
83408711698,-102.5,49.5,-168.312
83408734176,-108.938,49.3125,-162.375
83408759603,-82.9375,44.5,-154.062
83408771744,-51.625,33.5,-142.938
83408794176,-37.75,17.8125,-128.125
83408812080,-29.875,2.75,-108.812
83408833107,-7.8125,-7.4375,-89.5
