timestamp,roll,pitch,yaw
86202281993,-1.40762,-1.28172,-2.22395
86202296384,-1.40762,-1.28172,-2.22395
86202319500,-1.40757,-1.28183,-2.22414
86202342003,-1.40757,-1.28183,-2.22414
86202356356,-1.40775,-1.28158,-2.22411
86202379541,-1.40826,-1.28151,-2.22442
86202402037,-1.40821,-1.28162,-2.2246
86202416364,-1.40821,-1.28162,-2.2246
86202439478,-1.40839,-1.28137,-2.22458
86202462059,-1.4086,-1.28114,-2.22515
86202476369,-1.40881,-1.28092,-2.22573
86202499535,-1.40901,-1.28018,-2.2259
86202522064,-1.40971,-1.28037,-2.22659
86202550554,-1.40912,-1.27981,-2.22722
86202559525,-1.40984,-1.27962,-2.22723
86202582017,-1.41014,-1.27918,-2.22743
86202602840,-1.41041,-1.27921,-2.22745
86202619512,-1.41041,-1.27921,-2.22745
86202642046,-1.41041,-1.27921,-2.22745
86202663089,-1.41014,-1.27918,-2.22743
86202679501,-1.41008,-1.27902,-2.22712
86202684940,-1.41134,-1.279,-2.22627
86202707406,-1.41166,-1.27892,-2.2261
86202732871,-1.41166,-1.27892,-2.2261
86202747866,-1.41166,-1.27892,-2.2261
86202767472,-1.41166,-1.27892,-2.2261
86202789919,-1.41166,-1.27892,-2.2261
86202804898,-1.41219,-1.27922,-2.22603
86202834878,-1.41219,-1.27922,-2.22603
86202858733,-1.41219,-1.27922,-2.22603
86202864890,-1.41219,-1.27922,-2.22603
86202887486,-1.41219,-1.27922,-2.22603
86202909930,-1.41134,-1.279,-2.22627
86202924934,-1.41086,-1.27879,-2.22672
86202954871,-1.40771,-1.27827,-2.22828
86202972806,-1.4034,-1.27779,-2.23023
86202992438,-1.40312,-1.27389,-2.23093
86203007453,-1.41311,-1.26314,-2.22575
86203038741,-1.43501,-1.24133,-2.20897
86203044946,-1.457,-1.20885,-2.18585
86203067377,-1.47905,-1.1673,-2.15469
86203089890,-1.48922,-1.11618,-2.13076
86203104952,-1.49129,-1.05134,-2.11427
86203127444,-1.48865,-0.976323,-2.10167
86203149912,-1.47763,-0.890393,-2.09413
86203164939,-1.46365,-0.794113,-2.08978
86203187457,-1.45721,-0.68932,-2.0858
86203209920,-1.45236,-0.575301,-2.0807
86203224955,-1.446,-0.453274,-2.07401
86203247413,-1.43146,-0.326511,-2.06714
86203270004,-1.40679,-0.199338,-2.06154
86203284917,-1.37763,-0.0756807,-2.05718
86203307364,-1.34829,0.0473836,-2.0566
86203329942,-1.32255,0.166539,-2.05868
86203346355,-1.3012,0.281523,-2.06532
86203367474,-1.28117,0.391505,-2.07414
86203389941,-1.26832,0.493786,-2.08517
86203404923,-1.26416,0.587264,-2.09854
86203427447,-1.2686,0.672106,-2.11479
86203449905,-1.27808,0.745574,-2.13141
86203464946,-1.29388,0.8036,-2.14857
86203487437,-1.31765,0.844597,-2.16375
86203509893,-1.36044,0.867067,-2.18463
86203524991,-1.4141,0.872679,-2.20818
86203547406,-1.47311,0.861637,-2.23383
86203569907,-1.51559,0.832787,-2.23886
86203584859,-1.55158,0.78131,-2.22317
86203607404,-1.58166,0.706264,-2.18789
86203629897,-1.59379,0.608157,-2.13542
86203646352,-1.59444,0.487932,-2.06587
86203667409,-1.59473,0.338949,-1.98521
86203689839,-1.60384,0.163737,-1.8912
86203706358,-1.61893,-0.0153025,-1.79199
86203727392,-1.61584,-0.194758,-1.69144
86203749930,-1.54923,-0.360532,-1.59172
86203766323,-1.37294,-0.460125,-1.50745
86203787455,-1.19171,-0.50407,-1.42927
86203809934,-1.13526,-0.518771,-1.3516
86203826369,-1.21781,-0.493269,-1.27031
86203847373,-1.31641,-0.436834,-1.19677
86203869978,-1.33284,-0.363152,-1.14162
86203886375,-1.29022,-0.28,-1.09735
86203907446,-1.2327,-0.197516,-1.06175
86203929914,-1.17398,-0.110886,-1.03031
86203947834,-1.115,-0.0212248,-1.00018
86203967400,-1.06179,0.0683642,-0.971059
86203997444,-1.01069,0.154344,-0.943055
86204007850,-0.957182,0.235997,-0.918716
86204028577,-0.900615,0.316844,-0.899017
86204049905,-0.848421,0.395934,-0.88669
86204067808,-0.80906,0.471992,-0.884274
86204087386,-0.785135,0.543729,-0.892214
86204109933,-0.771853,0.60895,-0.909723
86204127872,-0.770952,0.66488,-0.94165
86204147408,-0.784029,0.708859,-0.99064
86204169895,-0.810403,0.740737,-1.05417
86204187800,-0.853769,0.758302,-1.13043
86204207346,-0.915532,0.757257,-1.21951
86204229927,-0.993712,0.734746,-1.32121
86204247874,-1.08097,0.688265,-1.43206
86204267408,-1.17035,0.616634,-1.55032
86204289909,-1.26217,0.5167,-1.67445
86204309269,-1.35358,0.384527,-1.80001
86204327383,-1.44078,0.220732,-1.92524
86204349922,-1.5164,0.0263673,-2.05011
86204367872,-1.5519,-0.205773,-2.17372
86204387466,-1.58056,-0.436426,-2.27634
86204409924,-1.64818,-0.570622,-2.3319
86204427837,-1.67782,-0.67263,-2.39149
86204447453,-1.62706,-0.734881,-2.41767
86204469894,-1.53736,-0.760061,-2.40982
86204487811,-1.48513,-0.770446,-2.39972
86204507395,-1.49161,-0.745248,-2.38807
86204529911,-1.51981,-0.712033,-2.37512
86204547831,-1.5376,-0.683244,-2.36361
