timestamp,x,y,z
117354300163,0.929199,-0.254883,-0.0361328
117354321452,0.933594,-0.256836,-0.0400391
117354336439,0.935059,-0.262695,-0.0351562
117354360119,0.944336,-0.268555,-0.0336914
117354382651,0.943359,-0.265625,-0.0449219
117354397686,0.938965,-0.253418,-0.0371094
117354442924,0.938477,-0.249023,-0.0341797
117354451702,0.942871,-0.255371,-0.0341797
117354459263,0.938477,-0.267578,-0.0297852
117354479740,0.938477,-0.261719,-0.0336914
117354503277,0.935547,-0.26416,-0.0322266
117354517699,0.933105,-0.262207,-0.0263672
117354561971,0.94043,-0.257324,-0.0341797
117354562789,0.944824,-0.260254,-0.0292969
117354584504,0.942871,-0.26416,-0.0351562
117354599454,0.944336,-0.265137,-0.0317383
117354621957,0.95166,-0.263184,-0.0224609
117354636286,0.960938,-0.248047,-0.0166016
117354660842,0.970703,-0.22998,-0.0131836
117354682188,0.984863,-0.21875,-0.0170898
117354696579,0.994629,-0.248047,0.0390625
117354719558,1.00684,-0.307129,0.0546875
117354742148,1.01172,-0.47168,0.0727539
117354756508,1.0166,-0.643066,0.0864258
117354779643,1.02002,-0.781738,0.0932617
117354801963,0.976562,-0.912109,0.0400391
117354816440,0.92334,-1.13428,-0.000976562
117354839478,0.884277,-1.24805,-0.0522461
117354862116,0.797852,-1.32471,-0.0830078
117354876583,0.656738,-1.35205,-0.0742188
117354899746,0.522949,-1.37646,-0.0888672
117354922072,0.453613,-1.29639,-0.0546875
117354937849,0.334961,-1.30322,-0.0576172
117354959541,0.291992,-1.22949,-0.0683594
117354990269,0.269531,-1.11279,-0.0878906
117354996393,0.172363,-1.0083,-0.126465
117355019590,0.100098,-0.91748,-0.141602
117355042024,0.0737305,-0.837402,-0.174805
117355056344,0.050293,-0.730957,-0.20166
117355079644,-0.00439453,-0.617188,-0.233887
117355101955,-0.0493164,-0.503418,-0.238281
117355116566,-0.0751953,-0.432129,-0.26416
117355139673,-0.0683594,-0.413086,-0.28125
117355162029,-0.0678711,-0.409668,-0.328125
117355177745,-0.0844727,-0.355469,-0.355957
117355199702,-0.0693359,-0.305176,-0.37207
117355222054,-0.0336914,-0.378906,-0.35791
117355237790,-0.0249023,-0.494141,-0.293945
117355259673,-0.0195312,-0.582031,-0.193359
117355282300,-0.0458984,-0.697754,-0.0991211
117355306000,-0.117188,-0.780762,-0.0332031
117355319642,-0.17041,-0.872559,-0.0864258
117355343666,-0.0820312,-0.898438,0.0678711
117355357806,0.44873,-1.12891,0.155762
117355379484,0.796875,-1.30127,-0.214844
117355401978,1.19434,-1.2041,-0.308594
117355417791,1.32617,-1.2876,-0.151855
117355438799,1.21191,-1.47705,0.382324
117355461935,0.847168,-1.87061,0.986816
117355477726,0.580078,-2.2627,1.17822
117355498840,0.622559,-2.28809,1.14111
117355521973,0.697266,-2.2251,0.890625
117355537751,0.620605,-1.89111,0.654785
117355560316,0.458008,-1.54346,0.484863
117355599130,0.328125,-1.25391,0.351074
117355600761,0.32373,-1.12402,0.249023
117355626974,0.300293,-1.0957,0.131348
117355650916,0.284668,-0.874023,0.0336914
117355672870,0.339355,-0.608398,-0.0717773
117355702692,0.385254,-0.362305,-0.158203
117355703488,0.364746,-0.186035,-0.155762
117355725934,0.350098,-0.135742,-0.103516
117355740333,0.371582,-0.171875,-0.0429688
117355763427,0.367676,-0.198242,0.0166016
117355777824,0.352539,-0.174805,0.0683594
117355800304,0.322266,-0.141602,0.0766602
117355823582,0.260742,-0.185547,0.0737305
117355844741,0.203125,-0.277344,0.0634766
117355860385,0.156738,-0.382324,0.0375977
117355883503,0.126465,-0.51709,0.00830078
117355904580,0.147461,-0.686035,-0.0214844
117355920436,0.143555,-0.85498,-0.0366211
117355958533,0.065918,-1.02539,-0.0273438
117355959362,-0.0712891,-1.27734,-0.0522461
117355988526,-0.212402,-1.59717,-0.194824
117356010988,-0.246582,-1.7373,-0.0932617
117356048997,0.350586,-1.64062,-0.140137
117356050717,0.928223,-1.48242,-0.188965
117356063611,1.7832,-1.08203,-0.325195
117356084552,1.73975,-1.67334,-0.727051
117356100452,0.624023,-1.89795,-0.645508
117356123514,0.424316,-1.7998,-0.639648
117356144704,0.313965,-1.38232,-0.442383
117356160294,0.148926,-1.32812,-0.171875
117356183524,0.318848,-1.31982,-0.034668
117356204500,0.362305,-1.24268,0.000488281
117356220350,0.318848,-1.10449,0.00683594
117356250926,0.391602,-0.917969,-0.0273438
117356264687,0.513672,-0.730957,-0.0615234
117356280330,0.553711,-0.640137,-0.090332
117356303443,0.535156,-0.623535,-0.100586
117356324421,0.504883,-0.625977,-0.114746
117356340198,0.503906,-0.638184,-0.112305
117356363474,0.529785,-0.609863,-0.0957031
117356384525,0.537598,-0.568359,-0.046875
117356400258,0.562988,-0.556641,-0.00341797
117356422827,0.583008,-0.581543,0.0371094
117356451951,0.60791,-0.62793,0.0581055
117356460236,0.65332,-0.668457,0.0419922
117356482746,0.710938,-0.68457,0.0493164
117356504510,0.753906,-0.703125,0.0483398
117356520233,0.762207,-0.709473,0.0668945
117356542793,0.751465,-0.675781,0.0678711
117356564511,0.752441,-0.648438,0.065918
117356580294,0.794434,-0.678223,0.0454102
117356602732,0.852539,-0.699219,0.0288086
117356625913,0.894531,-0.673828,0.0161133
117356640326,0.898926,-0.618164,-0.0146484
117356662740,0.89209,-0.560059,-0.0205078
117356685895,0.898438,-0.469238,-0.0283203
117356700301,0.922363,-0.410645,-0.0239258
117356722771,0.942871,-0.381836,-0.0249023
117356745906,0.955566,-0.324707,-0.0224609
117356767006,0.964844,-0.307129,-0.0126953
117356782827,0.96582,-0.305176,0.00146484
117356805960,0.98291,-0.291016,0.0112305
117356826987,0.974121,-0.26416,0.0224609
117356842697,0.950195,-0.255371,0.0253906
117356865905,0.941895,-0.294434,0.00390625
117356886973,0.940918,-0.357422,-0.00634766
117356902743,0.931152,-0.409668,-0.0107422
117356925884,0.912598,-0.424316,-0.0161133
117356946950,0.90918,-0.402344,-0.034668
117356962740,0.924805,-0.37793,-0.0380859
117356985881,0.937012,-0.362793,-0.0292969
117357006989,0.936035,-0.345703,-0.0102539
117357022746,0.929688,-0.337402,0.0117188
117357036293,0.924805,-0.307617,0.0322266
117357059475,0.92334,-0.268555,0.0253906
117357081959,0.937012,-0.24707,0.0141602
117357096296,0.952637,-0.271484,0.0136719
117357119449,0.95166,-0.27002,0.00390625
117357141953,0.95459,-0.24707,-0.0131836
117357156291,0.953125,-0.223633,-0.0161133
117357179416,0.939453,-0.225098,-0.0161133
117357201964,0.931152,-0.225098,-0.0175781
