timestamp,x,y,z
117371197592,-1.5,0.25,0.4375
117371220135,-1.875,0.3125,0.375
117371235195,-2.125,0.4375,0.25
117371256324,-3,0.25,0.6875
117371271411,-3.875,0,1
117371295077,-3.375,-0.25,1.25
117371349081,-2,-0.25,1.375
117371350085,-0.75,-0.1875,1.3125
117371359359,-0.9375,0,1.3125
117371376469,-2.125,-0.4375,1.6875
117371392907,-2.5625,-0.4375,1.4375
117371417883,-1.25,-0.3125,0.875
117371459430,0,0.0625,0.5625
117371460195,-0.4375,0.125,0.4375
117371473691,-1.375,-0.25,0.4375
117371496846,-0.9375,-0.6875,0.5625
117371512620,1.8125,-1.1875,0.8125
117371533748,4.3125,-2.3125,2.0625
117371556981,5.4375,-3.1875,3.1875
117371572933,5.0625,-4.9375,4.8125
117371593950,5.4375,-9.125,8.8125
117371616958,11.25,-12.6875,16.75
117371632777,14.375,-17.5,34.5
117371653979,3.375,-26.125,53.875
117371676948,-9.4375,-26.5625,76.75
117371692735,-13.3125,-25.875,100.125
117371715326,-6.0625,-21.25,138.562
117371737000,6.5625,-23.1875,181.188
117371752732,31.0625,-25.5,216.562
117371773972,59.1875,-16.625,256.938
117371797226,78.25,1.5625,298.75
117371812989,79.75,22.125,328.625
117371833893,71.1875,31.9375,348.438
117371864605,71.875,37.6875,360.062
117371880965,80.1875,40.5,364.312
117371893816,90,48.375,364.062
117371917002,96.75,52.4375,360.562
117371932992,97.8125,57.1875,356.062
117371953863,94.6875,57.9375,340.938
117371976918,82.6875,60.1875,315.125
117372008545,73.3125,65.875,285.625
117372015175,63.1875,75.625,250.625
117372036942,46.3125,72.1875,216.25
117372052807,26.0625,69,184.188
117372075226,-0.0625,60.75,143.438
117372097160,-22.5625,50.9375,100.312
117372119745,-42.1875,37.75,58.375
117372143335,-66.6875,13,13.5
117372157048,-81.125,-13.0625,-31.1875
117372172682,-84.625,-42.125,-73.9375
117372195235,-90.5625,-69.25,-118.625
117372216898,-97.5625,-96.125,-169.062
117372232730,-94.5,-122.938,-221.188
117372255300,-91.9375,-146.562,-271.25
117372277110,-85.875,-169.688,-326.688
117372307776,-80.4375,-191.312,-388.25
117372331087,-74.5625,-215,-442.438
117372343895,-53.5625,-245.5,-461.688
117372352947,25.8125,-220.438,-417
117372375936,211.375,-198.688,-236.75
117372396263,268.875,-226.375,-73.6875
117372412681,171.062,-205.562,11.3125
117372435211,71.5,-167.688,133.25
117372457767,17.4375,-144.062,187.625
117372495837,22.0625,-120.562,207.812
117372517669,76.875,-88.5,227.188
117372524439,148.5,-51.1875,244.375
117372548326,185.062,-14.25,256.25
117372570182,174.75,13.6875,251.312
117372576831,153.375,28.125,232.75
117372600836,147.188,37.375,212.688
117372630238,160.062,46.5625,189.312
117372636874,177.188,59.875,166.062
117372660802,175.812,73.375,146.188
117372682912,147.875,81.9375,125.188
117372700485,100,86.4375,101.312
117372721053,61.5,91.4375,77.0625
117372749224,49.875,97.0625,51.3125
117372759360,40.125,99.375,19.375
117372781052,28.625,97,-19
117372801941,7.8125,89.25,-61.125
117372817731,-25.875,83.6875,-112.125
117372840919,-62.625,84.5625,-173.5
117372861820,-81.0625,94.0625,-238.438
117372877696,-91.8125,107.688,-299.375
117372915892,-111.688,126.75,-358.312
117372916704,-113.938,143.375,-411.625
117372945845,-110.562,160.938,-467.5
117372968321,-139.438,177.438,-532.938
117372997572,-180.5,180.25,-551.875
117372998379,-215.375,193.812,-471.062
117373020817,-194,173.75,-308.562
117373041880,-122.688,132.562,-205.5
117373056935,-69.625,68.375,-150.5
117373071219,27.5625,17.6875,-83.75
117373093729,87.875,-8.75,-6.125
117373116860,85.8125,-9,42.0625
117373131253,34.9375,-20.375,69.75
117373153696,-13.1875,-34.125,73.1875
117373176851,-8.5625,-41.125,69.8125
117373191223,25,-45.0625,60.1875
117373213711,54.3125,-45.125,41.5625
117373236896,63,-43.625,21.125
117373251233,49.375,-40,-2.125
117373273753,18.9375,-34.625,-24.375
117373296887,-12.875,-30,-48
117373311195,-31.8125,-25.375,-67.6875
117373333681,-23.125,-21.375,-82.6875
117373356844,-8.75,-19.5,-95.4375
117373371220,-1.0625,-14.875,-106.562
117373393721,-8.3125,-10.5625,-115.875
117373416897,-19.875,-7.4375,-121.188
117373431237,-30.8125,-5.4375,-123.688
117373453735,-40,-2.875,-124.125
117373476867,-42.125,3.3125,-124.562
117373491247,-36.8125,9.5,-124.438
117373513706,-32.8125,13.5,-125.562
117373536898,-36.9375,16,-126.375
117373551200,-40.4375,17.6875,-122.188
117373573698,-42.5625,19.1875,-113.062
117373596897,-45.0625,20.5,-102.812
117373611182,-51.3125,22,-92.8125
117373633729,-60.25,20.125,-82.625
117373656864,-67.0625,16.0625,-74.8125
117373671197,-64.4375,13.5625,-67
117373693716,-57.75,13.0625,-58.75
117373716879,-50.8125,11,-51.25
117373731281,-44,7.375,-44.3125
117373753730,-39.375,2.875,-38.1875
117373776926,-30.25,-0.5625,-30.8125
117373791404,-17.6875,-3.625,-24.25
117373813830,-14.1875,-9.125,-17.9375
117373836911,-13.5625,-13.3125,-12.6875
117373859418,-12.8125,-13.4375,-5.375
117373873737,-16.125,-4.9375,-2.25
117373897071,-21.875,2.75,-0.5625
117373911292,-21.375,9.125,-5.375
117373933770,-11.875,10.5625,-9.6875
117373957180,-4,8.125,-9.5
117373971438,7,5.9375,-7.6875
117373993788,15.4375,3.9375,-3.75
117374025269,22.6875,0,-0.375
117374031316,28.875,-3.8125,3.25
117374053985,32,-5.9375,4.875
117374076920,29.0625,-7.4375,6.375
117374091431,23.0625,-7.875,6.625
117374113941,15.5,-6.9375,6.25
117374136964,10.3125,-6.1875,6.125
117374151239,9.125,-4.9375,4.8125
117374175247,10.6875,-3.25,3.5625
117374197121,11.75,-3.1875,2.625
117374211350,10.875,-3.25,2.25
117374233725,8.875,-2.5,1.875
117374256920,4.8125,-2.0625,1.6875
117374271327,3.5,-1.8125,2.9375
117374293813,5.3125,-2.1875,3.375
117374316901,7.3125,-3.5625,4.1875
117374331428,10.8125,-5,4.5
117374361971,14.4375,-6.25,4.75
117374377091,15.4375,-7,5.4375
117374391430,17.5,-7.1875,4.5625
117374413957,21.375,-6.1875,2.75
117374436271,26.25,-5.4375,1.375
117374451292,30.5625,-4.4375,-0.625
117374473939,32.9375,-3.75,-2.3125
117374497831,32.625,-3.0625,-3.8125
117374511273,29.75,-2,-4.75
117374533794,25.3125,-1.625,-4.75
117374556289,22,-1.75,-3.8125
117374571295,20.5,-2.5,-2.75
117374594028,19.375,-2.875,-2.1875
117374616385,16.3125,-3.25,-0.75
117374639523,14.125,-3.6875,-0.3125
117374653974,11.75,-3.4375,0.5
117374676169,10.875,-2.3125,0.5625
117374699522,10,-1.625,0.125
117374713834,6.8125,-1.0625,-0.5
117374730429,3.3125,-0.0625,-0.5
117374751248,1.9375,1.3125,-0.5625
117374773757,0.5625,1.3125,-0.375
117374796663,-0.4375,1.75,-0.5
117374811439,-2.1875,2.5625,-0.375
117374833744,-4.625,3.6875,-0.3125
117374850174,-8.375,4.625,0.125
117374871340,-11.875,4.875,1.25
117374901918,-14.875,4.4375,2.125
117374917675,-14.375,4.375,2.5
117374931290,-14.25,4.9375,3.9375
117374953931,-15.625,5.4375,4.9375
117374976283,-18.1875,6.1875,5.75
117374991201,-19.625,6.4375,6.125
117375013778,-20.8125,6.75,6.375
117375036319,-21.625,7.0625,6.6875
117375051236,-23.125,6.375,7.5
117375073855,-22.3125,4.5625,7.75
117375105060,-21.0625,2.75,7.4375
117375111222,-21.0625,1.5,7.5625
117375135142,-20.125,1.1875,6.125
117375156439,-20.75,0.6875,3.9375
117375171275,-23.4375,2.25,2.8125
117375195237,-28.9375,1.1875,2.3125
117375216285,-29.25,-3.125,3.375
117375232696,-19.5,-5.0625,0.625
117375253834,-4.75,-3.3125,-3.625
117375276450,6.9375,1.75,-3.5
