timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117390092387,-13,-11,-3,0,-1,0,-2,-5
117390092387,2,1,0,0,-1,-1,-1,-16
117390094010,-2,-9,-3,0,0,0,1,10
117390094010,-13,-8,-7,-4,-2,-3,-4,-16
117390097381,-3,-4,1,-3,1,-3,-2,-1
117390097381,0,3,-2,-2,1,-2,-1,-2
117390098079,0,1,4,3,0,-2,-1,-3
117390098079,-1,-2,-4,-2,-1,0,-1,1
117390104914,3,1,-1,1,-3,0,0,-3
117390104914,4,14,-2,-5,-2,-3,-2,2
117390112854,-7,1,4,2,2,0,-4,-4
117390112854,0,2,3,-2,-1,-1,-1,2
117390120081,-1,-3,-1,5,-1,-1,-1,-2
117390120081,2,-2,-4,-7,1,1,1,6
117390135105,1,-6,-3,1,-1,-1,-2,-4
117390135105,1,-2,0,-3,-5,-1,-1,-1
117390141436,1,4,-5,-8,-2,-1,0,-4
117390141436,2,-8,5,2,-1,0,-1,-6
117390164425,1,5,-2,1,-3,-2,2,11
117390164425,-6,-13,-3,5,0,-3,-3,-2
117390165232,5,1,-2,-1,-1,-2,-1,-2
117390165232,-5,-3,-3,-1,-2,-1,-2,1
117390180392,-2,3,1,6,0,1,-2,-5
117390180392,5,8,-3,8,2,-2,-3,0
117390186665,2,-1,3,-21,-4,0,0,4
117390186665,-8,-3,5,-6,-1,-2,1,-2
117390227182,-1,16,2,1,1,-2,-3,-3
117390227182,-2,-2,-8,-4,-4,-3,-2,-1
117390227844,-4,-4,-8,-1,-2,-1,-3,-3
117390227844,-3,-4,23,13,1,-4,-1,-2
117390228782,-2,-2,-8,-37,-7,-4,-1,-2
117390228782,0,-1,-5,2,-3,4,0,-1
117390231748,3,0,-3,5,1,-1,0,0
117390231748,1,0,3,13,1,-1,-1,-2
117390238610,3,-1,-14,-7,1,1,1,1
117390238610,0,0,21,7,5,-1,-2,-1
117390246763,-5,-3,-7,5,6,1,-2,-2
117390246763,-2,-3,-8,-8,7,0,1,1
117390253611,-3,-6,-7,27,-13,-6,-2,-3
117390253611,-6,-10,-35,-47,-22,-5,-7,-4
117390269287,-2,1,-2,-22,-17,-12,-2,-4
117390269287,4,-4,4,-12,-4,-2,-4,12
117390276299,3,1,-1,71,25,-10,-7,1
117390276299,-1,3,-2,43,18,13,10,2
117390283883,8,2,7,18,12,7,-12,2
117390283883,-2,-2,-10,29,-11,2,9,7
117390298850,-6,-8,-4,-33,-25,15,-2,-12
117390298850,-6,2,6,14,15,-37,-13,-18
117390306855,2,0,1,24,-7,8,12,13
117390306855,2,1,-3,-6,3,5,1,3
117390313690,1,-18,9,-18,0,7,0,-2
117390313690,3,4,6,2,-8,5,-3,4
117390329422,-1,-3,-13,-8,4,-8,-9,-2
117390329422,-13,4,1,-16,-4,-14,11,-12
117390336328,7,0,0,-13,-8,14,7,23
117390336328,-3,17,3,-12,-7,-10,4,-10
117390343888,-11,-4,0,10,20,2,0,-7
117390343888,2,-8,-1,-2,-25,-7,-21,-7
117390367707,14,10,5,65,24,-10,5,1
117390367707,-3,0,1,-46,-7,4,0,30
117390368321,-1,-12,3,-9,18,69,7,-3
117390368321,6,2,15,26,-3,-62,-15,-17
117390373689,-2,5,0,-6,-7,11,7,18
117390373689,8,-8,-1,6,5,13,16,3
117390389519,4,7,8,-38,-25,-38,32,3
117390389519,-19,-7,-33,-24,-6,51,-16,-33
117390396331,-12,-11,-7,-8,-3,-53,-43,-18
117390396331,6,6,6,12,3,9,2,-1
117390403766,-10,-6,-3,4,-24,48,-20,-10
117390403766,2,5,9,8,19,-26,15,-8
117390418767,-9,4,-2,-49,-6,-15,13,-8
117390418767,16,-2,0,26,24,28,13,34
117390427695,-4,2,-1,6,-22,-24,1,-75
117390427695,22,-16,-7,5,-26,12,40,99
117390433670,-8,-1,1,18,11,-4,-32,-17
117390433670,-7,-10,-11,-80,-5,28,-35,1
117390458287,6,0,24,62,31,-20,5,4
117390458287,-11,4,-5,-26,-41,54,-2,-20
117390459332,1,1,3,8,-9,-102,18,5
117390459332,-20,-9,-8,32,-5,25,-34,-43
117390472690,23,17,-3,-62,23,23,5,34
117390472690,-14,-1,-5,-14,29,22,-3,-10
117390478740,-15,21,14,24,3,21,18,16
117390478740,10,-4,7,7,-27,-22,6,-6
117390487688,-11,-2,-7,-1,-1,-7,-9,8
117390487688,-2,-3,-1,12,8,-22,-6,-2
117390493772,12,-4,-9,-14,-1,21,-3,-13
117390493772,-8,13,-9,-57,-19,-22,5,-6
117390510273,-2,-6,4,8,5,-1,-7,-30
117390510273,21,7,4,17,-3,-23,-4,41
117390516411,-5,-12,2,4,11,32,-2,-11
117390516411,-14,7,0,23,-8,-9,6,32
117390532691,1,0,-1,3,-3,7,-6,-4
117390532691,13,-7,-3,7,11,-30,-13,30
117390538635,-11,0,3,-32,3,22,0,1
117390538635,10,3,5,36,0,-18,9,6
117390547721,-27,2,-7,-3,-4,-2,1,-6
117390547721,-28,-9,-8,-14,-9,-8,-13,-24
117390553732,16,2,-4,1,0,16,3,5
117390553732,5,6,2,7,3,-2,4,-2
117390570133,-13,-10,-4,2,-10,-21,-13,-16
117390570133,4,5,6,10,12,10,4,24
117390576247,2,-9,-7,3,-7,4,7,9
117390576247,-9,-7,11,8,5,-1,-5,-25
117390592657,8,0,-7,-31,-19,-21,-4,16
117390592657,-7,9,-7,-14,0,3,-2,-62
117390598837,2,5,-1,-12,-3,15,-1,-8
117390598837,31,-8,1,11,6,-13,3,54
117390607728,-27,-9,-5,-3,-3,-7,-3,-7
117390607728,5,8,-1,-17,5,6,1,-19
117390613876,-7,-8,-3,3,-3,1,-3,14
117390613876,-32,-5,-7,-20,0,-3,-4,-24
117390630301,25,9,6,17,-1,-6,1,24
117390630301,-20,-6,0,17,4,5,-7,-67
117390636114,-8,-12,-5,-27,-14,-4,-1,34
117390636114,-5,-6,-1,32,8,-1,3,-7
117390652664,-10,-7,-12,-30,-7,-1,1,17
117390652664,16,9,10,36,0,-2,0,8
117390658657,5,-1,-3,9,2,4,-4,-39
117390658657,-16,-6,-11,-30,-2,-5,-6,-46
117390667851,6,-15,-4,-7,-13,-6,-1,16
117390667851,6,0,-1,-8,10,3,0,-7
