timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
83863862754,1,2,2,21,4,0,1,0
83863862754,-2,-4,-4,-4,-3,0,-1,-2
83863869586,-10,-4,-2,-7,-4,-3,-2,-5
83863869586,-20,6,1,8,0,-2,0,-4
83863885895,-6,-21,-6,-8,-4,-3,-4,-2
83863885895,-8,-6,-1,5,1,1,-2,2
83863887548,-3,-7,1,0,-1,-1,-2,-2
83863887548,0,-2,-1,-3,-4,-1,-3,0
83863908473,-2,0,-1,-2,1,0,-2,-2
83863908473,-1,2,0,-2,1,0,0,2
83863910035,3,-5,-2,1,-2,-3,-2,-2
83863910035,4,2,0,9,1,0,0,-3
83863930914,3,4,-1,-17,-7,0,1,-2
83863930914,0,18,0,18,1,-1,0,1
83863932538,3,-3,-2,-20,-3,0,0,-3
83863932538,0,0,-2,-2,-3,-1,0,1
83863945927,-5,0,-1,7,3,1,-2,-2
83863945927,-4,-2,1,-6,1,0,-1,0
83863947546,-1,-3,1,-3,-2,-1,-1,-1
83863947546,-7,-4,-3,4,0,-2,-2,-4
83863968489,2,3,0,-18,-3,-3,-1,0
83863968489,-2,-7,-1,-9,-5,0,-2,0
83863970075,3,-1,-1,13,3,0,-1,-3
83863970075,-2,-6,-1,-9,-4,-1,-1,-2
83863982793,2,-1,-1,1,0,0,-1,0
83863982793,-1,-4,0,5,0,0,-1,-1
83863989574,-22,4,-3,-1,3,-2,-3,-4
83863989574,3,-2,-2,0,-10,-2,-1,1
83864006021,-1,2,1,8,1,0,-2,-3
83864006021,-3,-25,-2,-4,0,-1,0,4
83864007537,6,4,0,2,0,-1,0,-1
83864007537,2,3,-1,-6,-2,0,-1,0
83864028589,1,3,1,2,2,-3,0,-2
83864028589,-4,-5,-3,-1,-2,-1,-1,-3
83864030086,20,0,3,2,-1,-2,-2,-1
83864030086,2,-5,-1,-2,1,-2,-1,-2
83864042157,0,-3,-2,-7,-2,-1,-1,-1
83864042157,0,5,-3,-3,-1,-2,-1,-1
83864051087,-2,-6,-3,4,-4,0,0,-4
83864051087,-1,4,0,-6,-1,-1,-2,0
83864065938,1,0,-1,4,-2,0,-1,-1
83864065938,-7,-2,0,5,-1,0,-1,-1
83864067509,2,2,1,9,4,0,-1,1
83864067509,1,-2,0,5,-4,-1,-1,1
83864088415,-27,-10,-5,-7,-2,-3,-2,-4
83864088415,-1,0,0,-9,-3,-1,0,-2
83864090063,-3,-2,-1,1,-2,-1,-2,-1
83864090063,-2,-4,0,-2,3,1,1,0
83864102112,5,3,-2,13,1,0,-1,-1
83864102112,-9,-1,-2,-6,-4,-1,-1,-2
83864111118,-2,-2,1,-4,-1,-3,0,0
83864111118,-1,6,-1,0,-2,-1,-2,0
83864125943,3,-1,-1,-1,-3,-1,-2,0
83864125943,2,0,-3,0,0,1,-1,1
83864127524,0,-4,-2,-18,-3,1,0,-1
83864127524,-1,-3,1,-6,1,-1,0,-1
83864148470,0,3,-1,0,-3,-1,0,-2
83864148470,2,-2,2,3,1,-1,-2,-1
83864150161,-4,-4,-1,6,-3,-1,-1,-3
83864150161,1,1,-1,5,-1,-2,-1,-1
83864162090,2,0,-1,-10,-2,-2,-2,1
83864162090,1,17,1,6,6,0,-2,-1
83864171077,3,-2,-1,7,-4,-1,-1,0
83864171077,-3,-3,-2,-4,-2,-2,-3,-2
83864185954,2,-3,1,6,1,-1,0,1
83864185954,2,1,1,-3,-2,-1,-1,0
83864187566,-3,-2,-1,1,3,-1,-1,-2
83864187566,0,-1,-3,0,-2,-3,-1,-2
83864208418,2,6,1,4,3,1,1,-1
83864208418,0,-3,-3,-16,-5,-3,-2,-3
83864210067,-1,-4,1,11,0,2,-1,0
83864210067,-1,-2,-1,-2,0,-2,-3,-2
83864222073,0,-2,-2,-4,-1,0,0,0
83864222073,0,-2,-2,-2,-1,-2,2,-1
