timestamp,x,y,z
115716451168,-7.4375,2.5,-3.1875
115716473785,-7.3125,1.75,-2.8125
115716488857,-7.6875,1.0625,-2.8125
115716512473,-6.6875,0.5625,-3.5625
115716533825,-4.9375,0.8125,-4.75
115716548756,-3.625,1.125,-6.3125
115716572440,-3.375,1.4375,-7.6875
115716617284,-3.8125,1.4375,-8.375
115716617881,-4.4375,0.875,-8.5625
115716632040,-4.5625,0.375,-8.0625
115716655622,-3.5,0.0625,-7.3125
115716671469,-2.5,-0.25,-6.125
115716691360,-3.25,-1.0625,-4.75
115716714902,-3.6875,-2,-3.375
115716744295,-3.5,-2.75,-1.9375
115716754691,-2.4375,-3.125,-0.875
115716774306,-0.875,-3.5,0
115716788632,0.625,-3.75,0.6875
115716811809,2.375,-3.8125,1.3125
115716834325,4.25,-3.625,1.75
115716848889,5.125,-3.25,2.5625
115716871961,3.5625,-3.1875,3
115716894352,2.4375,-3.1875,3.4375
115716908621,2.9375,-2.6875,3.5625
115716931996,3.9375,-1.8125,3.6875
115716954319,3.5625,-0.8125,3.625
115716968616,1.0625,-0.1875,3.375
115716991843,-2.5,0.1875,3.5625
115717014339,-5.9375,0.375,2.75
115717028617,-7.25,0.4375,1.6875
115717051998,-6,0.8125,-0.1875
115717074400,-4,1.5625,-1.3125
115717088650,-3,1.8125,-2.3125
115717112012,-3.875,1.5,-3.25
115717134380,-5.9375,0.125,-4
115717148921,-4.9375,0.625,-5.3125
115717171210,-2.375,2.125,-5.3125
115717194294,-1.4375,3,-5.75
115717208621,1.3125,4.6875,-5.4375
115717231262,5.3125,5.8125,-5.5625
115717254313,16.625,6.375,-6
115717268605,37.0625,9.625,-4.3125
115717291110,47.6875,18.375,3.625
115717314489,35.0625,24.1875,16
115717328715,15.5,26.0625,26.1875
115717351431,4.75,27.1875,40.375
115717374634,-3.125,29.1875,59
115717388787,-15.8125,28.8125,79.9375
115717411328,-25.3125,27.1875,101.312
115717434537,-37.5,23.125,124.125
115717450306,-41,17.1875,144.5
115717471318,-36.625,13.5,164.688
115717494531,-28.5,10.8125,183.5
115717510164,-22.5625,9.125,200.438
115717531476,-17.875,5.875,218.438
115717554090,-12.5625,0.8125,233.438
115717570089,-4.25,-4.125,249
115717591254,8.8125,-7.9375,261.688
115717614554,20.8125,-12.3125,271.625
115717630092,34.25,-14.125,280.5
115717651406,47,-16,284.75
115717674368,58.1875,-18.75,286.375
115717690106,65.25,-21.5625,289.125
115717711272,67,-22.75,293.688
115717733641,60.6875,-24.9375,293.375
115717750171,55.0625,-25.8125,295.25
115717780721,57.75,-29.625,294
115717802589,58.5625,-34.625,292.438
115717832434,60.375,-36.5625,290.75
115717833294,59.3125,-41.1875,287.188
115717853655,57.625,-44,284.25
115717870041,65.25,-40.375,279.062
115717891105,62.0625,-44.125,268.938
115717913545,59.4375,-49.0625,254.375
115717937545,48.4375,-51.625,242.438
115717951059,46.1875,-53.0625,234.312
115717973579,43.625,-53.875,223.188
115717990068,34.8125,-54.6875,199.062
115718011118,25.375,-55.9375,178.062
115718033609,7.5,-60.1875,152
115718050096,-6.8125,-61.375,123.125
115718072572,-5.375,-59.8125,91.5625
115718093626,-19.5,-56.125,68.5
115718110099,-20.5,-38.5625,46.0625
115718131196,-14,-18,25.875
115718153651,-1.3125,5.0625,5.4375
115718170039,4,22.875,-15.75
115718191103,6.5625,36.25,-37.75
115718213626,16.9375,55.0625,-54
115718230054,23.1875,69,-79.3125
115718251102,49.3125,86.3125,-98.5625
115718273604,60.625,95.4375,-128.438
115718290084,40.1875,94.9375,-170.312
115718311107,14.4375,83.4375,-210.562
115718333638,-12.625,78.5625,-242.688
115718350119,-41.6875,69.375,-264.5
115718371187,-66.25,51.6875,-254
115718393601,-68.3125,46.6875,-204.875
115718410007,-8.625,48.875,-167.375
115718432624,28.3125,22.5,-118.5
115718453596,66.9375,5.5,-52.125
115718470039,71.8125,-0.125,8.75
115718492802,26.1875,-11.375,55.8125
115718513851,-1.4375,-24.5,86.5
115718530104,5.5625,-31.0625,95.0625
115718560779,19.9375,-32.125,93.3125
115718573839,17.4375,-33.6875,92.9375
115718590129,0.625,-38,93.625
115718612775,-13.625,-44.25,96.8125
115718633795,-25.125,-49.1875,92.875
115718650142,-30.3125,-53.5,86.125
115718672747,-23.8125,-52.875,86.8125
115718693734,-9.6875,-51.875,89.8125
115718710087,-5.125,-49.1875,87.0625
115718732673,-10.3125,-43.25,87
115718753653,-11.5,-38,80.5
115718770214,-11.625,-38.6875,70.875
115718792661,-13.9375,-38.4375,58.0625
115718815224,-29.4375,-36.75,33
115718830143,-45.8125,-37.25,7.6875
115718852609,-57.0625,-35.6875,-19.375
115718873849,-77.4375,-38.5,-47.875
115718890117,-103.625,-32.8125,-87.6875
115718912551,-126.562,-24.25,-115.25
115718934304,-125.688,-13.375,-132.312
115718949298,-122.5,0.125,-161.25
115718971495,-123.188,15.0625,-190.625
115718994363,-117.5,33.0625,-219.375
115719009338,-109.688,46,-244.375
115719031785,-114.25,58.5625,-265.875
115719054243,-115.438,72.1875,-277.188
115719069282,-109.875,74.375,-288.562
115719091999,-108,71.625,-313.5
115719114242,-101.125,67,-318.188
115719129507,-78.875,70.4375,-325.312
115719159427,-63.3125,75.5625,-330
115719174268,-61.625,67.75,-333.438
115719189485,-60.75,57,-333.812
115719211710,-55.1875,50,-318.812
115719234294,-55.25,43.6875,-302.75
115719249264,-66.5625,39.5,-295.688
115719287414,-81.1875,33.75,-290.375
115719294411,-68.4375,38.3125,-276.625
115719309318,-51.625,42.375,-258.75
115719331759,-35.5625,46,-244.5
115719354250,-19.4375,47.1875,-233.812
115719369015,-10.5625,45,-220.812
115719393258,0.3125,43.3125,-206.562
115719422479,11.1875,40.4375,-185.125
115719429183,18,38.0625,-160.438
115719451828,7.8125,31.3125,-133.5
115719474290,-19.8125,18.8125,-104.312
115719489295,-58.125,1.5,-74.875
115719511781,-83.75,-14.75,-45.5
115719534941,-88.625,-27.5,-20.0625
115719558915,-68.25,-37.5625,-0.875
115719579567,-37.375,-42.5,11.75
115719594349,-9.4375,-43.8125,22.0625
115719610794,11.4375,-45.3125,28
115719631851,23.3125,-46.8125,31.0625
115719654277,33.4375,-47,31.4375
115719670708,45.875,-47.8125,27
115719692040,52.3125,1.625,10.3125
115719714442,17.9375,35.0625,-17.0625
115719730756,-39.6875,17.875,-25.4375
115719751829,-26.9375,4.8125,-16.0625
115719774273,16.5625,2.3125,-4.1875
115719790695,35.5,-3.0625,0.4375
115719811750,36.25,-10.3125,1.5
115719834340,32.6875,-9.5,3
115719850672,22.6875,-4.3125,0.6875
115719872228,5,-0.4375,-3.75
115719901802,0.3125,0.5,-5.3125
115719910646,9.625,-0.6875,-3.0625
115719931824,17.25,-1.375,-1.125
115719947564,17.9375,-2.25,-0.4375
115719970724,17.25,-1.8125,-0.4375
115719991846,16.25,-0.5625,-1.1875
115720007587,14.5625,0,-1.625
115720038212,12.1875,0,-1.375
115720051774,8.6875,-0.625,-0.4375
115720067605,4.5,-1.0625,-0.125
115720090721,2.9375,-1.5625,0.1875
115720113199,4.125,-1.125,-0.5
115720127575,3.875,-1.3125,-1.4375
115720150699,0.8125,-1.5625,-1.3125
115720171807,-2.5,-1.875,-1.25
115720187568,-4.6875,-2.125,-1.5
115720210734,-5.125,-2.125,-1.625
115720231723,-4.0625,-1.75,-1.125
115720247529,-1.9375,-1.5,-0.625
115720270735,0,-1.4375,-0.3125
115720291781,0.875,-1.5,-0.375
115720307502,1.5625,-1.875,-0.875
115720330037,2.125,-1.8125,-1.5
115720351781,2.5625,-1.5,-1.875
115720367516,2.5625,-0.9375,-1.8125
115720390028,1.375,-0.75,-1
115720413230,-0.25,-0.8125,-0.875
115720427576,-0.25,-1.375,-0.6875
115720450065,-0.1875,-1.5625,-0.25
115720473231,-2.0625,-1.8125,-0.125
115720487536,-2.3125,-2.0625,-0.5625
115720510003,-1.8125,-1.875,-0.6875
115720533173,-0.4375,-1.9375,-0.3125
115720547585,0.125,-2,0.4375
115720570085,-0.3125,-1.875,0.875
115720593346,-0.875,-2.0625,1.1875
115720607771,0.1875,-2.1875,0.75
115720630096,0.3125,-1.9375,0.75
115720653278,0.125,-1.1875,0.75
115720667620,-0.5625,-0.875,0.6875
115720690001,0.6875,-0.625,0.25
115720713159,2.125,-0.1875,0.4375
115720727574,2.75,0.3125,0.125
