timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
116612652093,-1,-1,-2,-2,-1,-1,-2,-1
116612652093,1,2,-1,0,-1,0,-1,-2
116612654130,11,2,-1,-1,-2,-2,-1,-1
116612654130,-1,-1,-2,-1,-1,-1,-1,0
116612655018,-7,-16,-4,-2,-1,-1,-2,-3
116612655018,-1,-1,-2,0,-2,-1,-1,-6
116612656333,-3,-1,-1,0,-2,0,-1,1
116612656333,-1,-2,0,-1,-2,-1,-1,-1
116612665825,1,1,1,1,-1,-2,-1,-1
116612665825,-2,-2,-4,-3,-2,-2,-1,-2
116612671464,-5,-5,-2,-1,0,-3,-2,-2
116612671464,-2,4,-2,0,-1,-1,-2,-2
116612680392,-2,3,0,-3,0,0,0,-1
116612680392,-8,2,0,-2,-1,-1,-2,4
116612695137,0,0,-1,0,-1,-1,0,-10
116612695137,-3,12,0,-1,-2,0,0,-2
116612702287,3,0,-2,1,-1,-1,-2,1
116612702287,4,-3,0,-2,-2,-1,1,4
116612716421,-2,0,-2,-2,-1,-1,0,4
116612716421,-8,-3,-1,-2,1,-3,-2,-1
116612725786,24,23,4,-1,0,0,-1,0
116612725786,7,-2,-1,-3,0,-2,-2,-1
116612739638,-5,1,-1,2,1,0,-1,-2
116612739638,3,1,0,-3,-3,-1,-1,-1
116612740490,-6,-3,-2,-2,-2,-2,-2,0
116612740490,1,-2,-1,1,-1,-2,0,-1
116612786427,-2,-2,1,-1,0,-1,-1,-1
116612786427,0,-1,0,-1,-1,1,-1,-2
116612787172,0,1,1,1,1,0,1,-1
116612787172,-2,-1,-3,-2,0,-1,-1,-1
116612788791,-2,-2,-1,-3,-4,-2,0,-2
116612788791,-7,-4,-2,-2,1,-1,0,-1
116612791227,9,1,-2,-1,-1,0,-1,-10
116612791227,16,-1,0,0,1,-1,-1,-9
116612798762,2,7,1,4,2,-1,1,6
116612798762,1,0,0,-2,-2,-1,-2,-5
116612807728,-5,-2,-3,0,-1,-1,-3,-1
116612807728,2,-2,-1,-1,-1,0,-1,3
116612813756,0,-2,-2,-3,-1,-2,-3,-6
116612813756,4,4,-1,-1,-2,-2,-1,9
116612836947,-5,-8,-2,-3,-2,0,-1,-1
116612836947,0,6,2,-3,-1,0,-1,1
116612837724,-2,-3,-3,-1,1,-1,0,0
116612837724,4,9,0,-1,-2,-2,-2,-1
116612859436,-13,-26,-3,-1,-2,-1,-2,0
116612859436,-8,-3,-2,-2,-3,-3,0,-2
116612860185,0,-3,-1,-1,-1,-1,-2,1
116612860185,1,2,0,-2,0,-1,-1,-2
116612874444,-3,4,0,0,0,-1,-2,-1
116612874444,-5,3,0,-1,-1,0,-2,1
116612875219,-3,-4,-1,-1,-2,0,1,-3
116612875219,10,-7,-3,0,0,-1,-2,-2
116612905286,3,10,2,-1,-1,-2,-1,23
116612905286,-9,-14,-3,-2,0,-1,3,-9
116612905868,9,7,0,-1,-1,-2,-1,1
116612905868,-3,-2,-1,-1,1,-1,-1,-3
116612919381,3,-2,-5,-1,-1,-3,-1,0
116612919381,4,16,0,0,0,0,-1,0
116612920145,1,3,1,-2,-1,0,-2,-2
116612920145,-5,-6,-2,-2,-2,-1,0,-1
116612934600,-8,3,-1,-1,0,0,-1,-7
116612934600,12,4,1,0,-2,-1,-2,-1
116612935311,-5,-5,0,1,-1,0,-1,-5
116612935311,-5,-3,0,0,-2,-1,0,2
116612956891,2,6,1,0,0,-1,-1,-6
116612956891,-2,-5,-3,-1,-2,-2,-2,0
116612957680,-5,8,-2,-2,-2,-1,-1,-1
116612957680,0,-2,-2,-2,-1,-1,0,-1
116612979545,-1,0,-1,-3,-5,-2,-1,-6
116612979545,-7,-5,-3,0,-2,-3,-2,-2
116612980253,14,-4,-2,-1,-1,0,-1,0
116612980253,-11,4,-2,-3,-1,-1,-2,-4
116612994605,8,-4,-1,-1,-1,-1,0,23
116612994605,-3,-1,0,1,0,0,0,-7
116612995283,-2,-4,-1,-2,-1,-1,-1,-2
116612995283,10,16,-1,-1,-1,0,-2,-2
116613016887,0,1,-1,0,0,-2,-3,-1
116613016887,-3,-5,0,1,-1,1,-4,1
116613017636,-6,-4,-2,-1,-1,-1,1,-1
116613017636,-4,-25,-2,-1,-1,-2,0,1
116613041025,-5,1,-2,-5,-2,-3,-1,-11
116613041025,-4,-4,-4,-1,-2,-3,0,3
