timestamp,x,y,z
116665036323,0.944336,-0.242676,0.0869141
116665059899,0.921875,-0.244629,0.0844727
116665081350,0.958008,-0.247559,0.0878906
116665096325,0.932617,-0.255371,0.0771484
116665120137,0.93457,-0.239746,0.0800781
116665141329,0.954102,-0.245605,0.0756836
116665156447,0.918945,-0.240234,0.0712891
116665194610,0.95752,-0.23584,0.0825195
116665195383,0.934082,-0.243652,0.0761719
116665209511,0.943848,-0.231445,0.0854492
116665225273,0.955078,-0.237305,0.0771484
116665254351,0.938965,-0.240234,0.090332
116665277066,0.946777,-0.25293,0.0805664
116665293485,0.948242,-0.255859,0.0888672
116665328647,0.942871,-0.259277,0.0888672
116665338758,0.94043,-0.255859,0.081543
116665345237,0.938477,-0.25,0.0834961
116665366733,0.929688,-0.262207,0.0834961
116665389301,0.950195,-0.269043,0.0844727
116665413248,0.932617,-0.26123,0.0620117
116665427806,0.968262,-0.268066,0.0810547
116665450786,0.935547,-0.265625,0.0776367
116665473338,0.936523,-0.260254,0.0913086
116665487706,0.9375,-0.272461,0.0898438
116665510817,0.929688,-0.280273,0.102051
116665533376,0.921875,-0.291016,0.102051
116665547689,0.938477,-0.28418,0.101562
116665570875,0.91748,-0.280273,0.097168
116665593321,0.924316,-0.291504,0.0981445
116665607700,0.935547,-0.29834,0.090332
116665631266,0.925293,-0.306641,0.0996094
116665653296,0.948242,-0.346191,0.112305
116665674554,0.942383,-0.336426,0.128418
116665690903,0.949219,-0.336914,0.127441
116665713320,0.958984,-0.354004,0.131348
116665734584,0.963867,-0.378906,0.123535
116665758296,0.953613,-0.423828,0.116699
116665773332,0.959473,-0.455566,0.090332
116665794482,0.911621,-0.498047,0.0522461
116665810820,0.922852,-0.560547,0.0107422
116665833387,0.899414,-0.637695,-0.0200195
116665854498,0.883789,-0.705078,-0.0668945
116665870818,0.830078,-0.775879,-0.081543
116665893917,0.783203,-0.813477,-0.118652
116665914383,0.754883,-0.861816,-0.13916
116665930424,0.70166,-0.92334,-0.152344
116665953311,0.64209,-0.951172,-0.149902
116665974337,0.588867,-0.989258,-0.16748
116665990068,0.512207,-1.00146,-0.180176
116666013257,0.410156,-1.02441,-0.155273
116666034297,0.36377,-1.06592,-0.166016
116666050166,0.313477,-1.05957,-0.148438
116666073261,0.237305,-1.06445,-0.117188
116666094301,0.19873,-1.08105,-0.13623
116666110073,0.0922852,-1.12354,-0.11084
116666133284,0.0361328,-1.06104,-0.118652
116666155867,-0.0126953,-1.03418,-0.102051
116666170202,-0.0571289,-0.944336,-0.0776367
116666193296,-0.130371,-0.920898,-0.0717773
116666215884,-0.160156,-0.852051,-0.0185547
116666230221,-0.11377,-0.842285,-0.00390625
116666253515,-0.130859,-0.791504,0.0253906
116666275794,-0.143066,-0.737305,0.0307617
116666296886,-0.107422,-0.725586,0.0693359
116666319571,-0.148438,-0.767578,0.0947266
116666335871,-0.184082,-0.764648,0.127441
116666358292,-0.21875,-0.839355,0.152344
116666379582,-0.274902,-0.809082,0.182129
116666395923,-0.329102,-0.848633,0.188965
116666418372,-0.353027,-0.859375,0.205078
116666439347,-0.274902,-0.793457,0.310547
116666463371,-0.129883,-0.94873,0.339844
116666478354,-0.364258,-1.07861,0.272949
116666502209,-0.532227,-0.9375,0.216797
116666515204,-0.484375,-0.876465,0.191406
116666538402,-0.449707,-0.902832,0.220703
116666559387,-0.447266,-0.841309,0.226562
116666575264,-0.45166,-0.883301,0.210938
116666598367,-0.445801,-0.926758,0.20459
116666619399,-0.441406,-0.912598,0.216309
116666635798,-0.432129,-0.882324,0.216797
116666658249,-0.431152,-0.870605,0.217285
116666680730,-0.429199,-0.867676,0.208984
116666695694,-0.404297,-0.88623,0.202637
116666718265,-0.400879,-0.894531,0.198242
116666740731,-0.400391,-0.876465,0.209473
116666755814,-0.364746,-0.871582,0.194336
116666778253,-0.319336,-0.864258,0.191895
116666800800,-0.256836,-0.84082,0.175781
116666821831,-0.221191,-0.827637,0.159668
116666838249,-0.202637,-0.79541,0.123535
116666860780,-0.171875,-0.773926,0.0908203
116666881826,-0.147949,-0.767578,0.0791016
116666898323,-0.158203,-0.817871,0.0522461
116666920755,-0.168457,-0.827148,0.0385742
116666941782,-0.141113,-0.812012,0.0102539
116666958251,-0.10791,-0.812012,-0.0107422
116666980716,-0.081543,-0.875977,-0.0175781
116667001793,-0.0771484,-0.951172,-0.0385742
116667018658,-0.111816,-1.01416,-0.0263672
116667040764,-0.050293,-1.03223,0.00927734
116667061810,0.046875,-1.02441,-0.0229492
116667078247,0.0327148,-1.06055,-0.0620117
116667100819,0.09375,-1.05518,-0.0424805
116667121838,0.22998,-1.05713,0.00683594
116667138247,0.291504,-1.12891,-0.0732422
116667160726,0.289062,-1.08643,-0.0620117
116667181816,0.376465,-0.998047,-0.0419922
116667198288,0.556641,-0.950195,-0.0532227
116667221196,0.661133,-0.930664,-0.0541992
116667241779,0.716797,-0.947266,-0.0439453
116667258266,0.72998,-0.85498,-0.0200195
116667280772,0.777832,-0.737305,-0.0229492
116667286203,0.931641,-0.665039,-0.0419922
116667308670,1.021,-0.700684,-0.0678711
116667323600,1.01465,-0.649902,-0.0317383
116667346411,1.02832,-0.52832,-0.00341797
116667368627,1.04248,-0.411133,0.0424805
116667383644,1.0332,-0.282227,0.100098
116667406343,1.00293,-0.202148,0.143066
116667428818,0.96875,-0.172363,0.156738
116667443719,0.94873,-0.189453,0.154785
116667466287,0.946777,-0.228516,0.117188
116667488847,0.948242,-0.236816,0.0830078
116667503858,0.941406,-0.241211,0.0454102
116667526377,0.942383,-0.249512,0.015625
116667551591,0.9375,-0.29248,-0.00488281
116667563977,0.919922,-0.362793,-0.0234375
116667586255,0.910156,-0.39502,-0.03125
116667608873,0.884277,-0.386719,-0.00488281
116667623744,0.87207,-0.359863,0.0195312
116667646381,0.869141,-0.313965,0.0439453
116667668916,0.919922,-0.247559,0.0893555
116667683709,0.944824,-0.181641,0.124023
116667706246,0.985352,-0.138672,0.173828
116667728722,1.0293,-0.129395,0.20459
116667743914,1.02002,-0.115234,0.220703
116667766482,1.0083,-0.149902,0.210449
116667788637,0.972656,-0.233398,0.151855
116667803791,0.967285,-0.287109,0.100098
116667829361,0.958008,-0.307129,0.0556641
116667851777,0.933594,-0.292969,0.0322266
116667863906,0.934082,-0.250977,0.0209961
116667886336,0.936035,-0.227539,0.0126953
116667908833,0.919922,-0.225586,0.0170898
116667923713,0.920898,-0.230469,0.0170898
116667946124,0.930176,-0.239746,0.0239258
116667968611,0.944336,-0.234863,0.0244141
116667991176,0.950684,-0.219727,0.0361328
116668006199,0.955078,-0.196777,0.0551758
116668037440,0.95752,-0.182129,0.0688477
116668043650,0.961914,-0.188965,0.0756836
116668066161,0.956055,-0.197754,0.078125
116668088626,0.955078,-0.21875,0.0751953
116668103626,0.942383,-0.217285,0.0722656
116668129034,0.941406,-0.226074,0.0605469
116668148647,0.953613,-0.22168,0.0610352
116668163598,0.946289,-0.223145,0.0566406
116668186119,0.944824,-0.219238,0.0507812
116668204023,0.947266,-0.213867,0.0541992
116668225170,0.944824,-0.215332,0.0546875
116668246187,0.943848,-0.212891,0.0625
116668264067,0.947266,-0.215332,0.0571289
116668285076,0.95459,-0.214844,0.0556641
116668306099,0.956055,-0.212402,0.0620117
116668324150,0.952637,-0.210449,0.0639648
116668345181,0.953125,-0.201172,0.0605469
116668369092,0.945312,-0.204102,0.0625
116668384023,0.945312,-0.216309,0.059082
116668405204,0.952148,-0.224609,0.0537109
116668426241,0.95459,-0.224121,0.0585938
116668444124,0.943359,-0.214844,0.0649414
116668465092,0.936523,-0.208008,0.0654297
116668486091,0.93457,-0.219238,0.0703125
116668504070,0.932129,-0.228027,0.0688477
116668542820,0.9375,-0.239258,0.0708008
116668547567,0.943848,-0.249512,0.0649414
116668564066,0.941406,-0.25,0.0649414
116668586580,0.93457,-0.251953,0.0654297
116668606086,0.935059,-0.258301,0.059082
116668623992,0.934082,-0.256348,0.0620117
116668646565,0.9375,-0.262695,0.0644531
116668669088,0.935547,-0.256348,0.0649414
116668684501,0.938477,-0.244629,0.0620117
116668706662,0.94873,-0.225586,0.0610352
116668733968,0.953125,-0.228516,0.0698242
116668744070,0.952637,-0.23584,0.0605469
116668766619,0.952148,-0.239258,0.0625
116668786143,0.950195,-0.227051,0.0634766
116668804182,0.940918,-0.21875,0.0742188
116668826549,0.95459,-0.211914,0.0664062
116668846299,0.950684,-0.211426,0.0673828
116668871648,0.948242,-0.219727,0.0678711
116668886587,0.95166,-0.223633,0.0673828
116668906292,0.955566,-0.234863,0.0610352
116668924135,0.958496,-0.235352,0.0629883
116668946563,0.942871,-0.240234,0.0551758
116668966203,0.954102,-0.238281,0.0551758
116668984005,0.979004,-0.22998,0.0551758
116669006572,0.995117,-0.230469,0.0595703
116669026325,0.989258,-0.228027,0.0610352
116669044245,0.976562,-0.219727,0.0771484
116669074115,0.974609,-0.229492,0.0849609
116669086324,0.969727,-0.244141,0.0849609
116669104217,0.956543,-0.257812,0.0922852
116669126546,0.939941,-0.257812,0.0986328
116669147648,0.929688,-0.257324,0.101074
116669164382,0.92041,-0.260742,0.104004
116669186710,0.922363,-0.269043,0.10498
116669207693,0.930664,-0.262207,0.102051
116669224095,0.929688,-0.243164,0.0932617
116669246734,0.918945,-0.21875,0.0917969
116669269245,0.92041,-0.190918,0.0893555
116669284328,0.917969,-0.174316,0.09375
116669306661,0.925781,-0.154785,0.0810547
116669327796,0.932617,-0.162598,0.074707
116669344276,0.939453,-0.1875,0.0766602
116669366570,0.934082,-0.182129,0.0751953
116669387601,0.929199,-0.166992,0.0791016
116669404175,0.93457,-0.158691,0.0766602
116669426849,0.943359,-0.166016,0.0849609
116669447659,0.937988,-0.167969,0.0942383
116669469275,0.942871,-0.163086,0.0957031
