timestamp,roll,pitch,yaw
82437616085,-1.6851,-1.31402,2.36412
82437631084,-1.68555,-1.31394,2.36505
82437654961,-1.68556,-1.31428,2.36494
82437676246,-1.68556,-1.31428,2.36494
82437691239,-1.6849,-1.31398,2.36442
82437714954,-1.68491,-1.31432,2.36431
82437736273,-1.68509,-1.31447,2.36455
82437751343,-1.68508,-1.31413,2.36466
82437789421,-1.68509,-1.31447,2.36455
82437800492,-1.68509,-1.31447,2.36455
82437815116,-1.68509,-1.31447,2.36455
82437833786,-1.68593,-1.31413,2.36499
82437857476,-1.68694,-1.31394,2.36567
82437875204,-1.68695,-1.31428,2.36556
82437916079,-1.6863,-1.31398,2.36504
82437926155,-1.68612,-1.31383,2.3648
82437932486,-1.68609,-1.31424,2.36469
82437954218,-1.68544,-1.31394,2.36416
82437976740,-1.68544,-1.31394,2.36416
82438000779,-1.68544,-1.31394,2.36416
82438015170,-1.68544,-1.31394,2.36416
82438044273,-1.68456,-1.31435,2.36372
82438060694,-1.68389,-1.31417,2.36374
82438074999,-1.6839,-1.31451,2.36363
82438098155,-1.68386,-1.31458,2.36363
82438120702,-1.68297,-1.31432,2.36341
82438135082,-1.68227,-1.31455,2.36332
82438158247,-1.68167,-1.31429,2.36314
82438180781,-1.68126,-1.31418,2.3632
82438195142,-1.68138,-1.31418,2.3641
82438218242,-1.68027,-1.31464,2.36396
82438240945,-1.67916,-1.31443,2.36405
82438262054,-1.6786,-1.31456,2.36431
82438278273,-1.67716,-1.31431,2.36381
82438308256,-1.67632,-1.3145,2.36384
82438321942,-1.67409,-1.31392,2.36293
82438338397,-1.67198,-1.31303,2.36231
82438360749,-1.67068,-1.31174,2.36261
82438381755,-1.67046,-1.30969,2.36471
82438398203,-1.66837,-1.30635,2.36651
82438420871,-1.66487,-1.30065,2.36776
82438441905,-1.6649,-1.29012,2.37216
82438457592,-1.66804,-1.27485,2.38087
82438480816,-1.67534,-1.25396,2.39399
82438501812,-1.68773,-1.22773,2.41143
82438517841,-1.70352,-1.19591,2.43178
82438540856,-1.72135,-1.15819,2.45286
82438561990,-1.74,-1.11514,2.47416
82438577593,-1.75583,-1.06507,2.49443
82438600740,-1.76651,-1.00879,2.51346
82438621940,-1.77334,-0.947454,2.53306
82438637617,-1.77657,-0.880995,2.55284
82438660923,-1.77532,-0.809473,2.57283
82438681941,-1.7705,-0.734429,2.59357
82438697682,-1.76493,-0.655512,2.61562
82438720702,-1.75987,-0.574295,2.63893
82438743346,-1.75132,-0.490915,2.66389
82438757530,-1.73855,-0.406845,2.69245
82438781244,-1.71982,-0.322966,2.7236
82438803348,-1.69929,-0.239543,2.75735
82438824295,-1.67871,-0.156746,2.79435
82438840820,-1.65759,-0.0752678,2.83435
82438863230,-1.63387,0.00494083,2.87735
82438884227,-1.60895,0.0818362,2.92395
82438906786,-1.58468,0.155964,2.97496
82438923238,-1.55871,0.226546,3.02901
82438945801,-1.53059,0.291654,3.08553
82438966974,-1.50129,0.351596,-3.13626
82438982659,-1.47206,0.404075,-3.07195
82439005732,-1.44333,0.448341,-3.006
82439026750,-1.41688,0.484947,-2.93947
82439042632,-1.39402,0.515268,-2.87217
82439065807,-1.37292,0.537178,-2.80473
